match_id,shot_amnt,shot_xgs,poi_bin_pmf,execution_time_ns
3901178,26,"[0.06941039, 0.0186107, 0.15630959, 0.083843, 0.21321876, 0.03857246, 0.055399492, 0.087260224, 0.009511006, 0.40091333, 0.28040385, 0.25082335, 0.25762916, 0.06670131, 0.06578606, 0.040220506, 0.04309412, 0.12953685, 0.019310655, 0.010744672, 0.05378233, 0.032325063, 0.05554306, 0.16596779, 0.028370284, 0.031095805]","[5.02014906e-02 1.70863556e-01 2.64307116e-01 2.47832912e-01
 1.58427718e-01 7.36017084e-02 2.58640859e-02 7.06405746e-03
 1.52893521e-03 2.66015347e-04 3.76030824e-05 4.35250381e-06
 4.14818837e-07 3.26677403e-08 2.12939601e-09 1.14873276e-10
 5.11865184e-12 1.87829705e-13 5.85276727e-15 3.88849109e-16
 2.34495989e-16 2.20058074e-16 2.24875283e-16 2.09711487e-16
 2.16658934e-16 2.11825579e-16 2.23427448e-16]",153758.32
3901260,27,"[0.061407533, 0.058513843, 0.11437155, 0.13995937, 0.04904573, 0.20480949, 0.22780086, 0.044695232, 0.0349307, 0.097080335, 0.0067463852, 0.22996742, 0.10175288, 0.03592749, 0.051339485, 0.03234055, 0.039626617, 0.080461144, 0.05089351, 0.13929072, 0.20919935, 0.06441041, 0.2369258, 0.3499903, 0.041594952, 0.068886794, 0.08241685]","[4.31218140e-02 1.50553299e-01 2.44602848e-01 2.46450215e-01
 1.73100555e-01 9.03128941e-02 3.64145412e-02 1.16542389e-02
 3.01726702e-03 6.40735340e-04 1.12751610e-04 1.65656866e-05
 2.04296371e-06 2.12227599e-07 1.86055765e-08 1.37692852e-09
 8.59094011e-11 4.50538825e-12 1.97768885e-13 7.37192425e-15
 4.37150316e-16 2.32452946e-16 2.09034179e-16 2.39608680e-16
 2.22044605e-16 2.15105711e-16 2.22044605e-16 2.22044605e-16]",155406.43
3829470,24,"[0.034954578, 0.138583, 0.076472215, 0.07193716, 0.039820284, 0.07318618, 0.021261884, 0.08069869, 0.016000219, 0.18348692, 0.082465544, 0.041643653, 0.07884528, 0.10886381, 0.04312429, 0.008862081, 0.28303942, 0.02208787, 0.0803185, 0.044710446, 0.009858543, 0.16559222, 0.009570105, 0.036053255]","[1.52458538e-01 3.09553671e-01 2.87699851e-01 1.63406935e-01
 6.38254871e-02 1.82767209e-02 3.99179217e-03 6.82675776e-04
 9.30885873e-05 1.02488784e-05 9.18910545e-07 6.74599164e-08
 4.06645839e-09 2.01367689e-10 8.17716015e-12 2.71413100e-13
 7.56057543e-15 4.18312303e-16 2.33425340e-16 1.94479188e-16
 2.08166817e-16 2.10768902e-16 1.98788468e-16 1.61491914e-16
 1.50031558e-16]",145948.33
3901259,27,"[0.03965849, 0.12084835, 0.087109014, 0.48942056, 0.017895669, 0.59412223, 0.031143585, 0.008971746, 0.044663046, 0.019080615, 0.14046036, 0.026846822, 0.049680594, 0.056336395, 0.033778448, 0.04843489, 0.0366993, 0.11290819, 0.12779607, 0.028266786, 0.19809291, 0.051857408, 0.7835, 0.048629407, 0.034887582, 0.07417059, 0.1848847]","[8.04151573e-03 6.32612724e-02 1.82911442e-01 2.71840604e-01
 2.42912941e-01 1.44550166e-01 6.12911314e-02 1.93915415e-02
 4.72899581e-03 9.10086509e-04 1.40634251e-04 1.76766139e-05
 1.82451035e-06 1.55705243e-07 1.10370808e-08 6.51481943e-10
 3.20416454e-11 1.31151340e-12 4.47220386e-14 1.45933612e-15
 2.56739074e-16 1.87350135e-16 1.71737624e-16 1.52655666e-16
 1.94289029e-16 1.80411242e-16 2.11636264e-16 2.65412692e-16]",154784.85
3901263,26,"[0.071490705, 0.021571811, 0.19837026, 0.02750621, 0.06529812, 0.18725593, 0.120717265, 0.16534251, 0.25861478, 0.06546724, 0.048839413, 0.05929529, 0.13121748, 0.04706237, 0.06360274, 0.038156595, 0.2957464, 0.15757333, 0.20235007, 0.029101573, 0.10910237, 0.009010856, 0.09841285, 0.15485, 0.01305324, 0.026277114]","[5.42175560e-02 1.73848564e-01 2.60093486e-01 2.41642737e-01
 1.56526769e-01 7.52388912e-02 2.78872057e-02 8.17609900e-03
 1.92992153e-03 3.71376050e-04 5.87765742e-05 7.69737894e-06
 8.37328076e-07 7.58058899e-08 5.71283937e-09 3.57845725e-10
 1.85706017e-11 7.94472108e-13 2.80012558e-14 1.01654796e-15
 2.27147131e-16 2.14571021e-16 1.95163690e-16 2.10537613e-16
 2.29106511e-16 2.47982374e-16 2.43097041e-16]",149879.55
3900594,17,"[0.35750392, 0.111445025, 0.059091218, 0.013084128, 0.02591435, 0.13580132, 0.018804515, 0.057247642, 0.17723618, 0.043789897, 0.17242329, 0.09211488, 0.031324424, 0.31719494, 0.022128481, 0.06659079, 0.028513677]","[1.43113194e-01 3.16676703e-01 3.01390486e-01 1.64341576e-01
 5.77756530e-02 1.39585430e-02 2.40888131e-03 3.04281325e-04
 2.85626041e-05 2.00892766e-06 1.06118759e-07 4.19522223e-09
 1.22855199e-10 2.61437925e-12 3.93509383e-14 6.48874248e-16
 2.35287231e-16 2.04890620e-16]",126502.78
3900587,28,"[0.021881318, 0.008362067, 0.042593013, 0.05458542, 0.014032837, 0.00909434, 0.07928638, 0.0057000206, 0.035654612, 0.012333253, 0.28563347, 0.028131904, 0.064294, 0.0075408537, 0.01068334, 0.027221842, 0.038870793, 0.09905471, 0.027760293, 0.023561746, 0.33091214, 0.2059283, 0.12322949, 0.033154044, 0.02691908, 0.026807165, 0.042260565, 0.02652299]","[1.51697468e-01 3.18567970e-01 2.94023020e-01 1.59672625e-01
 5.77413780e-02 1.49228487e-02 2.88659802e-03 4.31694945e-04
 5.11134440e-05 4.87745648e-06 3.80203458e-07 2.44594683e-08
 1.30858539e-09 5.85414563e-11 2.19802795e-12 6.95408900e-14
 2.02173890e-15 2.10226801e-16 1.57046685e-16 1.36202898e-16
 1.49999371e-16 1.97216375e-16 2.38145007e-16 2.33320308e-16
 2.38524478e-16 2.46330734e-16 2.91433544e-16 2.49800181e-16
 2.77555756e-16]",151462.11
3900541,12,"[0.023086995, 0.13473843, 0.054808572, 0.05956242, 0.58659923, 0.19119313, 0.14112061, 0.0063977437, 0.006243981, 0.5580257, 0.8358014, 0.06689614]","[1.44274688e-02 1.23463154e-01 3.14469034e-01 3.35087203e-01
 1.63419476e-01 4.22787883e-02 6.27467313e-03 5.50842448e-04
 2.85116153e-05 8.35400903e-07 1.26367755e-08 8.45742643e-11
 2.00561789e-13]",119490.47
3900596,20,"[0.020602267, 0.008338305, 0.067427166, 0.008410114, 0.16374204, 0.07670023, 0.028864652, 0.1342229, 0.003843256, 0.1056092, 0.27647784, 0.02083697, 0.102532916, 0.09322248, 0.016921647, 0.025696727, 0.0332835, 0.022939976, 0.041632846, 0.7835]","[5.62185893e-02 2.85597779e-01 3.49858899e-01 2.09991391e-01
 7.62371333e-02 1.84905245e-02 3.16860622e-03 3.97083597e-04
 3.72020838e-05 2.64274592e-06 1.43560451e-07 5.98748705e-09
 1.91706978e-10 4.69149893e-12 8.71694210e-14 1.47798440e-15
 2.75821033e-16 2.03830008e-16 1.52655666e-16 1.31838984e-16
 1.76941795e-16]",129510.19
3900591,27,"[0.024609007, 0.035886627, 0.031780288, 0.025678137, 0.012781352, 0.22743501, 0.05210939, 0.028330024, 0.08603722, 0.07658533, 0.15447496, 0.0062770993, 0.042910684, 0.006106727, 0.5243198, 0.050554447, 0.09832551, 0.0313798, 0.05244237, 0.3200608, 0.037672095, 0.07144211, 0.022752915, 0.48587784, 0.0062947473, 0.07954268, 0.037672494]","[4.22152081e-02 1.67573288e-01 2.79584415e-01 2.62364390e-01
 1.57580479e-01 6.54376126e-02 1.97907091e-02 4.52375284e-03
 8.03081303e-04 1.12995754e-04 1.27944069e-05 1.17912287e-06
 8.91782157e-08 5.56646173e-09 2.87741638e-10 1.23343932e-11
 4.38325591e-13 1.30537942e-14 4.90926744e-16 1.84639630e-16
 1.75207071e-16 1.73472348e-16 1.62630326e-16 1.77863366e-16
 2.49800181e-16 2.63677968e-16 2.23779328e-16 2.43294968e-16]",149808.93
