match_id,shot_amnt,shot_xgs,poi_bin_pmf,execution_time_ns
3901178,26,"[0.06941039, 0.0186107, 0.15630959, 0.083843, 0.21321876, 0.03857246, 0.055399492, 0.087260224, 0.009511006, 0.40091333, 0.28040385, 0.25082335, 0.25762916, 0.06670131, 0.06578606, 0.040220506, 0.04309412, 0.12953685, 0.019310655, 0.010744672, 0.05378233, 0.032325063, 0.05554306, 0.16596779, 0.028370284, 0.031095805]","[0.05020149058603322, 0.17086355620372826, 0.2643071160089058, 0.24783291150572284, 0.15842771797726124, 0.07360170843339639, 0.02586408594976112, 0.007064057455030236, 0.00152893521100736, 0.0002660153468287339, 3.7603082359303214e-05, 4.3525038083314225e-06, 4.148188368034034e-07, 3.266774008822552e-08, 2.1293957225037877e-09, 1.1487298863140111e-10, 5.118371452467332e-12, 1.8759598244512801e-13, 5.6191032773023224e-15, 1.3625109009697447e-16, 2.638929926798093e-18, 4.006501642683898e-20, 4.641746340933562e-22, 3.9426993095635576e-24, 2.3025921342362904e-26, 8.218119571974104e-29, 1.3440139271691373e-31]",58322.61
3901260,27,"[0.061407533, 0.058513843, 0.11437155, 0.13995937, 0.04904573, 0.20480949, 0.22780086, 0.044695232, 0.0349307, 0.097080335, 0.0067463852, 0.22996742, 0.10175288, 0.03592749, 0.051339485, 0.03234055, 0.039626617, 0.080461144, 0.05089351, 0.13929072, 0.20919935, 0.06441041, 0.2369258, 0.3499903, 0.041594952, 0.068886794, 0.08241685]","[0.043121814013490176, 0.1505532989728081, 0.2446028477209888, 0.24645021485548468, 0.17310055531076335, 0.09031289412644675, 0.03641454119643712, 0.01165423887864183, 0.003017267023949876, 0.0006407353395032171, 0.00011275161049204756, 1.6565686556944517e-05, 2.0429637138468023e-06, 2.1222759924037068e-07, 1.8605576328845456e-08, 1.3769283315137475e-09, 8.590919794877535e-11, 4.505191301342252e-12, 1.9758891598495213e-13, 7.194267756026047e-15, 2.1521407260889678e-16, 5.2135729915633705e-18, 1.0022845805020598e-19, 1.4853633595471039e-21, 1.6246599476602874e-23, 1.2225295015399115e-25, 5.561736261738486e-28, 1.1203449222793801e-30]",63559.64
3829470,24,"[0.034954578, 0.138583, 0.076472215, 0.07193716, 0.039820284, 0.07318618, 0.021261884, 0.08069869, 0.016000219, 0.18348692, 0.082465544, 0.041643653, 0.07884528, 0.10886381, 0.04312429, 0.008862081, 0.28303942, 0.02208787, 0.0803185, 0.044710446, 0.009858543, 0.16559222, 0.009570105, 0.036053255]","[0.1524585384456888, 0.30955367102742526, 0.2876998511497168, 0.16340693527917535, 0.0638254871187943, 0.01827672091883276, 0.00399179217175377, 0.0006826757761187114, 9.308858731404448e-05, 1.0248878438531733e-05, 9.189105446023798e-07, 6.745991608745302e-08, 4.066458137844907e-09, 2.0136745900637346e-10, 8.17693024256231e-12, 2.7116447942104337e-13, 7.29469365299335e-15, 1.5764037622921757e-16, 2.6994005795736693e-18, 3.593643337825819e-20, 3.620432471394464e-22, 2.652415488815385e-24, 1.3260278938674574e-26, 4.025391573894119e-29, 5.572898459789425e-32]",49980.74
3901259,27,"[0.03965849, 0.12084835, 0.087109014, 0.48942056, 0.017895669, 0.59412223, 0.031143585, 0.008971746, 0.044663046, 0.019080615, 0.14046036, 0.026846822, 0.049680594, 0.056336395, 0.033778448, 0.04843489, 0.0366993, 0.11290819, 0.12779607, 0.028266786, 0.19809291, 0.051857408, 0.7835, 0.048629407, 0.034887582, 0.07417059, 0.1848847]","[0.008041515729487978, 0.06326127242687847, 0.182911442426614, 0.2718406044085866, 0.2429129408351274, 0.14455016611418264, 0.061291131426747976, 0.01939154150787074, 0.004728995813374291, 0.0009100865089742283, 0.0001406342507446056, 1.7676613858811884e-05, 1.8245103483919e-06, 1.5570524272887657e-07, 1.1037080612466506e-08, 6.514817565656185e-10, 3.204144065437286e-11, 1.311288364209063e-12, 4.4499617408526797e-14, 1.2448662058027807e-15, 2.845347758036319e-17, 5.246123424248169e-19, 7.661602859609052e-21, 8.632597708024054e-23, 7.212874630680224e-25, 4.191984274228557e-27, 1.5058101376430283e-29, 2.5035206326276196e-32]",62414.74
3901263,26,"[0.071490705, 0.021571811, 0.19837026, 0.02750621, 0.06529812, 0.18725593, 0.120717265, 0.16534251, 0.25861478, 0.06546724, 0.048839413, 0.05929529, 0.13121748, 0.04706237, 0.06360274, 0.038156595, 0.2957464, 0.15757333, 0.20235007, 0.029101573, 0.10910237, 0.009010856, 0.09841285, 0.15485, 0.01305324, 0.026277114]","[0.05421755600530188, 0.17384856439953614, 0.26009348627447426, 0.24164273744972659, 0.15652676923500325, 0.07523889118689217, 0.027887205690100624, 0.008176098999034374, 0.0019299215330808258, 0.00037137604968847824, 5.877657417406873e-05, 7.697378943892837e-06, 8.373280759461497e-07, 7.58058896442746e-08, 5.712839132179875e-09, 3.5784549622367873e-10, 1.857037555822625e-11, 7.942611758211536e-13, 2.778781758603262e-14, 7.869878398617312e-16, 1.7787478603526763e-17, 3.1460550794644377e-19, 4.235270051910882e-21, 4.1654321834725226e-23, 2.80353138746468e-25, 1.1459189199610054e-27, 2.1281089087648428e-30]",57972.99
3900594,17,"[0.35750392, 0.111445025, 0.059091218, 0.013084128, 0.02591435, 0.13580132, 0.018804515, 0.057247642, 0.17723618, 0.043789897, 0.17242329, 0.09211488, 0.031324424, 0.31719494, 0.022128481, 0.06659079, 0.028513677]","[0.1431131944343215, 0.31667670303830986, 0.3013904858929806, 0.16434157607004926, 0.05777565299073629, 0.013958542962431222, 0.002408881314580428, 0.0003042813253023298, 2.856260413836931e-05, 2.008927660649744e-06, 1.0611875884734386e-07, 4.195222028264692e-09, 1.2285500071684897e-10, 2.6141634678399814e-12, 3.910119456627767e-14, 3.8799873225870015e-16, 2.2833754045150416e-18, 6.00556171903688e-21]",26546.43
3900587,28,"[0.021881318, 0.008362067, 0.042593013, 0.05458542, 0.014032837, 0.00909434, 0.07928638, 0.0057000206, 0.035654612, 0.012333253, 0.28563347, 0.028131904, 0.064294, 0.0075408537, 0.01068334, 0.027221842, 0.038870793, 0.09905471, 0.027760293, 0.023561746, 0.33091214, 0.2059283, 0.12322949, 0.033154044, 0.02691908, 0.026807165, 0.042260565, 0.02652299]","[0.15169746817958263, 0.3185679698855392, 0.29402302015138654, 0.15967262514511904, 0.05774137801047715, 0.01492284872596115, 0.0028865980242744568, 0.00043169494484551557, 5.1113444012758855e-05, 4.877456480229731e-06, 3.8020345777928886e-07, 2.445946812342621e-08, 1.3085852166715263e-09, 5.854127413905043e-11, 2.197859998401926e-12, 6.938347111657972e-14, 1.8423615568962614e-15, 4.1096535248120624e-17, 7.678230860021215e-19, 1.195743349288882e-20, 1.5412246406972731e-22, 1.6280677161742963e-24, 1.390578032525491e-26, 9.426190227275565e-29, 4.938755243557739e-31, 1.9230323446981462e-33, 5.2242635316492244e-36, 8.813254785256904e-39, 6.932497846555831e-42]",66645.72
3900541,12,"[0.023086995, 0.13473843, 0.054808572, 0.05956242, 0.58659923, 0.19119313, 0.14112061, 0.0063977437, 0.006243981, 0.5580257, 0.8358014, 0.06689614]","[0.014427468797460657, 0.12346315439795817, 0.3144690342948243, 0.335087203111886, 0.16341947578087815, 0.042278788301459834, 0.00627467312949015, 0.0005508424483364681, 2.8511615254203906e-05, 8.354009026352201e-07, 1.2636775261587285e-08, 8.457398591783634e-11, 2.0032294429676975e-13]",14417.13
3900596,20,"[0.020602267, 0.008338305, 0.067427166, 0.008410114, 0.16374204, 0.07670023, 0.028864652, 0.1342229, 0.003843256, 0.1056092, 0.27647784, 0.02083697, 0.102532916, 0.09322248, 0.016921647, 0.025696727, 0.0332835, 0.022939976, 0.041632846, 0.7835]","[0.056218589273257236, 0.2855977791467583, 0.3498588987975759, 0.20999139056503607, 0.07623713327886111, 0.018490524549246108, 0.0031686062177947, 0.0003970835973235963, 3.7202083800066625e-05, 2.6427459226725916e-06, 1.4356045110739805e-07, 5.987486805809579e-09, 1.9170675947992608e-10, 4.691257841258431e-12, 8.690859506077334e-14, 1.1993598943492255e-15, 1.2019192152906919e-17, 8.402622665134521e-20, 3.8359249912268947e-22, 1.012077997194563e-24, 1.1472994806497027e-27]",35641.92
3900591,27,"[0.024609007, 0.035886627, 0.031780288, 0.025678137, 0.012781352, 0.22743501, 0.05210939, 0.028330024, 0.08603722, 0.07658533, 0.15447496, 0.0062770993, 0.042910684, 0.006106727, 0.5243198, 0.050554447, 0.09832551, 0.0313798, 0.05244237, 0.3200608, 0.037672095, 0.07144211, 0.022752915, 0.48587784, 0.0062947473, 0.07954268, 0.037672494]","[0.04221520805483812, 0.1675732881797589, 0.279584415051952, 0.2623643897044471, 0.15758047880777434, 0.06543761263321136, 0.019790709099491852, 0.004523752837061237, 0.0008030813027097146, 0.00011299575381110118, 1.2794406870939104e-05, 1.1791228690804426e-06, 8.91782154986925e-08, 5.566461560500824e-09, 2.877414539837336e-10, 1.2334198474581366e-11, 4.3813901541599556e-13, 1.2862047330338712e-14, 3.104731560638064e-16, 6.115510293540231e-18, 9.723531239328244e-20, 1.2294007466009714e-21, 1.2108444655383625e-23, 9.02559957239031e-26, 4.882061051240586e-28, 1.7940676096231114e-30, 3.977344870312921e-33, 3.989293400845605e-36]",62966.62
