id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
427248.0,50.0,Goal,0.9009999847412108,0.5429999923706055,0.4317690134048462,Filip Djuricic,a,1233.0,OpenPlay,2021.0,RightFoot,16756.0,Verona,Sassuolo,2.0,3.0,2021-08-21 16:30:00,Francesco Caputo,Throughball
427249.0,57.0,BlockedShot,0.785,0.5420000076293945,0.1003160029649734,Giacomo Raspadori,a,7500.0,DirectFreekick,2021.0,RightFoot,16756.0,Verona,Sassuolo,2.0,3.0,2021-08-21 16:30:00,,Standard
427250.0,58.0,MissedShots,0.7880000305175782,0.7319999694824219,0.0184209998697042,Jeremie Boga,a,3544.0,FromCorner,2021.0,RightFoot,16756.0,Verona,Sassuolo,2.0,3.0,2021-08-21 16:30:00,Giacomo Raspadori,Pass
427251.0,61.0,SavedShot,0.7559999847412109,0.5420000076293945,0.0416356995701789,Jeremie Boga,a,3544.0,OpenPlay,2021.0,RightFoot,16756.0,Verona,Sassuolo,2.0,3.0,2021-08-21 16:30:00,Maxime Lopez,Pass
427252.0,63.0,MissedShots,0.8440000152587891,0.474000015258789,0.1513029932975769,Filip Djuricic,a,1233.0,OpenPlay,2021.0,RightFoot,16756.0,Verona,Sassuolo,2.0,3.0,2021-08-21 16:30:00,Davide Frattesi,TakeOn
427253.0,66.0,MissedShots,0.7580000305175781,0.469000015258789,0.0258706994354724,Davide Frattesi,a,4981.0,OpenPlay,2021.0,LeftFoot,16756.0,Verona,Sassuolo,2.0,3.0,2021-08-21 16:30:00,Francesco Caputo,Pass
427254.0,68.0,BlockedShot,0.8159999847412109,0.4670000076293945,0.1393440067768097,Davide Frattesi,a,4981.0,OpenPlay,2021.0,RightFoot,16756.0,Verona,Sassuolo,2.0,3.0,2021-08-21 16:30:00,Francesco Caputo,Throughball
427255.0,68.0,SavedShot,0.875999984741211,0.479000015258789,0.1676660031080246,Davide Frattesi,a,4981.0,OpenPlay,2021.0,LeftFoot,16756.0,Verona,Sassuolo,2.0,3.0,2021-08-21 16:30:00,,TakeOn
427257.0,75.0,BlockedShot,0.8209999847412109,0.4779999923706055,0.0849065035581588,Filip Djuricic,a,1233.0,OpenPlay,2021.0,RightFoot,16756.0,Verona,Sassuolo,2.0,3.0,2021-08-21 16:30:00,Hamed Junior Traore,Pass
427258.0,76.0,Goal,0.8519999694824218,0.6769999694824219,0.0587665997445583,Hamed Junior Traore,a,6986.0,OpenPlay,2021.0,RightFoot,16756.0,Verona,Sassuolo,2.0,3.0,2021-08-21 16:30:00,Jeremie Boga,Pass
427259.0,78.0,MissedShots,0.865999984741211,0.4359999847412109,0.0923241004347801,Francesco Caputo,a,6980.0,OpenPlay,2021.0,LeftFoot,16756.0,Verona,Sassuolo,2.0,3.0,2021-08-21 16:30:00,,
427203.0,1.0,MissedShots,0.9309999847412108,0.43,0.0972545966506004,Stefan de Vrij,h,1541.0,SetPiece,2021.0,RightFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Alessandro Bastoni,HeadPass
427204.0,5.0,Goal,0.8980000305175782,0.56,0.1156969964504242,Milan Skriniar,h,1223.0,FromCorner,2021.0,Head,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Hakan Calhanoglu,Aerial
