ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.441121,,,,,,,,,,,,03b9631c-89a9-46b7-acfd-bd7ca7c4c2a6,115,,"[105.7, 38.2]",3775567,2,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Samantha May Kerr,4961.0,Center Forward,9,Chelsea FCW,971,"['9022a97d-28aa-4d98-bddc-58ee61cbd4a6', 'ad2d27b8-2f2e-489d-8dfe-b5472f644e0e']",45,,Right Foot,"[115.4, 39.8, 0.2]",,"[{'location': [84.0, 27.3], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [101.5, 36.9], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 43.6], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.1, 37.6], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.7, 29.4], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.8, 34.6], 'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.5, 27.5], 'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.7, 40.1], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.8, 46.9], 'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [74.4, 19.2], 'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [94.4, 17.9], 'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.6, 30.7], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,,Saved,0.18213865,Normal,Open Play,,,,Chelsea FCW,971,00:02:45.137,Shot,True
,,,,,,,,,,,,,,,0.585772,,,,,,,,,,,,d68aaa2d-5528-4ee9-95dc-1401a2327bc3,181,,"[106.9, 27.4]",3775567,4,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Samantha May Kerr,4961.0,Center Forward,13,Chelsea FCW,971,['6045e394-44b3-4dac-bc18-8f3af3b65cae'],1,,Left Foot,"[120.0, 35.5, 1.6]",,"[{'location': [101.6, 40.1], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [89.1, 27.0], 'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.3, 29.2], 'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.7, 34.8], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",69909e4c-debf-45d1-bb2c-6ab63647668a,True,Off T,0.1718369,Normal,Open Play,,,,Chelsea FCW,971,00:04:01.652,Shot,
,,,,,,,,,,,,,,,1.523787,,,,,,,,,,,,a70cf05e-b138-473d-8830-237b621ba748,198,,"[91.3, 40.1]",3775567,5,True,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Christen Annemarie Press,6817.0,Center Forward,15,Chelsea FCW,971,['114e3742-0ee4-46ed-a1de-5cd6e2cd094c'],21,,Right Foot,"[120.0, 47.3, 1.3]",True,"[{'location': [114.6, 40.7], 'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.0, 36.9], 'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [85.8, 41.8], 'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [84.7, 46.6], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [96.9, 37.4], 'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.4, 27.9], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [87.1, 57.9], 'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [87.0, 60.1], 'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.7, 45.1], 'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,,Off T,0.03531338,Half Volley,Open Play,,,,Manchester United,1475,00:05:21.699,Shot,
,,,,,,,,,,,,,,,0.120843,,,,,,,,,,,,372dc575-1288-4d30-af8b-60fe05f28ecc,349,,"[104.8, 52.7]",3775567,8,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pernille Mosegaard Harder,10108.0,Center Attacking Midfield,26,Chelsea FCW,971,['15f778c1-180a-423b-a926-3fc4624e6674'],58,,Right Foot,"[105.6, 40.5]",True,"[{'location': [119.4, 42.9], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.1, 55.6], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [80.3, 28.9], 'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [95.6, 47.8], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [107.2, 50.4], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 48.4], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [119.1, 57.4], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.4, 48.7], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.3, 44.0], 'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.4, 39.3], 'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [120.0, 64.5], 'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [114.9, 50.6], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.8, 41.3], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.3, 41.8], 'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,Wayward,0.034891177,Half Volley,Open Play,,,,Chelsea FCW,971,00:08:58.484,Shot,
,,,,,,,,,,,,,,,0.201588,,,,,,,,,,,,c35359cc-8631-452b-9a5d-1c0af246f470,422,,"[100.0, 54.0]",3775567,10,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Pernille Mosegaard Harder,10108.0,Center Attacking Midfield,29,Chelsea FCW,971,"['4338c134-bdf9-4ab3-bd14-0bb7f4a16b49', '54566094-bac5-412d-805b-232739987332']",54,,Right Foot,"[103.4, 52.0]",,"[{'location': [119.2, 40.9], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.7, 25.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.8, 26.7], 'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.5, 60.7], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.2, 57.5], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.6, 51.8], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [103.4, 51.9], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.3, 45.3], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [88.1, 31.9], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.6, 39.1], 'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.9, 58.4], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.3, 64.2], 'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [91.9, 28.9], 'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",fe49d662-417f-4db3-8386-5673162ba436,,Blocked,0.028928753,Normal,Open Play,,,,Chelsea FCW,971,00:10:54.224,Shot,
,,,,,,,,,,,,,,,0.021701,,,,,,,,,,,,3313635a-fdb2-404f-9009-18c030ae3c1a,464,,"[108.4, 52.1]",3775567,11,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pernille Mosegaard Harder,10108.0,Center Attacking Midfield,31,Chelsea FCW,971,"['0e411914-9246-44db-8494-8f13c45a7805', '40d7829d-b134-4c4e-8d9e-0564a7b20cd1', '68b05664-8cc1-4913-b447-100fea876308']",36,,Left Foot,"[109.4, 51.9]",,"[{'location': [112.3, 35.0], 'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.0, 36.6], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [119.3, 40.4], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [80.0, 29.4], 'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.6, 53.8], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.0, 56.4], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.4, 52.0], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.9, 49.6], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.2, 38.6], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.8, 40.3], 'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.4, 53.0], 'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [107.5, 58.0], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.0, 32.7], 'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",6f710d25-cedd-43ad-b2c9-c5f112ee23b0,,Blocked,0.068296306,Normal,Open Play,,,,Chelsea FCW,971,00:11:36.170,Shot,True
,,,,,,,,,,,,,,,1.234998,,,,,,,,,,,,d641b071-e77a-4407-bfac-4c48faed2a90,524,,"[104.0, 33.7]",3775567,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Samantha May Kerr,4961.0,Center Forward,34,Chelsea FCW,971,"['2d752c19-6644-4ad4-ad05-741f3713e89a', '2d93ad56-7475-4ec0-9eb1-c17ad3983e1f', '9901d23f-6e6e-413a-a8ad-2b40147ebfaf']",44,,Right Foot,"[120.0, 45.1, 1.5]",,"[{'location': [112.5, 43.6], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.0, 28.1], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.9, 34.7], 'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.1, 39.8], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [88.6, 28.8], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.6, 36.9], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [104.7, 32.6], 'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.3, 33.7], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.9, 46.5], 'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [102.9, 40.3], 'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [112.8, 30.9], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.9, 32.8], 'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",19a0bbbc-ab4d-45b3-a7c8-b10c7f97552a,,Off T,0.0761153,Normal,Open Play,,,,Chelsea FCW,971,00:13:44.004,Shot,True
,,,,,,,,,,,,,,,0.654998,,,,,,,,,,,,01e82682-25c9-4c02-ba8d-e2dcb393676f,558,,"[103.1, 30.4]",3775567,14,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Samantha May Kerr,4961.0,Center Forward,36,Chelsea FCW,971,['5d572076-d965-434b-ac3a-ef2eaad6628a'],42,,Right Foot,"[120.0, 35.5, 1.6]",True,"[{'location': [89.0, 32.1], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.8, 39.2], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.6, 38.0], 'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [90.7, 24.9], 'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.9, 31.6], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",39ae91a2-17f8-4593-9d66-e52e946f7f08,,Off T,0.32303575,Normal,Open Play,,,,Chelsea FCW,971,00:14:42.868,Shot,
,,,,,,,,,,,,,,,0.791474,,,,,,,,,,,,5bdd474a-0d2c-4a95-b129-928a463e52b8,941,,"[104.6, 49.9]",3775567,26,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Christen Annemarie Press,6817.0,Center Forward,60,Manchester United,1475,['bf236df3-d9f4-4f81-a346-8f3cc9cc37c6'],1,,Right Foot,"[120.0, 34.6, 0.9]",,"[{'location': [106.1, 66.4], 'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.3, 40.1], 'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.4, 42.0], 'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.9, 61.7], 'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.7, 49.6], 'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 49.0], 'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.4, 39.0], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [98.3, 51.9], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [95.9, 52.2], 'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [86.3, 65.8], 'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",,,Off T,0.06834885,Half Volley,Open Play,,,,Manchester United,1475,00:26:01.474,Shot,
,,,,,,,,,,,,,,,0.36057,,,,,,,,,,,,e754f519-9003-4ba9-a36b-196abc3f00ff,1027,,"[113.9, 50.6]",3775567,28,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Francesca Kirby,4641.0,Right Wing,65,Chelsea FCW,971,['4ce21981-e2e6-4244-8404-9a302c852a07'],29,,Right Foot,"[119.3, 44.9, 0.5]",,"[{'location': [80.2, 27.7], 'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [113.7, 54.0], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.5, 45.0], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [114.8, 49.2], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.1, 44.8], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.5, 40.2], 'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 37.9], 'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.9, 44.6], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.8, 47.0], 'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [111.8, 48.2], 'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [102.8, 40.1], 'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [114.6, 40.3], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.3, 34.2], 'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",77463eda-f8c3-4f3f-8552-66f35e51b62a,,Saved,0.048031766,Normal,Open Play,,,,Chelsea FCW,971,00:28:29.877,Shot,
