ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,2.695,,,,,,,,,,,,8c6f4a27-e8b7-4aa9-9644-72aa222c5890,56,,"[112.0, 35.0]",7482,1,,,,,,,,,,,,,,,,,,,,,1,From Corner,Abby Erceg,5037.0,Left Center Back,6,North Carolina Courage,766,"['753a9ee2-eeed-461d-b39e-034a0209b903', '8fd31a81-0f3b-46ab-a78a-b792a29dfb22']",30,True,Head,,"[120.0, 43.8, 3.7]",,"[{'location': [120.0, 44.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [116.0, 34.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [113.0, 40.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 43.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [113.0, 45.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 49.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.0, 42.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [113.0, 35.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [108.0, 35.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.0, 41.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [115.0, 46.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [109.0, 44.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [105.0, 35.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [109.0, 24.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",f6a91cdf-bd1e-47be-8270-2941e61f4f00,,,Off T,0.105560675,Normal,Open Play,,,,North Carolina Courage,766,00:01:30.554,Shot,True
,,,,,,,,,,,1.273,,,,,,,,,,,,8378da16-108c-4464-91e1-512535e5f9ce,138,,"[95.0, 41.0]",7482,3,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Denise O'Sullivan,5084.0,Right Center Midfield,11,North Carolina Courage,766,['104d55ed-291c-4a50-9ede-3470f0da1fc9'],2,,Right Foot,,"[119.0, 38.0, 0.5]",,"[{'location': [96.0, 28.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.0, 51.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [106.0, 32.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 44.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 38.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [97.0, 45.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.0, 41.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [86.0, 15.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.0, 49.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [106.0, 46.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [88.0, 24.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [103.0, 27.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",12276406-3040-4d09-ac7f-f22bb37e1746,,,Saved,0.0338279,Normal,Open Play,,,,North Carolina Courage,766,00:03:02.002,Shot,
,,,,,,,,,,,0.399,,,,,,,,,,,,f27fe559-ff3d-4b5a-a026-8aeb75d5a349,224,,"[113.0, 45.0]",7482,4,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Meggie Dougherty Howard,5026.0,Left Center Midfield,15,Washington Spirit,759,['83dc1400-aee2-4734-a01b-b98e57fbb824'],27,,Left Foot,,"[116.0, 41.0]",,"[{'location': [110.0, 38.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [119.0, 41.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 46.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.0, 38.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 42.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 45.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 57.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [112.0, 53.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [118.0, 62.0], 'player': {'id': 6814, 'name': ""Heather O''Reilly""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.0, 63.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [109.0, 47.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",1fe7c27c-9e7d-4cc9-934c-759284ef957b,,,Wayward,0.10189198,Backheel,Open Play,,,,Washington Spirit,759,00:04:27.348,Shot,
,,,,,,,,,,,0.776,,,,,,,,,,,,81494978-5fd5-4d8d-862e-81ab389b717f,309,,"[93.0, 49.0]",7482,6,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Merritt Mathias,5083.0,Right Back,19,North Carolina Courage,766,"['9f932035-eed3-4af5-b950-55ce9211a61c', 'b59d0ccc-768b-4936-9f01-7d7d21497cc1']",13,,Left Foot,,"[106.0, 43.0]",True,"[{'location': [106.0, 47.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [104.0, 40.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [111.0, 34.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 43.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [113.0, 39.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.0, 30.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.0, 32.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",,,,Blocked,0.023438973,Normal,Open Play,,,,North Carolina Courage,766,00:06:13.129,Shot,
,,,,,,,,,,,0.829,,,,,,,,,,,,bb4599fc-8556-4031-944f-a2182711d954,471,,"[111.0, 55.0]",7482,9,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Taylor Smith,4941.0,Right Wing Back,26,Washington Spirit,759,['c14bf84e-e5b2-45ab-b132-ae26c0f46b36'],19,,Right Foot,,"[117.0, 43.4, 0.4]",,"[{'location': [118.0, 42.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 50.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 53.0], 'player': {'id': 6814, 'name': ""Heather O''Reilly""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",573459f4-b5cc-4cc2-a650-ded4df80d31a,True,,Saved,0.06363491,Normal,Open Play,,,,Washington Spirit,759,00:09:19.446,Shot,
,,,,,,,,,,,0.758,,,,,,,,,,,,7184d69f-c961-4174-b942-fa2efca1635d,546,,"[118.0, 41.0]",7482,11,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Débora Cristiane de Oliveira,5044.0,Left Midfield,32,North Carolina Courage,766,['6498bd7a-2bbd-4934-999c-c434dc516931'],7,,Right Foot,,"[120.0, 41.9, 0.4]",,"[{'location': [117.0, 43.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [119.0, 38.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.0, 32.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.0, 33.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [110.0, 45.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [119.0, 29.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",,,True,Goal,0.6637888,Normal,Open Play,,,,North Carolina Courage,766,00:11:07.290,Shot,
,,,,,,,,,,,0.705,,,,,,,,,,,,3005afdb-2744-4fff-b73e-643801e8e36c,826,,"[106.0, 53.0]",7482,16,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Crystal Alyssia Dunn Soubrier,5088.0,Right Midfield,46,North Carolina Courage,766,"['7de07a97-68c9-4051-b0e7-bf6457b4a742', 'e04c6256-47bc-4c8a-8082-1c0cf85ad37c']",41,,Left Foot,,"[120.0, 43.0, 1.3]",,"[{'location': [120.0, 43.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.0, 52.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.0, 38.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 41.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [105.0, 41.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [105.0, 43.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [79.0, 14.0], 'player': {'id': 6814, 'name': ""Heather O''Reilly""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [111.0, 36.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [113.0, 44.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [95.0, 23.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [101.0, 32.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.0, 48.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 53.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}]",,,,Saved,0.06314421,Normal,Open Play,,,,North Carolina Courage,766,00:16:41.887,Shot,True
,,,,,,,,,,,1.015,,,,,,,,,,,,da8eaf7c-58c0-46cc-9d67-eefd161aef23,1036,,"[102.0, 46.0]",7482,21,,,,,,,,,,,,,,,,,,,,,1,From Counter,Crystal Alyssia Dunn Soubrier,5088.0,Right Midfield,56,North Carolina Courage,766,['cca6649d-409f-40c7-96f6-0f71e8ad94e8'],38,,Right Foot,,"[120.0, 35.0, 1.1]",,"[{'location': [119.0, 42.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 46.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 43.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [106.0, 40.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [107.0, 32.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 28.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [107.0, 35.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [98.0, 30.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",54836cc8-10d0-4d09-8457-159676eeaf39,,,Off T,0.08257184,Normal,Open Play,,,,North Carolina Courage,766,00:21:38.591,Shot,
,,,,,,,,,,,0.824,,,,,,,,,,,,1c020a1c-8c09-414f-950d-7d0d7e2b8e7b,1288,,"[96.0, 42.0]",7482,27,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lynn Raenie Williams,5055.0,Left Center Forward,64,North Carolina Courage,766,"['cd74c535-e221-4103-8eb9-5acc1f054e69', 'e13e9216-3e03-436f-9b83-551920df0b48']",17,,Left Foot,,"[104.0, 42.0]",,"[{'location': [108.0, 38.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [107.0, 37.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.0, 36.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 45.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 42.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [105.0, 51.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [99.0, 51.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [98.0, 35.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [109.0, 34.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",4633bac2-60c3-4102-a98d-6e6f433cc618,,,Blocked,0.05240073,Normal,Open Play,,,,North Carolina Courage,766,00:27:17.885,Shot,
,,,,,,,,,,,0.539,,,,,,,,,,,,ace82c47-19b3-4831-9669-e6303323a30c,1760,,"[101.0, 44.0]",7482,40,,,,,,,,,,,,,,,,,,,,,1,Regular Play,McCall Zerboni,5091.0,Left Center Midfield,82,North Carolina Courage,766,"['d1f1ae2b-1609-4217-ad5f-42fac5c484ad', 'f37f35ab-2651-445d-8919-e4d0afdd5b2d']",30,,Right Foot,,"[106.0, 46.0]",,"[{'location': [104.0, 41.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.0, 38.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [106.0, 47.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [105.0, 44.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 40.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [107.0, 30.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [91.0, 27.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [85.0, 12.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [79.0, 15.0], 'player': {'id': 6814, 'name': ""Heather O''Reilly""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [119.0, 42.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 53.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [106.0, 38.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [105.0, 35.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [98.0, 40.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",,,,Blocked,0.07491938,Normal,Open Play,,,,North Carolina Courage,766,00:40:30.934,Shot,
