50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.917,,,,,,,,,,,,,,,46cae90f-a5bb-4c29-b1b6-a8a9a2b9ff51,97,,"[99.0, 31.0]",7475,1,,,,,,,,,,,,,,,,,,,1,From Counter,Samantha May Kerr,4961.0,Left Center Forward,8,Chicago Red Stars,761,['b17ef3f7-6411-4e93-ab67-9973c8f30ab7'],47,,Right Foot,,"[117.0, 38.1, 1.3]",,"[{'location': [92.0, 32.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.0, 40.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 27.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 31.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 44.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.0, 43.0], 'player': {'id': 6812, 'name': 'Vanessa DiBernardo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",84f1c05e-a779-4964-bd68-f2c79e834dc0,,Saved,0.088402815,Normal,Open Play,,,,Chicago Red Stars,761,00:01:47.297,Shot,
,,,,,,,,,,,,,1.79,,,,,,,,,,,,,,,7aa45d85-4a32-4282-8777-f09cdeefea42,198,,"[116.0, 34.0]",7475,4,,,,,,,,,,,,,,,,,,,1,From Throw In,Débora Cristiane de Oliveira,5044.0,Left Wing,15,North Carolina Courage,766,['284c2d8d-ad08-4fad-80e2-665d034b567b'],14,,Right Foot,,"[120.0, 35.4, 2.0]",True,"[{'location': [98.0, 12.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [109.0, 45.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [109.0, 25.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.0, 42.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 29.0], 'player': {'id': 6811, 'name': 'Julie Beth Ertz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.0, 24.0], 'player': {'id': 6813, 'name': 'Morgan Paige Gautrat'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.0, 16.0], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [113.0, 22.0], 'player': {'id': 6812, 'name': 'Vanessa DiBernardo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.0, 28.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 37.0], 'player': {'id': 4955, 'name': 'Sarah Gorden'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 38.0], 'player': {'id': 5100, 'name': 'Alyssa Michele Naeher'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",3658e3d4-7f19-413d-9dea-a569d566e588,,Off T,0.2380672,Normal,Open Play,,,,North Carolina Courage,766,00:04:14.607,Shot,
,,,,,,,,,,,,,0.711,,,,,,,,,,,,,,,378a35b4-398b-4800-8be8-1c4afe6a46e6,225,,"[104.0, 38.0]",7475,4,,,,,,,,,,,,,,,,,,,1,Regular Play,Jessica McDonald,5034.0,Left Center Forward,17,North Carolina Courage,766,"['59c43955-72f6-40f5-af05-93b6bdefc83d', 'b0e53a8b-b094-4f8b-a0df-49e71a5ff2cb']",59,,Right Foot,,"[118.0, 39.9, 0.2]",,"[{'location': [100.0, 51.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.0, 40.0], 'player': {'id': 5100, 'name': 'Alyssa Michele Naeher'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.0, 32.0], 'player': {'id': 6811, 'name': 'Julie Beth Ertz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.0, 42.0], 'player': {'id': 4955, 'name': 'Sarah Gorden'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 40.0], 'player': {'id': 4983, 'name': 'Brooke Elby'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",5b46e4c1-873a-4e17-b6e5-5b6e7e856bcd,,Saved,0.23076355,Normal,Open Play,,,,North Carolina Courage,766,00:04:59.989,Shot,True
,,,,,,,,,,,,,0.276,,,,,,,,,,,,,,,cfb530f1-5fa5-4ad0-a26d-4be86265891c,253,,"[97.0, 26.0]",7475,5,,,,,,,,,,,,,,,,,,,1,From Keeper,Samantha May Kerr,4961.0,Left Center Forward,18,Chicago Red Stars,761,"['6a6c2947-8e95-402c-b34d-1aabac96c260', '7fd3720d-ad6b-4a4a-a156-d445ad5a4338']",34,,Right Foot,,"[101.0, 27.0]",,"[{'location': [85.0, 43.0], 'player': {'id': 6812, 'name': 'Vanessa DiBernardo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [87.0, 31.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [92.0, 34.0], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [102.0, 21.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [95.0, 22.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.0, 28.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 35.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.0, 47.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 40.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",99e1b75b-9fda-44be-9632-492871453e68,,Blocked,0.026985496,Normal,Open Play,,,,Chicago Red Stars,761,00:05:34.620,Shot,
,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,6c055611-8e20-47d1-8563-9e75d0072986,258,,"[100.0, 41.0]",7475,5,,,,,,,,,,,,,,,,,,,1,From Keeper,Rosie White,4948.0,Right Center Forward,18,Chicago Red Stars,761,"['0318513e-f133-48f0-a975-45b2f1798f97', 'af247d7a-db51-49d5-af02-4dc333826ea9']",36,,Right Foot,,"[103.0, 41.0]",True,"[{'location': [116.0, 39.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.0, 45.0], 'player': {'id': 6812, 'name': 'Vanessa DiBernardo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.0, 34.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [94.0, 34.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.0, 24.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.0, 26.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 34.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 40.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 47.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",,,Blocked,0.08335145,Normal,Open Play,,,,Chicago Red Stars,761,00:05:36.477,Shot,
,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,2e8c85c2-e7a4-4ed1-8058-b011f62f924b,264,,"[91.0, 35.0]",7475,6,,,,,,,,,,,,,,,,,,,1,From Corner,Brooke Elby,4983.0,Right Back,19,Chicago Red Stars,761,"['674a34eb-adce-4ab3-83bd-1d4932970cae', 'd822a482-bb99-4806-998d-05e3face7adc']",14,,Right Foot,,"[108.0, 35.0]",True,"[{'location': [99.0, 49.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [108.0, 43.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [105.0, 46.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [113.0, 37.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.0, 36.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.0, 33.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [109.0, 46.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 43.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [109.0, 37.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [108.0, 33.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.0, 49.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.0, 37.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 33.0], 'player': {'id': 6813, 'name': 'Morgan Paige Gautrat'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.0, 41.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.0, 40.0], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [101.0, 41.0], 'player': {'id': 6811, 'name': 'Julie Beth Ertz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [95.0, 47.0], 'player': {'id': 6812, 'name': 'Vanessa DiBernardo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Blocked,0.020278582,Normal,Open Play,,,,Chicago Red Stars,761,00:06:14.304,Shot,
,,,,,,,,,,,,,1.407,,,,,,,,,,,,,,,afb1f803-2eb8-4791-9396-11f01da4871b,326,,"[85.0, 44.0]",7475,7,,,,,,,,,,,,,,,,,,,1,From Throw In,Vanessa DiBernardo,6812.0,Right Wing,24,Chicago Red Stars,761,['9be14a99-aef3-46e9-9d50-4e67fb6cbd34'],38,,Right Foot,,"[117.0, 37.8, 1.9]",,"[{'location': [117.0, 40.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.0, 25.0], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [96.0, 20.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.0, 30.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.0, 48.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [93.0, 51.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.0, 45.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [89.0, 41.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",db2cfd6c-52ed-4ed0-993d-b209e04e4d58,,Saved,0.014464613,Normal,Open Play,,,,Chicago Red Stars,761,00:07:38.181,Shot,
,,,,,,,,,,,,,0.881,,,,,,,,,,,,,,,005e3ba0-8cbb-464a-8994-440b91f343cb,345,,"[107.0, 49.0]",7475,8,,,,,,,,,,,,,,,,,,,1,From Counter,Samantha May Kerr,4961.0,Left Center Forward,29,Chicago Red Stars,761,"['33c15374-e9a0-4b97-913b-af26adc04bd3', '61f2664f-8d58-4434-90c6-d0e16fbd4096']",34,,Right Foot,,"[120.0, 43.6, 3.1]",,"[{'location': [116.0, 42.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 45.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",1e199a96-2fef-4024-8a4b-45e45cf3a4ae,True,Off T,0.19884911,Normal,Open Play,,,,Chicago Red Stars,761,00:08:34.566,Shot,True
,,,,,,,,,,,,,0.409,,,,,,,,,,,,,,,1f074110-17af-4cd5-a712-f85010690646,378,,"[88.0, 45.0]",7475,9,,,,,,,,,,,,,,,,,,,1,From Throw In,Vanessa DiBernardo,6812.0,Right Wing,32,Chicago Red Stars,761,"['391f7894-a36c-457b-b18f-19945d11dc28', 'd1e9ecfd-fb13-4fee-a2f4-0e28bfc80fc0']",52,,Right Foot,,"[99.0, 43.0]",,"[{'location': [117.0, 40.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.0, 24.0], 'player': {'id': 6813, 'name': 'Morgan Paige Gautrat'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [89.0, 42.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.0, 25.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.0, 33.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [100.0, 38.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 43.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 50.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.0, 47.0], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",25515833-49e0-4b21-87cf-24d4b2e5459a,,Blocked,0.023385447,Normal,Open Play,,,,Chicago Red Stars,761,00:09:52.345,Shot,
,,,,,,,,,,,,,1.687,,,,,,,,,,,,,,,a35b92be-8174-425f-a6da-b9cd8753789c,383,,"[84.0, 34.0]",7475,9,,,,,,,,,,,,,,,,,,,1,From Throw In,Julie Beth Ertz,6811.0,Right Center Midfield,32,Chicago Red Stars,761,['7b94fcc3-7c15-49cb-8d5b-3bf4a9598c49'],54,,Left Foot,,"[119.0, 49.1, 1.6]",,"[{'location': [85.0, 30.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [85.0, 37.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [89.0, 26.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [93.0, 31.0], 'player': {'id': 6813, 'name': 'Morgan Paige Gautrat'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [91.0, 47.0], 'player': {'id': 6812, 'name': 'Vanessa DiBernardo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [95.0, 27.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.0, 37.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [102.0, 29.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 40.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 44.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.0, 48.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.0, 40.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Off T,0.0068526575,Normal,Open Play,,,,Chicago Red Stars,761,00:09:54.445,Shot,
