50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.754914,,,,,,,,,,,,,14469904-2e95-4362-860e-58af90e3227d,516,,"[97.7, 33.9]",68346,11,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gabrielle Onguene,25616.0,Left Wing,37,Cameroon Women's,1208,['4eab66e4-61db-4313-a575-cd8f17333323'],43,,Right Foot,"[120.0, 45.6, 1.7]",,"[{'location': [118.7, 40.5], 'player': {'id': 25661, 'name': 'Erin Nayler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.5, 45.4], 'player': {'id': 25605, 'name': 'Gaelle Enganamouit'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.9, 59.2], 'player': {'id': 25628, 'name': 'Ajara Nchout'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [92.0, 61.7], 'player': {'id': 10714, 'name': 'Michaela Abam'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.8, 44.3], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [95.8, 48.1], 'player': {'id': 26098, 'name': 'Katie Duncan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [101.8, 33.2], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.7, 52.7], 'player': {'id': 25784, 'name': 'Anna Green'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.1, 34.4], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}]",58c31c48-5680-4392-b4b3-dcaa3115570f,,Off T,,0.06352114,Normal,Open Play,,,,Cameroon Women's,1208,00:11:43.195,Shot,
,,,,,,,,,,,,,,,,,1.870634,,,,,,,,,,,,,db35d066-3202-4145-afcd-f869e26da095,586,,"[80.2, 40.2]",68346,14,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Yvonne Patrice Leuko,25623.0,Left Back,44,Cameroon Women's,1208,['f2f1b554-879b-4e3a-a2b0-caebc4edcee9'],30,,Right Foot,"[120.0, 27.8, 1.9]",True,"[{'location': [86.2, 38.3], 'player': {'id': 25626, 'name': 'Raissa Feudjio Tchuanyo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [102.0, 30.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [108.8, 53.0], 'player': {'id': 25631, 'name': 'Jeannette Yango'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.6, 46.4], 'player': {'id': 25605, 'name': 'Gaelle Enganamouit'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.3, 36.5], 'player': {'id': 25616, 'name': 'Gabrielle Onguene'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.7, 22.2], 'player': {'id': 10714, 'name': 'Michaela Abam'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [84.2, 42.1], 'player': {'id': 26097, 'name': 'Augustine Sylvia Ejangue Siliki'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [105.2, 39.3], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.3, 50.8], 'player': {'id': 21062, 'name': 'Alexandra Riley'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [99.5, 51.8], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.4, 44.8], 'player': {'id': 25784, 'name': 'Anna Green'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.8, 40.2], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [99.4, 40.8], 'player': {'id': 26098, 'name': 'Katie Duncan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.1, 29.5], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [98.2, 33.8], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [90.8, 36.9], 'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [84.3, 40.3], 'player': {'id': 25664, 'name': 'Sarah Gregorius'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [118.9, 39.5], 'player': {'id': 25661, 'name': 'Erin Nayler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",58d1322b-c463-4cfe-ba3c-1106c04904ea,,Off T,,0.0054913834,Normal,Open Play,,,,Cameroon Women's,1208,00:14:30.192,Shot,
,,,,,,,,,,,,,,,,,0.6108,,,,,,,,,,,,,219a7a56-2677-40ca-b72d-69f2f40f7082,732,,"[99.1, 29.3]",68346,18,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Gabrielle Onguene,25616.0,Left Wing,49,Cameroon Women's,1208,['361ed383-653d-423c-8384-b801eb55dc39'],0,,Left Foot,"[109.6, 35.6, 2.2]",,"[{'location': [90.6, 28.8], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.2, 32.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [98.5, 31.6], 'player': {'id': 25784, 'name': 'Anna Green'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.7, 36.3], 'player': {'id': 25661, 'name': 'Erin Nayler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",77e22e19-d647-428d-a209-0bd51388c148,True,Saved,,0.10641829,Lob,Open Play,,,,Cameroon Women's,1208,00:18:00.337,Shot,
,,,,,,,,,,,,,,,,,0.4914,,,,,,,,,,,,,26bb3f6e-e1a2-49bc-85ac-1e4d22e825e9,866,,"[89.4, 55.9]",68346,21,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Raissa Feudjio Tchuanyo,25626.0,Center Defensive Midfield,55,Cameroon Women's,1208,"['1ece18bb-0816-4582-adde-570027b5a8b0', '759b6c36-b8e2-4507-819d-691552375a49']",12,,Right Foot,"[102.0, 49.6]",True,"[{'location': [82.4, 34.2], 'player': {'id': 25631, 'name': 'Jeannette Yango'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [92.6, 8.0], 'player': {'id': 25616, 'name': 'Gabrielle Onguene'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.0, 27.9], 'player': {'id': 25628, 'name': 'Ajara Nchout'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [94.5, 47.0], 'player': {'id': 25605, 'name': 'Gaelle Enganamouit'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [93.9, 31.2], 'player': {'id': 10714, 'name': 'Michaela Abam'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [93.7, 34.7], 'player': {'id': 26098, 'name': 'Katie Duncan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [87.3, 26.6], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [89.4, 51.3], 'player': {'id': 25664, 'name': 'Sarah Gregorius'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [92.4, 12.2], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [92.9, 54.8], 'player': {'id': 21062, 'name': 'Alexandra Riley'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [96.6, 51.2], 'player': {'id': 25784, 'name': 'Anna Green'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.7, 41.2], 'player': {'id': 25661, 'name': 'Erin Nayler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.5, 49.6], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}]",,,Blocked,,0.0070569795,Normal,Open Play,,,,Cameroon Women's,1208,00:21:12.657,Shot,
,,,,,,,,,,,,,,,,,1.9063,,,,,,,,,,,,,9b98b768-e753-479c-ad0e-76ca74af987e,1051,,"[81.3, 41.0]",68346,28,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ajara Nchout,25628.0,Left Center Midfield,65,Cameroon Women's,1208,['9826113e-4ede-401a-af6c-16f007fda622'],49,,Right Foot,"[120.0, 51.1, 3.5]",,"[{'location': [84.8, 19.5], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [90.0, 27.8], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [88.2, 45.5], 'player': {'id': 25784, 'name': 'Anna Green'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [90.7, 40.5], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [78.5, 45.8], 'player': {'id': 21062, 'name': 'Alexandra Riley'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [81.6, 40.0], 'player': {'id': 26098, 'name': 'Katie Duncan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [75.7, 34.4], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [64.9, 40.5], 'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [62.8, 32.1], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [67.3, 36.3], 'player': {'id': 25631, 'name': 'Jeannette Yango'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [87.5, 40.7], 'player': {'id': 25616, 'name': 'Gabrielle Onguene'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [83.4, 19.7], 'player': {'id': 10714, 'name': 'Michaela Abam'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [78.3, 36.8], 'player': {'id': 25605, 'name': 'Gaelle Enganamouit'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.7, 40.7], 'player': {'id': 25661, 'name': 'Erin Nayler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",c6327dc8-8324-4909-84a2-3b827ddbee60,,Off T,,0.0064100013,Normal,Open Play,,,,Cameroon Women's,1208,00:28:49.870,Shot,
,,,,,,,,,,,,,,,,,1.860891,,,,,,,,,,,,,4d10f3a9-ec11-493a-9756-4d68a812aff8,1271,,"[83.3, 41.5]",68346,39,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ria Percival,18145.0,Right Center Midfield,83,New Zealand Women's,1215,['5473a90d-0c0c-458a-a85c-6c0172a8585c'],2,,Right Foot,"[115.3, 37.8, 0.9]",,"[{'location': [84.7, 40.0], 'player': {'id': 25631, 'name': 'Jeannette Yango'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [83.6, 43.9], 'player': {'id': 10714, 'name': 'Michaela Abam'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [96.2, 25.6], 'player': {'id': 26097, 'name': 'Augustine Sylvia Ejangue Siliki'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [87.9, 25.7], 'player': {'id': 25626, 'name': 'Raissa Feudjio Tchuanyo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [77.7, 35.5], 'player': {'id': 26098, 'name': 'Katie Duncan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [73.2, 29.3], 'player': {'id': 25616, 'name': 'Gabrielle Onguene'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [95.7, 22.0], 'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [89.3, 28.6], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [95.2, 33.8], 'player': {'id': 25664, 'name': 'Sarah Gregorius'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [96.6, 35.3], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.9, 30.8], 'player': {'id': 25605, 'name': 'Gaelle Enganamouit'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [115.0, 43.2], 'player': {'id': 25620, 'name': 'Annette Ngo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.6, 48.9], 'player': {'id': 25623, 'name': 'Yvonne Patrice Leuko'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [82.9, 56.2], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [84.7, 31.5], 'player': {'id': 25628, 'name': 'Ajara Nchout'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",2444e57b-3d27-497b-b0ed-fdf3d80b5e87,,Saved,,0.0073409607,Normal,Open Play,,,,New Zealand Women's,1215,00:39:02.022,Shot,
,,,,,,,,,,,,,,,,,0.102,,,,,,,,,,,,,376e6417-409d-4e1c-8ddd-9c782eedc900,1352,,"[96.6, 47.8]",68346,41,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gabrielle Onguene,25616.0,Left Wing,89,Cameroon Women's,1208,"['e8201bd6-4641-44b1-94e2-1922c201f860', 'eb4523f5-2a74-450f-bdb2-c64e2096c1e3']",4,,Left Foot,"[98.7, 47.9]",,"[{'location': [103.7, 36.5], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [102.5, 45.0], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [92.1, 53.7], 'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [93.0, 48.4], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [85.7, 68.0], 'player': {'id': 26097, 'name': 'Augustine Sylvia Ejangue Siliki'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [100.4, 25.3], 'player': {'id': 10714, 'name': 'Michaela Abam'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [94.7, 37.8], 'player': {'id': 25631, 'name': 'Jeannette Yango'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [87.4, 56.0], 'player': {'id': 25626, 'name': 'Raissa Feudjio Tchuanyo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [101.5, 53.5], 'player': {'id': 25605, 'name': 'Gaelle Enganamouit'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.3, 56.6], 'player': {'id': 25628, 'name': 'Ajara Nchout'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.8, 56.6], 'player': {'id': 21062, 'name': 'Alexandra Riley'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [103.3, 53.3], 'player': {'id': 25784, 'name': 'Anna Green'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.3, 48.5], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [99.6, 47.8], 'player': {'id': 26098, 'name': 'Katie Duncan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.7, 40.4], 'player': {'id': 25661, 'name': 'Erin Nayler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",4de475a2-bbde-4376-83a8-a0314833e94d,,Blocked,,0.040925093,Normal,Open Play,,,,Cameroon Women's,1208,00:41:04.577,Shot,
,,,,,,,,,,,,,,,,,0.884872,,,,,,,,,,,,,d7295d47-620a-4546-8046-bebe435e67e3,1471,,"[110.6, 39.2]",68346,44,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rosie White,4948.0,Left Center Forward,98,New Zealand Women's,1215,['8ac1c1ff-f359-46f1-b08e-ea334bf22020'],57,,Head,"[111.7, 58.2]",,"[{'location': [107.8, 37.7], 'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.4, 44.6], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.3, 51.9], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [114.3, 35.2], 'player': {'id': 25664, 'name': 'Sarah Gregorius'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [119.0, 41.4], 'player': {'id': 25620, 'name': 'Annette Ngo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 41.5], 'player': {'id': 25631, 'name': 'Jeannette Yango'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.9, 45.3], 'player': {'id': 25623, 'name': 'Yvonne Patrice Leuko'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.3, 38.2], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.4, 30.6], 'player': {'id': 25626, 'name': 'Raissa Feudjio Tchuanyo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.6, 34.3], 'player': {'id': 25614, 'name': 'Marie Aurelle Awona'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.2, 19.9], 'player': {'id': 25616, 'name': 'Gabrielle Onguene'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",b10d0272-ee1e-46cc-b4e5-29bc15e92ce1,,Wayward,,0.14414187,Normal,Open Play,,,,New Zealand Women's,1215,00:44:57.136,Shot,
,,,,,,,,,,,,,,,,,1.370607,,,,,,,,,,,,,cf761559-49b7-47aa-baac-69cbd0a4cfb9,1476,,"[108.9, 45.1]",68346,45,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ria Percival,18145.0,Right Center Midfield,98,New Zealand Women's,1215,"['80552a0a-742c-4186-a604-b334f452a9ab', 'a9607753-79e0-481d-b1ff-7fd85b74866d']",4,True,Head,"[114.3, 37.2]",,"[{'location': [113.2, 63.6], 'player': {'id': 25623, 'name': 'Yvonne Patrice Leuko'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.5, 35.9], 'player': {'id': 26097, 'name': 'Augustine Sylvia Ejangue Siliki'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.2, 38.6], 'player': {'id': 25614, 'name': 'Marie Aurelle Awona'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.5, 25.7], 'player': {'id': 25616, 'name': 'Gabrielle Onguene'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [116.1, 68.5], 'player': {'id': 10714, 'name': 'Michaela Abam'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [110.7, 41.2], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.9, 45.8], 'player': {'id': 25631, 'name': 'Jeannette Yango'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.2, 42.7], 'player': {'id': 25626, 'name': 'Raissa Feudjio Tchuanyo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.4, 43.1], 'player': {'id': 25620, 'name': 'Annette Ngo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.4, 38.7], 'player': {'id': 25664, 'name': 'Sarah Gregorius'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [113.6, 73.6], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [101.1, 22.8], 'player': {'id': 21062, 'name': 'Alexandra Riley'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [102.6, 39.1], 'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.3, 41.5], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",9a64da0f-9e3c-47d0-bf96-b159f512019c,,Wayward,,0.102660544,Normal,Open Play,,,,New Zealand Women's,1215,00:45:04.509,Shot,True
,,,,,,,,,,,,,,,,,1.581721,,,,,,,,,,,,,41be0c9a-daeb-43d5-a36e-00dc22d1ea47,1585,,"[91.2, 58.1]",68346,45,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Gaelle Enganamouit,25605.0,Center Forward,104,New Zealand Women's,1215,['72be34ec-0b13-44aa-a6d8-53ccb6fbb3d3'],11,,Right Foot,"[116.9, 38.9, 0.5]",,"[{'location': [75.8, 51.8], 'player': {'id': 25628, 'name': 'Ajara Nchout'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [73.3, 26.9], 'player': {'id': 25616, 'name': 'Gabrielle Onguene'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [66.6, 26.3], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [91.1, 44.0], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.3, 57.1], 'player': {'id': 25784, 'name': 'Anna Green'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [87.0, 54.7], 'player': {'id': 26098, 'name': 'Katie Duncan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [91.2, 56.8], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [117.8, 40.0], 'player': {'id': 25661, 'name': 'Erin Nayler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Saved,,0.009235067,Normal,Open Play,,,,Cameroon Women's,1208,00:00:11.698,Shot,
