50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.12,,,,,,,,,,,,,9848d3a6-448d-4b9c-8743-2d519857f24d,178,,"[112.0, 44.0]",7451,2,,,,,,,,,,,,,,,,,,1,Regular Play,Crystal Alyssia Dunn Soubrier,5088.0,Right Center Forward,8,North Carolina Courage,766,['cede1a40-1fdc-4ec0-9d5d-e07a29d056d5'],48,,Left Foot,"[116.0, 40.5, 0.5]",,"[{'location': [115.0, 42.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 49.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 36.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [112.0, 41.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 37.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",c32f9ded-77cb-4e67-8125-e0c030913eb4,,Saved,0.41966072,Normal,Open Play,,,,North Carolina Courage,766,00:02:48.067,Shot,
,,,,,,,,,,,,1.813,,,,,,,,,,,,,e05568f4-b96a-4ffb-bb02-ba7bba7c084e,184,,"[110.0, 26.0]",7451,3,,,,,,,,,,,,,,,,,,1,From Throw In,Samantha June Mewis,5087.0,Center Defensive Midfield,9,North Carolina Courage,766,"['709aa476-085e-4334-8fd4-8eea40fcfe43', 'b448ee13-8484-4c39-b458-7b7ce0800056']",20,True,Head,"[118.0, 36.4, 0.8]",,"[{'location': [110.0, 27.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 37.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 33.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.0, 34.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [105.0, 34.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.0, 37.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 42.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [110.0, 43.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.0, 43.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 50.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [109.0, 22.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [103.0, 19.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.0, 20.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.0, 24.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.0, 26.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 1.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",3a5be269-a475-4069-ab74-4f3c592b7c6b,,Saved,0.05033281,Normal,Open Play,,,,North Carolina Courage,766,00:03:20.747,Shot,True
,,,,,,,,,,,,1.213,,,,,,,,,,,,,c9bb0f0d-99e6-4890-9770-e88f13060726,205,,"[96.0, 39.0]",7451,4,,,,,,,,,,,,,,,,,,1,From Keeper,Andi Sullivan,4940.0,Left Center Midfield,12,Washington Spirit,759,['24cda5e4-ed88-42ea-b47a-08caa4c69529'],1,,Right Foot,"[120.0, 40.9, 4.7]",,"[{'location': [101.0, 32.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [95.0, 22.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [103.0, 41.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.0, 46.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.0, 32.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [97.0, 37.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.0, 39.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 49.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.0, 44.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",,,Off T,0.041770246,Normal,Open Play,,,,Washington Spirit,759,00:04:01.227,Shot,
,,,,,,,,,,,,0.36,,,,,,,,,,,,,eb5f383b-1e80-42ab-bb36-148eef656f61,585,,"[118.0, 32.0]",7451,16,,,,,,,,,,,,,,,,,,1,From Free Kick,Abby Erceg,5037.0,Left Center Back,40,North Carolina Courage,766,['bb5aa42d-7c5a-469d-9c0e-4cc188dce873'],29,,Head,"[120.0, 39.1, 3.9]",,"[{'location': [120.0, 40.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",dc14c1a8-eef9-4fe3-abcc-fd09f22f21d1,True,Off T,0.11320464,Normal,Open Play,,,,North Carolina Courage,766,00:16:29.387,Shot,
,,,,,,,,,,,,0.853,,,,,,,,,,,,,11037953-476e-484c-9436-77970b9bd17a,723,,"[104.0, 28.0]",7451,23,,,,,,,,,,,,,,,,,,1,From Free Kick,Débora Cristiane de Oliveira,5044.0,Right Midfield,54,North Carolina Courage,766,"['05f53ec2-4440-4785-a9eb-ead608620e94', 'd92ed2d0-0ed2-4f3b-a70d-6537a173736c']",26,,Right Foot,"[119.0, 39.9, 0.6]",,"[{'location': [100.0, 30.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [97.0, 34.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [93.0, 33.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [114.0, 40.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [111.0, 40.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [119.0, 38.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.0, 29.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [102.0, 35.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.0, 36.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.0, 41.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.0, 38.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 49.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [99.0, 53.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.0, 30.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 29.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 33.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 36.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,,Saved,0.041107297,Normal,Open Play,,,,North Carolina Courage,766,00:23:26.227,Shot,True
,,,,,,,,,,,,0.96,,,,,,,,,,,,,d15a4e07-016f-493d-bb37-a5cf2b7392c9,894,,"[99.0, 40.0]",7451,27,,,,,,,,,,,,,,,,,,1,Regular Play,Débora Cristiane de Oliveira,5044.0,Right Midfield,77,Washington Spirit,759,"['4869a73e-b2ea-415b-9aa7-b16bfb1128ef', '64c32d7c-a99d-4f31-84b2-0ee6dc3fa6b0']",57,,Left Foot,"[118.0, 36.2, 0.1]",,"[{'location': [102.0, 60.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [118.0, 38.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 49.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [102.0, 53.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.0, 44.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.0, 44.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 37.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 40.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [94.0, 56.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",,,Saved,0.05245745,Normal,Open Play,,,,North Carolina Courage,766,00:27:57.880,Shot,True
,,,,,,,,,,,,1.04,,,,,,,,,,,,,692643b3-aa5f-4929-b31c-a557c65b053a,925,,"[98.0, 42.0]",7451,29,,,,,,,,,,,,,,,,,,1,From Free Kick,Crystal Alyssia Dunn Soubrier,5088.0,Right Center Forward,81,North Carolina Courage,766,"['134e9b88-c9e1-40ba-b015-16c3b5e6868a', '6f0742ef-758a-4a78-9855-2cddf93b9f24']",15,,Left Foot,"[119.0, 43.6, 0.2]",,"[{'location': [103.0, 43.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [102.0, 54.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.0, 50.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [93.0, 45.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 36.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 42.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 40.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.0, 35.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",6b1c0afe-afa3-40f0-908d-bcfa5ff1ab6d,,Saved,0.03366994,Normal,Open Play,,,,North Carolina Courage,766,00:29:15.907,Shot,True
,,,,,,,,,,,,0.12,,,,,,,,,,,,,ad507405-7cda-4f58-bad7-df5d6be2dce8,954,,"[92.0, 42.0]",7451,30,,,,,,,,,,,,,,,,,,1,From Free Kick,Samantha June Mewis,5087.0,Center Defensive Midfield,81,North Carolina Courage,766,"['33568378-0911-49e6-afae-3b5d5312e1db', '51d72a18-26f8-4795-b955-b52164ffa087', 'e7b52a3d-31ce-4e20-9e75-7350bd5a0898']",16,,Left Foot,"[96.0, 42.0]",True,"[{'location': [96.0, 42.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.0, 31.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [107.0, 34.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [119.0, 39.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 33.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 41.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 33.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.0, 33.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 49.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",b62c8fc0-7264-4154-adcd-42c13a98f9ba,,Blocked,0.025429387,Normal,Open Play,,,,North Carolina Courage,766,00:30:16.987,Shot,True
,,,,,,,,,,,,0.56,,,,,,,,,,,,,f2ad33e6-99c2-4161-8002-dad2eb93d690,1059,,"[116.0, 53.0]",7451,33,,,,,,,,,,,,,,,,,,1,Regular Play,Mallory Pugh,5023.0,Right Wing,88,Washington Spirit,759,['dad623d5-ac58-45f4-b5b7-1a9453168e6e'],30,,Right Foot,"[120.0, 44.8, 1.0]",,"[{'location': [108.0, 48.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 45.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 45.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 37.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.0, 30.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [94.0, 30.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 50.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",078ff934-fea1-448d-914c-f78f0b06b191,,Off T,0.033156533,Normal,Open Play,,,,Washington Spirit,759,00:33:30.960,Shot,
,,,,,,,,,,,,1.053,,,,,,,,,,,,,4171f6fb-2aa2-48fb-9d1b-2046ae29f8b6,1174,,"[102.0, 31.0]",7451,36,,,,,,,,,,,,,,,,,,1,Regular Play,Estefanía Romina Banini Ruiz,4944.0,Right Center Midfield,93,Washington Spirit,759,['ba40ec4f-909f-4f75-8a85-27b4534f9ddc'],2,,Right Foot,"[120.0, 43.8, 0.5]",,"[{'location': [120.0, 41.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.0, 20.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.0, 31.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [91.0, 20.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [87.0, 20.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [102.0, 43.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.0, 41.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.0, 39.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 37.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 45.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.0, 32.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",f0d43134-f9e2-4ec5-8b86-dd8e8e65eff8,,Saved,0.08528373,Normal,Open Play,,,,Washington Spirit,759,00:36:02.107,Shot,
