50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.168978,,,,,,,,,,,,7d7fa0ab-db0d-4c9b-a54d-e281a16ee260,433,,"[111.1, 24.4]",3879623,8,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Massimo Maccarone,40252.0,Left Center Forward,19,Empoli,290,"['0398b93f-09b7-4e82-8158-590d3d2d513e', '85fb8cc5-b115-4681-be0c-ca0dc299c9b3']",43,Right Foot,,"[112.1, 25.9]",,"[{'location': [118.6, 35.8], 'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.3, 18.8], 'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [101.1, 31.7], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.9, 23.8], 'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.2, 33.7], 'player': {'id': 26192, 'name': 'Matías Ariel Fernández Fernández'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [107.5, 28.5], 'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [115.4, 32.0], 'player': {'id': 22041, 'name': 'Marko Livaja'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [112.5, 26.5], 'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.4, 28.4], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [113.4, 31.8], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.1, 37.9], 'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}]",cb83695d-bcb5-4ab7-b508-a53c1353c64b,,Blocked,0.028020626,Normal,Open Play,,,,Empoli,290,00:08:43.013,Shot,
,,,,,,,,,,,,,,,,,,0.998743,,,,,,,,,,,,337f17ae-cc8c-4b27-97f3-d71cc78a594a,591,,"[100.1, 20.9]",3879623,12,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Riccardo Saponara,7150.0,Center Attacking Midfield,27,Empoli,290,"['186e4699-3e59-4205-a14d-a347ebf56529', '476a4660-2961-491c-8950-af7cafeb2821']",23,Right Foot,,"[118.2, 37.1, 0.6]",,"[{'location': [87.0, 38.6], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.1, 32.2], 'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [100.4, 39.1], 'player': {'id': 22041, 'name': 'Marko Livaja'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [118.8, 37.6], 'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.2, 19.2], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [89.5, 29.4], 'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [85.8, 40.3], 'player': {'id': 26192, 'name': 'Matías Ariel Fernández Fernández'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [96.9, 34.9], 'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.1, 21.4], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [104.6, 31.1], 'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.7, 38.1], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 40.7], 'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}]",a4ce87f1-31cf-49f8-a17b-9f6c607b6cff,,Saved,0.009882645,Normal,Open Play,,,,Empoli,290,00:12:23.025,Shot,True
,,,,,,,,,,,,,,,,,,0.743122,,,,,,,,,,,,492509c3-0dcd-4826-b786-42029d49f73d,715,,"[104.9, 29.9]",3879623,15,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Massimo Maccarone,40252.0,Left Center Forward,35,Empoli,290,['b7b812d0-58cf-47c6-94a6-7edc98eaeb78'],29,Right Foot,,"[117.2, 37.8, 0.2]",True,"[{'location': [117.8, 38.2], 'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.9, 45.1], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [107.5, 34.5], 'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.6, 41.6], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.8, 43.2], 'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",929b2a3f-ccbc-4cd2-842e-a1485b2793cf,,Saved,0.11985251,Normal,Open Play,,,,Empoli,290,00:15:29.227,Shot,
,,,,,,,,,,,,,,,,,,0.46127,,,,,,,,,,,,5facdf2a-f2c5-442c-9fe1-25ea872a5ca6,795,,"[111.0, 50.5]",3879623,17,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marko Livaja,22041.0,Right Center Forward,39,Empoli,290,"['a0e8d96f-f229-42a1-8ad4-710ef254a561', 'a1d57573-08ca-470e-a415-da57856f56ff']",1,Right Foot,,"[120.0, 43.2, 2.4]",,"[{'location': [99.2, 34.5], 'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [103.0, 26.2], 'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [96.3, 45.4], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [97.3, 42.6], 'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.6, 32.9], 'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 37.0], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [109.1, 40.6], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 48.4], 'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [117.4, 44.2], 'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",983f855b-3b67-4024-a1dc-5f7a4ab2bec2,True,Goal,0.15960547,Half Volley,Open Play,,,,Empoli,290,00:17:01.216,Shot,True
,,,,,,,,,,,,,,,,,,1.191014,,,,,,,,,,,,46d20211-6f6c-440e-b4ad-6bc17aec244a,918,,"[95.9, 21.1]",3879623,20,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Piotr Zieliński,5660.0,Right Center Midfield,46,Fiorentina,239,['6c530166-da20-437f-9735-aac67eaf453a'],45,Right Foot,,"[120.0, 42.0, 5.7]",,"[{'location': [104.9, 12.8], 'player': {'id': 8187, 'name': 'Marcel Büchel'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.5, 36.0], 'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [104.8, 40.8], 'player': {'id': 22041, 'name': 'Marko Livaja'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [94.0, 29.9], 'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [118.3, 36.6], 'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.5, 17.2], 'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.0, 24.4], 'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.1, 21.1], 'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.7, 34.4], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.1, 37.1], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [104.2, 42.5], 'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [84.3, 48.0], 'player': {'id': 26192, 'name': 'Matías Ariel Fernández Fernández'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}]",,,Off T,0.009096244,Normal,Open Play,,,,Empoli,290,00:20:45.419,Shot,
,,,,,,,,,,,,,,,,,,1.13501,,,,,,,,,,,,e5e77400-a231-477c-84ed-7732e02fe3fe,945,,"[82.7, 46.0]",3879623,21,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Leandro Daniel Paredes,16308.0,Center Defensive Midfield,48,Empoli,290,"['e7aca640-2a0a-4bea-9a8c-de1a424c5daf', 'e97d5406-1722-4bbf-9a28-fadde29b50fc']",15,Right Foot,,"[120.0, 40.3, 6.4]",,"[{'location': [118.4, 40.9], 'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [84.6, 52.8], 'player': {'id': 26192, 'name': 'Matías Ariel Fernández Fernández'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [83.3, 44.5], 'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [82.1, 31.9], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [100.1, 33.1], 'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [90.1, 42.3], 'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [97.5, 41.2], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [99.5, 50.0], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.0, 55.1], 'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [84.5, 30.5], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [92.1, 39.4], 'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [99.1, 35.1], 'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [97.0, 51.2], 'player': {'id': 22041, 'name': 'Marko Livaja'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [87.8, 61.6], 'player': {'id': 8187, 'name': 'Marcel Büchel'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",2e42838c-1176-4bdb-89dc-2581d55f65d4,,Off T,0.0062945057,Normal,Open Play,,,,Empoli,290,00:21:15.624,Shot,True
,,,,,,,,,,,,,,,,,,0.092701,,,,,,,,,,,,025ef714-69b4-4c02-b0b2-6136f006b0ad,1028,,"[105.4, 56.8]",3879623,23,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Khouma El Hadji Babacar,7125.0,Center Forward,54,Fiorentina,239,"['409c9c60-3bc7-49a1-be61-8fbf6404ea35', '74d18cf7-7b37-48fd-8fbc-aa755dc1f196']",25,Right Foot,,"[106.2, 55.9]",True,"[{'location': [118.7, 43.5], 'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.2, 59.1], 'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.2, 51.9], 'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.6, 55.5], 'player': {'id': 8664, 'name': 'Andrea Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.2, 50.5], 'player': {'id': 7160, 'name': 'Lorenzo Tonelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.8, 38.4], 'player': {'id': 7155, 'name': 'Vincent Laurini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.2, 50.6], 'player': {'id': 26192, 'name': 'Matías Ariel Fernández Fernández'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}]",74ac66e6-c1b1-4f9e-a589-89356fc86572,,Blocked,0.02022583,Normal,Open Play,,,,Fiorentina,239,00:23:25.983,Shot,
,,,,,,,,,,,,,,,,,,0.343811,,,,,,,,,,,,7110f43d-247c-426a-86e1-1858a00723b7,1094,,"[94.1, 22.8]",3879623,26,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Leandro Daniel Paredes,16308.0,Center Defensive Midfield,59,Empoli,290,"['44f26230-ba9c-4019-9e99-4e07ac0dbdc5', 'e84229f8-202a-4afa-9a62-ea1afc20ab45']",24,Right Foot,,"[102.8, 28.2]",,"[{'location': [104.0, 31.6], 'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.9, 38.7], 'player': {'id': 22041, 'name': 'Marko Livaja'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [93.3, 24.2], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.6, 27.7], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [103.3, 28.5], 'player': {'id': 26192, 'name': 'Matías Ariel Fernández Fernández'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [103.2, 32.5], 'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [104.7, 36.8], 'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 38.0], 'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.6, 40.7], 'player': {'id': 7125, 'name': 'Khouma El Hadji Babacar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [103.8, 39.5], 'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 42.3], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [103.9, 44.0], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.9, 45.7], 'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [118.2, 37.7], 'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.2, 33.1], 'player': {'id': 8187, 'name': 'Marcel Büchel'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [105.2, 43.3], 'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [103.5, 47.1], 'player': {'id': 7160, 'name': 'Lorenzo Tonelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",,,Blocked,0.009386035,Normal,Free Kick,,,,Empoli,290,00:26:24.643,Shot,
,,,,,,,,,,,,,,,,,,1.02659,,,,,,,,,,,,6c9539c7-1e9e-43b1-b472-4328dc5f19dc,1099,,"[93.6, 32.7]",3879623,26,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Marcel Büchel,8187.0,Left Center Midfield,59,Empoli,290,['e9cc7136-0f8e-4ecd-a491-f35a12372852'],26,Left Foot,,"[120.0, 43.6, 0.3]",,"[{'location': [99.1, 32.1], 'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [103.4, 25.0], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [99.9, 27.5], 'player': {'id': 26192, 'name': 'Matías Ariel Fernández Fernández'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [105.1, 36.2], 'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.3, 34.2], 'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.6, 39.7], 'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [110.3, 38.2], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [106.9, 41.2], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.3, 46.7], 'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [117.9, 38.3], 'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.6, 21.1], 'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [91.2, 24.8], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [111.5, 33.0], 'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [112.9, 36.8], 'player': {'id': 22041, 'name': 'Marko Livaja'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [111.6, 42.0], 'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [110.9, 49.0], 'player': {'id': 7160, 'name': 'Lorenzo Tonelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",,,Goal,0.024148777,Normal,Open Play,,,,Empoli,290,00:26:26.730,Shot,
,,,,,,,,,,,,,,,,,,0.535459,,,,,,,,,,,,8dbabcb5-b54b-401b-94a7-7f77da5d879d,1179,,"[106.9, 50.5]",3879623,30,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Riccardo Saponara,7150.0,Center Attacking Midfield,65,Empoli,290,['0316a7d0-2775-4648-accc-804b3c92c1cc'],7,Right Foot,,"[120.0, 42.4, 4.3]",True,"[{'location': [110.8, 36.7], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [113.2, 39.5], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [113.3, 50.9], 'player': {'id': 26192, 'name': 'Matías Ariel Fernández Fernández'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [111.2, 43.7], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.5, 49.3], 'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 46.1], 'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.1, 44.0], 'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.4, 42.5], 'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.7, 40.8], 'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [112.5, 37.8], 'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [113.3, 36.6], 'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [112.3, 40.4], 'player': {'id': 22041, 'name': 'Marko Livaja'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [113.0, 44.1], 'player': {'id': 8187, 'name': 'Marcel Büchel'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [96.2, 57.3], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,,Off T,0.051901985,Half Volley,Open Play,,,,Empoli,290,00:30:07.323,Shot,
