50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.880595,,,,,,,,,,,,424888b3-8d4b-49f4-a333-d482f610895c,480,,"[96.2, 37.4]",3901190,10,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Andy Delort,3038.0,Center Forward,28,Caen,140,['cc39f768-7840-4603-a6c9-8b2ff79c8c31'],26,,Right Foot,"[120.0, 48.9, 4.5]",True,"[{'location': [102.4, 45.0], 'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 37.6], 'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.3, 31.9], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.4, 39.6], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.5, 36.6], 'player': {'id': 3161, 'name': 'Chaouki Ben Saada'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [81.7, 63.0], 'player': {'id': 7376, 'name': 'Yoann Court'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [100.4, 28.1], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.9, 30.6], 'player': {'id': 7283, 'name': 'Thiago Xavier Rodrigues Corrêa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [91.0, 33.3], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [117.7, 41.3], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.4, 43.7], 'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [104.2, 27.5], 'player': {'id': 2991, 'name': 'Hervé Bazile'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [99.9, 32.2], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",1b0c573a-a223-45b2-ac15-6282a917065f,,Off T,0.04101947,Normal,Open Play,,,,Caen,140,00:10:26.799,Shot,
,,,,,,,,,,,,,,,1.215004,,,,,,,,,,,,4c7d71df-9f45-42bc-937a-28eab28ed42c,549,,"[112.4, 24.5]",3901190,11,,,True,,,,,,,,,,,,,,,,,,,,1,Regular Play,Hervé Bazile,2991.0,Left Midfield,31,Caen,140,['6539d3ed-17dc-4cd7-95d8-469a9a23ad46'],56,,Left Foot,"[117.6, 80.0]",,"[{'location': [117.5, 36.4], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.8, 44.4], 'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.6, 35.8], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.2, 23.5], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.4, 27.2], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [89.5, 35.2], 'player': {'id': 7283, 'name': 'Thiago Xavier Rodrigues Corrêa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [97.7, 30.8], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [81.8, 45.8], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",971f1995-485a-401e-9af4-824356f701ec,True,Wayward,0.023183271,Normal,Open Play,,,,Caen,140,00:11:56.965,Shot,
,,,,,,,,,,,,,,,0.477331,,,,,,,,,,,,a15b944e-fc71-4ae2-bd3f-2837ddfa6146,644,,"[111.5, 53.3]",3901190,15,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Hervé Bazile,2991.0,Left Midfield,35,Caen,140,"['24cdc24d-3bfd-42de-933d-6c863d6382c4', '641a1b17-8cc9-4327-b6a1-9824a88251e5']",7,,Right Foot,"[120.0, 45.3, 4.6]",,"[{'location': [111.8, 51.7], 'player': {'id': 7376, 'name': 'Yoann Court'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [112.0, 48.6], 'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.2, 43.8], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.9, 40.3], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.7, 40.8], 'player': {'id': 7283, 'name': 'Thiago Xavier Rodrigues Corrêa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [97.2, 49.0], 'player': {'id': 3161, 'name': 'Chaouki Ben Saada'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.0, 27.7], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.7, 39.9], 'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.2, 43.8], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.1, 44.2], 'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [118.3, 43.3], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",f8c13fa4-4b06-4aa6-ab08-7190294a5c9f,,Off T,0.06687852,Normal,Open Play,,,,Caen,140,00:15:07.854,Shot,True
,,,,,,,,,,,,,,,0.830006,,,,,,,,,,,,800fdbed-8d65-40dc-857a-c0f34a468647,761,,"[106.6, 21.8]",3901190,18,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ronny Rodelin,2955.0,Right Midfield,46,Caen,140,"['7c1b2071-c0ac-4697-8ff8-1f41c4677863', '871089ca-e682-4088-97a2-f4015d8e9b2d', '96d3f2ac-10a1-4e78-8f41-5682dfd551e0']",19,,Right Foot,"[120.0, 44.2, 3.8]",,"[{'location': [108.7, 41.3], 'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.5, 37.7], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.1, 29.1], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [86.5, 60.7], 'player': {'id': 7376, 'name': 'Yoann Court'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.1, 21.9], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 32.6], 'player': {'id': 7283, 'name': 'Thiago Xavier Rodrigues Corrêa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.3, 23.1], 'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [87.7, 48.3], 'player': {'id': 3161, 'name': 'Chaouki Ben Saada'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [95.7, 34.7], 'player': {'id': 40701, 'name': 'Jordan Leborgne'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [92.9, 25.8], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [118.1, 37.2], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.0, 29.3], 'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.5, 39.8], 'player': {'id': 2991, 'name': 'Hervé Bazile'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",60d8d4a3-3d8e-4019-9105-6dd59c094bb0,,Off T,0.010743091,Normal,Open Play,,,,Caen,140,00:18:19.799,Shot,True
,,,,,,,,,,,,,,,0.482303,,,,,,,,,,,,afe04e13-6337-4243-ae21-4f7957200223,812,,"[107.6, 47.6]",3901190,19,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ronny Rodelin,2955.0,Right Midfield,51,Caen,140,['a4398b28-93f5-4d21-b6df-73f417e49c1a'],36,,Right Foot,"[109.5, 39.0]",True,"[{'location': [112.2, 38.3], 'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.8, 39.3], 'player': {'id': 40701, 'name': 'Jordan Leborgne'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.4, 33.8], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.2, 48.2], 'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.4, 40.1], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.8, 40.8], 'player': {'id': 7283, 'name': 'Thiago Xavier Rodrigues Corrêa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.8, 44.2], 'player': {'id': 3161, 'name': 'Chaouki Ben Saada'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.2, 34.6], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.7, 45.9], 'player': {'id': 7376, 'name': 'Yoann Court'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [110.2, 21.5], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.4, 21.9], 'player': {'id': 2993, 'name': 'Stéphane Darbion'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [118.3, 41.1], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",03379053-9e1a-4d08-bae8-6f30aa2cf971,,Wayward,0.090869844,Volley,Open Play,,,,Caen,140,00:19:36.801,Shot,
,,,,,,,,,,,,,,,1.438992,,,,,,,,,,,,bb37eee0-3488-4a6d-a0f0-7052f7ac0ed5,849,,"[112.6, 41.7]",3901190,21,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Thiago Xavier Rodrigues Corrêa,7283.0,Center Defensive Midfield,55,Troyes,133,"['5930b918-a7ed-4680-80dd-5fc882b46071', '881b63b5-6e20-4eec-aaba-8ce7f02e8e85']",25,True,Head,"[120.0, 43.3, 0.7]",,"[{'location': [118.2, 37.1], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [119.6, 36.9], 'player': {'id': 2991, 'name': 'Hervé Bazile'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [111.7, 30.5], 'player': {'id': 2993, 'name': 'Stéphane Darbion'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [113.0, 45.8], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [100.8, 47.0], 'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [105.9, 47.4], 'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [96.2, 32.2], 'player': {'id': 3161, 'name': 'Chaouki Ben Saada'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [113.1, 40.7], 'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.1, 40.2], 'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 30.3], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.7, 47.4], 'player': {'id': 13592, 'name': 'Alexandre Raineau'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.7, 32.2], 'player': {'id': 40701, 'name': 'Jordan Leborgne'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.5, 43.0], 'player': {'id': 7444, 'name': 'Alaeddine Yahia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",ce61941f-393e-4a82-855d-f56c94f2e38e,,Goal,0.10798175,Normal,Open Play,,,,Troyes,133,00:21:25.132,Shot,True
,,,,,,,,,,,,,,,0.796767,,,,,,,,,,,,c5d9082f-18c2-440c-a72b-e9d56d292e19,862,,"[87.8, 42.5]",3901190,22,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Ronny Rodelin,2955.0,Right Midfield,56,Caen,140,['423feb8b-d6f7-4977-8316-7199a093e63d'],16,,Right Foot,"[120.0, 44.5, 3.5]",True,"[{'location': [97.4, 50.4], 'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.9, 42.2], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.7, 39.6], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [92.5, 42.1], 'player': {'id': 7283, 'name': 'Thiago Xavier Rodrigues Corrêa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [97.5, 30.4], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [91.4, 35.4], 'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [82.7, 41.4], 'player': {'id': 7376, 'name': 'Yoann Court'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [78.7, 37.8], 'player': {'id': 3161, 'name': 'Chaouki Ben Saada'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [75.3, 29.3], 'player': {'id': 2993, 'name': 'Stéphane Darbion'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [118.3, 41.7], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [86.3, 13.9], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [82.1, 30.1], 'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [76.1, 36.6], 'player': {'id': 13592, 'name': 'Alexandre Raineau'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [98.8, 40.0], 'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [81.0, 61.9], 'player': {'id': 2991, 'name': 'Hervé Bazile'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [96.4, 27.1], 'player': {'id': 40701, 'name': 'Jordan Leborgne'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [90.1, 38.2], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,,Off T,0.01430637,Half Volley,Open Play,,,,Caen,140,00:22:16.903,Shot,
,,,,,,,,,,,,,,,1.23883,,,,,,,,,,,,c1a4814d-ae5e-47bb-93da-6f1ea6d96bac,1051,,"[99.2, 21.6]",3901190,28,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Quentin Othon,148132.0,Left Back,74,Troyes,133,['c7551343-681b-48db-a2e4-20b8b10354d4'],29,,Left Foot,"[120.0, 32.7, 6.2]",True,"[{'location': [113.9, 19.5], 'player': {'id': 7376, 'name': 'Yoann Court'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [118.6, 38.7], 'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.1, 45.6], 'player': {'id': 2991, 'name': 'Hervé Bazile'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [109.1, 42.9], 'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.8, 39.1], 'player': {'id': 13592, 'name': 'Alexandre Raineau'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.4, 32.0], 'player': {'id': 7444, 'name': 'Alaeddine Yahia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.5, 25.5], 'player': {'id': 40701, 'name': 'Jordan Leborgne'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.2, 32.9], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [111.9, 30.5], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.2, 29.4], 'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.2, 24.5], 'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [92.3, 38.9], 'player': {'id': 7283, 'name': 'Thiago Xavier Rodrigues Corrêa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [108.7, 41.7], 'player': {'id': 3161, 'name': 'Chaouki Ben Saada'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [112.5, 46.4], 'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.3, 30.4], 'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.0, 32.0], 'player': {'id': 2993, 'name': 'Stéphane Darbion'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",,,Off T,0.0094428705,Normal,Open Play,,,,Troyes,133,00:28:29.946,Shot,
,,,,,,,,,,,,,,,0.864227,,,,,,,,,,,,7b2d94e1-7949-4b6b-a4ac-a233f1cf8df7,1237,,"[102.9, 20.6]",3901190,34,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andy Delort,3038.0,Center Forward,88,Caen,140,"['1f6dc374-6cb3-4dc6-8992-2952203f8278', '3a1e5588-d266-4540-983e-2658777719cd']",5,,Right Foot,"[118.4, 38.5, 2.1]",,"[{'location': [90.7, 32.4], 'player': {'id': 2991, 'name': 'Hervé Bazile'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [106.6, 44.8], 'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.4, 32.9], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.7, 31.3], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.7, 38.1], 'player': {'id': 3161, 'name': 'Chaouki Ben Saada'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [92.6, 49.5], 'player': {'id': 7376, 'name': 'Yoann Court'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.0, 22.7], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 23.6], 'player': {'id': 2993, 'name': 'Stéphane Darbion'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [100.7, 28.2], 'player': {'id': 7283, 'name': 'Thiago Xavier Rodrigues Corrêa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 38.1], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.1, 31.2], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [94.2, 49.5], 'player': {'id': 40701, 'name': 'Jordan Leborgne'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.0, 29.8], 'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",,,Saved,0.009656636,Normal,Open Play,,,,Caen,140,00:34:05.252,Shot,True
,,,,,,,,,,,,,,,0.839853,,,,,,,,,,,,510cb922-5176-484c-9ba9-c979e62d2a9a,1241,,"[112.0, 40.6]",3901190,34,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Alaeddine Yahia,7444.0,Right Center Back,89,Caen,140,['98269ac4-2b2e-48b7-9afc-3d3dd2e88ae4'],28,,Head,"[120.0, 38.0, 2.2]",,"[{'location': [113.4, 38.5], 'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [114.6, 42.3], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.7, 51.8], 'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.9, 50.6], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.4, 43.2], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.3, 43.8], 'player': {'id': 2993, 'name': 'Stéphane Darbion'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [109.2, 42.2], 'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.4, 39.1], 'player': {'id': 7283, 'name': 'Thiago Xavier Rodrigues Corrêa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.4, 29.4], 'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [90.3, 40.5], 'player': {'id': 40701, 'name': 'Jordan Leborgne'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [113.9, 43.0], 'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.6, 39.8], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [91.4, 50.3], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [98.7, 41.4], 'player': {'id': 3161, 'name': 'Chaouki Ben Saada'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [91.3, 52.7], 'player': {'id': 7376, 'name': 'Yoann Court'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [119.0, 39.7], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.5, 53.7], 'player': {'id': 2991, 'name': 'Hervé Bazile'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",5376f116-d84c-4316-b2b0-acc1170b1415,,Goal,0.10237391,Normal,Open Play,,,,Caen,140,00:34:28.121,Shot,
