ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.773,,,,,,,,,,,,,,,a404687e-fdfc-4bb4-861e-237924f70d17,498,,"[89.0, 40.0]",7529,12,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Alex Iwobi,3647.0,Left Defensive Midfield,33,Nigeria,775,"['0ca04076-1e20-4329-9e54-72a13f3a5b19', 'bffd5e81-4ccd-4021-b385-bf2c90cd245b']",36,Right Foot,"[101.0, 37.0]",,"[{'location': [96.0, 61.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.0, 34.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.0, 40.0], 'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [103.0, 37.0], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 41.0], 'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [91.0, 42.0], 'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [93.0, 38.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.0, 29.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [104.0, 47.0], 'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [92.0, 51.0], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.0, 46.0], 'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.0, 25.0], 'player': {'id': 5455, 'name': 'William Troost-Ekong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [101.0, 37.0], 'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [96.0, 42.0], 'player': {'id': 3338, 'name': 'Onyinye Wilfred Ndidi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.0, 40.0], 'player': {'id': 5475, 'name': 'John Michael Nchekwube Obinna'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [103.0, 45.0], 'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,Blocked,0.018994473,Normal,Open Play,,,,Nigeria,775,00:12:36.067,Shot,
,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,886364ff-0027-49c1-81ac-be0b6f7accc1,553,,"[99.0, 46.0]",7529,13,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ivan Perišić,5474.0,Right Wing,34,Croatia,785,['33ab0f6b-7edb-4c4c-a9e8-3d9db257e7be'],20,Right Foot,"[120.0, 37.2, 3.6]",True,"[{'location': [118.0, 40.0], 'player': {'id': 5454, 'name': 'Francis Odinaka Uzoho'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 34.0], 'player': {'id': 5471, 'name': 'Abdullahi Shehu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.0, 31.0], 'player': {'id': 3338, 'name': 'Onyinye Wilfred Ndidi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [98.0, 37.0], 'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.0, 36.0], 'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 45.0], 'player': {'id': 5455, 'name': 'William Troost-Ekong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 48.0], 'player': {'id': 5462, 'name': 'Brian Oladapo Idowu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [87.0, 58.0], 'player': {'id': 3647, 'name': 'Alex Iwobi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 32.0], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.0, 36.0], 'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.0, 51.0], 'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",c4ad5509-f590-4d38-b1ee-b1b85fb6ca2f,Off T,0.06695514,Normal,Open Play,,,,Croatia,785,00:13:20.360,Shot,
,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,3f754100-44f3-4882-b788-13fb8d285be4,630,,"[86.0, 35.0]",7529,15,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Andrej Kramarić,5460.0,Center Attacking Midfield,37,Croatia,785,['75e7f5a0-b01e-480f-987f-8222935f3847'],22,Right Foot,"[120.0, 34.8, 0.4]",,"[{'location': [89.0, 55.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [75.0, 42.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [98.0, 40.0], 'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [82.0, 53.0], 'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [96.0, 52.0], 'player': {'id': 5462, 'name': 'Brian Oladapo Idowu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.0, 43.0], 'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 38.0], 'player': {'id': 5455, 'name': 'William Troost-Ekong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 24.0], 'player': {'id': 5471, 'name': 'Abdullahi Shehu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [90.0, 31.0], 'player': {'id': 3963, 'name': 'Victor Moses'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [82.0, 38.0], 'player': {'id': 3338, 'name': 'Onyinye Wilfred Ndidi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.0, 17.0], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.0, 39.0], 'player': {'id': 5454, 'name': 'Francis Odinaka Uzoho'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",15825322-f9de-49b7-bc11-ad2bba1b68c0,Off T,0.019367732,Normal,Open Play,,,,Croatia,785,00:15:22.720,Shot,
,,,,,,,,,,,,0.493,,,,,,,,,,,,,,,e31a2604-b1c9-4fb2-9c00-9f9b8ecf5834,818,,"[109.0, 59.0]",7529,20,,,,,,,,,,,,,,,,,,,,1,Regular Play,Odion Jude Ighalo,5458.0,Center Forward,46,Nigeria,775,"['0497a935-6e64-4ee5-823f-58fdda533fed', 'e8878381-1047-48ad-bcd5-e1e47a4da29b']",58,Right Foot,"[115.0, 50.0]",,"[{'location': [108.0, 49.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.0, 59.0], 'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 57.0], 'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 49.0], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.0, 43.0], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.0, 43.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 57.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.0, 63.0], 'player': {'id': 3963, 'name': 'Victor Moses'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.0, 42.0], 'player': {'id': 3647, 'name': 'Alex Iwobi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",bcb3da05-e30b-4aee-a1f4-bf20ac790b2a,Blocked,0.011507075,Normal,Open Play,,,,Nigeria,775,00:20:58.187,Shot,
,,,,,,,,,,,,2.413,,,,,,,,,,,,,,,fe63d4f2-2fa5-4fd1-833d-361907ea5867,838,,"[93.0, 41.0]",7529,21,,,,,,,,,,,,,,,,,,,,1,From Corner,Oghenekaro Etebo,5466.0,Left Center Midfield,47,Nigeria,775,['d3448d38-98ea-4329-a601-26a4340523e2'],40,Right Foot,"[120.0, 46.9, 0.2]",,"[{'location': [104.0, 48.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.0, 45.0], 'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [105.0, 34.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 42.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.0, 30.0], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 49.0], 'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 39.0], 'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 37.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.0, 40.0], 'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [95.0, 24.0], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 51.0], 'player': {'id': 5455, 'name': 'William Troost-Ekong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [103.0, 64.0], 'player': {'id': 3963, 'name': 'Victor Moses'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.0, 38.0], 'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.0, 42.0], 'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [100.0, 31.0], 'player': {'id': 3647, 'name': 'Alex Iwobi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [84.0, 31.0], 'player': {'id': 5462, 'name': 'Brian Oladapo Idowu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [97.0, 42.0], 'player': {'id': 3338, 'name': 'Onyinye Wilfred Ndidi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,Off T,0.022628231,Half Volley,Open Play,,,,Nigeria,775,00:21:40.267,Shot,
,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,57fcc6a4-37e6-4280-8b33-b77b75a11315,1192,,"[101.0, 23.0]",7529,31,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ante Rebić,5465.0,Left Wing,65,Croatia,785,"['182096bf-af86-494b-a3be-e731863540ea', '49ea7398-8cab-4f23-b7b6-cfd55ed93586']",17,Right Foot,"[105.0, 29.0]",True,"[{'location': [89.0, 35.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [118.0, 38.0], 'player': {'id': 5454, 'name': 'Francis Odinaka Uzoho'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 8.0], 'player': {'id': 3338, 'name': 'Onyinye Wilfred Ndidi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.0, 21.0], 'player': {'id': 5471, 'name': 'Abdullahi Shehu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 32.0], 'player': {'id': 5455, 'name': 'William Troost-Ekong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 30.0], 'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 34.0], 'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.0, 45.0], 'player': {'id': 5462, 'name': 'Brian Oladapo Idowu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.0, 51.0], 'player': {'id': 3647, 'name': 'Alex Iwobi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 6.0], 'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.0, 48.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.0, 34.0], 'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",2daeb1b0-2202-432d-88ad-637e67be1a54,Blocked,0.028548675,Normal,Open Play,,,,Croatia,785,00:31:17.267,Shot,
,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,4d65153b-343c-4740-8314-bf0e04063123,1199,,"[113.0, 41.0]",7529,31,,,,,,,,,,,,,,,,,,,,1,From Corner,Mario Mandžukić,5472.0,Center Forward,66,Croatia,785,"['4caf9345-2861-4ee7-954a-d375fc20a059', 'b76630be-0625-4e28-8cc8-b234a61b2c2d']",51,Head,"[116.0, 38.0]",,"[{'location': [109.0, 37.0], 'player': {'id': 3338, 'name': 'Onyinye Wilfred Ndidi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.0, 46.0], 'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 33.0], 'player': {'id': 5471, 'name': 'Abdullahi Shehu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.0, 38.0], 'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [113.0, 49.0], 'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [119.0, 44.0], 'player': {'id': 5462, 'name': 'Brian Oladapo Idowu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 38.0], 'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.0, 47.0], 'player': {'id': 3963, 'name': 'Victor Moses'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.0, 43.0], 'player': {'id': 5455, 'name': 'William Troost-Ekong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 5454, 'name': 'Francis Odinaka Uzoho'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 35.0], 'player': {'id': 5475, 'name': 'John Michael Nchekwube Obinna'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [109.0, 32.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.0, 32.0], 'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [108.0, 37.0], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [95.0, 52.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [113.0, 50.0], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",49af73e5-2116-4148-8970-3b0966fd0298,Blocked,0.3240008,Diving Header,Open Play,,,,Croatia,785,00:31:51.507,Shot,
,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,b7e79bbc-15a1-44d9-86a9-023914c6a8c5,1221,,"[106.0, 33.0]",7529,33,,,,,,,,,,,,,,,,,,,,1,From Counter,Odion Jude Ighalo,5458.0,Center Forward,68,Nigeria,775,"['1c506ef6-1248-4f15-8be4-59333364e1e2', '53400098-8108-4cb2-a3d7-2cc5e900533e']",14,Left Foot,"[108.0, 31.0]",,"[{'location': [95.0, 35.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.0, 43.0], 'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 34.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.0, 36.0], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 27.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 33.0], 'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.0, 39.0], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 42.0], 'player': {'id': 3338, 'name': 'Onyinye Wilfred Ndidi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [94.0, 34.0], 'player': {'id': 5475, 'name': 'John Michael Nchekwube Obinna'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.0, 26.0], 'player': {'id': 3647, 'name': 'Alex Iwobi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",f55e0ca2-bd32-4bac-8888-f14e6f6f6b5d,Blocked,0.16620727,Normal,Open Play,,,,Nigeria,775,00:33:14.427,Shot,
,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,fbe90e31-4047-422a-9b88-6cb772905da4,1499,,"[107.0, 37.0]",7529,38,,,,,,,,,,,,,,,,,,,,1,From Throw In,Andrej Kramarić,5460.0,Center Attacking Midfield,78,Croatia,785,['cf113e92-391a-4517-a3f2-c9a61a9cab40'],53,Head,"[120.0, 38.5, 3.1]",,"[{'location': [108.0, 40.0], 'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 49.0], 'player': {'id': 5462, 'name': 'Brian Oladapo Idowu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 39.0], 'player': {'id': 5454, 'name': 'Francis Odinaka Uzoho'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.0, 30.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.0, 20.0], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [82.0, 55.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [112.0, 51.0], 'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.0, 19.0], 'player': {'id': 3963, 'name': 'Victor Moses'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [103.0, 30.0], 'player': {'id': 3338, 'name': 'Onyinye Wilfred Ndidi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [98.0, 40.0], 'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.0, 51.0], 'player': {'id': 3647, 'name': 'Alex Iwobi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 34.0], 'player': {'id': 5455, 'name': 'William Troost-Ekong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",2761f197-952d-4df8-aeed-db7a36fb2eeb,Off T,0.11621209,Normal,Open Play,,,,Croatia,785,00:38:53.627,Shot,
,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,93a897b1-9f02-4788-9219-1dcae24ed398,1572,,"[104.0, 59.0]",7529,41,,,,,,,,,,,,,,,,,,,,1,From Throw In,Šime Vrsaljko,5461.0,Right Back,78,Croatia,785,['a30804d3-c7d0-403e-828d-3c84c423f00b'],56,Right Foot,"[120.0, 45.8, 3.8]",True,"[{'location': [110.0, 31.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.0, 44.0], 'player': {'id': 3338, 'name': 'Onyinye Wilfred Ndidi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.0, 43.0], 'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.0, 45.0], 'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [119.0, 40.0], 'player': {'id': 5454, 'name': 'Francis Odinaka Uzoho'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.0, 31.0], 'player': {'id': 5471, 'name': 'Abdullahi Shehu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.0, 38.0], 'player': {'id': 5455, 'name': 'William Troost-Ekong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 46.0], 'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 49.0], 'player': {'id': 5462, 'name': 'Brian Oladapo Idowu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 58.0], 'player': {'id': 3647, 'name': 'Alex Iwobi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",79cf63bb-ba1a-4c01-92b2-9addf475b12f,Off T,0.011776743,Normal,Open Play,,,,Croatia,785,00:41:56.747,Shot,
