50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.990706,,,,,,,,,,,,,,,,72f3ff3f-b9c2-4794-b61e-2a45f59328a1,352,,"[96.2, 53.3]",3754204,7,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Yann Gérard M''Vila,4429.0,Right Center Midfield,13,Sunderland,41,['6cb122e4-972c-4668-b149-809e7a5b1016'],57,,Right Foot,"[120.0, 43.5, 2.0]",,"[{'location': [106.1, 52.8], 'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.1, 51.1], 'player': {'id': 9642, 'name': 'Alan Hutton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.7, 50.2], 'player': {'id': 19362, 'name': 'Rudy Gestede'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [105.4, 49.3], 'player': {'id': 42700, 'name': 'Micah Richards'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 48.3], 'player': {'id': 3041, 'name': 'Ciaran Clark'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.4, 38.5], 'player': {'id': 12608, 'name': 'Bradley Guzan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.6, 47.3], 'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.5, 39.9], 'player': {'id': 4347, 'name': 'Jordan Amavi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.8, 36.3], 'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.1, 33.5], 'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [105.7, 47.7], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [105.4, 58.5], 'player': {'id': 16457, 'name': 'Jeremain Lens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.0, 33.0], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [106.4, 35.9], 'player': {'id': 4217, 'name': 'Danny Graham'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.0, 39.4], 'player': {'id': 18751, 'name': 'Jack Rodwell'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [96.5, 36.7], 'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,,Goal,,0.050506245,Normal,Free Kick,,,,Sunderland,41,00:07:57.188,Shot,
,,,,,,,,,,,,,,,,,,0.691514,,,,,,,,,,,,,,,,5b72d176-4dd0-40f4-bd97-4052d66fbd56,426,,"[107.9, 40.1]",3754204,11,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Scott Sinclair,11117.0,Left Wing,18,Aston Villa,59,['012cf53f-b7c6-42f3-bce9-57198b2b9013'],0,,Right Foot,"[120.0, 36.8, 0.2]",,,,,,Goal,,0.7835,Normal,Penalty,,,,Aston Villa,59,00:11:00.592,Shot,
,,,,,,,,,,,,,,,,,,0.075417,,,,,,,,,,,,,,,,697cf862-fa53-4af7-b9f5-2b4191def75b,667,,"[109.0, 28.4]",3754204,16,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Scott Sinclair,11117.0,Left Wing,24,Aston Villa,59,"['2a14a915-fc96-4ef9-a61d-e6fcc33bd36b', '7bf54129-b299-48c1-960b-430a0d8685d9']",3,,Right Foot,"[110.2, 29.9]",,"[{'location': [102.9, 36.1], 'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [104.2, 41.8], 'player': {'id': 42700, 'name': 'Micah Richards'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.1, 48.5], 'player': {'id': 19362, 'name': 'Rudy Gestede'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.8, 37.2], 'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.7, 29.8], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.6, 42.9], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.5, 30.2], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 35.6], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 47.6], 'player': {'id': 18751, 'name': 'Jack Rodwell'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.4, 41.1], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.3, 47.9], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",8cb997ee-6937-415f-8f6b-ff14d20c150f,,,Blocked,,0.14927568,Normal,Open Play,,,,Aston Villa,59,00:16:03.009,Shot,
,,,,,,,,,,,,,,,,,,0.977178,,,,,,,,,,,,,,,,923e6981-2ee0-41bb-9123-00c9d681c60e,707,,"[102.4, 52.0]",3754204,16,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Ashley Westwood,3583.0,Right Center Midfield,27,Aston Villa,59,['cba57f99-9dcb-4638-b806-c7199ed1b570'],53,,Right Foot,"[120.0, 44.8, 1.8]",True,"[{'location': [101.8, 36.0], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [84.8, 55.9], 'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [105.0, 31.7], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.2, 47.8], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.1, 49.5], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.8, 42.2], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [90.1, 63.7], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.3, 42.5], 'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.9, 34.2], 'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.2, 39.6], 'player': {'id': 19362, 'name': 'Rudy Gestede'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",c6b1a74a-bb70-4d86-aae6-8aa6d8f36d82,,,Off T,,0.059644,Normal,Open Play,,,,Aston Villa,59,00:16:53.567,Shot,
,,,,,,,,,,,,,,,,,,0.473078,,,,,,,,,,,,,,,,18403d05-fd2c-442a-8c52-fb8590064655,811,,"[112.3, 48.4]",3754204,19,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Leandro Bacuna,9533.0,Right Wing,32,Aston Villa,59,"['1264bc2a-35bf-4213-9c36-b1beefd2cb6d', '8801d077-9bfc-4cc2-8710-0f140b43bd8c']",39,,Right Foot,"[113.8, 45.4]",True,"[{'location': [105.3, 43.1], 'player': {'id': 19362, 'name': 'Rudy Gestede'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.4, 34.4], 'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.2, 42.4], 'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.7, 49.4], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.9, 42.3], 'player': {'id': 18751, 'name': 'Jack Rodwell'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.7, 39.7], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.8, 44.7], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.2, 37.3], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",3defd253-cd1d-4aeb-b075-19b629864522,,,Blocked,,0.073749326,Volley,Open Play,,,,Aston Villa,59,00:19:39.284,Shot,
,,,,,,,,,,,,,,,,,,1.213313,,,,,,,,,,,,,,,,c48598bf-bec6-442e-aee6-6290fc02e5de,1004,,"[97.1, 35.2]",3754204,24,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Idrissa Gana Gueye,3436.0,Left Center Midfield,43,Aston Villa,59,['1560d15b-47a1-4fe1-9bae-d4a0776f7543'],2,,Right Foot,"[120.0, 31.0, 0.4]",,"[{'location': [98.2, 34.0], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.3, 24.8], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.9, 39.1], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.7, 29.5], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.0, 36.8], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [88.4, 45.3], 'player': {'id': 18751, 'name': 'Jack Rodwell'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [96.9, 52.4], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.1, 39.5], 'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [81.9, 57.3], 'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.5, 54.4], 'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.5, 21.8], 'player': {'id': 19362, 'name': 'Rudy Gestede'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",2a93e65c-0a77-4ea8-918a-e664c75f42dd,,,Off T,,0.072214,Normal,Open Play,,,,Aston Villa,59,00:24:02.909,Shot,
,,,,,,,,,,,,,,,,,,0.732396,,,,,,,,,,,,,,,,6be50842-87eb-4ae5-8f98-4c14b5662011,1377,,"[113.2, 53.7]",3754204,35,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Carlos Alberto Sánchez Moreno,5685.0,Center Defensive Midfield,63,Aston Villa,59,['7f577cb8-bbba-4dd8-adcc-9134876815c8'],37,,Left Foot,"[120.0, 42.2, 3.6]",True,"[{'location': [108.5, 46.5], 'player': {'id': 42700, 'name': 'Micah Richards'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [114.3, 41.4], 'player': {'id': 3041, 'name': 'Ciaran Clark'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [109.8, 36.1], 'player': {'id': 19362, 'name': 'Rudy Gestede'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.5, 35.4], 'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [114.5, 47.7], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 46.4], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.4, 44.0], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 44.0], 'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.9, 44.9], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.8, 36.0], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.1, 39.7], 'player': {'id': 18751, 'name': 'Jack Rodwell'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.3, 33.9], 'player': {'id': 4217, 'name': 'Danny Graham'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}]",,,,Off T,,0.050909027,Half Volley,Open Play,,,,Aston Villa,59,00:35:37.063,Shot,
,,,,,,,,,,,,,,,,,,0.861549,,,,,,,,,,,,,,,,f7f3a869-1744-4eaa-add4-ee6dafbf617b,1418,,"[103.1, 56.5]",3754204,37,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Leandro Bacuna,9533.0,Right Wing,67,Aston Villa,59,"['2c72ff0d-be91-4164-a1bf-0aca032d2d2d', 'cd2523bf-704d-4e00-a3b3-06ca626fcd5c']",37,,Right Foot,"[120.0, 48.6, 1.5]",,"[{'location': [104.9, 33.0], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.1, 41.4], 'player': {'id': 18751, 'name': 'Jack Rodwell'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.5, 42.8], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.2, 46.6], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.2, 48.9], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.4, 44.0], 'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.6, 51.1], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.8, 53.0], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.7, 27.4], 'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.5, 46.9], 'player': {'id': 9642, 'name': 'Alan Hutton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.8, 37.0], 'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [99.7, 58.4], 'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",ff562385-c33b-4882-8fd4-e279aabd7dea,,,Off T,,0.03454063,Half Volley,Open Play,,,,Aston Villa,59,00:37:37.079,Shot,True
,,,,,,,,,,,,,,,,,,0.964048,,,,,,,,,,,,,,,,b7c71ec6-891c-4401-92d7-c64d802298ab,1440,,"[101.2, 36.9]",3754204,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Rudy Gestede,19362.0,Center Forward,69,Aston Villa,59,['27f4c227-e690-407f-8f7e-b47be77a2e92'],34,,Right Foot,"[116.7, 39.7, 1.6]",,"[{'location': [102.1, 36.8], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.4, 37.1], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.2, 39.3], 'player': {'id': 18751, 'name': 'Jack Rodwell'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.5, 41.0], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.5, 40.3], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.5, 53.8], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [93.3, 56.5], 'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.3, 29.5], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [116.9, 39.7], 'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.2, 62.9], 'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.2, 50.5], 'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [104.4, 42.5], 'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.5, 38.7], 'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [90.5, 57.6], 'player': {'id': 9642, 'name': 'Alan Hutton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",1dd72f3c-d708-4e89-8f11-b6e1ad13f498,,,Saved,,0.059613165,Normal,Open Play,,,,Aston Villa,59,00:38:34.217,Shot,
,,,,,,,,,,,,,,,,,,0.319727,,,,,,,,,,,,,,,,fe173049-5cd4-432b-a8d5-3940848ff69d,1495,,"[115.6, 39.2]",3754204,40,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Scott Sinclair,11117.0,Left Wing,76,Aston Villa,59,['88df632b-b3f9-42d8-94a5-63202f6cdd9d'],30,,Right Foot,"[120.0, 39.9, 2.0]",True,"[{'location': [110.1, 45.2], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.8, 37.0], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.6, 23.5], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.6, 34.3], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.1, 26.1], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.4, 41.1], 'player': {'id': 18751, 'name': 'Jack Rodwell'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.1, 43.3], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.2, 37.2], 'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.7, 19.1], 'player': {'id': 4347, 'name': 'Jordan Amavi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [106.4, 33.4], 'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [97.7, 51.2], 'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.2, 48.7], 'player': {'id': 19362, 'name': 'Rudy Gestede'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",ee6bb80e-9b9c-446e-95bb-f8827aeb4b0b,,True,Goal,,0.7295632,Half Volley,Open Play,,,,Aston Villa,59,00:40:30.451,Shot,
