50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,0.0353,,,,,,,,,,ea82a38d-e9b3-477b-9290-f372a1d17eb1,351,,,"[108.0, 46.0]",19740,6,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alisha Lehmann,18153.0,Right Midfield,16,West Ham United LFC,972,"['555239aa-a833-49e0-a86f-85d7e1303922', '59e06f52-095e-439b-b730-fc343d337efb']",16,,Right Foot,"[110.0, 45.0]",,"[{'location': [109.0, 33.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.0, 39.0], 'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 45.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 42.0], 'player': {'id': 19778, 'name': 'Frances Kitching'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",3b544b62-f581-4fad-8db4-dc71058a1f16,,,Blocked,0.084059134,Normal,Open Play,,,,West Ham United LFC,972,00:06:16.120,Shot,
,,,,,,,,,,0.2448,,,,,,,,,,728c1bd4-1502-41b4-bbfe-566598cf894f,371,,,"[117.0, 39.0]",19740,6,,,,,,,,,,,,,,,,,,,,1,Regular Play,Niamh Charles,15631.0,Left Wing,17,Liverpool WFC,966,['e536204f-fac7-4e7b-86e6-85eaf540b971'],35,,Head,"[119.0, 41.1, 1.6]",,"[{'location': [113.0, 50.0], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 46.0], 'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.0, 43.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [119.0, 42.0], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.0, 40.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",33dd48e3-471b-4978-b390-5743b00d018b,True,True,Saved,0.5309698,Normal,Open Play,,,,Liverpool WFC,966,00:06:35.545,Shot,
,,,,,,,,,,0.3716,,,,,,,,,,3927c3c9-bff1-42ec-b9f1-5cae204a1844,376,,,"[117.0, 40.0]",19740,6,,,,,,,,,,,,,,,,,,,,1,Regular Play,Courtney Sweetman-Kirk,15611.0,Center Forward,17,Liverpool WFC,966,"['691551a3-a3cf-4d9a-9a84-459a44164a3f', '9ddc9493-d6a7-4cfe-8a6c-02208ab07661', 'e9fca080-517b-42e5-b768-9841c995fb59']",37,True,Head,"[119.0, 37.4, 0.2]",,"[{'location': [116.0, 39.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.0, 43.0], 'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.0, 37.0], 'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [119.0, 39.0], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,True,True,Saved,0.58287466,Normal,Open Play,,,,Liverpool WFC,966,00:06:37.104,Shot,True
,,,,,,,,,,0.481855,,,,,,,,,,40e703ef-15fb-44f4-baf9-410284180475,379,,,"[118.0, 41.0]",19740,6,,,,,,,,,,,,,,,,,,,,1,Regular Play,Courtney Sweetman-Kirk,15611.0,Center Forward,17,Liverpool WFC,966,['76acee20-911e-42ec-863e-de57370c4601'],38,,Right Foot,"[120.0, 36.8, 1.5]",True,"[{'location': [118.0, 48.0], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.0, 48.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 44.0], 'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.0, 38.0], 'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [119.0, 40.0], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.0, 42.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",,,True,Goal,0.61210144,Backheel,Open Play,,,,Liverpool WFC,966,00:06:38.055,Shot,
,,,,,,,,,,0.553638,,,,,,,,,,66e52a99-d50a-4f50-8e2b-141426d5767e,526,,,"[107.0, 51.0]",19740,11,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jessica Anne Clarke,15218.0,Right Wing,26,Liverpool WFC,966,"['8b8fb628-3939-4331-afd2-8664989890a3', 'eb3493b1-e72c-46b0-a835-c2a8742a47d0']",36,,Right Foot,"[120.0, 44.8, 1.2]",,"[{'location': [105.0, 58.0], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 48.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 29.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 32.0], 'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 34.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [115.0, 46.0], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",54962ae2-564b-490c-a2b6-d6101fc1b301,,,Off T,0.21568072,Normal,Open Play,,,,Liverpool WFC,966,00:11:36.419,Shot,True
,,,,,,,,,,1.534542,,,,,,,,,,be227b41-021f-4cfc-984b-828fd1642049,597,,,"[95.0, 30.0]",19740,13,,,,,,,,,,,,,,,,,,,,1,From Counter,Christie Murray,15628.0,Right Midfield,30,Liverpool WFC,966,['388ba0dc-aae9-4a36-8f03-ffa359e3985e'],27,,Right Foot,"[120.0, 35.0, 1.0]",,"[{'location': [119.0, 41.0], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.0, 51.0], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 31.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 18.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [84.0, 32.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [86.0, 28.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [100.0, 23.0], 'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [98.0, 25.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.0, 27.0], 'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.0, 22.0], 'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [87.0, 24.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",ed80a3ba-ff41-48c4-b429-02df1526f3b2,,,Off T,0.031915262,Normal,Open Play,,,,Liverpool WFC,966,00:13:27.780,Shot,
,,,,,,,,,,1.429,,,,,,,,,,d9ebcc4c-6151-4c94-b604-9d7d5257f4be,966,,,"[86.0, 33.0]",19740,23,,,,,,,,,,,,,,,,,,,,1,From Throw In,Leanne Kiernan,18146.0,Right Center Forward,45,West Ham United LFC,972,"['79a8e3de-dd5e-417d-afb7-3a9b3dcfc315', 'f3a0906c-2bfb-45b9-96e1-b52d22730897']",57,,Right Foot,"[120.0, 37.4, 4.4]",,"[{'location': [86.0, 31.0], 'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [97.0, 40.0], 'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 27.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 34.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [86.0, 32.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [101.0, 25.0], 'player': {'id': 18154, 'name': 'Esmee de Graaf'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [94.0, 36.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [97.0, 43.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [87.0, 39.0], 'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [98.0, 45.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 19778, 'name': 'Frances Kitching'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",9d0359f4-ed5f-4c6c-8411-348f8fcdfda9,,,Off T,0.015632654,Normal,Open Play,,,,West Ham United LFC,972,00:23:57.610,Shot,True
,,,,,,,,,,1.370925,,,,,,,,,,189716bf-72cc-46c3-8b7a-f79cc1eca967,973,,,"[98.0, 24.0]",19740,24,,,,,,,,,,,,,,,,,,,,1,From Counter,Brianna Visalli,18157.0,Left Center Forward,47,West Ham United LFC,972,['d600c07f-06a3-461d-abdf-8b17a6b6cdb2'],34,,Right Foot,"[116.0, 37.6, 0.0]",,"[{'location': [118.0, 39.0], 'player': {'id': 19778, 'name': 'Frances Kitching'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.0, 25.0], 'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [101.0, 29.0], 'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 27.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.0, 26.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [96.0, 30.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [104.0, 19.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.0, 28.0], 'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [81.0, 37.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [102.0, 40.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [103.0, 15.0], 'player': {'id': 18154, 'name': 'Esmee de Graaf'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [99.0, 29.0], 'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",a41d750e-6584-42cf-a30a-b0cacb5f9aa2,,,Saved,0.028072473,Normal,Open Play,,,,West Ham United LFC,972,00:24:34.573,Shot,
,,,,,,,,,,0.92711,,,,,,,,,,f9eb5532-5da7-4558-bf12-04a3f05e040f,1220,,,"[112.0, 40.0]",19740,31,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Rhiannon Roberts,19779.0,Center Midfield,59,Liverpool WFC,966,['34227152-6b97-49e1-9e2f-37a135d46440'],45,,Head,"[119.0, 43.2, 0.9]",,"[{'location': [119.0, 40.0], 'player': {'id': 19778, 'name': 'Frances Kitching'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': True}, {'location': [103.0, 39.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [110.0, 44.0], 'player': {'id': 15218, 'name': 'Jessica Anne Clarke'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.0, 48.0], 'player': {'id': 18154, 'name': 'Esmee de Graaf'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [106.0, 42.0], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 41.0], 'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.0, 35.0], 'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.0, 35.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.0, 38.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.0, 40.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 42.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.0, 27.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",580c8a2c-1905-40c7-a82c-0c761a4c00f0,,,Saved,0.16760497,Normal,Open Play,,,,Liverpool WFC,966,00:31:45.732,Shot,
,,,,,,,,,,1.028077,,,,,,,,,,6cb67d6e-ac55-4e07-b8c8-1b009238e91f,1415,,,"[119.0, 30.0]",19740,38,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jessica Anne Clarke,15218.0,Right Wing,71,Liverpool WFC,966,"['2f0d3a9e-2867-470d-b953-e21a9ab9f55d', '69c18c45-d6ae-4f18-b8f2-23398d08216d']",40,,Right Foot,"[120.0, 46.3, 1.1]",,"[{'location': [110.0, 46.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.0, 40.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [115.0, 44.0], 'player': {'id': 18154, 'name': 'Esmee de Graaf'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [118.0, 44.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.0, 25.0], 'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.0, 28.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [119.0, 41.0], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 38.0], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 38.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 32.0], 'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,,,Off T,0.01623111,Normal,Open Play,,,,Liverpool WFC,966,00:38:40.289,Shot,True
