50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.648249,,,,,,,,,,,,,4403d32b-cf05-4723-9738-b046ebaeb17c,145,,"[109.4, 22.9]",3890282,3,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Felix Klaus,8551.0,Left Midfield,9,Hannover 96,178,['a601d1f5-980e-4ac1-a187-8ab772450934'],11,,Right Foot,"[117.5, 35.2, 1.3]",,"[{'location': [108.5, 47.7], 'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.9, 40.8], 'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.2, 32.2], 'player': {'id': 8561, 'name': 'Fabian Frei'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [111.0, 39.3], 'player': {'id': 8558, 'name': 'Charlison Benschop'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.3, 28.1], 'player': {'id': 24914, 'name': 'Edgar Prib'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [105.2, 39.5], 'player': {'id': 24244, 'name': 'Uffe Manich Bech'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [110.5, 43.7], 'player': {'id': 20871, 'name': 'Pierre Bengtsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.3, 24.9], 'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.8, 26.5], 'player': {'id': 9098, 'name': 'Christian Clemens'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [111.7, 39.9], 'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.8, 36.4], 'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.2, 24.3], 'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [117.8, 35.6], 'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",84b16ebe-d012-46ac-9824-b05143ea9ed8,,,Saved,0.015592494,Normal,Open Play,,,,Hannover 96,178,00:03:11.245,Shot,
,,,,,,,,,,,,,,,,,1.814395,,,,,,,,,,,,,1a860f25-49ff-4ab9-b12a-38a51d2f19f0,447,,"[107.8, 26.4]",3890282,10,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Danny Latza,8539.0,Left Defensive Midfield,29,FSV Mainz 05,177,['4ac10671-6e07-484b-9632-f46d7c02e581'],24,,Left Foot,"[120.0, 51.8, 0.2]",,"[{'location': [117.4, 36.5], 'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.6, 48.5], 'player': {'id': 12316, 'name': 'Oliver Sorg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.9, 39.7], 'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 36.7], 'player': {'id': 400614, 'name': 'Christian Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.5, 31.8], 'player': {'id': 3164, 'name': 'Marcelo Antônio Guedes Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 28.1], 'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.3, 39.6], 'player': {'id': 24914, 'name': 'Edgar Prib'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.9, 67.5], 'player': {'id': 9098, 'name': 'Christian Clemens'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [105.6, 46.8], 'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [107.8, 36.2], 'player': {'id': 6337, 'name': 'Yoshinori Muto'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [104.4, 38.6], 'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",e86d3907-a5c8-4cbd-b5d7-a680d35c26d5,,,Off T,0.036409643,Normal,Open Play,,,,FSV Mainz 05,177,00:10:24.499,Shot,
,,,,,,,,,,,,,,,,,0.708163,,,,,,,,,,,,,8fcecbc6-39b5-464e-9193-7077bb8842f3,514,,"[112.9, 39.6]",3890282,12,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Hiroki Sakai,3530.0,Right Back,33,Hannover 96,178,"['47c915c2-8d8d-4741-9aac-375719700c15', 'bec75a4d-a608-4900-ad0e-edd4c2a6d268']",32,True,Head,"[118.4, 39.7, 0.8]",,"[{'location': [113.1, 41.8], 'player': {'id': 3164, 'name': 'Marcelo Antônio Guedes Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [119.3, 39.7], 'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.5, 53.2], 'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.2, 41.9], 'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.0, 49.2], 'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.9, 42.3], 'player': {'id': 9098, 'name': 'Christian Clemens'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [100.0, 24.3], 'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [113.6, 39.3], 'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [114.5, 40.5], 'player': {'id': 20871, 'name': 'Pierre Bengtsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.6, 35.4], 'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 41.6], 'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [107.5, 33.3], 'player': {'id': 8558, 'name': 'Charlison Benschop'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",3e8afc7e-ab0d-4901-8459-60725ec6b545,,,Saved,0.11664875,Normal,Open Play,,,,Hannover 96,178,00:12:32.249,Shot,True
,,,,,,,,,,,,,,,,,0.831079,,,,,,,,,,,,,009834c3-d0ff-4e14-bb96-4d66c9afba41,601,,"[108.8, 34.1]",3890282,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yoshinori Muto,6337.0,Left Center Forward,38,FSV Mainz 05,177,['d6e2677e-8752-473b-96a5-a41df85ccb07'],42,,Left Foot,"[120.0, 41.9, 0.3]",True,"[{'location': [106.5, 33.1], 'player': {'id': 400614, 'name': 'Christian Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.8, 48.0], 'player': {'id': 12316, 'name': 'Oliver Sorg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.9, 40.5], 'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.2, 31.4], 'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.5, 32.6], 'player': {'id': 3164, 'name': 'Marcelo Antônio Guedes Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.6, 36.2], 'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.9, 35.3], 'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [92.2, 48.9], 'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [103.3, 54.4], 'player': {'id': 9098, 'name': 'Christian Clemens'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",03c72332-0f4c-4abd-a7d1-d849b89ad3ba,,,Goal,0.40194348,Normal,Open Play,,,,FSV Mainz 05,177,00:14:42.970,Shot,
,,,,,,,,,,,,,,,,,0.228897,,,,,,,,,,,,,0fe1cc7c-55ff-4882-80f0-e2d7e24e3dee,738,,"[106.7, 30.3]",3890282,17,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yoshinori Muto,6337.0,Left Center Forward,42,FSV Mainz 05,177,['52e4ec3a-7f8a-433b-899b-c937a523a5fc'],33,,Left Foot,"[109.9, 32.2, 0.2]",True,"[{'location': [95.7, 67.1], 'player': {'id': 9098, 'name': 'Christian Clemens'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [99.3, 48.9], 'player': {'id': 12316, 'name': 'Oliver Sorg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.1, 32.2], 'player': {'id': 400614, 'name': 'Christian Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.2, 25.9], 'player': {'id': 3164, 'name': 'Marcelo Antônio Guedes Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.7, 21.6], 'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.5, 32.8], 'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.3, 40.0], 'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",7459b4da-26b4-469e-94e7-5644de784519,,,Saved,0.22257295,Normal,Open Play,,,,FSV Mainz 05,177,00:17:33.257,Shot,
,,,,,,,,,,,,,,,,,0.224446,,,,,,,,,,,,,8cd0583f-a1e3-4dbd-b5fd-5bd0c736ac5c,919,,"[104.5, 25.6]",3890282,22,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Felix Klaus,8551.0,Left Midfield,48,Hannover 96,178,"['0427aca5-c10d-4469-95e0-698148f13353', '4af6cd23-b389-44df-8c3c-77b6aed2fd7e']",34,,Right Foot,"[106.5, 27.7]",,"[{'location': [118.5, 38.5], 'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.6, 33.0], 'player': {'id': 24914, 'name': 'Edgar Prib'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [107.5, 43.7], 'player': {'id': 24244, 'name': 'Uffe Manich Bech'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [107.1, 35.9], 'player': {'id': 8558, 'name': 'Charlison Benschop'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.9, 42.5], 'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.4, 44.2], 'player': {'id': 20871, 'name': 'Pierre Bengtsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.7, 33.5], 'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.5, 35.6], 'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.9, 28.6], 'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 22.8], 'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.5, 26.6], 'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.7, 21.0], 'player': {'id': 9098, 'name': 'Christian Clemens'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",ed0f6bf9-bae3-4c9d-ad34-85ea4b153ab1,,,Blocked,0.0501959,Normal,Open Play,,,,Hannover 96,178,00:22:34.567,Shot,
,,,,,,,,,,,,,,,,,0.147959,,,,,,,,,,,,,1342cbba-4cea-4f11-a330-b71a494d0586,1195,,"[112.1, 39.1]",3890282,27,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Christian Clemens,9098.0,Right Midfield,61,FSV Mainz 05,177,"['05b2975b-37bd-4afc-af5b-8bf4a8d4b587', 'c20871a2-da44-4ebf-812f-9aa589ff4fd1']",40,,Left Foot,"[116.6, 35.2]",True,"[{'location': [119.5, 27.5], 'player': {'id': 6337, 'name': 'Yoshinori Muto'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [113.9, 39.8], 'player': {'id': 12316, 'name': 'Oliver Sorg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.3, 36.0], 'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [118.7, 38.5], 'player': {'id': 8543, 'name': 'Manuel Schmiedebach'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [117.2, 34.0], 'player': {'id': 3164, 'name': 'Marcelo Antônio Guedes Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.9, 30.3], 'player': {'id': 400614, 'name': 'Christian Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.3, 39.7], 'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [104.1, 46.8], 'player': {'id': 8551, 'name': 'Felix Klaus'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]",b8cc7b99-b13c-468a-8fda-bff2c26d8e1d,,,Wayward,0.23796779,Half Volley,Open Play,,,,FSV Mainz 05,177,00:27:40.047,Shot,True
,,,,,,,,,,,,,,,,,0.033162,,,,,,,,,,,,,dcf0b942-5149-40b9-92f8-fa78abd9ac5c,1201,,"[116.5, 47.5]",3890282,28,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Stefan Bell,8559.0,Left Center Back,62,FSV Mainz 05,177,"['08deb641-00b1-43f6-bbdc-fb857f68303f', '3d425b8b-14f7-4fce-b125-c6103a1bdfd7', '5e175ce8-564c-4a2c-91e9-479941aa119c']",10,True,Head,"[116.8, 46.5]",,"[{'location': [118.6, 44.1], 'player': {'id': 12316, 'name': 'Oliver Sorg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.5, 34.1], 'player': {'id': 8558, 'name': 'Charlison Benschop'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.7, 37.1], 'player': {'id': 400614, 'name': 'Christian Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.1, 45.8], 'player': {'id': 8551, 'name': 'Felix Klaus'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [113.0, 39.9], 'player': {'id': 6337, 'name': 'Yoshinori Muto'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [114.2, 42.3], 'player': {'id': 3164, 'name': 'Marcelo Antônio Guedes Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.7, 43.8], 'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.9, 42.5], 'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.6, 45.9], 'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.5, 48.6], 'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",c9cba506-fbf3-4ece-a5c8-9c776d6dec86,,,Blocked,0.07653259,Normal,Open Play,,,,FSV Mainz 05,177,00:28:10.531,Shot,True
,,,,,,,,,,,,,,,,,0.147007,,,,,,,,,,,,,67d84737-5aec-468a-9340-aff55bd6cd4c,1205,,"[118.5, 39.5]",3890282,28,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Yoshinori Muto,6337.0,Left Center Forward,62,FSV Mainz 05,177,['51f8073e-0fa5-4a0a-9e89-1e7e65223cc7'],11,,Head,"[120.0, 38.1, 1.3]",,"[{'location': [118.4, 44.4], 'player': {'id': 12316, 'name': 'Oliver Sorg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.2, 53.4], 'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [119.6, 49.4], 'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [119.0, 47.5], 'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.9, 42.6], 'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.6, 43.4], 'player': {'id': 3164, 'name': 'Marcelo Antônio Guedes Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.7, 43.9], 'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.2, 46.7], 'player': {'id': 8551, 'name': 'Felix Klaus'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [115.2, 34.9], 'player': {'id': 8558, 'name': 'Charlison Benschop'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}]",,,True,Goal,0.9183623,Normal,Open Play,,,,FSV Mainz 05,177,00:28:11.663,Shot,
,,,,,,,,,,,,,,,,,1.336134,,,,,,,,,,,,,e94ce8f3-1899-47f0-8d7a-e2a108c9cd1c,1773,,"[91.5, 37.8]",3890282,45,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Salif Sané,5664.0,Center Defensive Midfield,93,Hannover 96,178,['970b037b-acd6-4ad8-8575-f276aa306b69'],2,,Left Foot,"[120.0, 45.0, 0.2]",,"[{'location': [115.1, 40.0], 'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [87.0, 35.8], 'player': {'id': 6337, 'name': 'Yoshinori Muto'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [92.1, 40.0], 'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [99.4, 54.9], 'player': {'id': 20871, 'name': 'Pierre Bengtsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.6, 47.7], 'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.7, 37.4], 'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.5, 33.5], 'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.6, 56.6], 'player': {'id': 8558, 'name': 'Charlison Benschop'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [96.1, 46.9], 'player': {'id': 24244, 'name': 'Uffe Manich Bech'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [99.7, 31.9], 'player': {'id': 8551, 'name': 'Felix Klaus'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",a477c712-d6dc-494f-a0ae-ff33977a181b,,,Off T,0.03473206,Normal,Open Play,,,,Hannover 96,178,00:45:02.630,Shot,
