bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.455569,,,,,,,,,,,,,4c5df74f-3f2b-416f-a4da-4a204dbea1de,70,,,"[94.4, 40.9]",3775561,1,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Katie Zelem,31540.0,Left Defensive Midfield,6,Manchester United,1475,['a3b361cd-ec25-4d3b-847c-4074223e3025'],30,,Right Foot,"[116.0, 42.0, 1.5]",,"[{'location': [102.7, 53.7], 'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [77.6, 20.8], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.6, 44.7], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [98.8, 40.6], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.2, 42.0], 'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.5, 44.3], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.3, 33.3], 'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.1, 40.8], 'player': {'id': 42787, 'name': 'Mackenzie Arnold'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.0, 53.6], 'player': {'id': 5013, 'name': 'Tobin Powell Heath'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.2, 47.5], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [110.1, 46.6], 'player': {'id': 47521, 'name': 'Alessia Russo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.1, 26.7], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,Saved,0.034307454,Normal,Open Play,,,,Manchester United,1475,00:01:30.906,Shot,
,,,,,,,,,,,,,,,,,,0.798854,,,,,,,,,,,,,eeb88860-6e14-46c9-b26c-54da1bcb3675,97,,,"[105.8, 35.6]",3775561,2,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alessia Russo,47521.0,Center Forward,15,Manchester United,1475,['04284afd-01fc-478b-b124-b1486ee6bda7'],25,,Right Foot,"[117.3, 38.7, 0.3]",,"[{'location': [93.2, 24.9], 'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [104.8, 47.8], 'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.5, 39.6], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.9, 34.4], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.8, 35.6], 'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.5, 34.2], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.6, 25.4], 'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.5, 17.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [117.2, 39.3], 'player': {'id': 42787, 'name': 'Mackenzie Arnold'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.3, 44.9], 'player': {'id': 5013, 'name': 'Tobin Powell Heath'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.8, 40.1], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [86.9, 18.6], 'player': {'id': 50460, 'name': 'Lotta Ökvist'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",45cee784-b3b8-41ad-b03c-b68f54a6988f,,Saved,0.08024939,Normal,Open Play,,,,Manchester United,1475,00:02:25.488,Shot,
,,,,,,,,,,,,,,,,,,1.735484,,,,,,,,,,,,,1aecf34c-64c2-4f32-95af-a01f7a51c196,116,,,"[99.0, 49.4]",3775561,3,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ella Toone,31534.0,Center Attacking Midfield,20,Manchester United,1475,['5dc896b3-b69f-47db-9b29-9c5717d8deb6'],0,,Right Foot,"[120.0, 33.8, 0.4]",True,"[{'location': [104.0, 55.9], 'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.0, 47.9], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.5, 47.3], 'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 42.4], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.8, 35.3], 'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.9, 42.3], 'player': {'id': 42787, 'name': 'Mackenzie Arnold'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.2, 65.5], 'player': {'id': 5013, 'name': 'Tobin Powell Heath'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.3, 30.2], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.7, 42.2], 'player': {'id': 47521, 'name': 'Alessia Russo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",9daf8039-535b-4505-b2cb-2de9cacef3fa,,Off T,0.035266537,Half Volley,Open Play,,,,Manchester United,1475,00:03:00.342,Shot,
,,,,,,,,,,,,,,,,,,1.918212,,,,,,,,,,,,,b22b277b-d638-4d9b-97bc-c6f5cdbdaeb6,228,,,"[100.8, 26.3]",3775561,5,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adriana Kristina Leon,8297.0,Left Wing,27,West Ham United LFC,972,['b71cf250-e4d5-4184-a7ea-e6bd825d1726'],39,,Right Foot,"[120.0, 46.5, 6.6]",True,"[{'location': [89.1, 37.7], 'player': {'id': 47521, 'name': 'Alessia Russo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [106.3, 32.8], 'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.4, 38.4], 'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [104.1, 45.1], 'player': {'id': 50460, 'name': 'Lotta Ökvist'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.4, 44.2], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.6, 38.1], 'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 31.8], 'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.7, 38.9], 'player': {'id': 31558, 'name': 'Martha Thomas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.7, 52.6], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [118.1, 38.2], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [82.9, 48.6], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}]",6b4fc1ad-e753-4d91-9927-f85e72075eb9,,Off T,0.03998719,Normal,Open Play,,,,West Ham United LFC,972,00:05:39.773,Shot,
,,,,,,,,,,,,,,,,,,0.211359,,,,,,,,,,,,,8bfe279c-34fe-4d28-91bb-32198ed3d810,248,,,"[109.2, 29.2]",3775561,6,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Ella Toone,31534.0,Center Attacking Midfield,28,Manchester United,1475,['138a2c24-e192-4458-b96e-b1c84044b6a5'],24,,Left Foot,"[112.3, 32.4, 0.5]",,"[{'location': [112.4, 32.3], 'player': {'id': 42787, 'name': 'Mackenzie Arnold'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [86.0, 30.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [91.1, 34.1], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.1, 34.4], 'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.2, 38.6], 'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.7, 30.9], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.2, 23.6], 'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.9, 32.6], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.2, 45.0], 'player': {'id': 5013, 'name': 'Tobin Powell Heath'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [95.0, 30.8], 'player': {'id': 47521, 'name': 'Alessia Russo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",a0d0ccce-7819-45bf-b4a0-e89b92a6f221,,Saved,0.24226618,Normal,Open Play,,,,Manchester United,1475,00:06:24.404,Shot,
,,,,,,,,,,,,,,,,,,0.04909,,,,,,,,,,,,,84ce3e70-3eb5-42d4-8a6a-6c9fb9e49ce7,521,,,"[98.5, 41.1]",3775561,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Tobin Powell Heath,5013.0,Right Wing,52,Manchester United,1475,"['2737d39b-6902-46b8-80d3-885818b01657', '88dfecb3-4fb2-499f-8b44-555f97efddc9']",23,,Left Foot,"[99.5, 41.0]",,"[{'location': [98.9, 54.2], 'player': {'id': 47521, 'name': 'Alessia Russo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.9, 30.6], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [115.2, 39.3], 'player': {'id': 42787, 'name': 'Mackenzie Arnold'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.8, 37.2], 'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 43.3], 'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.6, 41.5], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.4, 40.4], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",93aedf6d-a54c-4d36-86f0-46ceeebfe087,,Blocked,0.06744705,Normal,Open Play,,,,Manchester United,1475,00:14:23.347,Shot,
,,,,,,,,,,,,,,,,,,1.324983,,,,,,,,,,,,,04b0ced1-ed27-4052-ac90-329dd2ec211e,647,,,"[104.1, 47.9]",3775561,17,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Tobin Powell Heath,5013.0,Right Wing,59,Manchester United,1475,['ba8912df-e02d-4df8-b52e-2cca6cab5ea1'],56,,Right Foot,"[120.0, 29.9, 0.5]",,"[{'location': [116.3, 41.7], 'player': {'id': 42787, 'name': 'Mackenzie Arnold'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.0, 44.5], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.5, 49.2], 'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.7, 47.0], 'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.5, 40.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.7, 42.4], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.3, 36.2], 'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.9, 30.3], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.2, 36.7], 'player': {'id': 47521, 'name': 'Alessia Russo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.8, 39.5], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,,Off T,0.049184013,Normal,Open Play,,,,Manchester United,1475,00:17:56.822,Shot,
,,,,,,,,,,,,,,,,,,0.433294,,,,,,,,,,,,,b655ad41-2804-48f5-a993-ef9867d8f1e9,688,,,"[117.5, 39.3]",3775561,19,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alessia Russo,47521.0,Center Forward,61,Manchester United,1475,['444e5759-8e03-4010-a256-8a04d1c7c69b'],10,,Left Foot,"[120.0, 40.3, 0.5]",True,"[{'location': [107.2, 36.8], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [120.0, 32.5], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.0, 42.5], 'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 33.5], 'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.2, 32.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.6, 47.4], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.4, 42.6], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.9, 39.4], 'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.8, 39.3], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [120.0, 38.8], 'player': {'id': 42787, 'name': 'Mackenzie Arnold'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",49f390c1-2c7f-4eab-8d08-cbf7f07ce472,,Goal,0.65027165,Half Volley,Open Play,,,,Manchester United,1475,00:19:10.697,Shot,
,,,,,,,,,,,,,,,,,,0.69063,,,,,,,,,,,,,e32e0ac8-9199-40f5-9b3d-89e4d8e8b640,849,,,"[111.3, 51.4]",3775561,22,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Tobin Powell Heath,5013.0,Right Wing,68,Manchester United,1475,['5e6c506d-3ff4-4f0f-9117-b40f088cae41'],56,,Right Foot,"[120.0, 37.2, 1.0]",,"[{'location': [100.0, 50.8], 'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.4, 41.9], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.9, 39.9], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.3, 44.2], 'player': {'id': 42787, 'name': 'Mackenzie Arnold'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.7, 48.0], 'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.3, 26.2], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [86.7, 26.1], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.0, 34.1], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.1, 41.3], 'player': {'id': 47521, 'name': 'Alessia Russo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",17ee054b-7c6d-4599-92e3-a280f53fe4fe,,Goal,0.19565885,Normal,Open Play,,,,Manchester United,1475,00:22:56.178,Shot,
,,,,,,,,,,,,,,,,,,0.679754,,,,,,,,,,,,,50fc5e42-0dd0-44cb-8673-c882b81d9e0d,954,,,"[103.3, 38.4]",3775561,26,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Martha Thomas,31558.0,Center Forward,75,West Ham United LFC,972,"['6f8f44fd-9d83-458a-99a2-d56c80ac26a0', '86fdfe9a-6fd2-4c7d-87ef-66cd893e7461']",22,,Right Foot,"[107.7, 38.4]",,"[{'location': [104.4, 62.3], 'player': {'id': 50460, 'name': 'Lotta Ökvist'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.4, 50.4], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.2, 46.5], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.1, 51.6], 'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 38.2], 'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 39.3], 'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [80.2, 63.1], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [88.9, 45.0], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [117.7, 39.9], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.4, 36.6], 'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [93.6, 40.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [102.6, 50.0], 'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [93.2, 47.7], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",ff5b93ef-6ae0-4461-acbe-c013d1007086,,Blocked,0.07071911,Normal,Open Play,,,,West Ham United LFC,972,00:26:22.261,Shot,
