50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.155419,,,,,,,,,,,,,,3e45d9ba-7528-4a3d-b20c-c3f0ccad2c70,320,,,"[105.6, 44.9]",3879658,6,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Emmanuel Agyemang-Badu,24722.0,Right Center Midfield,16,Udinese,230,"['174aaeae-165a-49ff-bba4-298fdb14e031', 'e7e02434-16be-4b7d-9186-e2889086728b']",27,,Left Foot,True,"[115.4, 42.0, 1.4]",,"[{'location': [99.9, 41.8], 'player': {'id': 40430, 'name': 'Giuseppe Vives'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.6, 46.2], 'player': {'id': 4709, 'name': 'Pontus Jansson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [108.2, 43.8], 'player': {'id': 7479, 'name': 'Cristian Molinaro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [102.6, 30.9], 'player': {'id': 40427, 'name': 'Cesare Bovo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.1, 37.7], 'player': {'id': 7476, 'name': 'Emiliano Moretti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.5, 18.2], 'player': {'id': 3660, 'name': 'Davide Zappacosta'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [116.2, 41.9], 'player': {'id': 34881, 'name': 'Daniele Padelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.3, 28.8], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [107.5, 32.1], 'player': {'id': 7805, 'name': 'Stipe Perica'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",6ec676ce-937d-47ae-9893-41e34b76d021,Saved,0.080510765,Normal,Open Play,,,,Udinese,230,00:06:27.735,Shot,
,,,,,,,,,,,,,,,,,,0.727707,,,,,,,,,,,,,,6c91e505-fa8f-47d8-942d-88e2c828ea42,423,,,"[99.8, 33.4]",3879658,9,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Stipe Perica,7805.0,Left Center Forward,24,Udinese,230,['235069f5-109d-41b0-9e50-01331f8df279'],4,,Right Foot,,"[116.5, 39.3, 0.2]",True,"[{'location': [94.3, 32.4], 'player': {'id': 40430, 'name': 'Giuseppe Vives'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.8, 45.3], 'player': {'id': 7479, 'name': 'Cristian Molinaro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [105.8, 39.4], 'player': {'id': 7476, 'name': 'Emiliano Moretti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.8, 27.0], 'player': {'id': 7149, 'name': 'Marco Benassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.1, 33.7], 'player': {'id': 40427, 'name': 'Cesare Bovo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.1, 25.7], 'player': {'id': 4709, 'name': 'Pontus Jansson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [117.2, 39.4], 'player': {'id': 34881, 'name': 'Daniele Padelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.4, 53.2], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.6, 40.4], 'player': {'id': 19846, 'name': 'Antonio Di Natale'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [99.7, 20.6], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",1bbfb57f-901c-41f7-9c34-953041419813,Saved,0.064427204,Normal,Open Play,,,,Udinese,230,00:09:04.169,Shot,
,,,,,,,,,,,,,,,,,,0.338817,,,,,,,,,,,,,,f5e4b17c-3a21-4ebd-8efe-dcfd78f885ce,540,,,"[112.1, 33.2]",3879658,12,,,True,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Emiliano Moretti,7476.0,Left Center Back,34,Torino,241,"['704eadb3-d506-4edf-9766-308a51943bc3', '711b4bfb-91dc-4e77-804a-23748e3fb6d0']",24,True,Head,,"[120.0, 64.8]",,"[{'location': [101.2, 64.4], 'player': {'id': 7149, 'name': 'Marco Benassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [111.8, 30.3], 'player': {'id': 4709, 'name': 'Pontus Jansson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [112.4, 32.1], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [111.9, 34.3], 'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.6, 41.2], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [111.5, 35.8], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.9, 46.1], 'player': {'id': 7805, 'name': 'Stipe Perica'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [110.9, 37.9], 'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.5, 42.4], 'player': {'id': 40367, 'name': 'Francesco Lodi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.6, 41.4], 'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [105.8, 45.7], 'player': {'id': 3660, 'name': 'Davide Zappacosta'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [111.9, 44.5], 'player': {'id': 7471, 'name': 'Andrea Belotti'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [112.1, 40.1], 'player': {'id': 7011, 'name': 'Fabio Quagliarella'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [101.2, 39.9], 'player': {'id': 7465, 'name': 'Daniele Baselli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [117.8, 37.2], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.8, 61.4], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",cce59038-935a-4d32-a86a-fceec18127ab,Wayward,0.05285004,Normal,Open Play,,,,Torino,241,00:12:24.651,Shot,True
,,,,,,,,,,,,,,,,,,0.896619,,,,,,,,,,,,,,3e82a244-af1a-4ae7-a3b2-ab10adb6654e,624,,,"[93.3, 53.4]",3879658,15,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antonio Di Natale,19846.0,Right Center Forward,41,Udinese,230,['905319e6-972b-48a2-a345-22a8ef83f8a1'],6,,Right Foot,,"[118.1, 44.4, 1.3]",,"[{'location': [104.4, 15.9], 'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [118.4, 42.4], 'player': {'id': 34881, 'name': 'Daniele Padelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.3, 55.3], 'player': {'id': 7465, 'name': 'Daniele Baselli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [96.8, 66.0], 'player': {'id': 7479, 'name': 'Cristian Molinaro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [95.1, 51.4], 'player': {'id': 40430, 'name': 'Giuseppe Vives'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 51.0], 'player': {'id': 7476, 'name': 'Emiliano Moretti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.8, 48.0], 'player': {'id': 4709, 'name': 'Pontus Jansson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [99.6, 39.5], 'player': {'id': 7149, 'name': 'Marco Benassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.8, 44.6], 'player': {'id': 40427, 'name': 'Cesare Bovo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.1, 37.3], 'player': {'id': 3660, 'name': 'Davide Zappacosta'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [86.4, 59.1], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [91.9, 72.9], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.1, 46.4], 'player': {'id': 7805, 'name': 'Stipe Perica'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [101.6, 37.3], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",b846ec90-9aba-4f11-aa2b-58258cf084e9,Saved,0.022028996,Normal,Open Play,,,,Udinese,230,00:15:06.794,Shot,
,,,,,,,,,,,,,,,,,,0.265881,,,,,,,,,,,,,,5db1309b-23cf-4247-8d39-c757320ff48a,627,,,"[115.3, 49.7]",3879658,15,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Stipe Perica,7805.0,Left Center Forward,41,Udinese,230,['56647788-8ab6-4793-bb36-02bdab037eb4'],9,,Right Foot,,"[117.1, 47.2, 0.3]",True,"[{'location': [108.2, 53.3], 'player': {'id': 7476, 'name': 'Emiliano Moretti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 40.6], 'player': {'id': 7149, 'name': 'Marco Benassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.6, 48.3], 'player': {'id': 4709, 'name': 'Pontus Jansson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [113.2, 42.4], 'player': {'id': 40427, 'name': 'Cesare Bovo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.5, 46.5], 'player': {'id': 34881, 'name': 'Daniele Padelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.7, 39.3], 'player': {'id': 3660, 'name': 'Davide Zappacosta'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [103.1, 16.0], 'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [108.7, 40.4], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,Saved,0.23230912,Normal,Open Play,,,,Udinese,230,00:15:09.562,Shot,
,,,,,,,,,,,,,,,,,,0.216836,,,,,,,,,,,,,,e8d3dc3a-e5df-4788-9139-12257b0cf3af,757,,,"[105.7, 51.4]",3879658,18,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marco Benassi,7149.0,Right Center Midfield,51,Torino,241,"['37099e22-5fa9-4fbe-8541-a757471446c2', 'b2b122fe-c7cb-4168-a9bc-0b8ba01f0ba3']",35,,Left Foot,,"[109.0, 48.4]",,"[{'location': [103.3, 48.4], 'player': {'id': 7471, 'name': 'Andrea Belotti'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [93.0, 57.8], 'player': {'id': 7011, 'name': 'Fabio Quagliarella'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [112.1, 49.7], 'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 48.4], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [106.0, 47.4], 'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.5, 53.4], 'player': {'id': 40367, 'name': 'Francesco Lodi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.8, 35.7], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [117.5, 42.5], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",6ed44080-cb07-4f2d-95e2-58308bfb4fc1,Blocked,0.06289535,Normal,Open Play,,,,Torino,241,00:18:35.379,Shot,
,,,,,,,,,,,,,,,,,,0.671518,,,,,,,,,,,,,,2ca4af9e-9b25-4974-a18d-125d9aa327bb,761,,,"[93.1, 44.9]",3879658,18,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Fabio Quagliarella,7011.0,Right Center Forward,51,Torino,241,['9de67d63-4a53-436b-ad34-30856f774a22'],38,,Left Foot,,"[120.0, 36.1, 3.9]",True,"[{'location': [108.3, 38.6], 'player': {'id': 7471, 'name': 'Andrea Belotti'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [102.8, 31.5], 'player': {'id': 7465, 'name': 'Daniele Baselli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [102.1, 50.8], 'player': {'id': 7149, 'name': 'Marco Benassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [109.3, 48.7], 'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [104.1, 46.1], 'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.8, 43.7], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [107.1, 37.5], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [105.8, 32.1], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.1, 43.0], 'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [90.9, 57.7], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [88.1, 46.5], 'player': {'id': 40367, 'name': 'Francesco Lodi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [116.7, 40.7], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.6, 62.0], 'player': {'id': 3660, 'name': 'Davide Zappacosta'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}]",,Off T,0.026588583,Normal,Open Play,,,,Torino,241,00:18:38.048,Shot,
,,,,,,,,,,,,,,,,,,0.613734,,,,,,,,,,,,,,3d069dbb-d9c3-4fe1-b718-776f45f0d321,1112,,,"[106.6, 52.0]",3879658,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrea Belotti,7471.0,Left Center Forward,68,Torino,241,"['00668f3f-3c2c-4fca-ad0b-36d9a0cc2923', '646309c7-4e85-457e-bd31-9b1e60261091']",57,,Right Foot,,"[118.2, 44.1, 1.2]",True,"[{'location': [102.7, 40.9], 'player': {'id': 7805, 'name': 'Stipe Perica'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [103.8, 33.3], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.8, 35.8], 'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.9, 37.2], 'player': {'id': 7465, 'name': 'Daniele Baselli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.7, 52.9], 'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.3, 65.0], 'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [114.0, 58.1], 'player': {'id': 7149, 'name': 'Marco Benassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [118.5, 43.3], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.7, 50.8], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}]",b0462d34-8638-48a3-a6a9-3be5eb2e035f,Saved,0.07487957,Half Volley,Open Play,,,,Torino,241,00:27:57.183,Shot,True
,,,,,,,,,,,,,,,,,,1.079513,,,,,,,,,,,,,,1147a0c2-ff8b-4d89-b306-b282a5c049a5,1117,,,"[95.8, 29.4]",3879658,28,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Cristian Molinaro,7479.0,Left Wing Back,69,Torino,241,['bce593df-48bc-4aee-93fd-ed315fc19e54'],28,,Left Foot,,"[120.0, 30.6, 0.2]",True,"[{'location': [99.3, 30.9], 'player': {'id': 19846, 'name': 'Antonio Di Natale'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [119.0, 38.4], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.2, 38.9], 'player': {'id': 40430, 'name': 'Giuseppe Vives'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [114.8, 33.0], 'player': {'id': 7465, 'name': 'Daniele Baselli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.3, 36.4], 'player': {'id': 7011, 'name': 'Fabio Quagliarella'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [113.7, 42.8], 'player': {'id': 7805, 'name': 'Stipe Perica'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [107.4, 35.0], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [113.4, 32.4], 'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [113.0, 35.5], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.5, 38.1], 'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.5, 45.1], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [107.4, 40.3], 'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.5, 42.9], 'player': {'id': 40367, 'name': 'Francesco Lodi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.7, 54.4], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.9, 37.5], 'player': {'id': 7471, 'name': 'Andrea Belotti'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [111.6, 42.8], 'player': {'id': 4709, 'name': 'Pontus Jansson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [101.6, 51.5], 'player': {'id': 7149, 'name': 'Marco Benassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [94.7, 49.6], 'player': {'id': 3660, 'name': 'Davide Zappacosta'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}]",,Off T,0.018650606,Volley,Open Play,,,,Torino,241,00:28:28.571,Shot,
,,,,,,,,,,,,,,,,,,1.143488,,,,,,,,,,,,,,6c451674-eec8-4bba-8ea6-2027f8d84ccd,1152,,,"[96.1, 54.4]",3879658,29,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Emmanuel Agyemang-Badu,24722.0,Right Center Midfield,71,Udinese,230,['e648a644-fa9e-4ec6-94b2-3f4870d32824'],55,,Left Foot,,"[120.0, 46.8, 6.9]",True,"[{'location': [106.0, 65.1], 'player': {'id': 7011, 'name': 'Fabio Quagliarella'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [110.6, 47.9], 'player': {'id': 40430, 'name': 'Giuseppe Vives'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [111.7, 49.5], 'player': {'id': 7465, 'name': 'Daniele Baselli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.6, 50.5], 'player': {'id': 7479, 'name': 'Cristian Molinaro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [98.3, 56.4], 'player': {'id': 7471, 'name': 'Andrea Belotti'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [107.1, 44.7], 'player': {'id': 3660, 'name': 'Davide Zappacosta'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [98.9, 39.4], 'player': {'id': 7149, 'name': 'Marco Benassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.6, 41.5], 'player': {'id': 34881, 'name': 'Daniele Padelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.8, 46.2], 'player': {'id': 40427, 'name': 'Cesare Bovo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.8, 37.0], 'player': {'id': 7476, 'name': 'Emiliano Moretti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.2, 44.0], 'player': {'id': 4709, 'name': 'Pontus Jansson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [114.7, 75.7], 'player': {'id': 40367, 'name': 'Francesco Lodi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [115.5, 74.2], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [112.8, 49.8], 'player': {'id': 19846, 'name': 'Antonio Di Natale'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [113.2, 46.4], 'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [105.7, 44.4], 'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [114.9, 41.1], 'player': {'id': 7805, 'name': 'Stipe Perica'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [104.4, 31.7], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [95.9, 39.1], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,Off T,0.01281553,Volley,Open Play,,,,Udinese,230,00:29:55.168,Shot,
