50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,1.071,,,,,,,,,,6ccaaa28-4e1a-47be-904f-8b01cec7011e,113,,"[108.0, 55.0]",7493,1,,,,,,,,,,,,,,,,,,1,From Goal Kick,Jasmyne Spencer,5077.0,Right Attacking Midfield,5,OL Reign,760,['f676d836-5960-4c0b-9f27-ced886f234d4'],50,,Right Foot,"[120.0, 44.6, 3.2]",,"[{'location': [112.0, 50.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [110.0, 39.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 38.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 45.0], 'player': {'id': 21057, 'name': 'DiDi Haracic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 43.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [108.0, 34.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}]",0db49d77-74b2-49da-ae15-b6a55f9eb2d5,Off T,0.05107049,Normal,Open Play,,,,OL Reign,760,00:01:50.418,Shot,
,,,,,,,,,,1.538,,,,,,,,,,5832578c-2c48-4908-9b69-63e08fbbb2c9,169,,"[99.0, 53.0]",7493,4,,,,,,,,,,,,,,,,,,1,From Free Kick,Tori Huster,5029.0,Left Center Back,9,Washington Spirit,759,['63e4a47b-cdcf-489b-8593-15d7a7da8649'],36,,Right Foot,"[117.0, 34.6, 2.9]",,"[{'location': [109.0, 33.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [118.0, 41.0], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.0, 54.0], 'player': {'id': 4997, 'name': 'Alyssa Kleiner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 53.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 52.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [106.0, 50.0], 'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [97.0, 57.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [108.0, 47.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [114.0, 31.0], 'player': {'id': 5077, 'name': 'Jasmyne Spencer'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [110.0, 34.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 38.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.0, 40.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.0, 36.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 45.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [101.0, 36.0], 'player': {'id': 4945, 'name': 'Havana Solaun'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': True}, {'location': [110.0, 40.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [110.0, 39.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [116.0, 31.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",,Off T,0.067296706,Normal,Free Kick,,,,Washington Spirit,759,00:04:36.283,Shot,
,,,,,,,,,,0.809,,,,,,,,,,f1efea79-073b-4217-bedb-1f6268059c00,308,,"[98.0, 41.0]",7493,8,,,,,,,,,,,,,,,,,,1,Regular Play,Ashley Hatch,4964.0,Left Center Forward,16,Washington Spirit,759,"['0771bffc-16ca-4160-ac81-988aa8a5edf0', 'e0144d7a-1a15-487c-a5f5-fea3e9001edf']",38,,Right Foot,"[119.0, 39.3, 3.9]",,"[{'location': [92.0, 35.0], 'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [103.0, 36.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 50.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.0, 40.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 40.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.0, 47.0], 'player': {'id': 4997, 'name': 'Alyssa Kleiner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.0, 45.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.0, 39.0], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 25.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [101.0, 57.0], 'player': {'id': 4945, 'name': 'Havana Solaun'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': True}, {'location': [103.0, 47.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [94.0, 48.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [84.0, 50.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",678320af-359f-401a-9b5a-c56f94826fcb,Off T,0.058759764,Normal,Open Play,,,,Washington Spirit,759,00:08:38.953,Shot,True
,,,,,,,,,,0.208,,,,,,,,,,ebf1a3c7-57d9-4a2c-a3f5-d64c28267830,376,,"[116.0, 31.0]",7493,10,,,,,,,,,,,,,,,,,,1,Regular Play,Megan Anna Rapinoe,8298.0,Left Attacking Midfield,20,OL Reign,760,"['1f96057b-8400-447a-9c71-1ea2d2e0839c', '26b81348-f500-4356-b0a8-8d21aad0213c']",36,,Left Foot,"[119.0, 33.0]",,"[{'location': [117.0, 33.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [112.0, 38.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [116.0, 40.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 38.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 32.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [120.0, 38.0], 'player': {'id': 21057, 'name': 'DiDi Haracic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 52.0], 'player': {'id': 5077, 'name': 'Jasmyne Spencer'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [114.0, 48.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",dfd81ed9-d906-4050-995c-997714ba7b1e,Blocked,0.082534604,Normal,Open Play,,,,OL Reign,760,00:10:36.019,Shot,
,,,,,,,,,,2.948,,,,,,,,,,eeefe4e0-be05-4e31-b08b-e47acc50a8da,411,,"[107.0, 55.0]",7493,11,,,,,,,,,,,,,,,,,,1,Regular Play,Jodie Taylor,5002.0,Center Forward,22,OL Reign,760,['029af7f0-dca5-4eae-b274-d00a622916b9'],5,,Right Foot,"[120.0, 33.9, 0.3]",,"[{'location': [105.0, 62.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [103.0, 56.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [111.0, 56.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 52.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 40.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.0, 43.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [110.0, 34.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [120.0, 45.0], 'player': {'id': 21057, 'name': 'DiDi Haracic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.0, 61.0], 'player': {'id': 5077, 'name': 'Jasmyne Spencer'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [107.0, 34.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [97.0, 41.0], 'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}]",84d84e94-de2f-4490-8222-0d102889e1c0,Off T,0.039595943,Normal,Open Play,,,,OL Reign,760,00:11:05.173,Shot,
,,,,,,,,,,1.846,,,,,,,,,,3bb95c5d-70a7-4c04-94f9-3da6d44ea5f2,576,,"[96.0, 41.0]",7493,14,,,,,,,,,,,,,,,,,,1,Regular Play,Jessica Fishlock,5016.0,Center Midfield,29,OL Reign,760,['02ecddf6-d67b-4e02-a0fb-07416c026d6a'],18,,Right Foot,"[120.0, 40.1, 4.9]",,"[{'location': [83.0, 41.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [95.0, 43.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.0, 38.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [96.0, 30.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.0, 43.0], 'player': {'id': 21057, 'name': 'DiDi Haracic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.0, 37.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",27478911-8b6f-42cd-acab-d3531b178250,Off T,0.1816325,Lob,Open Play,,,,OL Reign,760,00:14:18.080,Shot,
,,,,,,,,,,1.184,,,,,,,,,,f7bd3f9f-91b3-475e-80d9-b5687a0ae9ff,692,,"[114.0, 43.0]",7493,16,,,,,,,,,,,,,,,,,,1,From Throw In,Ashley Hatch,4964.0,Left Center Forward,37,Washington Spirit,759,['5ef3e8ab-002c-4537-849e-188dfd46ec49'],50,,Head,"[119.0, 33.1, 0.4]",,"[{'location': [110.0, 34.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.0, 47.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 42.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 41.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.0, 50.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [98.0, 63.0], 'player': {'id': 4997, 'name': 'Alyssa Kleiner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 56.0], 'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 35.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [106.0, 63.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [108.0, 71.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",a5a79caf-436b-4b09-add2-98c4ef7d977c,Off T,0.18472883,Normal,Open Play,,,,Washington Spirit,759,00:16:50.292,Shot,
,,,,,,,,,,0.178,,,,,,,,,,a22dc12d-730f-4137-99bb-8331951a4af3,885,,"[117.0, 36.0]",7493,21,,,,,,,,,,,,,,,,,,1,Regular Play,Jessica Fishlock,5016.0,Center Midfield,46,OL Reign,760,['ade7df31-891b-468e-9e28-62b8e03ae076'],52,,Right Foot,"[119.0, 36.6, 0.5]",True,"[{'location': [115.0, 47.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 50.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [114.0, 25.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [116.0, 38.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [115.0, 36.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 34.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [120.0, 38.0], 'player': {'id': 21057, 'name': 'DiDi Haracic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 46.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.0, 52.0], 'player': {'id': 5077, 'name': 'Jasmyne Spencer'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [105.0, 29.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [115.0, 21.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}]",3e329462-dfdd-4a5c-af25-4eb649b9d490,Saved,0.50861037,Normal,Open Play,,,,OL Reign,760,00:21:52.170,Shot,
,,,,,,,,,,0.709,,,,,,,,,,d3452691-0938-4516-8378-a7d1145a9b6b,948,,"[113.0, 32.0]",7493,25,,,,,,,,,,,,,,,,,,1,From Corner,Jessica Fishlock,5016.0,Center Midfield,53,OL Reign,760,['5f83e06c-a467-4437-beee-62ea496de159'],27,,Right Foot,"[119.0, 37.8, 1.1]",True,"[{'location': [118.0, 45.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 42.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [120.0, 45.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [117.0, 43.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.0, 22.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [115.0, 32.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 35.0], 'player': {'id': 4945, 'name': 'Havana Solaun'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [115.0, 40.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [106.0, 29.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [120.0, 39.0], 'player': {'id': 21057, 'name': 'DiDi Haracic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 48.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [116.0, 49.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [120.0, 36.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [117.0, 40.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [112.0, 41.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.0, 21.0], 'player': {'id': 5077, 'name': 'Jasmyne Spencer'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}]",,Saved,0.09402157,Half Volley,Open Play,,,,OL Reign,760,00:25:27.047,Shot,
,,,,,,,,,,0.44,,,,,,,,,,6ae48444-8662-4f53-bc42-f8b820226842,1037,,"[90.0, 53.0]",7493,28,,,,,,,,,,,,,,,,,,1,From Throw In,Jessica Fishlock,5016.0,Center Midfield,57,OL Reign,760,"['4a55529b-53ce-44b2-af55-fa41750b0780', '4fc1b117-0f36-4e94-a6bc-9bd1942a99e3']",8,,Right Foot,"[107.0, 44.0]",,"[{'location': [120.0, 42.0], 'player': {'id': 21057, 'name': 'DiDi Haracic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.0, 31.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [102.0, 63.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.0, 33.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 43.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [102.0, 52.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [92.0, 51.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [85.0, 58.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 35.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [95.0, 38.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [86.0, 47.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [102.0, 79.0], 'player': {'id': 5077, 'name': 'Jasmyne Spencer'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}]",894541b6-d4b8-47a3-bd78-2afe7536e9c0,Blocked,0.015302941,Normal,Open Play,,,,OL Reign,760,00:28:08.897,Shot,
