50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.16,,,,,,,,,,,,,4fb7e718-cc4b-46c6-9528-df6304e3bf65,153,,"[94.0, 49.0]",7472,2,,,,,,,,,,,,,,,,1,From Throw In,Christine Margaret Sinclair,5020.0,Center Attacking Midfield,11,Portland Thorns,765,"['6830b1e5-a6a8-4fc7-81d0-cea1c6e9ae1b', 'c1b615e7-6ed0-4085-aa15-a09b17149bd9']",59,,Left Foot,"[102.0, 46.0]",,"[{'location': [94.0, 65.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.0, 53.0], 'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.0, 36.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.0, 31.0], 'player': {'id': 5018, 'name': 'Andressa Cavalari Machry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.0, 65.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [89.0, 54.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.0, 45.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 55.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,,Blocked,0.028410224,Normal,Open Play,,,,Portland Thorns,765,00:02:59.674,Shot,
,,,,,,,,,,,,1.403,,,,,,,,,,,,,221c4e1c-a885-47f2-a00b-53d76530672e,410,,"[108.0, 39.0]",7472,8,,,,,,,,,,,,,,,,1,Regular Play,Beverly Yanez,5006.0,Center Midfield,22,OL Reign,760,"['2f6d0498-5771-45e5-a3c5-65502da0264b', 'c406985a-d6f2-4033-9dbb-df21845cd56e']",35,True,Head,"[119.0, 37.8, 2.4]",,"[{'location': [100.0, 37.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.0, 57.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.0, 67.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 6819, 'name': 'Adrianna Nichole Franch'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 39.0], 'player': {'id': 5003, 'name': 'Emily Ann Sonnett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 31.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.0, 35.0], 'player': {'id': 5095, 'name': 'Ellie Madison Carpenter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 48.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [92.0, 71.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [105.0, 56.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.0, 46.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 66.0], 'player': {'id': 5018, 'name': 'Andressa Cavalari Machry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [83.0, 75.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.0, 51.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",80d4cca5-536e-44f3-95e2-ff2bc5fc3256,,,Saved,0.055132143,Normal,Open Play,,,,OL Reign,760,00:08:35.966,Shot,True
,,,,,,,,,,,,1.446,,,,,,,,,,,,,7474f00c-1d21-4fb7-9c50-1dfbec18bc87,445,,"[107.0, 39.0]",7472,9,,,,,,,,,,,,,,,,1,Regular Play,Jodie Taylor,5002.0,Center Forward,24,OL Reign,760,['6b66b3ab-183e-4a50-a376-d67360b61040'],19,,Left Foot,"[120.0, 34.0, 1.0]",,"[{'location': [98.0, 28.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [103.0, 43.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 56.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 6819, 'name': 'Adrianna Nichole Franch'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.0, 45.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}, {'location': [111.0, 38.0], 'player': {'id': 5003, 'name': 'Emily Ann Sonnett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 26.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.0, 32.0], 'player': {'id': 5095, 'name': 'Ellie Madison Carpenter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 51.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.0, 51.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [95.0, 66.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [101.0, 60.0], 'player': {'id': 5018, 'name': 'Andressa Cavalari Machry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [109.0, 45.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",5d7136c4-fd69-484b-82c1-0a8c5ca9a335,,,Off T,0.10008801,Volley,Open Play,,,,OL Reign,760,00:09:19.940,Shot,
,,,,,,,,,,,,1.165,,,,,,,,,,,,,8b51eadc-d9f9-4180-84a9-4612a5b509e6,623,,"[98.0, 26.0]",7472,16,,,,,,,,,,,,,,,,1,Regular Play,Megan Anna Rapinoe,8298.0,Left Wing,35,OL Reign,760,['f431f9d3-4b12-42bc-8cad-2621cbfff8ba'],28,,Right Foot,"[119.0, 36.6, 2.0]",,"[{'location': [111.0, 22.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.0, 32.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 49.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 6819, 'name': 'Adrianna Nichole Franch'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 48.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}, {'location': [112.0, 36.0], 'player': {'id': 5003, 'name': 'Emily Ann Sonnett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 26.0], 'player': {'id': 5095, 'name': 'Ellie Madison Carpenter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 40.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.0, 36.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.0, 40.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [95.0, 52.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [110.0, 20.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [112.0, 44.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",9cb25193-d88a-4a32-ace6-0b2873fcc2fb,,,Saved,0.028452447,Normal,Open Play,,,,OL Reign,760,00:16:28.278,Shot,
,,,,,,,,,,,,1.771,,,,,,,,,,,,,83d8c320-1491-4747-8b04-7159f3446992,948,,"[89.0, 20.0]",7472,24,,,,,,,,,,,,,,,,1,From Free Kick,Megan Anna Rapinoe,8298.0,Left Wing,54,OL Reign,760,['9149813b-d4a9-4d7e-9ce1-dbc27614d1e5'],1,,Right Foot,"[120.0, 46.0, 4.9]",,"[{'location': [86.0, 15.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [97.0, 34.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 45.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 6819, 'name': 'Adrianna Nichole Franch'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 5.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}, {'location': [100.0, 23.0], 'player': {'id': 5003, 'name': 'Emily Ann Sonnett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.0, 18.0], 'player': {'id': 5095, 'name': 'Ellie Madison Carpenter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 38.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [81.0, 21.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [84.0, 38.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [94.0, 21.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [77.0, 48.0], 'player': {'id': 5018, 'name': 'Andressa Cavalari Machry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [82.0, 4.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [104.0, 32.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",8bda57be-066c-4049-aeee-0b3ca1a4843f,,,Off T,0.0064112283,Normal,Open Play,,,,OL Reign,760,00:24:01.414,Shot,
,,,,,,,,,,,,1.103,,,,,,,,,,,,,f9703599-af13-4959-89b1-05388f3dcf5c,1079,,"[116.0, 37.0]",7472,28,,,,,,,,,,,,,,,,1,From Counter,Hayley Emma Raso,6818.0,Center Forward,63,Portland Thorns,765,['cc89efc9-97d5-4e04-80a4-e1311146d1f3'],35,,Head,"[120.0, 34.4, 0.6]",,"[{'location': [111.0, 60.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [110.0, 42.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [108.0, 44.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [105.0, 34.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [118.0, 29.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [116.0, 39.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 49.0], 'player': {'id': 5018, 'name': 'Andressa Cavalari Machry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [116.0, 44.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.0, 53.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",3729ac23-2c65-4aeb-a11f-40a9aadd6658,,True,Off T,0.44875953,Normal,Open Play,,,,Portland Thorns,765,00:28:35.285,Shot,
,,,,,,,,,,,,0.815,,,,,,,,,,,,,a7aefd80-133c-4c58-a0da-7ef0460e03b6,1116,,"[110.0, 27.0]",7472,29,,,,,,,,,,,,,,,,1,From Throw In,Beverly Yanez,5006.0,Center Midfield,67,OL Reign,760,['958a7fa5-b2cd-486c-ba5a-f4bc4454e610'],41,,Right Foot,"[118.0, 36.4, 0.4]",,"[{'location': [105.0, 27.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.0, 38.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 38.0], 'player': {'id': 6819, 'name': 'Adrianna Nichole Franch'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.0, 31.0], 'player': {'id': 5003, 'name': 'Emily Ann Sonnett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 21.0], 'player': {'id': 5095, 'name': 'Ellie Madison Carpenter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.0, 33.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.0, 35.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.0, 30.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.0, 48.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [97.0, 42.0], 'player': {'id': 5018, 'name': 'Andressa Cavalari Machry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.0, 31.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",c7a1263e-9652-4b43-92f7-9a3303c3e77b,,,Saved,0.10231561,Normal,Open Play,,,,OL Reign,760,00:29:41.026,Shot,
,,,,,,,,,,,,1.582,,,,,,,,,,,,,823d8cb0-c69e-49f7-8bbb-799ee5a42de6,1152,,"[114.0, 37.0]",7472,31,,,,,,,,,,,,,,,,1,From Throw In,Lindsey Michelle Horan,4999.0,Left Defensive Midfield,72,Portland Thorns,765,"['3fc0ca6c-ca4d-473b-a88d-51cf96a356e2', '7db604ea-0aa8-460e-b096-98eece758ee6']",13,True,Head,"[120.0, 34.2, 3.8]",,"[{'location': [109.0, 50.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.0, 5.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [99.0, 30.0], 'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.0, 43.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.0, 30.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [91.0, 23.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [97.0, 17.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [100.0, 19.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.0, 19.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 47.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.0, 24.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.0, 33.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 39.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",4c28be1d-0323-4343-b6eb-91589d552c65,True,,Off T,0.34217036,Normal,Open Play,,,,Portland Thorns,765,00:31:13.808,Shot,True
,,,,,,,,,,,,0.465,,,,,,,,,,,,,1426ac01-6489-45ea-b0de-acfffc47d834,1347,,"[112.0, 40.0]",7472,38,,,,,,,,,,,,,,,,1,From Throw In,Beverly Yanez,5006.0,Center Midfield,87,OL Reign,760,['a266a497-e890-470f-bb5b-1765dea62e74'],10,,Head,"[119.0, 40.7, 0.9]",,"[{'location': [106.0, 58.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.0, 42.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 58.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 6819, 'name': 'Adrianna Nichole Franch'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.0, 44.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [112.0, 43.0], 'player': {'id': 5003, 'name': 'Emily Ann Sonnett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 31.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [113.0, 38.0], 'player': {'id': 5095, 'name': 'Ellie Madison Carpenter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.0, 44.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.0, 50.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [102.0, 54.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.0, 51.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 64.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [105.0, 32.0], 'player': {'id': 5018, 'name': 'Andressa Cavalari Machry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [109.0, 46.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [114.0, 47.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",869c2c5d-22cf-442a-bd9c-480db6c833ab,,,Saved,0.20321603,Normal,Open Play,,,,OL Reign,760,00:38:10.722,Shot,
,,,,,,,,,,,,1.354,,,,,,,,,,,,,b26bad49-18d3-4b38-9f12-22097c1e1587,1371,,"[113.0, 34.0]",7472,40,,,,,,,,,,,,,,,,1,From Free Kick,Elizabeth Addo,5075.0,Right Wing,91,OL Reign,760,"['16a0e59c-1559-4d31-a17d-dd0783dcb038', 'c61261b6-dd52-40f5-9e3a-e193b6ffb960']",7,True,Head,"[120.0, 33.7, 1.1]",,"[{'location': [111.0, 39.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [110.0, 30.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 51.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 6819, 'name': 'Adrianna Nichole Franch'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [87.0, 48.0], 'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [113.0, 29.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}, {'location': [109.0, 36.0], 'player': {'id': 5003, 'name': 'Emily Ann Sonnett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 35.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.0, 37.0], 'player': {'id': 5095, 'name': 'Ellie Madison Carpenter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 46.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.0, 33.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [112.0, 35.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 51.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [100.0, 44.0], 'player': {'id': 5018, 'name': 'Andressa Cavalari Machry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.0, 33.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [111.0, 36.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.0, 33.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",49c7c6a9-e23e-435a-871b-eab06bba45ee,True,,Off T,0.19865184,Normal,Open Play,,,,OL Reign,760,00:40:07.208,Shot,True
