ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.319802,,,,,,,,,,,d19d1fe4-556e-4cb5-af09-a3d2e637ee6a,307,,"[94.2, 53.5]",3754141,7,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Mesut Özil,3496.0,Center Attacking Midfield,17,Arsenal,1,"['6713cc20-a87e-41b4-96b5-65adf814a416', 'beb4f7b5-6a38-4947-80ca-15820b8e2145']",56,,Left Foot,,"[104.0, 49.9]",,"[{'location': [102.9, 48.1], 'player': {'id': 3475, 'name': 'Per Mertesacker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [106.0, 39.1], 'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [95.8, 32.7], 'player': {'id': 3525, 'name': 'Alex Oxlade-Chamberlain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.2, 41.9], 'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [90.3, 47.8], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.5, 29.8], 'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [102.6, 47.2], 'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.7, 42.3], 'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.1, 41.2], 'player': {'id': 3962, 'name': 'Diafra Sakho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [106.8, 38.9], 'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.3, 33.6], 'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.3, 34.8], 'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.2, 49.0], 'player': {'id': 4273, 'name': 'Reece Oxford'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.2, 49.8], 'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [119.0, 37.3], 'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.2, 50.7], 'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.2, 51.5], 'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.2, 48.2], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Blocked,0.043451663,Normal,Free Kick,,,,Arsenal,1,00:07:56.253,Shot,
,,,,,,,,,,,,,,,,1.294945,,,,,,,,,,,a2197654-5c52-4884-a516-78a69e3bb100,321,,"[105.7, 34.1]",3754141,8,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Laurent Koscielny,3394.0,Left Center Back,18,Arsenal,1,['78fdb1fe-fc43-4e2d-a7ec-fd79d64d27a0'],19,,Head,,"[120.0, 43.8, 4.0]",,"[{'location': [106.4, 53.2], 'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [85.3, 51.3], 'player': {'id': 4428, 'name': 'Mathieu Debuchy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [89.3, 51.7], 'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [103.2, 28.0], 'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [104.2, 39.0], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.8, 32.5], 'player': {'id': 3475, 'name': 'Per Mertesacker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [90.6, 50.0], 'player': {'id': 4273, 'name': 'Reece Oxford'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [117.1, 37.5], 'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.5, 55.3], 'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.3, 62.9], 'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [103.8, 50.2], 'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.7, 38.7], 'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.6, 31.2], 'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.5, 35.8], 'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.6, 34.3], 'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.1, 38.9], 'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.6, 47.0], 'player': {'id': 3962, 'name': 'Diafra Sakho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}]",9c792dde-7e4d-404e-aa6b-34027f750423,,Off T,0.024582975,Normal,Open Play,,,,Arsenal,1,00:08:19.682,Shot,
,,,,,,,,,,,,,,,,0.859225,,,,,,,,,,,bc6006f0-c9e1-4fa5-9c13-f59aff0d0d35,394,,"[97.5, 37.0]",3754141,10,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alex Oxlade-Chamberlain,3525.0,Right Wing,24,Arsenal,1,['6cb96cb7-26bc-4e43-8c47-e1a1fcd3d8f1'],38,,Right Foot,,"[120.0, 36.4, 3.7]",True,"[{'location': [101.1, 18.7], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [85.7, 47.3], 'player': {'id': 4428, 'name': 'Mathieu Debuchy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [93.4, 31.7], 'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [110.9, 15.2], 'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.4, 17.2], 'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.2, 38.9], 'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.5, 21.4], 'player': {'id': 4273, 'name': 'Reece Oxford'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.0, 42.7], 'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.7, 38.0], 'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.5, 34.3], 'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [87.1, 45.5], 'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [111.1, 32.7], 'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.4, 31.3], 'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.9, 2.6], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Off T,0.043670855,Volley,Open Play,,,,Arsenal,1,00:10:38.948,Shot,
,,,,,,,,,,,,,,,,0.173364,,,,,,,,,,,1afcca1a-fa6a-4eae-b13c-baa6b4811e2e,601,,"[93.5, 25.8]",3754141,17,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aaron Cresswell,3062.0,Left Back,38,West Ham United,40,"['085a106f-1a3f-4a9b-8844-eefd22ed842a', 'd46a50ba-3dc9-4cec-920e-e1f3a212658b']",19,,Left Foot,,"[94.7, 26.3]",,"[{'location': [94.5, 47.6], 'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [91.9, 36.3], 'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.6, 54.7], 'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.3, 48.9], 'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.5, 26.8], 'player': {'id': 3525, 'name': 'Alex Oxlade-Chamberlain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.6, 38.1], 'player': {'id': 3475, 'name': 'Per Mertesacker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.5, 31.2], 'player': {'id': 4428, 'name': 'Mathieu Debuchy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.3, 37.6], 'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.8, 39.0], 'player': {'id': 3962, 'name': 'Diafra Sakho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.0, 59.9], 'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.5, 55.5], 'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [96.5, 43.4], 'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",3d902109-75ac-47ab-be82-fe326016badd,,Blocked,0.024623927,Normal,Open Play,,,,West Ham United,40,00:17:19.718,Shot,
,,,,,,,,,,,,,,,,0.019682,,,,,,,,,,,82f35f55-7842-4f37-9d8c-4cca13ecfe51,852,,"[112.0, 31.6]",3754141,25,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Olivier Giroud,3604.0,Center Forward,51,Arsenal,1,"['33af2e2d-36c3-4b24-a018-783a52193f1e', '43fe7029-b5b2-4fab-a578-97d34031f835', '9b720b53-50c9-4a4e-8409-acc44d9805ca']",13,,Left Foot,,"[112.6, 31.9]",,"[{'location': [102.8, 38.9], 'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.9, 30.8], 'player': {'id': 4273, 'name': 'Reece Oxford'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.1, 19.1], 'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [119.0, 21.0], 'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.5, 30.1], 'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.8, 32.0], 'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.0, 42.4], 'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.8, 36.8], 'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.8, 33.8], 'player': {'id': 3525, 'name': 'Alex Oxlade-Chamberlain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.2, 22.9], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [120.0, 18.2], 'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",42791615-0315-43be-98f4-552265e1034d,,Blocked,0.08044526,Volley,Open Play,,,,Arsenal,1,00:25:13.166,Shot,True
,,,,,,,,,,,,,,,,1.121087,,,,,,,,,,,a0e4dbb2-6dea-443a-9db3-0ae5487cc7d8,953,,"[112.6, 24.3]",3754141,27,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Santiago Cazorla González,11386.0,Left Wing,58,Arsenal,1,['40fd46d0-8245-45d3-a6a4-eb75ddb6f508'],43,,Left Foot,,"[120.0, 42.9, 3.4]",True,"[{'location': [118.9, 36.5], 'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.3, 62.7], 'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [117.1, 43.0], 'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.1, 50.4], 'player': {'id': 4273, 'name': 'Reece Oxford'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.1, 45.2], 'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.7, 30.6], 'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.2, 44.2], 'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.3, 40.9], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.6, 54.2], 'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",3226cbae-3aec-41e4-a369-45e7331f4cf7,,Off T,0.013115857,Volley,Open Play,,,,Arsenal,1,00:27:43.282,Shot,
,,,,,,,,,,,,,,,,0.90526,,,,,,,,,,,8a1c415d-dd3d-4c66-9f16-27fa8e4df9eb,973,,"[102.6, 18.8]",3754141,28,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Diafra Sakho,3962.0,Center Forward,59,West Ham United,40,['d7f2ae0b-1ea6-4a4b-9f44-7da5f4cb7c03'],37,,Right Foot,,"[120.0, 34.4, 1.2]",,"[{'location': [116.6, 36.7], 'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.4, 38.0], 'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.1, 31.6], 'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.2, 22.6], 'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.2, 18.9], 'player': {'id': 4428, 'name': 'Mathieu Debuchy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.5, 20.4], 'player': {'id': 3475, 'name': 'Per Mertesacker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [88.7, 12.3], 'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [85.7, 17.1], 'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [94.4, 30.1], 'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",6b941ca6-d42d-40cd-b7f5-070159284690,,Off T,0.0090547,Normal,Open Play,,,,West Ham United,40,00:28:37.001,Shot,
,,,,,,,,,,,,,,,,0.103067,,,,,,,,,,,2cdeebe6-a0a9-41a9-bdc0-b64b3ba4f874,1069,,"[100.4, 57.5]",3754141,30,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Aaron Ramsey,3517.0,Right Defensive Midfield,63,Arsenal,1,"['097b9bb4-458d-4321-b367-853aeccc14de', 'b1861903-850c-4432-8fc8-fac894759a2f']",44,,Right Foot,,"[102.6, 55.2]",,"[{'location': [119.0, 41.0], 'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.5, 42.0], 'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [99.5, 28.4], 'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.3, 60.5], 'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.6, 55.0], 'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.4, 48.0], 'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.9, 50.5], 'player': {'id': 4273, 'name': 'Reece Oxford'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.2, 41.0], 'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.8, 31.5], 'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.7, 56.7], 'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [111.1, 65.1], 'player': {'id': 3525, 'name': 'Alex Oxlade-Chamberlain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.4, 44.9], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.5, 55.8], 'player': {'id': 4428, 'name': 'Mathieu Debuchy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.1, 40.8], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.9, 46.3], 'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,,Blocked,0.019383976,Half Volley,Open Play,,,,Arsenal,1,00:30:44.036,Shot,
,,,,,,,,,,,,,,,,0.095489,,,,,,,,,,,2520bddd-be4b-40a5-b661-f9ac6e01287e,1126,,"[112.5, 36.5]",3754141,32,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Per Mertesacker,3475.0,Right Center Back,65,Arsenal,1,"['8c3587d6-1259-411a-af5d-4d68646c0cd4', 'c0422b2d-2455-4e37-8473-fd8290fc0596']",42,True,Head,,"[113.8, 36.8, 1.8]",,"[{'location': [113.6, 40.7], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.8, 49.7], 'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [99.9, 44.1], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.3, 36.8], 'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [111.0, 28.2], 'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [102.0, 40.3], 'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.7, 52.6], 'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.9, 37.2], 'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.8, 36.8], 'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.4, 30.6], 'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.6, 36.7], 'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.5, 44.6], 'player': {'id': 4273, 'name': 'Reece Oxford'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.6, 43.5], 'player': {'id': 3962, 'name': 'Diafra Sakho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [111.4, 35.1], 'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [119.3, 42.4], 'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.5, 40.5], 'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",16b7bf22-b302-4558-81e3-bb031f38eb52,,Saved,0.09420774,Normal,Open Play,,,,Arsenal,1,00:32:42.600,Shot,True
,,,,,,,,,,,,,,,,0.072083,,,,,,,,,,,44403974-dd55-4e52-8091-a4b387ca79b2,1261,,"[98.0, 47.8]",3754141,35,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dimitri Payet,3491.0,Left Wing,70,West Ham United,40,"['76c2659e-26c7-4335-8a95-53d41e5ae2a6', '9d966b6d-ca7d-449a-8ea2-4c858c1c8487']",7,,Right Foot,,"[99.2, 47.4]",,"[{'location': [107.1, 49.5], 'player': {'id': 3962, 'name': 'Diafra Sakho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.9, 53.1], 'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [97.8, 35.6], 'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [116.6, 42.2], 'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.3, 36.6], 'player': {'id': 4428, 'name': 'Mathieu Debuchy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.9, 58.2], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [87.0, 30.0], 'player': {'id': 3525, 'name': 'Alex Oxlade-Chamberlain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [99.7, 47.9], 'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.9, 46.7], 'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.2, 43.2], 'player': {'id': 3475, 'name': 'Per Mertesacker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,,Blocked,0.04071514,Normal,Open Play,,,,West Ham United,40,00:35:07.366,Shot,
