50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,0.7736,,,,,,,,,,,,,33ffbaeb-4242-4e92-ae92-e3e2faa36153,95,,,"[113.0, 34.0]",19769,2,,,,,,,,,,,,,,,,,,,,1,From Corner,Gilly Louise Scarlett Flaherty,18151.0,Right Center Back,7,West Ham United LFC,972,"['661267da-5d1c-40ff-877d-983d93206699', 'f18c5684-f313-4a03-8424-b086a8635ad5']",3,True,Head,"[119.0, 36.4, 2.4]",,"[{'location': [115.0, 32.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [118.0, 42.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [115.0, 44.0], 'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.0, 41.0], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [115.0, 39.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [106.0, 37.0], 'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [93.0, 49.0], 'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [117.0, 43.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.0, 37.0], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.0, 41.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [120.0, 42.0], 'player': {'id': 16377, 'name': 'Sophie Perry-Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.0, 36.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 34.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [108.0, 43.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 35.0], 'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 37.0], 'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",756ece1a-0363-4147-94a1-099b9d53dff1,Saved,0.06612992,Normal,Open Play,,,,West Ham United LFC,972,00:02:03.024,Shot,True
,,,,,,,,,0.877182,,,,,,,,,,,,,8847b01f-068c-40f5-b667-652f5576d9cc,395,,,"[111.0, 38.0]",19769,9,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jane Ross,4653.0,Center Forward,25,West Ham United LFC,972,"['04a53f2d-24ff-4ce3-a2d0-7b46ee0d0d0e', '307792e4-19c4-4bc7-8d1e-60ea08b43205']",38,True,Head,"[119.0, 45.8, 0.5]",,"[{'location': [104.0, 39.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.0, 40.0], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [110.0, 43.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [110.0, 44.0], 'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [109.0, 36.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.0, 39.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 40.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [110.0, 40.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 42.0], 'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 44.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",d29a7a21-f94e-4b02-adbc-c0ffc41ac4fa,Off T,0.102419235,Normal,Open Play,,,,West Ham United LFC,972,00:09:38.422,Shot,True
,,,,,,,,,1.0081,,,,,,,,,,,,,bbe3208c-e187-4e30-a6aa-308477452016,894,,,"[99.0, 29.0]",19769,20,,,,,,,,,,,,,,,,,,,,1,From Counter,Jane Ross,4653.0,Center Forward,49,West Ham United LFC,972,['fe5805a5-f308-4230-9df1-4f8cba9646ed'],47,,Right Foot,"[119.0, 46.5, 2.8]",,"[{'location': [118.0, 37.0], 'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.0, 43.0], 'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.0, 43.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.0, 29.0], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 31.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 40.0], 'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 43.0], 'player': {'id': 16377, 'name': 'Sophie Perry-Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",d95b6a68-e521-43bb-b3ba-2b17660ce183,Off T,0.034523383,Normal,Open Play,,,,West Ham United LFC,972,00:20:47.637,Shot,
,,,,,,,,,0.913548,,,,,,,,,,,,,1d26f1d7-126f-47fb-b6a7-7ba6683c2d81,967,,,"[106.0, 61.0]",19769,22,,,,,,,,,,,,,,,,,,,,1,From Counter,Kayleigh Green,16400.0,Right Defensive Midfield,55,Brighton & Hove Albion WFC,965,"['3427bb7a-0d72-4700-ac3a-5129e97ddfeb', 'd52e64f4-a155-4c21-8186-21a8cb119b79']",47,,Right Foot,"[118.0, 43.8, 1.3]",,"[{'location': [105.0, 39.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.0, 46.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [120.0, 45.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 36.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 44.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.0, 50.0], 'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.0, 58.0], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",07ab8bee-379d-4571-9749-dec685d7a9b2,Saved,0.007920657,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:22:47.609,Shot,True
,,,,,,,,,0.4883,,,,,,,,,,,,,c5cee29b-1543-4246-b3b9-02b16021d636,1040,,,"[109.0, 37.0]",19769,25,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lucienne Reichardt,18148.0,Center Defensive Midfield,61,West Ham United LFC,972,"['2d0a3cc2-04e2-48ed-b1fd-30fcd6146d88', '6479b23c-342a-4b5a-9379-6bf6b1718b7f']",3,,Head,"[114.0, 39.0]",,"[{'location': [108.0, 34.0], 'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [113.0, 30.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [116.0, 40.0], 'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.0, 41.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.0, 47.0], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [111.0, 37.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [118.0, 36.0], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 43.0], 'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 39.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.0, 37.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [115.0, 38.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.0, 42.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.0, 45.0], 'player': {'id': 16377, 'name': 'Sophie Perry-Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 36.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.0, 45.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",2ec17d7a-6e89-4c51-ab74-00dc9345411b,Blocked,0.068483174,Normal,Open Play,,,,West Ham United LFC,972,00:25:03.165,Shot,
,,,,,,,,,0.0784,,,,,,,,,,,,,4135d55d-e890-4795-b994-79267eefc63a,1077,,,"[101.0, 35.0]",19769,25,,,,,,,,,,,,,,,,,,,,1,From Throw In,Chloe Peplow,16397.0,Left Defensive Midfield,63,Brighton & Hove Albion WFC,965,"['570b4310-22a4-4810-9365-e3c3ffc88784', 'f6509a03-64be-41a8-bf04-de8b978a5715']",58,,Right Foot,"[104.0, 36.0]",True,"[{'location': [110.0, 42.0], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 38.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 48.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.0, 38.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 35.0], 'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.0, 46.0], 'player': {'id': 18154, 'name': 'Esmee de Graaf'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.0, 43.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.0, 41.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.0, 44.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,Blocked,0.064353935,Half Volley,Open Play,,,,Brighton & Hove Albion WFC,965,00:25:58.387,Shot,
,,,,,,,,,0.878218,,,,,,,,,,,,,88cafb35-4dfa-41eb-8da8-e1a5a74688a4,1083,,,"[116.0, 45.0]",19769,26,,,,,,,,,,,,,,,,,,,,1,From Corner,Victoria Williams,16395.0,Left Center Back,64,Brighton & Hove Albion WFC,965,"['4bd54514-589e-4203-ae52-e7e0639e3eb9', '573a8ee1-613e-4858-98f0-e089f457e84e']",43,True,Head,"[120.0, 33.7, 2.5]",,"[{'location': [118.0, 40.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [117.0, 45.0], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.0, 43.0], 'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [120.0, 38.0], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.0, 42.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.0, 48.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [120.0, 43.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 31.0], 'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.0, 39.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.0, 47.0], 'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 29.0], 'player': {'id': 16379, 'name': 'Jodie Brett'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [119.0, 40.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.0, 42.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.0, 47.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [114.0, 49.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",8a73ffd4-fc59-44e9-bfab-070dd1bcafb8,Off T,0.10464411,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:26:43.356,Shot,True
,,,,,,,,,0.119,,,,,,,,,,,,,764a17ca-df8f-4ae5-a040-3bd49be65bdc,1259,,,"[108.0, 43.0]",19769,32,,,,,,,,,,,,,,,,,,,,1,From Corner,Laura Rafferty,16394.0,Right Center Back,78,Brighton & Hove Albion WFC,965,['42e72a27-993a-4c12-a234-4989cb1aaf06'],38,,Head,"[113.0, 29.0]",,"[{'location': [119.0, 43.0], 'player': {'id': 18154, 'name': 'Esmee de Graaf'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [120.0, 40.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [117.0, 46.0], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 43.0], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 42.0], 'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [113.0, 37.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 47.0], 'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 43.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 41.0], 'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.0, 48.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [118.0, 43.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [114.0, 46.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.0, 35.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.0, 39.0], 'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",60dd21b3-c3f3-42da-b179-8aacbc7e42ae,Wayward,0.05509889,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:32:38.338,Shot,
,,,,,,,,,0.5739,,,,,,,,,,,,,6e056f6f-16e6-48e6-aa43-9b23df5ac7c7,1264,,,"[107.0, 36.0]",19769,32,,,,,,,,,,,,,,,,,,,,1,From Corner,Iniabasi Anefiok Umotong,16378.0,Center Forward,78,Brighton & Hove Albion WFC,965,"['6350f251-5fd6-4ee6-bc14-c99e764959d9', 'aa5b145d-883f-4764-a56c-9126775df7c6']",40,,Right Foot,"[110.0, 44.0]",,"[{'location': [114.0, 44.0], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [117.0, 42.0], 'player': {'id': 18154, 'name': 'Esmee de Graaf'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [116.0, 45.0], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 40.0], 'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.0, 36.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 40.0], 'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.0, 46.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [116.0, 42.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,Blocked,0.12800264,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:32:40.062,Shot,True
,,,,,,,,,0.7106,,,,,,,,,,,,,b104e7c3-b341-4a96-854b-c79bd53f38a1,1443,,,"[96.0, 53.0]",19769,37,,,,,,,,,,,,,,,,,,,,1,From Throw In,Kirsty Barton,19414.0,Right Back,86,Brighton & Hove Albion WFC,965,"['13c90589-2e04-4e04-bba7-64afeb1a3058', '4a82be85-b31f-4474-8540-e982dcf39acd']",3,,Right Foot,"[106.0, 45.0]",True,"[{'location': [94.0, 18.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [98.0, 22.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [97.0, 24.0], 'player': {'id': 16379, 'name': 'Jodie Brett'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [120.0, 43.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.0, 36.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.0, 41.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 34.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 28.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.0, 32.0], 'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 46.0], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.0, 47.0], 'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.0, 53.0], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.0, 49.0], 'player': {'id': 18154, 'name': 'Esmee de Graaf'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.0, 39.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [89.0, 23.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [98.0, 51.0], 'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",7301b656-13d6-4417-86aa-84decdb11c86,Blocked,0.025322953,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:37:03.875,Shot,
