50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.33419,,,,,,,,,,,,,,8a564fc9-125a-4c2a-95db-50b82721ff1f,163,,,"[106.9, 54.3]",3879574,3,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Juan Guillermo Cuadrado Bello,5689.0,Right Wing Back,9,Juventus,224,"['634fc8c1-fb63-467a-91d3-45cb34742b6e', 'e990702e-ea30-4fbe-bfeb-6ad25072f9d0']",35,,Right Foot,"[116.6, 46.2, 1.3]",,"[{'location': [108.7, 52.1], 'player': {'id': 6969, 'name': 'Juan Guilherme Nunes Jesus'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.9, 45.4], 'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [111.3, 39.1], 'player': {'id': 6999, 'name': 'Davide Santon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 32.8], 'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.7, 39.0], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.0, 45.5], 'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.2, 43.1], 'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [110.6, 36.2], 'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",a32f13bf-7e87-47a5-9543-41f16e13cc36,,Saved,,,0.04058342,Normal,Open Play,,,,Juventus,224,00:03:35.052,Shot,True
,,,,,,,,,,,,,,0.408717,,,,,,,,,,,,,,0e93b2a5-ac4d-4727-a781-32e4738c4cf3,301,,,"[111.5, 22.3]",3879574,8,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Simone Zaza,6584.0,Right Center Forward,19,Juventus,224,['df54b7f1-c293-4b43-bf5e-e170cfb21005'],25,,Left Foot,"[120.0, 35.8, 5.2]",True,"[{'location': [86.9, 58.9], 'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [117.2, 34.6], 'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.4, 50.0], 'player': {'id': 6969, 'name': 'Juan Guilherme Nunes Jesus'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.1, 24.6], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.3, 32.5], 'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",9b2d4e8d-a0f0-49d4-8988-ee47305ca4dd,,Off T,,,0.016130654,Half Volley,Open Play,,,,Juventus,224,00:08:25.867,Shot,
,,,,,,,,,,,,,,1.231414,,,,,,,,,,,,,,16b5b4ab-7aaa-4806-86ae-c1d20671295b,339,,,"[88.8, 28.0]",3879574,11,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Stevan Jovetić,3434.0,Left Center Forward,24,Inter Milan,238,['193aef56-3723-47e2-b7e3-28c25521e0d4'],49,,Right Foot,"[120.0, 34.9, 2.0]",,"[{'location': [98.4, 31.2], 'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [98.3, 32.2], 'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [102.5, 38.1], 'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.5, 36.6], 'player': {'id': 6584, 'name': 'Simone Zaza'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [98.4, 30.1], 'player': {'id': 8294, 'name': 'Claudio Marchisio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.1, 38.8], 'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [103.9, 36.7], 'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.2, 41.4], 'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.2, 40.8], 'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.8, 45.0], 'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [118.6, 39.8], 'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [88.7, 47.5], 'player': {'id': 6999, 'name': 'Davide Santon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.2, 41.2], 'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [99.3, 34.3], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [105.5, 43.8], 'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [100.6, 33.6], 'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [101.3, 32.8], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [88.1, 36.2], 'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",,,Off T,,,0.018303508,Normal,Free Kick,,,,Inter Milan,238,00:11:49.840,Shot,
,,,,,,,,,,,,,,0.105816,,,,,,,,,,,,,,e28d82db-b93c-429e-b761-9bec9c070a12,365,,,"[104.6, 44.2]",3879574,12,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Simone Zaza,6584.0,Right Center Forward,25,Juventus,224,"['1e18321f-d0d5-44f5-a5b9-f0955f7f870f', '2a6dc93b-d933-445e-9961-2963b9cd613f', '7476fb52-6d37-46fc-90f3-1d27e4024188']",36,True,Head,"[105.3, 44.0]",,"[{'location': [116.6, 42.3], 'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.3, 54.3], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [105.7, 43.7], 'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.1, 47.4], 'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [93.9, 62.5], 'player': {'id': 6969, 'name': 'Juan Guilherme Nunes Jesus'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.2, 36.6], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.5, 33.7], 'player': {'id': 6999, 'name': 'Davide Santon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.3, 36.2], 'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 18.9], 'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.5, 50.1], 'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.7, 34.6], 'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [89.9, 64.4], 'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}]",450ba4f3-da89-47b4-93c4-81c12ccfdfec,,Blocked,,,0.033127796,Normal,Open Play,,,,Juventus,224,00:12:36.733,Shot,True
,,,,,,,,,,,,,,1.224913,,,,,,,,,,,,,,60e6582b-422f-4d44-a0ea-4bd40b376397,394,,,"[92.5, 32.3]",3879574,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Paul Pogba,20004.0,Left Center Midfield,28,Juventus,224,['9eff4424-e39f-4830-ad24-4ab1850a5689'],14,,Left Foot,"[120.0, 26.5, 6.5]",,"[{'location': [115.0, 38.7], 'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.5, 52.2], 'player': {'id': 6969, 'name': 'Juan Guilherme Nunes Jesus'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.5, 43.9], 'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.8, 39.8], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.1, 31.3], 'player': {'id': 6999, 'name': 'Davide Santon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [91.8, 47.4], 'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [94.5, 34.2], 'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [91.8, 36.9], 'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [94.4, 62.1], 'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [101.5, 40.7], 'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [89.5, 57.8], 'player': {'id': 6584, 'name': 'Simone Zaza'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [91.1, 50.7], 'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [91.0, 20.4], 'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}]",89394136-64a2-4b97-964a-e06f6084db73,,Off T,,,0.033122867,Normal,Open Play,,,,Juventus,224,00:13:14.518,Shot,
,,,,,,,,,,,,,,0.092943,,,,,,,,,,,,,,0d33e6f5-0915-4375-be0e-ab36a748cf79,925,,,"[113.4, 28.0]",3879574,25,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Stevan Jovetić,3434.0,Left Center Forward,58,Inter Milan,238,"['1893541b-a329-40f9-8deb-dac7f458a9b5', '6327029a-9abb-4501-b3c9-3614b74b16e0', '90eaad27-035e-4af8-bdd8-962bcfa7e939']",55,,Left Foot,"[114.5, 30.0]",True,"[{'location': [107.8, 44.4], 'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [100.3, 26.5], 'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.4, 35.6], 'player': {'id': 8294, 'name': 'Claudio Marchisio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.8, 27.2], 'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [114.1, 30.4], 'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.4, 31.4], 'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.7, 19.1], 'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.8, 21.2], 'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [106.0, 7.8], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",f6928bf7-7f8a-4f69-9329-7c23a64d07d1,,Blocked,,,0.073414825,Normal,Open Play,,,,Inter Milan,238,00:25:55.797,Shot,True
,,,,,,,,,,,,,,1.161711,,,,,,,,,,,,,,9fa33476-b994-4831-aca3-969bc44e73a4,1010,,,"[108.5, 16.0]",3879574,28,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Marcelo Brozović,5469.0,Right Midfield,61,Inter Milan,238,['a5e70a0c-53af-4073-8362-9276f5759bc0'],23,,Right Foot,"[119.6, 41.4, 2.4]",,"[{'location': [107.5, 44.2], 'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [105.4, 41.6], 'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 44.4], 'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.3, 39.3], 'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [106.2, 39.3], 'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.0, 35.4], 'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [110.7, 28.3], 'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.3, 18.8], 'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [111.9, 17.4], 'player': {'id': 8294, 'name': 'Claudio Marchisio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.2, 37.7], 'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 40.0], 'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [99.0, 47.9], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [103.9, 38.8], 'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [107.4, 43.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [108.3, 38.9], 'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [91.7, 23.7], 'player': {'id': 6969, 'name': 'Juan Guilherme Nunes Jesus'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [110.8, 1.0], 'player': {'id': 3434, 'name': 'Stevan Jovetić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",d9cd2cf4-43a2-4829-bf05-3fec5cd5e882,,Saved to Post,,True,0.008012392,Normal,Open Play,,,,Inter Milan,238,00:28:23.024,Shot,
,,,,,,,,,,,,,,0.373245,,,,,,,,,,,,,,e843f129-0549-4b9d-86c6-6889f569291e,1245,,,"[86.2, 36.5]",3879574,35,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ivan Perišić,5474.0,Left Midfield,71,Inter Milan,238,"['072fec74-d4f1-4e16-abe8-a102d91d864b', 'a6ee5c28-281b-4685-b700-7465de96591f']",38,,Right Foot,"[94.6, 35.6]",,"[{'location': [119.2, 40.1], 'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [80.2, 56.0], 'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [84.8, 44.2], 'player': {'id': 8294, 'name': 'Claudio Marchisio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [84.8, 38.1], 'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [87.2, 34.1], 'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [95.8, 51.2], 'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [95.1, 42.1], 'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.6, 35.2], 'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.9, 41.0], 'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [91.9, 51.7], 'player': {'id': 3434, 'name': 'Stevan Jovetić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [90.6, 41.6], 'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [98.6, 42.7], 'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",,,Blocked,,,0.014654592,Half Volley,Open Play,,,,Inter Milan,238,00:35:38.086,Shot,
,,,,,,,,,,,,,,1.810233,,,,,,,,,,,,,,d8d4669b-7d49-4ac4-bd91-086e463d3a9a,1713,,,"[108.8, 34.4]",3879574,44,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Leonardo Bonucci,7173.0,Center Back,92,Juventus,224,"['83acdc67-ddbe-4ad8-857b-27851a42bb21', 'fa69cd1e-b71e-4489-b2c8-3973abd29fb4']",1,True,Head,"[119.6, 35.2, 3.0]",,"[{'location': [112.2, 35.3], 'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [108.7, 33.6], 'player': {'id': 6999, 'name': 'Davide Santon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.6, 52.7], 'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [101.2, 34.6], 'player': {'id': 3434, 'name': 'Stevan Jovetić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [114.5, 38.8], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.2, 38.1], 'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.2, 40.9], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [113.6, 44.8], 'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.1, 36.4], 'player': {'id': 6969, 'name': 'Juan Guilherme Nunes Jesus'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.4, 59.5], 'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [119.1, 39.5], 'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.5, 28.3], 'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [114.0, 48.5], 'player': {'id': 6584, 'name': 'Simone Zaza'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [115.5, 46.0], 'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [104.1, 61.7], 'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.2, 41.7], 'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [106.7, 33.5], 'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [99.6, 43.0], 'player': {'id': 8294, 'name': 'Claudio Marchisio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",229abe08-b9df-40cc-82a6-fdc9a3b8d2ec,,Saved Off Target,True,,0.0286282,Normal,Open Play,,,,Juventus,224,00:44:01.453,Shot,True
,,,,,,,,,,,,,,0.291402,,,,,,,,,,,,,,b5c7de8b-2288-448b-84a9-592db0aeda6b,1834,,,"[112.7, 53.8]",3879574,46,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Juan Guillermo Cuadrado Bello,5689.0,Right Wing Back,96,Juventus,224,['7527caee-3d95-4eb2-9e3e-861d2450005a'],26,,Right Foot,"[115.6, 48.6, 0.3]",,"[{'location': [95.2, 32.9], 'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [107.9, 51.3], 'player': {'id': 6969, 'name': 'Juan Guilherme Nunes Jesus'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.9, 45.5], 'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.5, 51.4], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 39.9], 'player': {'id': 6999, 'name': 'Davide Santon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.1, 47.8], 'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.6, 42.8], 'player': {'id': 6584, 'name': 'Simone Zaza'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [94.8, 29.8], 'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.8, 47.3], 'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",fc7cbdc9-7f53-4074-ac27-0223c5d7243d,True,Saved,,,0.076930135,Normal,Open Play,,,,Juventus,224,00:01:26.227,Shot,
