50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.937,,,,,,,,,,b600ba06-bf49-4958-83a9-be93dd05a6f7,126,,"[107.0, 30.0]",7490,3,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Hayley Emma Raso,6818.0,Right Midfield,7,Portland Thorns,765,['854c5d43-9823-4f32-859f-e37f1a550e96'],10,,Right Foot,"[120.0, 42.8, 2.6]",,"[{'location': [99.0, 38.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.0, 25.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [102.0, 25.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 8564, 'name': 'Caroline Casey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.0, 27.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.0, 39.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 32.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 30.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",4a5e0fd2-d13e-4167-afbe-1adf8efb0772,,Goal,0.1960674,Normal,Open Play,,,,Portland Thorns,765,00:03:10.763,Shot,
,,,,,,,,,,,,,,1.057,,,,,,,,,,9a4b98b1-608d-411f-bd53-63b0de4bc335,231,,"[107.0, 51.0]",7490,6,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ana-Maria Crnogorčević,10408.0,Center Forward,11,Portland Thorns,765,['61961d62-d282-43d5-9e1e-d2371fb1a552'],7,,Right Foot,"[120.0, 36.4, 0.5]",,"[{'location': [112.0, 28.0], 'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [83.0, 26.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [114.0, 47.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [79.0, 45.0], 'player': {'id': 8565, 'name': 'Angela Salem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [92.0, 34.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [92.0, 27.0], 'player': {'id': 5018, 'name': 'Andressa Cavalari Machry'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [86.0, 58.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [94.0, 16.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.0, 24.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 8564, 'name': 'Caroline Casey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 54.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.0, 44.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",,,Goal,0.088821374,Normal,Open Play,,,,Portland Thorns,765,00:06:07.891,Shot,
,,,,,,,,,,,,,,0.201,,,,,,,,,,4a54a40d-e0fc-4c80-881f-126fa09e57d1,318,,"[107.0, 45.0]",7490,8,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Christine Margaret Sinclair,5020.0,Center Attacking Midfield,16,Portland Thorns,765,"['13176b6a-1019-41a6-b1c7-8a44aac0792d', 'e56a4f84-6e05-4b88-a809-952ba10eef45']",36,,Right Foot,"[112.0, 46.0]",True,"[{'location': [111.0, 36.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.0, 48.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [111.0, 44.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 8564, 'name': 'Caroline Casey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 33.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 40.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.0, 19.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [92.0, 19.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [85.0, 26.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [117.0, 34.0], 'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [112.0, 15.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [96.0, 24.0], 'player': {'id': 5018, 'name': 'Andressa Cavalari Machry'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [99.0, 37.0], 'player': {'id': 8565, 'name': 'Angela Salem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [117.0, 41.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 28.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",,,Blocked,0.106156304,Normal,Open Play,,,,Portland Thorns,765,00:08:36.741,Shot,
,,,,,,,,,,,,,,0.426,,,,,,,,,,08cc9d9f-4439-416a-bfd8-2165ed0d2387,325,,"[110.0, 36.0]",7490,9,,,,,,,,,,,,,,,,,,,,,1,From Corner,Hayley Emma Raso,6818.0,Right Midfield,17,Portland Thorns,765,"['56167b4f-3c55-40eb-9133-9e6a04c46e1a', '761acc19-dd22-403d-83ac-2b58a6de4b0f']",7,,Head,"[113.0, 39.0]",,"[{'location': [108.0, 50.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.0, 40.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.0, 40.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 30.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 8564, 'name': 'Caroline Casey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 31.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [100.0, 25.0], 'player': {'id': 8565, 'name': 'Angela Salem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [101.0, 35.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [106.0, 37.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [101.0, 27.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [104.0, 23.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [106.0, 35.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.0, 33.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 37.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.0, 44.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.0, 46.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}]",b958af6e-78b1-4db7-bcae-ffef8f5bd302,,Blocked,0.13373135,Normal,Open Play,,,,Portland Thorns,765,00:09:07.510,Shot,
,,,,,,,,,,,,,,1.267,,,,,,,,,,e01122d5-02be-4f0b-b6e4-a8d8a9708f25,907,,"[109.0, 45.0]",7490,24,,,,,,,,,,,,,,,,,,,,,1,From Corner,Christine Margaret Sinclair,5020.0,Center Attacking Midfield,53,Portland Thorns,765,['948ad88b-b910-4335-b700-2e2dcc56e8fb'],49,,Head,"[120.0, 45.8, 0.6]",,"[{'location': [108.0, 28.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.0, 36.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.0, 60.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [106.0, 29.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [107.0, 31.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 50.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 37.0], 'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [113.0, 46.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [113.0, 42.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 46.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 26.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [109.0, 47.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [111.0, 51.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [106.0, 54.0], 'player': {'id': 8565, 'name': 'Angela Salem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [99.0, 29.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [119.0, 42.0], 'player': {'id': 8564, 'name': 'Caroline Casey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Off T,0.10534357,Normal,Open Play,,,,Portland Thorns,765,00:24:49.975,Shot,
,,,,,,,,,,,,,,1.245,,,,,,,,,,8d2d2842-1d45-419c-921e-4dab1b9cf2c7,931,,"[115.0, 45.0]",7490,25,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Shea Groom,4986.0,Left Center Forward,55,NJ/NY Gotham FC,763,"['67ee87a9-7a33-4a74-888a-b960e4b8c930', 'a700218a-6e69-4551-9710-0a97e591d7df']",54,True,Head,"[119.0, 45.6, 0.4]",,"[{'location': [112.0, 33.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 37.0], 'player': {'id': 5092, 'name': 'Emily Menges'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 43.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 5005, 'name': 'Britt Eckerstrom'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 47.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [110.0, 33.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.0, 41.0], 'player': {'id': 8565, 'name': 'Angela Salem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 42.0], 'player': {'id': 5018, 'name': 'Andressa Cavalari Machry'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]",ca46ed45-6f4b-4c77-ba8c-3d6039d8408d,True,Off T,0.23532483,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:25:54.648,Shot,True
,,,,,,,,,,,,,,2.64,,,,,,,,,,90dce913-6d6e-4995-aff9-4e6e1adbc94b,963,,"[105.0, 35.0]",7490,26,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Imani Dorsey,7180.0,Left Midfield,57,NJ/NY Gotham FC,763,['f827e815-57da-410f-96ab-ab8486725413'],57,,Right Foot,"[119.0, 42.8, 1.9]",True,"[{'location': [101.0, 40.0], 'player': {'id': 5092, 'name': 'Emily Menges'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [84.0, 34.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 45.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [95.0, 58.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [103.0, 44.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.0, 35.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.0, 31.0], 'player': {'id': 5095, 'name': 'Ellie Madison Carpenter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 35.0], 'player': {'id': 5005, 'name': 'Britt Eckerstrom'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.0, 33.0], 'player': {'id': 8565, 'name': 'Angela Salem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",0cd55175-29f0-4d71-a0e1-e3c11a54bf55,,Goal,0.50951004,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:26:57.372,Shot,
,,,,,,,,,,,,,,1.883,,,,,,,,,,8cef811b-37f9-4d9e-8dca-927bfb1f0053,1201,,"[97.0, 29.0]",7490,33,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Imani Dorsey,7180.0,Left Midfield,69,NJ/NY Gotham FC,763,['c12b8126-a9f1-41de-8aad-6e6aa6d08715'],36,,Right Foot,"[120.0, 32.7, 0.5]",True,"[{'location': [101.0, 51.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [86.0, 32.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [83.0, 24.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [82.0, 56.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [93.0, 34.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [88.0, 37.0], 'player': {'id': 8565, 'name': 'Angela Salem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 33.0], 'player': {'id': 5005, 'name': 'Britt Eckerstrom'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.0, 28.0], 'player': {'id': 5095, 'name': 'Ellie Madison Carpenter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.0, 39.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.0, 58.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [104.0, 44.0], 'player': {'id': 5092, 'name': 'Emily Menges'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",6106a3a7-2b64-448f-8d9e-ee4f5ddf2437,,Off T,0.11405851,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:33:36.221,Shot,
,,,,,,,,,,,,,,2.103,,,,,,,,,,ccfce962-bc96-4648-9dae-cfcc28222d03,1548,,"[93.0, 31.0]",7490,42,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Savannah McCaskill,5096.0,Right Center Forward,94,NJ/NY Gotham FC,763,['8cf5d506-ddd2-4447-aed4-3645c6cfea7b'],53,,Right Foot,"[119.0, 41.1, 5.3]",,"[{'location': [98.0, 16.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [99.0, 49.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [100.0, 30.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [96.0, 35.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [104.0, 40.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 35.0], 'player': {'id': 5092, 'name': 'Emily Menges'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.0, 35.0], 'player': {'id': 5018, 'name': 'Andressa Cavalari Machry'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [100.0, 22.0], 'player': {'id': 5095, 'name': 'Ellie Madison Carpenter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.0, 29.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.0, 38.0], 'player': {'id': 5005, 'name': 'Britt Eckerstrom'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.0, 27.0], 'player': {'id': 8565, 'name': 'Angela Salem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",f554c2e5-71ca-436a-861d-48893f714ccd,,Off T,0.031031037,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:42:53.612,Shot,
,,,,,,,,,,,,,,1.85,,,,,,,,,,455a58ce-c50e-4248-a268-f780f20cd5c0,1558,,"[106.0, 29.0]",7490,43,,,,,,,,,,,,,,,,,,,,,1,From Counter,Hayley Emma Raso,6818.0,Right Midfield,96,Portland Thorns,765,['88780485-62c8-4cd8-acb4-ff52aa0300bb'],34,,Right Foot,"[120.0, 43.2, 3.6]",,"[{'location': [109.0, 37.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 30.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 28.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.0, 33.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [98.0, 46.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [90.0, 25.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [118.0, 41.0], 'player': {'id': 8564, 'name': 'Caroline Casey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",94cb8cd6-82f0-48a6-8144-6bb72a750878,,Off T,0.12567452,Normal,Open Play,,,,Portland Thorns,765,00:43:34.026,Shot,
