50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,1.333,,,,,,,,,,82effdab-8953-4423-adf1-d5215a6c08c3,54,,"[112.0, 43.0]",7520,1,,,,,,,,,,,,,,,,,,,1,From Corner,Alyssa Mautz,4953.0,Left Wing,5,Chicago Red Stars,761,['0d17ac4c-7dd8-4424-ab2b-acc329190121'],36,Head,"[120.0, 44.4, 5.4]",,"[{'location': [112.0, 47.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 42.0], 'player': {'id': 4960, 'name': 'Kelsey Wys'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.0, 38.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 33.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.0, 37.0], 'player': {'id': 4946, 'name': 'Joanna Lohman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.0, 36.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 43.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.0, 39.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [98.0, 50.0], 'player': {'id': 4945, 'name': 'Havana Solaun'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [94.0, 58.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [111.0, 53.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [107.0, 46.0], 'player': {'id': 4965, 'name': 'Nikki Stanton'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [110.0, 41.0], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.0, 26.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [93.0, 36.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",aa1facfb-63c0-4054-9f90-0690d14adc3a,,Off T,0.20756906,Normal,Open Play,,,,Chicago Red Stars,761,00:01:36.793,Shot,
,,,,,,,,,,,1.613,,,,,,,,,,98550fd9-cfdc-430b-a1a7-f5d10a3309cc,153,,"[96.0, 31.0]",7520,4,,,,,,,,,,,,,,,,,,,1,From Throw In,Estefanía Romina Banini Ruiz,4944.0,Center Defensive Midfield,10,Washington Spirit,759,['7809ef02-8d90-4b38-8eae-a8a41406be9b'],11,Right Foot,"[118.0, 37.8, 0.2]",,"[{'location': [120.0, 41.0], 'player': {'id': 4952, 'name': 'Emily Boyd'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.0, 30.0], 'player': {'id': 4965, 'name': 'Nikki Stanton'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.0, 20.0], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.0, 25.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.0, 35.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.0, 31.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.0, 35.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': False}, {'location': [105.0, 40.0], 'player': {'id': 4955, 'name': 'Sarah Gorden'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 45.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.0, 52.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [107.0, 11.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [103.0, 31.0], 'player': {'id': 4945, 'name': 'Havana Solaun'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.0, 49.0], 'player': {'id': 4946, 'name': 'Joanna Lohman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.0, 58.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.0, 41.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Saved,0.049778927,Normal,Open Play,,,,Washington Spirit,759,00:04:11.553,Shot,
,,,,,,,,,,,1.2,,,,,,,,,,06108049-c763-4e78-84a3-9c7ec1fcc79b,218,,"[107.0, 40.0]",7520,7,,,,,,,,,,,,,,,,,,,1,From Throw In,Rosie White,4948.0,Right Wing,19,Chicago Red Stars,761,['ee70c5ab-6987-40e5-8225-c18e127bc741'],0,Right Foot,"[119.0, 40.0]",True,"[{'location': [111.0, 45.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 34.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 29.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 34.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.0, 43.0], 'player': {'id': 4945, 'name': 'Havana Solaun'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [120.0, 39.0], 'player': {'id': 4960, 'name': 'Kelsey Wys'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.0, 31.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 15.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.0, 38.0], 'player': {'id': 4965, 'name': 'Nikki Stanton'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [111.0, 31.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.0, 23.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [114.0, 3.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': True}]",e253cee7-b74c-472e-8e4b-5597d7fdd21c,,Wayward,0.13496798,Volley,Open Play,,,,Chicago Red Stars,761,00:07:00.193,Shot,
,,,,,,,,,,,1.013,,,,,,,,,,3e8b71eb-efa0-4e07-8c76-15da76128cae,276,,"[106.0, 29.0]",7520,9,,,,,,,,,,,,,,,,,,,1,Regular Play,Alyssa Mautz,4953.0,Left Wing,22,Chicago Red Stars,761,['17435c4b-16bc-474b-a56d-a07bf2666af5'],1,Left Foot,"[120.0, 35.4, 6.1]",True,"[{'location': [110.0, 34.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 41.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 41.0], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [119.0, 39.0], 'player': {'id': 4960, 'name': 'Kelsey Wys'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.0, 50.0], 'player': {'id': 4945, 'name': 'Havana Solaun'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.0, 25.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 32.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.0, 25.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 22.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",dc08e28e-5379-4184-a792-6c1be8370b38,,Off T,0.088588305,Half Volley,Open Play,,,,Chicago Red Stars,761,00:09:01.473,Shot,
,,,,,,,,,,,0.507,,,,,,,,,,5a2d4a9c-1308-446c-bb13-faf94fe31fa9,532,,"[102.0, 31.0]",7520,15,,,,,,,,,,,,,,,,,,,1,Regular Play,Samantha May Kerr,4961.0,Center Forward,35,Chicago Red Stars,761,"['372f1725-9cb7-4363-a25b-f314c3cc5320', 'ca58b398-91ff-42c8-82ab-d11ca858b2bc']",20,Right Foot,"[104.0, 34.0]",,"[{'location': [95.0, 54.0], 'player': {'id': 4945, 'name': 'Havana Solaun'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.0, 43.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 36.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 4960, 'name': 'Kelsey Wys'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.0, 34.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 27.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 32.0], 'player': {'id': 4946, 'name': 'Joanna Lohman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.0, 25.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.0, 21.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.0, 17.0], 'player': {'id': 4965, 'name': 'Nikki Stanton'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [109.0, 4.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': True}, {'location': [111.0, 41.0], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.0, 34.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",50976e01-33f7-444d-89d0-22ca3d64f9e4,,Blocked,0.04937633,Normal,Open Play,,,,Chicago Red Stars,761,00:15:20.086,Shot,
,,,,,,,,,,,0.2,,,,,,,,,,571809b7-4a4b-4f0b-b3ce-920ca939f969,594,,"[109.0, 53.0]",7520,17,,,,,,,,,,,,,,,,,,,1,Regular Play,Nikki Stanton,4965.0,Right Center Midfield,39,Chicago Red Stars,761,"['84b75d66-30eb-42fa-a350-c0404aa15223', 'bc7703d9-88d8-4e76-aa9f-ae04ea3616b6']",7,Right Foot,"[109.0, 52.0]",,"[{'location': [95.0, 54.0], 'player': {'id': 4945, 'name': 'Havana Solaun'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [110.0, 51.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.0, 48.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 41.0], 'player': {'id': 4960, 'name': 'Kelsey Wys'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 45.0], 'player': {'id': 4946, 'name': 'Joanna Lohman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.0, 37.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 32.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 40.0], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [114.0, 35.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': True}]",,,Blocked,0.059408955,Normal,Open Play,,,,Chicago Red Stars,761,00:17:07.953,Shot,
,,,,,,,,,,,1.24,,,,,,,,,,8d01b6d6-06ce-40c0-a1a8-fca971272bac,892,,"[92.0, 33.0]",7520,24,,,,,,,,,,,,,,,,,,,1,From Free Kick,Yuki Nagasato,4963.0,Secondary Striker,53,Chicago Red Stars,761,['8c2d8c29-c5dc-4439-a677-600faa20b5d7'],47,Right Foot,"[118.0, 36.6, 0.3]",,"[{'location': [100.0, 51.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.0, 50.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [101.0, 47.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 49.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 4960, 'name': 'Kelsey Wys'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.0, 49.0], 'player': {'id': 4965, 'name': 'Nikki Stanton'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [99.0, 48.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.0, 38.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.0, 36.0], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.0, 35.0], 'player': {'id': 4946, 'name': 'Joanna Lohman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.0, 34.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 34.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [102.0, 32.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.0, 33.0], 'player': {'id': 4945, 'name': 'Havana Solaun'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.0, 27.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 25.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.0, 28.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [100.0, 32.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,,Saved,0.04186705,Normal,Free Kick,,,,Chicago Red Stars,761,00:24:47.513,Shot,
,,,,,,,,,,,0.653,,,,,,,,,,b70774ce-39ac-47c2-8b30-fc52a02edbf5,895,,"[116.0, 33.0]",7520,24,,,,,,,,,,,,,,,,,,,1,From Free Kick,Samantha May Kerr,4961.0,Center Forward,53,Chicago Red Stars,761,['02929b44-295f-4917-aee2-9f04fb5300f9'],49,Right Foot,"[120.0, 44.0, 2.0]",True,"[{'location': [119.0, 37.0], 'player': {'id': 4960, 'name': 'Kelsey Wys'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.0, 47.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 47.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 48.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.0, 40.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.0, 36.0], 'player': {'id': 4946, 'name': 'Joanna Lohman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.0, 32.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [98.0, 40.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 31.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 34.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [99.0, 35.0], 'player': {'id': 4945, 'name': 'Havana Solaun'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.0, 42.0], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.0, 44.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [98.0, 46.0], 'player': {'id': 4965, 'name': 'Nikki Stanton'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [107.0, 45.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [107.0, 29.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",,,Goal,0.27772832,Normal,Open Play,,,,Chicago Red Stars,761,00:24:49.913,Shot,
,,,,,,,,,,,1.933,,,,,,,,,,a86715e8-befc-4bfe-a22d-8b7616c511c9,1101,,"[96.0, 35.0]",7520,32,,,,,,,,,,,,,,,,,,,1,From Free Kick,Havana Solaun,4945.0,Left Wing,63,Washington Spirit,759,['5d5d10b1-aa77-464d-b57d-4551c43ff91c'],10,Right Foot,"[120.0, 45.4, 1.5]",True,"[{'location': [102.0, 38.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.0, 25.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': False}, {'location': [93.0, 13.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [120.0, 41.0], 'player': {'id': 4952, 'name': 'Emily Boyd'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 38.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.0, 17.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.0, 42.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [115.0, 41.0], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.0, 46.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.0, 33.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 43.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 41.0], 'player': {'id': 4965, 'name': 'Nikki Stanton'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.0, 38.0], 'player': {'id': 4955, 'name': 'Sarah Gorden'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 38.0], 'player': {'id': 4946, 'name': 'Joanna Lohman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [116.0, 50.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [116.0, 41.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [113.0, 43.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [101.0, 41.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Off T,0.03903804,Normal,Open Play,,,,Washington Spirit,759,00:32:10.193,Shot,
,,,,,,,,,,,0.533,,,,,,,,,,79608295-5f10-4cf1-9499-18f23ff1458d,1309,,"[96.0, 32.0]",7520,38,,,,,,,,,,,,,,,,,,,1,Regular Play,Havana Solaun,4945.0,Left Wing,72,Washington Spirit,759,"['632135e6-cd66-4292-97c7-20e6f559a717', '9c6e84b7-7b47-4c25-b99c-2870f8c16844']",46,Right Foot,"[101.0, 35.0]",,"[{'location': [100.0, 33.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.0, 31.0], 'player': {'id': 4946, 'name': 'Joanna Lohman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [91.0, 20.0], 'player': {'id': 4948, 'name': 'Rosie White'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 4952, 'name': 'Emily Boyd'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.0, 41.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [77.0, 17.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [104.0, 34.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 28.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.0, 33.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.0, 33.0], 'player': {'id': 4965, 'name': 'Nikki Stanton'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.0, 41.0], 'player': {'id': 4955, 'name': 'Sarah Gorden'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 46.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.0, 53.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.0, 62.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,,Blocked,0.030838367,Normal,Open Play,,,,Washington Spirit,759,00:38:46.233,Shot,
