50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.5021,,,,,,,,,,,,,b72fc2cc-4080-4588-b38d-485a2d6cc89d,238,,,"[106.0, 59.0]",19793,6,,,,,,,,,,,,,,,,,,,,,1,From Corner,Ria Percival,18145.0,Right Back,15,West Ham United LFC,972,"['815a67cc-422c-4c8c-9a77-2827848f4913', 'a1c3cffe-b4f2-47f1-bf4d-7b717e58acf3', 'ffe8d6d5-7cde-455d-a28f-7160e0f25820']",3,,Right Foot,"[112.0, 49.0]",True,"[{'location': [118.0, 38.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 49.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.0, 40.0], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [116.0, 47.0], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [116.0, 50.0], 'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.0, 45.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [107.0, 50.0], 'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [110.0, 55.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 58.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.0, 44.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 36.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [116.0, 32.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.0, 46.0], 'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.0, 48.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.0, 51.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [113.0, 53.0], 'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 68.0], 'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.0, 55.0], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",,,Blocked,0.010474487,Normal,Open Play,,,,West Ham United LFC,972,00:06:03.355,Shot,True
,,,,,,,,,,,1.355842,,,,,,,,,,,,,608f0e0c-2ad8-4ac7-b221-c76abe9a2f07,331,,,"[98.0, 28.0]",19793,8,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alisha Lehmann,18153.0,Right Wing,21,West Ham United LFC,972,['6db445c6-ef10-42db-80f5-ffa9ff5fb132'],16,,Right Foot,"[120.0, 42.8, 0.5]",,"[{'location': [106.0, 44.0], 'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 25.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 31.0], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [93.0, 31.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [103.0, 55.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 42.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.0, 23.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.0, 45.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",2cfb75ce-7b90-4214-8c6a-e1847df111aa,,Saved,0.037908126,Normal,Open Play,,,,West Ham United LFC,972,00:08:16.846,Shot,
,,,,,,,,,,,1.564113,,,,,,,,,,,,,2354711f-a2e7-42c6-9394-c24f64ee2c42,339,,,"[92.0, 48.0]",19793,8,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Yana Daniëls,10093.0,Right Wing,23,Liverpool WFC,966,['b21316e3-5257-4859-9702-1ee3e423017e'],39,,Right Foot,"[119.0, 44.0, 3.6]",,"[{'location': [89.0, 44.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [85.0, 32.0], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [96.0, 22.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.0, 33.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.0, 44.0], 'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 50.0], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.0, 15.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [97.0, 30.0], 'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Off T,0.032870706,Normal,Open Play,,,,Liverpool WFC,966,00:08:39.202,Shot,
,,,,,,,,,,,0.7576,,,,,,,,,,,,,0fc10929-fe3a-401f-af7d-55e11e993b62,917,,,"[111.0, 35.0]",19793,25,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Leandra Little,15622.0,Left Center Back,58,Liverpool WFC,966,"['06c5c7de-057c-41be-bda3-7557e11d867b', '2ccfd1fe-c6d0-44a7-a2ac-f32c1897e8ca']",17,True,Head,"[119.0, 40.7, 3.6]",,"[{'location': [106.0, 31.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.0, 29.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.0, 26.0], 'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 36.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 45.0], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 42.0], 'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [108.0, 48.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.0, 53.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.0, 49.0], 'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.0, 48.0], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 38.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 30.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [113.0, 31.0], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [104.0, 25.0], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [92.0, 32.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [110.0, 48.0], 'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.0, 42.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [90.0, 53.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",686c6a8c-c6fa-4ff7-ade2-b3d342185119,,Off T,0.08655471,Normal,Open Play,,,,Liverpool WFC,966,00:25:17.913,Shot,True
,,,,,,,,,,,0.52556,,,,,,,,,,,,,421d22b9-81e8-46a4-b7d3-05bbd6895ba9,968,,,"[93.0, 50.0]",19793,26,,,,,,,,,,,,,,,,,,,,,1,From Counter,Laura Coombs,19416.0,Center Attacking Midfield,60,Liverpool WFC,966,"['1e77375a-dd6b-42f7-9fa9-a18c528d4166', '91800362-33d8-4bb6-b109-87e261fdb6e4']",29,,Right Foot,"[98.0, 49.0]",,"[{'location': [118.0, 40.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.0, 43.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.0, 28.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [91.0, 33.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.0, 50.0], 'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.0, 58.0], 'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [93.0, 45.0], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [77.0, 48.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [88.0, 14.0], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [84.0, 38.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [98.0, 59.0], 'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",02ae5d7a-3fe3-49ef-914a-d4afbb6f8f3d,,Blocked,0.0275313,Normal,Open Play,,,,Liverpool WFC,966,00:26:29.506,Shot,
,,,,,,,,,,,1.213911,,,,,,,,,,,,,b5ab5d28-a429-4973-856b-4bed5faf8d71,1206,,,"[101.0, 41.0]",19793,31,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Brianna Visalli,18157.0,Left Center Midfield,71,West Ham United LFC,972,['c7e2cc22-cf50-4030-8ff2-e2f2e2097cef'],9,,Left Foot,"[120.0, 43.2, 1.7]",,"[{'location': [112.0, 64.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.0, 43.0], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [93.0, 43.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [109.0, 41.0], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.0, 41.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 44.0], 'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 39.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 42.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.0, 39.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [113.0, 46.0], 'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.0, 47.0], 'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.0, 73.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,,Saved,0.057079624,Normal,Open Play,,,,West Ham United LFC,972,00:31:09.838,Shot,
,,,,,,,,,,,1.7355,,,,,,,,,,,,,b49634a2-2ebe-4d5f-89dc-a7838efdd804,1355,,,"[85.0, 29.0]",19793,34,,,,,,,,,,,,,,,,,,,,,1,From Corner,Courtney Sweetman-Kirk,15611.0,Left Wing,76,West Ham United LFC,972,"['1ab6ddb1-6e6a-48e4-b110-e6b482a5d0d9', '31408a1b-f406-49bb-9b6b-0dfa41d395c1']",7,,Right Foot,"[119.0, 40.1, 2.4]",,"[{'location': [88.0, 17.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.0, 61.0], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 42.0], 'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.0, 31.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [89.0, 32.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [71.0, 49.0], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [89.0, 58.0], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.0, 33.0], 'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [81.0, 44.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [83.0, 32.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,,Saved,0.0071471725,Normal,Open Play,,,,Liverpool WFC,966,00:34:07.072,Shot,True
,,,,,,,,,,,1.162707,,,,,,,,,,,,,2c3bc93c-c7cd-4810-a7e4-06b8ed6bd9ca,1450,,,"[116.0, 45.0]",19793,36,,,,,,,,,,,,,,,,,,,,,1,From Corner,Kate Longhurst,18147.0,Right Center Midfield,82,West Ham United LFC,972,"['0123ac5a-d299-4e03-9d3c-3d2673ae0795', '4c2504bd-d2e9-408e-8a7e-5b1c11fee0fc']",53,True,Head,"[120.0, 33.3, 0.2]",,"[{'location': [116.0, 45.0], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 51.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.0, 63.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 53.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.0, 41.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.0, 36.0], 'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [116.0, 35.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 43.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 44.0], 'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 47.0], 'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.0, 39.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [113.0, 35.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.0, 36.0], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",86f62875-4c66-41e4-999f-af450e582c2d,,Off T,0.1330727,Normal,Open Play,,,,West Ham United LFC,972,00:36:53.514,Shot,True
,,,,,,,,,,,1.497139,,,,,,,,,,,,,c9ad3052-3086-4d3a-9854-aa5c3986e1a4,1507,,,"[99.0, 38.0]",19793,38,,,,,,,,,,,,,,,,,,,,,1,From Corner,Adriana Kristina Leon,8297.0,Left Wing,87,West Ham United LFC,972,['34203d63-d136-476f-9527-5a1336fe4171'],38,,Left Foot,"[116.0, 39.0]",True,"[{'location': [111.0, 45.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.0, 39.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 38.0], 'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.0, 43.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [110.0, 36.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.0, 44.0], 'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [110.0, 43.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [115.0, 45.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [115.0, 43.0], 'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.0, 34.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.0, 39.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [116.0, 39.0], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [117.0, 43.0], 'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 42.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 40.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",,,Wayward,0.05625304,Half Volley,Open Play,,,,West Ham United LFC,972,00:38:38.502,Shot,
,,,,,,,,,,,1.3191,,,,,,,,,,,,,f9e58c19-d90e-4fe4-b12d-390ca798731a,1536,,,"[90.0, 40.0]",19793,39,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Laura Coombs,19416.0,Center Attacking Midfield,88,Liverpool WFC,966,['73d57d11-f7b9-4c2b-a086-701182674be5'],5,,Right Foot,"[119.0, 41.1, 2.8]",,"[{'location': [99.0, 55.0], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.0, 18.0], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [101.0, 47.0], 'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [89.0, 46.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [88.0, 41.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.0, 41.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.0, 31.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [90.0, 15.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [93.0, 39.0], 'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [95.0, 59.0], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [88.0, 55.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [72.0, 42.0], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",,,Post,0.023634523,Normal,Open Play,,,,Liverpool WFC,966,00:39:05.785,Shot,
