50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,0f13b7ef-71b0-4b2a-becb-33f270e26a03,91,,,"[114.0, 56.0]",7530,1,,,,,,,,,,,,,,,,,,1,From Throw In,Kylian Mbappé Lottin,3009.0,Right Wing,3,France,771,"['494ecfbc-6999-404e-be3f-350d3eb56a31', 'df5f1768-ecbd-4cc0-b089-4729f7f5ecd2']",31,,Left Foot,,"[120.0, 44.0, 1.3]",,"[{'location': [119.0, 45.0], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.0, 57.0], 'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.0, 36.0], 'player': {'id': 5482, 'name': 'Josh Risdon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 43.0], 'player': {'id': 5478, 'name': 'Trent Sainsbury'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 55.0], 'player': {'id': 5488, 'name': 'Mark Milligan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 56.0], 'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.0, 46.0], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [87.0, 22.0], 'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [105.0, 62.0], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",eb5cd18b-a180-4c8c-b9d4-6b29bb1690f8,Saved,0.011586021,Normal,Open Play,,,,France,771,00:01:31.769,Shot,True
,,,,,,,,,,,,1.293,,,,,,,,,,,,,,,632ad615-291b-450f-b060-20d79b709b9b,163,,,"[94.0, 28.0]",7530,4,,,,,,,,,,,,,,,,,,1,From Free Kick,Paul Pogba,20004.0,Left Center Midfield,6,France,771,['936715e3-4285-4963-8e5b-c0a4186f6f14'],11,,Right Foot,,"[120.0, 38.0, 1.8]",,"[{'location': [104.0, 33.0], 'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [105.0, 44.0], 'player': {'id': 5486, 'name': 'Andrew Nabbout'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [104.0, 50.0], 'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 41.0], 'player': {'id': 5494, 'name': 'Robbie Kruse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [104.0, 39.0], 'player': {'id': 5482, 'name': 'Josh Risdon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [120.0, 43.0], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 36.0], 'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [105.0, 31.0], 'player': {'id': 5491, 'name': 'Tom Rogić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [105.0, 30.0], 'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.0, 29.0], 'player': {'id': 5478, 'name': 'Trent Sainsbury'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 28.0], 'player': {'id': 5488, 'name': 'Mark Milligan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 25.0], 'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.0, 54.0], 'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [105.0, 35.0], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.0, 34.0], 'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.0, 38.0], 'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [92.0, 44.0], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [89.0, 30.0], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.0, 18.0], 'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",,Saved,0.050655685,Normal,Free Kick,,,,France,771,00:04:11.956,Shot,
,,,,,,,,,,,,1.533,,,,,,,,,,,,,,,8f0199eb-e587-43ec-a7fd-6dd36affeb76,210,,,"[95.0, 43.0]",7530,5,,,,,,,,,,,,,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Center Forward,11,France,771,"['8b680dc7-27b1-411d-a83f-5164df7b7195', 'e753a36e-cd66-4f77-b452-dd57668fa543']",37,,Right Foot,,"[120.0, 43.6, 0.8]",True,"[{'location': [98.0, 34.0], 'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [104.0, 29.0], 'player': {'id': 5482, 'name': 'Josh Risdon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [120.0, 43.0], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.0, 34.0], 'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [80.0, 22.0], 'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [102.0, 34.0], 'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [93.0, 44.0], 'player': {'id': 5494, 'name': 'Robbie Kruse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [105.0, 38.0], 'player': {'id': 5488, 'name': 'Mark Milligan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 38.0], 'player': {'id': 5478, 'name': 'Trent Sainsbury'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 59.0], 'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [104.0, 47.0], 'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.0, 41.0], 'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.0, 38.0], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.0, 29.0], 'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",f3ace766-e3cb-4455-bf39-e8372416577d,Saved,0.054453943,Half Volley,Open Play,,,,France,771,00:05:37.596,Shot,True
,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,f9b69617-4cda-472b-9973-01b6e9affbfd,280,,,"[109.0, 31.0]",7530,7,,,,,,,,,,,,,,,,,,1,From Free Kick,Antoine Griezmann,5487.0,Center Forward,16,France,771,"['643b8403-5bd6-4f3e-a425-2ab9e8894547', 'b5331db6-db6e-40e5-ad34-312ee50ca292']",47,,Head,,"[110.0, 35.0]",,"[{'location': [115.0, 45.0], 'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [113.0, 41.0], 'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [112.0, 49.0], 'player': {'id': 5491, 'name': 'Tom Rogić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [113.0, 47.0], 'player': {'id': 5478, 'name': 'Trent Sainsbury'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 42.0], 'player': {'id': 5488, 'name': 'Mark Milligan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 22.0], 'player': {'id': 5486, 'name': 'Andrew Nabbout'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [105.0, 20.0], 'player': {'id': 5482, 'name': 'Josh Risdon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.0, 40.0], 'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [109.0, 46.0], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [114.0, 45.0], 'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.0, 40.0], 'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [120.0, 43.0], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.0, 34.0], 'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [107.0, 35.0], 'player': {'id': 5494, 'name': 'Robbie Kruse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [110.0, 37.0], 'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 34.0], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.0, 32.0], 'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",bca4f2dc-e269-465d-88f7-ca30f0f82e6c,Blocked,0.33887884,Normal,Open Play,,,,France,771,00:07:47.716,Shot,
,,,,,,,,,,,,1.253,,,,,,,,,,,,,,,3a67e2b6-e244-4d56-9e09-036130bc1b70,455,,,"[110.0, 34.0]",7530,11,,,,,,,,,,,,,,,,,,1,From Free Kick,Mathew Leckie,5481.0,Right Midfield,25,Australia,792,"['476b64f6-b775-461e-91da-5bd4215af8ff', 'ec4ec921-9dee-4767-90ed-bb39043745cb']",50,True,Head,,"[120.0, 35.4, 4.7]",,"[{'location': [113.0, 34.0], 'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.0, 37.0], 'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.0, 35.0], 'player': {'id': 5491, 'name': 'Tom Rogić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [98.0, 44.0], 'player': {'id': 5488, 'name': 'Mark Milligan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [101.0, 18.0], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [109.0, 31.0], 'player': {'id': 5494, 'name': 'Robbie Kruse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [119.0, 38.0], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 46.0], 'player': {'id': 5478, 'name': 'Trent Sainsbury'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [113.0, 43.0], 'player': {'id': 5486, 'name': 'Andrew Nabbout'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.0, 38.0], 'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.0, 43.0], 'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.0, 40.0], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 36.0], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 32.0], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [104.0, 46.0], 'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 34.0], 'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",be6457b2-076b-4e3a-be4c-0605b017006c,Off T,0.06711661,Normal,Open Play,,,,Australia,792,00:11:50.476,Shot,True
,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,bb39a9db-a81d-4f6b-b0f8-44044e922c80,623,,,"[105.0, 32.0]",7530,16,,,,,,,,,,,,,,,,,,1,From Free Kick,Mathew Leckie,5481.0,Right Midfield,32,Australia,792,['6677405e-4056-449a-bf10-cb006d216c1d'],43,,Head,True,"[119.0, 43.8, 0.5]",,"[{'location': [107.0, 37.0], 'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.0, 38.0], 'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.0, 38.0], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.0, 18.0], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.0, 32.0], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [108.0, 46.0], 'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [88.0, 39.0], 'player': {'id': 5488, 'name': 'Mark Milligan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [98.0, 46.0], 'player': {'id': 5491, 'name': 'Tom Rogić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [107.0, 41.0], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.0, 39.0], 'player': {'id': 5486, 'name': 'Andrew Nabbout'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.0, 38.0], 'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.0, 35.0], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 34.0], 'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 48.0], 'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 48.0], 'player': {'id': 5478, 'name': 'Trent Sainsbury'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [103.0, 27.0], 'player': {'id': 5494, 'name': 'Robbie Kruse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",dc8f5a5f-abdd-4134-8f1e-16ab2b22fd80,Saved,0.072877616,Normal,Open Play,,,,Australia,792,00:16:43.156,Shot,
,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,4c324ea1-4677-4f59-a85d-dbe8f90662a0,1295,,,"[109.0, 26.0]",7530,32,,,,,,,,,,,,,,,,,,1,Regular Play,Lucas Hernández Pi,5484.0,Left Back,62,France,771,"['2a371c10-e3ee-4238-94e9-d7a0454bf61b', 'e244a98b-0627-4497-b7da-186129d118de']",34,,Left Foot,,"[113.0, 41.0]",,"[{'location': [105.0, 34.0], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [120.0, 39.0], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 42.0], 'player': {'id': 5488, 'name': 'Mark Milligan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 40.0], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 40.0], 'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.0, 50.0], 'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.0, 49.0], 'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 38.0], 'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.0, 32.0], 'player': {'id': 5482, 'name': 'Josh Risdon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 32.0], 'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [112.0, 30.0], 'player': {'id': 5478, 'name': 'Trent Sainsbury'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",4bca44a8-01c8-46a5-89a8-01f6b2f88fcb,Blocked,0.064092785,Normal,Open Play,,,,France,771,00:32:34.489,Shot,
,,,,,,,,,,,,1.493,,,,,,,,,,,,,,,82b19337-13c9-42e0-b5fa-bcffbe4f664d,1846,,,"[101.0, 21.0]",7530,44,,,,,,,,,,,,,,,,,,1,From Keeper,Aziz Eraltay Behich,5479.0,Left Back,79,Australia,792,['6b1d2d72-4a53-46c7-a896-a3ca7be9bd40'],52,,Right Foot,,"[120.0, 45.0, 3.5]",True,"[{'location': [100.0, 25.0], 'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.0, 33.0], 'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 21.0], 'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 37.0], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [89.0, 23.0], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [105.0, 34.0], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 37.0], 'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 33.0], 'player': {'id': 5494, 'name': 'Robbie Kruse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [102.0, 36.0], 'player': {'id': 5491, 'name': 'Tom Rogić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [107.0, 40.0], 'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [110.0, 40.0], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.0, 48.0], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.0, 48.0], 'player': {'id': 5486, 'name': 'Andrew Nabbout'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [87.0, 38.0], 'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [95.0, 51.0], 'player': {'id': 5482, 'name': 'Josh Risdon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [101.0, 46.0], 'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",,Off T,0.012084869,Normal,Open Play,,,,Australia,792,00:44:52.396,Shot,
,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,5284c774-dbdf-4ec7-a3be-14c9ee3d68ec,2188,,,"[108.0, 40.0]",7530,57,,,,,,,,,,,,,,,,,,2,Other,Antoine Griezmann,5487.0,Center Forward,102,France,771,['351422b9-6bbe-4ef0-aed9-1a44c5dee988'],9,,Left Foot,,"[119.0, 43.8, 1.4]",,,,Goal,0.7835,Normal,Penalty,,,,France,771,00:12:09.720,Shot,
,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,ac9a77b9-a25d-474b-bf09-52e96f3976d8,2218,,,"[104.0, 37.0]",7530,58,,,,,,,,,,,,,,,,,,2,Regular Play,Antoine Griezmann,5487.0,Center Forward,104,France,771,"['763fe000-8e18-4737-ad9d-198ad2c8d3e8', '8d4bea22-a678-4416-afd8-d0a40f66cf3f']",24,,Left Foot,,"[114.0, 44.0]",True,"[{'location': [113.0, 39.0], 'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.0, 45.0], 'player': {'id': 5494, 'name': 'Robbie Kruse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.0, 31.0], 'player': {'id': 5482, 'name': 'Josh Risdon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.0, 42.0], 'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.0, 38.0], 'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.0, 27.0], 'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.0, 31.0], 'player': {'id': 5478, 'name': 'Trent Sainsbury'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.0, 42.0], 'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 33.0], 'player': {'id': 5488, 'name': 'Mark Milligan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 32.0], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [112.0, 46.0], 'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [119.0, 39.0], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",a50ea53b-bda7-4610-8336-cca2684426bd,Blocked,0.09026888,Normal,Open Play,,,,France,771,00:13:24.920,Shot,
