50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,1.16,,,,,,,,,,,,,,,6aa4fd50-a99a-46c1-b6b8-2643aad82a84,74,,"[113.0, 38.0]",7519,2,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ana-Maria Crnogorčević,10408.0,Center Forward,8,Portland Thorns,765,['5212b095-6110-4f3d-9736-206e20282c4d'],41,Head,"[120.0, 34.6, 4.2]",,"[{'location': [118.0, 39.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 46.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.0, 42.0], 'player': {'id': 5094, 'name': 'Ifeoma Onumonu'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [105.0, 45.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.0, 50.0], 'player': {'id': 5015, 'name': 'Kelli Hubly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [109.0, 48.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 46.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [108.0, 44.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 38.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 41.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [102.0, 36.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.0, 22.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [94.0, 31.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [98.0, 30.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [98.0, 28.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",1ca94916-0963-4ed6-aeec-b774db2508d0,,,Off T,,0.21243234,Normal,Open Play,,,,Portland Thorns,765,00:02:41.147,Shot,
,,,,,,,,,,,0.533,,,,,,,,,,,,,,,48520956-2676-43e9-a6b1-ba85c3136628,206,,"[116.0, 36.0]",7519,6,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jessica McDonald,5034.0,Right Center Forward,17,North Carolina Courage,766,['dbbc1137-2400-4646-abf9-038586bea013'],2,Left Foot,"[120.0, 36.0, 3.8]",,"[{'location': [119.0, 41.0], 'player': {'id': 5005, 'name': 'Britt Eckerstrom'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 37.0], 'player': {'id': 5009, 'name': 'Margaret Purce'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [102.0, 32.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.0, 40.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [94.0, 30.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [106.0, 45.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [116.0, 45.0], 'player': {'id': 5092, 'name': 'Emily Menges'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [117.0, 49.0], 'player': {'id': 5015, 'name': 'Kelli Hubly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.0, 42.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [114.0, 46.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [83.0, 28.0], 'player': {'id': 5094, 'name': 'Ifeoma Onumonu'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [101.0, 46.0], 'player': {'id': 5013, 'name': 'Tobin Powell Heath'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [103.0, 49.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.0, 62.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]",c09b6937-308b-4c26-990b-71596243e3bd,,True,Off T,,0.32722998,Normal,Open Play,,,,North Carolina Courage,766,00:06:02.267,Shot,
,,,,,,,,,,,1.04,,,,,,,,,,,,,,,1e769b21-4a7d-4fbd-99e7-068dadbc17ec,894,,"[105.0, 39.0]",7519,26,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ana-Maria Crnogorčević,10408.0,Center Forward,63,Portland Thorns,765,['51efeb2e-1410-4dfc-b33a-f6d35332ddb8'],49,Left Foot,"[119.0, 37.4, 1.5]",True,"[{'location': [108.0, 33.0], 'player': {'id': 5094, 'name': 'Ifeoma Onumonu'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [100.0, 37.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [102.0, 41.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 38.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.0, 50.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.0, 39.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 38.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 36.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 29.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",8d1a6b1e-a901-499d-85c1-64669dda877b,,,Saved,,0.112193145,Normal,Open Play,,,,Portland Thorns,765,00:26:49.667,Shot,
,,,,,,,,,,,1.093,,,,,,,,,,,,,,,034d6fc1-4172-4a9e-a32b-0c0de698c350,920,,"[99.0, 40.0]",7519,27,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Crystal Alyssia Dunn Soubrier,5088.0,Right Wing,65,North Carolina Courage,766,['6647f57f-b4a7-4d57-b6c0-f8b1997d12d0'],33,Left Foot,"[120.0, 37.6, 4.4]",,"[{'location': [76.0, 33.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [119.0, 42.0], 'player': {'id': 5005, 'name': 'Britt Eckerstrom'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 31.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.0, 34.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.0, 34.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [98.0, 37.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [92.0, 42.0], 'player': {'id': 5013, 'name': 'Tobin Powell Heath'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [103.0, 35.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 25.0], 'player': {'id': 5009, 'name': 'Margaret Purce'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [105.0, 47.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [102.0, 16.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [102.0, 39.0], 'player': {'id': 5092, 'name': 'Emily Menges'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [101.0, 43.0], 'player': {'id': 5015, 'name': 'Kelli Hubly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 41.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [101.0, 51.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",,,,Off T,,0.08390923,Normal,Open Play,,,,North Carolina Courage,766,00:27:33.027,Shot,
,,,,,,,,,,,0.38,,,,,,,,,,,,,,,0a621dd0-b055-4956-b289-d4741a82d2b6,945,,"[112.0, 53.0]",7519,28,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Crystal Alyssia Dunn Soubrier,5088.0,Right Wing,67,North Carolina Courage,766,"['776bf86e-91aa-43b9-8d01-a4455a6fb178', 'a9c8351f-7017-4578-8c76-121574ee6fb6']",28,Right Foot,"[113.0, 50.0]",,"[{'location': [119.0, 43.0], 'player': {'id': 5005, 'name': 'Britt Eckerstrom'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.0, 43.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 22.0], 'player': {'id': 5009, 'name': 'Margaret Purce'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [113.0, 48.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.0, 51.0], 'player': {'id': 5092, 'name': 'Emily Menges'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [115.0, 36.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [112.0, 39.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [115.0, 46.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [103.0, 47.0], 'player': {'id': 5015, 'name': 'Kelli Hubly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [87.0, 28.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.0, 49.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]",98ae2e45-7120-4298-a418-8ea2d90e9c20,,,Blocked,,0.061709896,Normal,Open Play,,,,North Carolina Courage,766,00:28:28.867,Shot,
,,,,,,,,,,,0.48,,,,,,,,,,,,,,,8b7260b0-b91f-4fc6-a61b-0faed594b7e0,950,,"[114.0, 38.0]",7519,28,,,,,,,,,,,,,,,,,,,,,1,From Corner,Jessica McDonald,5034.0,Right Center Forward,68,North Carolina Courage,766,"['68be608b-ed3d-4417-bc23-d1ecf3eacf61', 'bdfa2c8f-8d2d-41ad-910d-b6fce77701ac']",58,Head,"[118.0, 39.0]",,"[{'location': [115.0, 47.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 5005, 'name': 'Britt Eckerstrom'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 34.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 33.0], 'player': {'id': 5094, 'name': 'Ifeoma Onumonu'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [118.0, 39.0], 'player': {'id': 5009, 'name': 'Margaret Purce'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [115.0, 48.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [116.0, 43.0], 'player': {'id': 5015, 'name': 'Kelli Hubly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 33.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.0, 42.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [117.0, 45.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.0, 41.0], 'player': {'id': 5092, 'name': 'Emily Menges'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [109.0, 47.0], 'player': {'id': 5013, 'name': 'Tobin Powell Heath'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [102.0, 48.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.0, 36.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [115.0, 38.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.0, 47.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]",2915821c-26ee-47fa-9177-21dac385b258,,,Blocked,,0.12708512,Normal,Open Play,,,,North Carolina Courage,766,00:28:58.027,Shot,
,,,,,,,,,,,0.693,,,,,,,,,,,,,,,7dc322cf-6caa-4146-96ec-51c16fc371ac,982,,"[109.0, 41.0]",7519,30,,,,,,,,,,,,,,,,,,,,,1,Other,Lynn Raenie Williams,5055.0,Left Center Forward,71,North Carolina Courage,766,['e2ed4d3d-5c29-4f4d-9ce2-9165af0b6086'],47,Right Foot,"[120.0, 44.0, 1.6]",,,,,,Goal,,0.7835,Normal,Penalty,,,,North Carolina Courage,766,00:30:47.907,Shot,
,,,,,,,,,,,0.573,,,,,,,,,,,,,,,bb97a698-f567-47d1-822c-c9ae309897ab,1168,,"[117.0, 39.0]",7519,36,,,,,,,,,,,,,,,,,,,,,1,From Counter,Jessica McDonald,5034.0,Right Center Forward,84,North Carolina Courage,766,['e71b09b1-19ef-4ee5-b785-9a43367e9b77'],39,Right Foot,"[120.0, 39.9, 4.3]",,"[{'location': [119.0, 42.0], 'player': {'id': 5005, 'name': 'Britt Eckerstrom'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 38.0], 'player': {'id': 5009, 'name': 'Margaret Purce'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [115.0, 46.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 43.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.0, 54.0], 'player': {'id': 5092, 'name': 'Emily Menges'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [112.0, 61.0], 'player': {'id': 5015, 'name': 'Kelli Hubly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",8496be85-00de-4fbd-a00f-61373b4daac6,,True,Off T,,0.5962799,Normal,Open Play,,,,North Carolina Courage,766,00:36:39.787,Shot,
,,,,,,,,,,,1.253,,,,,,,,,,,,,,,463953a3-1fa8-46df-bc6e-e4d76eae5b66,1197,,"[107.0, 28.0]",7519,38,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lynn Raenie Williams,5055.0,Left Center Forward,85,North Carolina Courage,766,['b44b08ea-09fb-4fe8-9e56-7624afc08f53'],22,Right Foot,"[116.0, 40.1, 1.6]",,"[{'location': [106.0, 31.0], 'player': {'id': 5092, 'name': 'Emily Menges'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [94.0, 24.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [84.0, 31.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [109.0, 29.0], 'player': {'id': 5015, 'name': 'Kelli Hubly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 5005, 'name': 'Britt Eckerstrom'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.0, 54.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]",50c06fba-7028-404c-b8fa-324efba9d5ed,,,Saved,,0.061359003,Lob,Open Play,,,,North Carolina Courage,766,00:38:22.627,Shot,
,,,,,,,,,,,1.4,,,,,,,,,,,,,,,675c43bb-963b-4591-a16f-a8f5206cc801,1291,,"[89.0, 26.0]",7519,40,,,,,,,,,,,,,,,,,,,,,1,From Counter,Tobin Powell Heath,5013.0,Left Attacking Midfield,97,Portland Thorns,765,['e1718b8b-1a56-412c-a708-ae9d38923f56'],44,Left Foot,"[120.0, 34.6, 4.5]",,"[{'location': [102.0, 26.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 50.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.0, 41.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.0, 31.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.0, 26.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [81.0, 39.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [78.0, 35.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [81.0, 31.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [93.0, 28.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 41.0], 'player': {'id': 5094, 'name': 'Ifeoma Onumonu'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [97.0, 34.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [84.0, 8.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",5f12bc6b-f7bf-445e-9026-8e7dd45c416d,,,Off T,,0.0066928794,Normal,Open Play,,,,Portland Thorns,765,00:40:44.320,Shot,
