ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.600424,,,,,,,,,,,,,,,c20ec6db-8120-458b-b055-e791da75a38e,299,,,"[103.8, 48.5]",3775588,7,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Josie Green,4865.0,Center Defensive Midfield,20,Tottenham Hotspur Women,749,"['48f55a8f-53be-4eca-a15e-72985d3d72f8', '5fed1b57-7532-431c-8d61-081d5bf0b318']",56,,Right Foot,"[109.0, 47.2]",True,"[{'location': [112.6, 37.8], 'player': {'id': 31550, 'name': 'Angela Addison'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.8, 35.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [110.8, 37.6], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.6, 37.1], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.6, 41.8], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.3, 47.3], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.1, 45.4], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 48.4], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 42.7], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.1, 50.7], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [110.6, 47.2], 'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.5, 50.7], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.3, 42.7], 'player': {'id': 5085, 'name': 'Alexandra Morgan Carrasco'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.2, 44.5], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,,,Wayward,,0.04892967,Half Volley,Open Play,,,,Tottenham Hotspur Women,749,00:07:56.627,Shot,True
,,,,,,,,,,,,,,,,1.412713,,,,,,,,,,,,,,,ce170c29-1b2f-4d04-a07f-c3658bbd5295,309,,,"[113.1, 30.9]",3775588,8,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Alanna Stephanie Kennedy,5078.0,Right Center Midfield,21,Tottenham Hotspur Women,749,"['8bfd0c1c-15b7-4bc7-a26a-1d2a6d5822b3', '9615ef33-2b09-4f5d-ab8c-f2875061d527']",32,True,Head,"[120.0, 29.6, 0.2]",,"[{'location': [95.2, 46.6], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [115.6, 40.5], 'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [113.2, 31.4], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [113.1, 32.6], 'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [114.5, 36.1], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.7, 40.1], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [114.4, 38.7], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.8, 39.1], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [114.6, 40.0], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.7, 45.2], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.2, 35.4], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.3, 36.3], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.0, 43.9], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [111.7, 29.9], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [117.9, 51.2], 'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [114.5, 37.7], 'player': {'id': 5085, 'name': 'Alexandra Morgan Carrasco'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",7b501323-0f00-4dd4-9de4-c2dbb8a42f54,,,Off T,,0.044474535,Normal,Open Play,,,,Tottenham Hotspur Women,749,00:08:32.170,Shot,True
,,,,,,,,,,,,,,,,1.799294,,,,,,,,,,,,,,,7e16b938-fbec-4c4a-ae72-ab3de693bedb,325,,,"[103.1, 62.9]",3775588,10,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Kerys Harrop,15569.0,Left Back,24,Tottenham Hotspur Women,749,['464ab6b9-7c8f-4277-b74d-39066101b264'],8,,Left Foot,"[120.0, 37.0, 2.1]",,"[{'location': [110.3, 40.1], 'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [110.1, 32.2], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [110.9, 39.1], 'player': {'id': 5085, 'name': 'Alexandra Morgan Carrasco'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.8, 38.0], 'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [111.3, 33.7], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 36.5], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.6, 38.3], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 55.1], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [109.5, 41.9], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.2, 37.5], 'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.2, 39.7], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [118.5, 40.9], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.6, 48.0], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.5, 54.9], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.7, 36.4], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [100.7, 43.2], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [99.4, 64.5], 'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,,Goal,,0.009935978,Normal,Free Kick,,,,Tottenham Hotspur Women,749,00:10:08.182,Shot,
,,,,,,,,,,,,,,,,0.585107,,,,,,,,,,,,,,,5a6bc689-e907-44c4-bf8a-4dca3534a633,707,,,"[89.5, 32.8]",3775588,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Felicity Gibbons,16392.0,Left Back,39,Brighton & Hove Albion WFC,965,"['0bde26f8-7e29-4c84-9eea-47c1674f21d1', '26ebc57e-3041-4029-bdd6-2d8371a228b6']",49,,Left Foot,"[103.5, 37.8]",True,"[{'location': [102.9, 65.6], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [110.7, 49.2], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [106.1, 37.3], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [106.5, 49.7], 'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [115.4, 51.6], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [93.6, 30.2], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [104.6, 51.7], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.2, 35.8], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.5, 32.4], 'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.6, 34.0], 'player': {'id': 31703, 'name': 'Anna Filbey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.1, 46.3], 'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [96.7, 50.4], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.1, 45.1], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.8, 46.1], 'player': {'id': 5085, 'name': 'Alexandra Morgan Carrasco'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [103.6, 37.8], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.3, 42.7], 'player': {'id': 31550, 'name': 'Angela Addison'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.0, 37.5], 'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 39.8], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 25.1], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [107.5, 28.6], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",2b0d312e-965a-4471-abaf-d36827205b16,,,Blocked,,0.018483344,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:20:49.907,Shot,
,,,,,,,,,,,,,,,,0.615686,,,,,,,,,,,,,,,0f95aac7-7a4a-4f38-8fae-7acac5bebacb,718,,,"[93.7, 55.7]",3775588,21,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Rosella Ayane,21048.0,Left Wing,40,Tottenham Hotspur Women,749,['a74c32f0-f42b-4009-8eb2-1037e5f27bbd'],0,,Right Foot,"[120.0, 50.1, 1.1]",,"[{'location': [92.9, 52.6], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.5, 46.1], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",979417bd-6bae-42dc-890c-1090b4ae66be,True,,Off T,,0.10348374,Normal,Open Play,,,,Tottenham Hotspur Women,749,00:21:00.565,Shot,
,,,,,,,,,,,,,,,,0.381696,,,,,,,,,,,,,,,e511a17b-2a63-4396-a647-af54cf93c646,754,,,"[116.8, 35.2]",3775588,23,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Alexandra Morgan Carrasco,5085.0,Center Forward,44,Tottenham Hotspur Women,749,"['34f2a228-0807-4f49-9b69-ad0f2c8db7ed', '4c325010-1d12-48bb-9843-c501cef30c02']",57,True,Head,"[120.0, 43.2, 3.5]",,"[{'location': [115.8, 36.2], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [115.4, 35.7], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [119.5, 36.6], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.6, 36.2], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.4, 36.2], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.0, 36.9], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.3, 41.1], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [116.0, 43.0], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.9, 37.4], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.7, 41.6], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.0, 41.3], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [115.9, 34.6], 'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [107.6, 45.3], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [118.6, 37.1], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.6, 42.0], 'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}]",9b4ba40d-077a-44e7-ad31-64f588073a77,,,Off T,,0.14005671,Normal,Open Play,,,,Tottenham Hotspur Women,749,00:23:57.036,Shot,True
,,,,,,,,,,,,,,,,0.907449,,,,,,,,,,,,,,,5eb64fc8-f4a6-4ace-8b46-f0422d8c6514,955,,,"[110.7, 60.4]",3775588,28,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Angela Addison,31550.0,Right Wing,58,Tottenham Hotspur Women,749,['c1f4193f-e425-4b5b-9f95-4a2f0314088e'],53,,Left Foot,"[118.1, 44.3, 0.4]",,"[{'location': [114.2, 38.6], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.6, 46.5], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 44.3], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 52.6], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [113.2, 57.8], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.9, 55.2], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [96.3, 64.6], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [118.2, 43.5], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 42.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [114.5, 47.6], 'player': {'id': 5085, 'name': 'Alexandra Morgan Carrasco'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.3, 36.7], 'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.5, 51.8], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",62506aff-d99c-4640-a27b-8a49dc57ce3c,,,Saved,,0.008645142,Normal,Open Play,,,,Tottenham Hotspur Women,749,00:28:53.759,Shot,
,,,,,,,,,,,,,,,,0.123369,,,,,,,,,,,,,,,f9d90231-fdea-46a8-ac46-609a1b4ea289,1028,,,"[111.5, 43.5]",3775588,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Felicity Gibbons,16392.0,Left Back,67,Brighton & Hove Albion WFC,965,"['76c2ae73-441b-429f-97dc-9e60242434b3', 'b198f4e6-dd8c-4d43-99b0-26f83e916f41', 'f0db571a-c85b-481f-a5e8-23a2bdc32750']",10,,Right Foot,"[113.2, 43.2]",True,"[{'location': [97.9, 41.5], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [104.7, 57.5], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [100.3, 50.8], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [112.3, 59.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.0, 30.6], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.8, 53.7], 'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.4, 40.9], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.7, 33.5], 'player': {'id': 31550, 'name': 'Angela Addison'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [113.1, 43.3], 'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.3, 44.7], 'player': {'id': 31703, 'name': 'Anna Filbey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.5, 47.7], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.8, 59.3], 'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.0, 58.2], 'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.1, 53.4], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.9, 56.2], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",00425959-4e3d-4afd-912e-0595e1cb3eb3,,,Blocked,,0.09809944,Half Volley,Open Play,,,,Brighton & Hove Albion WFC,965,00:31:10.513,Shot,True
,,,,,,,,,,,,,,,,0.074727,,,,,,,,,,,,,,,ea19a84b-858e-4c70-9e72-70d4ce681b55,1034,,,"[110.4, 40.7]",3775588,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Felicity Gibbons,16392.0,Left Back,67,Brighton & Hove Albion WFC,965,"['8281ebbf-bdbe-4f8d-bd7f-3cd922c6efdf', 'c41e95de-a453-4a14-930b-107d4d303741', 'e79e3b74-0f41-41af-9b2e-19c6593930ef']",12,,Left Foot,"[111.3, 40.4]",,"[{'location': [105.5, 31.3], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [114.5, 53.2], 'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.5, 49.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.5, 38.4], 'player': {'id': 31550, 'name': 'Angela Addison'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.3, 40.3], 'player': {'id': 31703, 'name': 'Anna Filbey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 41.4], 'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.1, 50.0], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.3, 51.3], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.6, 41.1], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [117.4, 39.5], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,,Blocked,,0.07049587,Volley,Open Play,,,,Brighton & Hove Albion WFC,965,00:31:12.183,Shot,True
,,,,,,,,,,,,,,,,0.641857,,,,,,,,,,,,,,,01b81ebb-9671-41b3-9886-f74e28820acf,1040,,,"[108.1, 40.1]",3775588,32,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Inessa Kaagman,15579.0,Center Attacking Midfield,68,Brighton & Hove Albion WFC,965,['2bc2b4a2-5bff-46dc-b159-3e55c8f88843'],44,,Left Foot,"[120.0, 43.0, 1.6]",,,,,,Goal,,0.7835,Normal,Penalty,,,,Brighton & Hove Albion WFC,965,00:32:44.781,Shot,
