50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.119,,,,,,,,,,,96139467-97d1-499f-966a-1fd4867e208e,43,,"[107.0, 42.0]",7474,0,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Samantha May Kerr,4961.0,Center Forward,4,Chicago Red Stars,761,['959a80b1-c832-4a55-a791-25b4d866f4c2'],50,,Left Foot,,"[112.0, 41.5, 1.3]",,"[{'location': [111.0, 43.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 36.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.0, 42.0], 'player': {'id': 5103, 'name': 'Michele Vasconcelos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [100.0, 44.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [115.0, 39.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 60.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.0, 41.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 50.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [107.0, 65.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.0, 57.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.0, 62.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [110.0, 41.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Saved,,0.13129374,Normal,Open Play,,,,Chicago Red Stars,761,00:00:50.545,Shot,
,,,,,,,,,,,,,2.836,,,,,,,,,,,8f7a4145-df88-4d83-9a72-ead126a54e8a,192,,"[118.0, 30.0]",7474,5,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ashley Hatch,4964.0,Center Forward,11,Washington Spirit,759,['aa1e021e-4841-471b-9d5e-5ad4bc7b44fa'],1,,Left Foot,,"[117.0, 64.0]",,"[{'location': [103.0, 30.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 45.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [114.0, 37.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [97.0, 36.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [116.0, 38.0], 'player': {'id': 6811, 'name': 'Julie Beth Ertz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 45.0], 'player': {'id': 7179, 'name': 'Casey Marie Krueger'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.0, 28.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [116.0, 31.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 28.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 41.0], 'player': {'id': 4965, 'name': 'Nikki Stanton'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [120.0, 38.0], 'player': {'id': 5100, 'name': 'Alyssa Michele Naeher'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",c54e1012-6e06-4360-80a3-abdcbe2758aa,True,Wayward,,0.025162648,Normal,Open Play,,,,Washington Spirit,759,00:05:01.958,Shot,
,,,,,,,,,,,,,0.137,,,,,,,,,,,632ce420-4ae3-4a7a-9d76-46cdb03858f8,299,,"[107.0, 23.0]",7474,7,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Samantha May Kerr,4961.0,Center Forward,16,Chicago Red Stars,761,"['c52fb758-6b5a-46e1-b24b-d2c8b6019571', 'c67a8d63-c669-4f7e-b335-f511b5e183d3']",30,,Left Foot,,"[111.0, 27.0]",,"[{'location': [109.0, 25.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 26.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 43.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.0, 41.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.0, 36.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Blocked,,0.026590817,Normal,Open Play,,,,Chicago Red Stars,761,00:07:30.660,Shot,
,,,,,,,,,,,,,1.574,,,,,,,,,,,c54a4035-71c1-411e-80fc-23c711cb48eb,345,,"[113.0, 53.0]",7474,9,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ashley Hatch,4964.0,Center Forward,19,Washington Spirit,759,"['a2f08727-949e-4e7b-9542-3f0dde59aa0d', 'fb9e5409-a12f-4957-83d6-2b1804392093']",38,True,Head,,"[117.0, 62.0]",,"[{'location': [102.0, 43.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 38.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [95.0, 67.0], 'player': {'id': 5103, 'name': 'Michele Vasconcelos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.0, 51.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [90.0, 38.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [94.0, 41.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [107.0, 48.0], 'player': {'id': 6811, 'name': 'Julie Beth Ertz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 54.0], 'player': {'id': 7179, 'name': 'Casey Marie Krueger'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.0, 57.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [105.0, 45.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 28.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}, {'location': [105.0, 34.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [85.0, 36.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [105.0, 40.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 39.0], 'player': {'id': 4965, 'name': 'Nikki Stanton'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 5100, 'name': 'Alyssa Michele Naeher'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",5d7420e8-49d0-4dbd-aac1-039282cc839f,True,Wayward,,0.06179506,Normal,Open Play,,,,Washington Spirit,759,00:09:38.153,Shot,True
,,,,,,,,,,,,,1.522,,,,,,,,,,,7b5e267e-ffd2-4228-85b1-85b9f280f7c7,356,,"[99.0, 38.0]",7474,10,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Samantha May Kerr,4961.0,Center Forward,20,Chicago Red Stars,761,['a44207b8-08be-40d6-bc3f-a34ae375943b'],19,,Right Foot,,"[115.0, 41.7, 2.1]",,"[{'location': [100.0, 40.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [80.0, 48.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [87.0, 21.0], 'player': {'id': 5103, 'name': 'Michele Vasconcelos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.0, 30.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.0, 35.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.0, 60.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.0, 51.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 40.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",7a84ddcf-4fc7-48d7-a62c-f41dac1466fa,,Saved,,0.21115853,Lob,Open Play,,,,Chicago Red Stars,761,00:10:19.053,Shot,
,,,,,,,,,,,,,1.221,,,,,,,,,,,bdf35678-e2dc-4419-bdd4-2b6b344d1ad9,416,,"[98.0, 53.0]",7474,12,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Michele Vasconcelos,5103.0,Left Wing,31,Chicago Red Stars,761,['7f48d53e-048e-43e0-ad04-64d00186cdba'],43,,Right Foot,,"[120.0, 36.4, 2.9]",,"[{'location': [107.0, 49.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [108.0, 43.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 53.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.0, 36.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.0, 41.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.0, 46.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.0, 32.0], 'player': {'id': 6811, 'name': 'Julie Beth Ertz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [107.0, 24.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 42.0], 'player': {'id': 7179, 'name': 'Casey Marie Krueger'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [106.0, 40.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.0, 33.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 52.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [103.0, 50.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [105.0, 47.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.0, 38.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 42.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Post,,0.025553154,Normal,Open Play,,,,Chicago Red Stars,761,00:12:43.374,Shot,
,,,,,,,,,,,,,1.106,,,,,,,,,,,83b6dcf0-a20c-42e3-93c4-88f9d729d93d,457,,"[96.0, 38.0]",7474,13,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Yuki Nagasato,4963.0,Center Attacking Midfield,32,Chicago Red Stars,761,['26f9fe4f-a5c3-4568-a8ca-8e7eddc4bdbb'],38,,Right Foot,,"[117.0, 43.6, 0.3]",,"[{'location': [102.0, 46.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.0, 50.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [98.0, 48.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.0, 22.0], 'player': {'id': 5103, 'name': 'Michele Vasconcelos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [86.0, 42.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.0, 27.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.0, 38.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.0, 39.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [100.0, 57.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.0, 49.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 39.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Saved,,0.0457202,Normal,Open Play,,,,Chicago Red Stars,761,00:13:38.648,Shot,
,,,,,,,,,,,,,0.856,,,,,,,,,,,f91d40b1-8c68-4ba1-bada-ee211e7fb435,473,,"[102.0, 53.0]",7474,14,,,,,,,,,,,,,,,,,,,,,1,From Counter,Samantha May Kerr,4961.0,Center Forward,35,Chicago Red Stars,761,['2213e2a5-4e68-452a-ae53-f0bc2a95ff8c'],2,,Right Foot,,"[117.0, 37.4, 0.2]",,"[{'location': [103.0, 51.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [90.0, 55.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 42.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",19629442-52cd-4ebd-a1b6-1f0aa05f2485,,Saved,,0.058606766,Normal,Open Play,,,,Chicago Red Stars,761,00:14:02.533,Shot,
,,,,,,,,,,,,,1.059,,,,,,,,,,,4a856527-cbff-4650-b22f-8a5d2a9eec48,1007,,"[104.0, 29.0]",7474,29,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Michele Vasconcelos,5103.0,Left Wing,77,Chicago Red Stars,761,['71c573d0-bbca-4533-af96-8ae51e883fe1'],45,,Right Foot,,"[116.0, 40.3, 1.0]",,"[{'location': [96.0, 32.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [99.0, 41.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.0, 22.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.0, 29.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [113.0, 42.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [105.0, 31.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.0, 21.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 20.0], 'player': {'id': 7179, 'name': 'Casey Marie Krueger'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [110.0, 42.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.0, 32.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 29.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [108.0, 35.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [103.0, 51.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.0, 46.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 38.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",6910f3f2-81a5-46dc-88bb-29646062e354,,Saved,,0.051010773,Normal,Open Play,,,,Chicago Red Stars,761,00:29:45.716,Shot,
,,,,,,,,,,,,,1.967,,,,,,,,,,,7f9badef-d66c-4bf7-80fb-93818759e2e3,1106,,"[95.0, 57.0]",7474,32,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alyssa Mautz,4953.0,Right Wing,83,Chicago Red Stars,761,['36cfd193-0dad-4622-802b-7aff1b367782'],46,,Right Foot,True,"[119.0, 37.2, 4.0]",,"[{'location': [108.0, 47.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 55.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.0, 44.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.0, 36.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.0, 33.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 38.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.0, 47.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [108.0, 57.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 64.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [119.0, 41.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",a24ba15a-29b1-4015-ade3-ee2749802d3b,,Off T,,0.014557008,Normal,Open Play,,,,Chicago Red Stars,761,00:32:46.069,Shot,
