bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.781692,,,,,,,,,,,,,,3cec8086-acf6-4d7b-843c-d737061ce21d,295,,"[98.1, 28.8]",3825651,7,,,True,,,,,,,,,,,,,,,,,,,,1,Regular Play,Isaac Ajayi Success,6918.0,Left Wing,21,Granada,1049,['91b5a6d0-7642-4cd9-bf4b-90417d9d5c0c'],48,,Right Foot,,"[109.9, 80.0]",,"[{'location': [98.0, 38.7], 'player': {'id': 26797, 'name': 'Francisco Medina Luna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [93.1, 28.7], 'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [96.9, 40.2], 'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.5, 52.4], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.6, 40.4], 'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.4, 32.9], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.1, 40.5], 'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.6, 15.3], 'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [101.0, 29.0], 'player': {'id': 23974, 'name': 'Roberto Antonio Correa Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",dedc8051-cb75-4008-a45f-9aa2754b8d66,,,Wayward,,,0.038459994,Normal,Open Play,,,,Granada,1049,00:07:48.010,Shot,
,,,,,,,,,,,,,,,0.817454,,,,,,,,,,,,,,ed7dac7a-6e18-46d6-b1e4-3d223466ea85,348,,"[94.7, 41.1]",3825651,9,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Javier Márquez Moreno,24783.0,Center Attacking Midfield,23,Granada,1049,['2ce56c5a-bb0e-4098-8121-11c04acd75a6'],8,,Left Foot,,"[119.0, 40.3, 0.6]",True,"[{'location': [96.0, 29.8], 'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.8, 30.3], 'player': {'id': 23974, 'name': 'Roberto Antonio Correa Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.7, 36.4], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.1, 34.1], 'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [97.6, 41.3], 'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.2, 52.2], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.5, 20.6], 'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [98.8, 34.3], 'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.0, 48.7], 'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.2, 57.8], 'player': {'id': 26797, 'name': 'Francisco Medina Luna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.0, 28.5], 'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [119.2, 40.1], 'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",a0ebe11d-b0ef-4242-911f-14d01aa2405f,,,Saved,,,0.03245845,Normal,Open Play,,,,Granada,1049,00:09:08.899,Shot,
,,,,,,,,,,,,,,,0.451734,,,,,,,,,,,,,,c46d72d5-af5e-48c2-9400-ca2aca7432a1,535,,"[112.9, 48.5]",3825651,13,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Jean-Sylvain Claude Babin,4498.0,Right Center Back,32,Granada,1049,"['69ca4dc2-2a2e-4ac9-a098-3b8cedc5d9cc', '8f643df5-4449-4d0d-9f17-ecc767b8445b']",47,True,Head,,"[119.3, 43.4, 2.2]",,"[{'location': [119.2, 42.6], 'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.2, 28.2], 'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [113.2, 31.3], 'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.9, 35.3], 'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [113.7, 48.2], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.6, 39.9], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.2, 42.6], 'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.1, 42.0], 'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.3, 43.2], 'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.5, 40.8], 'player': {'id': 3160, 'name': 'Rene Krhin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [114.3, 33.0], 'player': {'id': 23974, 'name': 'Roberto Antonio Correa Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",cb99a7a0-3d99-4ca9-85fd-476d0570d4b3,,,Saved,,,0.052526835,Normal,Open Play,,,,Granada,1049,00:13:47.347,Shot,True
,,,,,,,,,,,,,,,2.020567,,,,,,,,,,,,,,ecf63685-bf7d-4a48-ae60-10af872fd509,664,,"[96.0, 22.2]",3825651,19,,,True,,,,,,,,,,,,,,,,,,,,1,From Counter,Francisco Medina Luna,26797.0,Right Wing,44,Granada,1049,['3a4baeee-cb7b-4ee4-b029-11cd9d30ad9e'],49,,Left Foot,,"[120.0, 58.9]",,"[{'location': [100.7, 23.6], 'player': {'id': 23974, 'name': 'Roberto Antonio Correa Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.8, 28.9], 'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.2, 36.9], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.5, 37.4], 'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.0, 14.4], 'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [100.3, 38.0], 'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [95.1, 28.6], 'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [91.6, 23.3], 'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}]",c6a5d4a5-5027-41cb-aa3b-44faa5b8fd17,,,Wayward,,,0.011294605,Normal,Open Play,,,,Granada,1049,00:19:49.414,Shot,
,,,,,,,,,,,,,,,0.701791,,,,,,,,,,,,,,cb0a56d2-9a3f-4263-8077-013e1f1f24b7,1153,,"[100.1, 24.0]",3825651,33,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Rubén Duarte Sánchez,6612.0,Left Back,72,Espanyol,214,"['0b1cdd48-760d-47a7-9c3c-89cbdb5a228c', '5f37e2db-47c8-4050-bfb7-9b5c565009a0']",45,,Left Foot,,"[109.2, 37.9]",True,"[{'location': [111.5, 43.3], 'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.4, 21.4], 'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.2, 24.9], 'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.3, 32.9], 'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [113.5, 54.7], 'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.9, 38.4], 'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.4, 37.9], 'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.5, 43.9], 'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.1, 39.5], 'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.0, 48.8], 'player': {'id': 3160, 'name': 'Rene Krhin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [88.5, 50.8], 'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [117.6, 37.4], 'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,,Blocked,,,0.03046759,Half Volley,Open Play,,,,Espanyol,214,00:33:45.172,Shot,
,,,,,,,,,,,,,,,0.385828,,,,,,,,,,,,,,30600128-ca2a-4079-8f85-bb1e50e0b3e0,1251,,"[113.0, 36.5]",3825651,38,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Jean-Sylvain Claude Babin,4498.0,Right Center Back,79,Granada,1049,"['a2596d27-0cc7-4c61-88a2-a9178e04da65', 'c01152f8-557a-448e-8332-5aaa55fe943e']",28,True,Head,,"[120.0, 38.9, 4.5]",,"[{'location': [109.9, 41.9], 'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [108.4, 45.2], 'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.9, 45.4], 'player': {'id': 23974, 'name': 'Roberto Antonio Correa Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.2, 43.4], 'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.2, 40.1], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.7, 45.2], 'player': {'id': 26797, 'name': 'Francisco Medina Luna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.4, 41.6], 'player': {'id': 3160, 'name': 'Rene Krhin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [97.2, 32.6], 'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [116.4, 44.2], 'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.9, 34.1], 'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.2, 37.6], 'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.8, 37.3], 'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [117.5, 33.3], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.1, 35.0], 'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [113.6, 35.0], 'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [113.6, 37.6], 'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [119.5, 39.7], 'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",d91ef5f2-290f-4d10-822f-fb7e3e6a3f3c,,,Off T,,,0.105265476,Normal,Open Play,,,,Granada,1049,00:38:28.406,Shot,True
,,,,,,,,,,,,,,,0.094492,,,,,,,,,,,,,,ee6bc427-2164-49f2-a8fe-dc8a6e7124f9,1489,,"[117.3, 25.8]",3825651,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Francisco Medina Luna,26797.0,Right Wing,99,Granada,1049,"['156aa4cf-99ff-4419-ae92-46e01a7385d9', 'b80d7104-f022-47eb-8828-afec34da4f66']",44,,Left Foot,True,"[118.9, 35.7, 1.6]",True,"[{'location': [114.1, 40.1], 'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.8, 28.2], 'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [119.0, 36.8], 'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.4, 40.9], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.8, 35.9], 'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [91.0, 51.1], 'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [114.3, 25.7], 'player': {'id': 23974, 'name': 'Roberto Antonio Correa Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.8, 30.2], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.2, 34.2], 'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",,,,Saved,,,0.010554313,Volley,Open Play,,,,Granada,1049,00:00:44.256,Shot,
,,,,,,,,,,,,,,,1.17529,,,,,,,,,,,,,,29002813-e8d2-49ca-9379-35d3928dcca1,1530,,"[109.0, 24.5]",3825651,47,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Isaac Ajayi Success,6918.0,Left Wing,103,Granada,1049,['ab8646e8-e317-4830-b27f-42ce942f3f4a'],2,,Right Foot,,"[120.0, 35.2, 0.2]",,"[{'location': [94.8, 41.6], 'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.9, 21.9], 'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.3, 22.5], 'player': {'id': 23974, 'name': 'Roberto Antonio Correa Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.8, 25.1], 'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.9, 36.2], 'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [111.4, 31.1], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.6, 39.1], 'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.9, 44.5], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.9, 45.4], 'player': {'id': 26797, 'name': 'Francisco Medina Luna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.3, 41.1], 'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.0, 35.8], 'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",61f2a783-fb0b-43a2-97d7-f573eb3ab448,,,Off T,,,0.058207404,Normal,Open Play,,,,Granada,1049,00:02:02.702,Shot,
,,,,,,,,,,,,,,,1.188215,,,,,,,,,,,,,,c049dfe0-3a9e-42c7-8146-c476e2a61d93,1723,,"[94.2, 19.7]",3825651,53,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Francisco Medina Luna,26797.0,Center Forward,122,Granada,1049,['3599fc5f-be96-4083-be75-b95285bef120'],15,,Left Foot,,"[118.8, 37.6, 0.5]",,"[{'location': [104.1, 44.2], 'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.2, 43.4], 'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.5, 35.4], 'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [105.6, 37.3], 'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.3, 39.2], 'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [118.7, 39.2], 'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.5, 44.8], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [85.7, 30.1], 'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [89.5, 37.6], 'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.4, 40.4], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.8, 39.5], 'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.8, 38.4], 'player': {'id': 23974, 'name': 'Roberto Antonio Correa Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.4, 34.7], 'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.2, 26.1], 'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [102.5, 25.1], 'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [100.0, 16.3], 'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [106.6, 37.7], 'player': {'id': 3160, 'name': 'Rene Krhin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [108.2, 36.6], 'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,,Saved,,,0.008454412,Normal,Free Kick,,,,Granada,1049,00:08:15.451,Shot,
,,,,,,,,,,,,,,,1.130528,,,,,,,,,,,,,,5f43d016-3c7c-47f4-80d8-8e2bf645ee92,1837,,"[113.7, 44.8]",3825651,57,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jean-Sylvain Claude Babin,4498.0,Right Center Back,134,Granada,1049,"['0368aea1-7898-4862-b184-625f781a2551', '7486b765-b572-42e3-9a0c-47d719828780']",58,True,Head,,"[120.0, 37.4, 1.8]",,"[{'location': [117.8, 41.8], 'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.3, 49.8], 'player': {'id': 3160, 'name': 'Rene Krhin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [113.5, 47.9], 'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.8, 44.3], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.0, 42.4], 'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.6, 39.9], 'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.3, 39.8], 'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.7, 37.8], 'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [110.2, 41.7], 'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [107.5, 27.6], 'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [96.1, 48.1], 'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.4, 37.8], 'player': {'id': 23974, 'name': 'Roberto Antonio Correa Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.6, 32.0], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.2, 36.3], 'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.4, 27.7], 'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",f960047f-eb5b-4add-8f3f-e97ec1cbe3d9,True,,Goal,,,0.1495648,Normal,Open Play,,,,Granada,1049,00:12:58.188,Shot,True
