50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.191456,,,,,,,,,,,,,,,53723d72-3187-4192-b44c-fa7e5e62268a,347,,"[107.3, 40.0]",3879708,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Diego Falcinelli,8093.0,Center Forward,16,Sassuolo,232,"['0d6941f3-cc87-4856-a089-0fd1eeab19ed', '3f850338-b68a-46a2-9d20-d85d2d1f5441', 'a6ac171c-386d-4731-9af3-8c93ec80096c', 'dc5e086a-3f79-4d76-9065-ce87f8894bb3']",58,,Left Foot,"[108.0, 39.9]",,"[{'location': [111.3, 39.7], 'player': {'id': 8657, 'name': 'Andrea Conti'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [107.9, 39.3], 'player': {'id': 8420, 'name': 'Luca Cigarini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.1, 40.2], 'player': {'id': 7002, 'name': 'Rafael Tolói'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.6, 63.6], 'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [103.3, 45.6], 'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.7, 50.0], 'player': {'id': 45590, 'name': 'Nicolò Cherubin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 42.9], 'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [118.8, 39.7], 'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [117.0, 78.8], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [112.7, 42.7], 'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.7, 40.7], 'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.7, 28.6], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",2ba086fc-24f5-4438-9abb-6f3569da9b18,Blocked,0.091621086,Normal,Open Play,,,,Sassuolo,232,00:05:58.491,Shot,True
,,,,,,,,,,,,,,,,,,,0.524769,,,,,,,,,,,,,,,e0df89f6-b79b-4692-89b2-2634cfaaf63e,619,,"[105.5, 48.2]",3879708,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Germán Gustavo Denis,49439.0,Right Center Forward,29,Atalanta,228,['3cb5c4d1-d21a-4445-8974-c360dc857f90'],3,,Right Foot,"[115.6, 42.1, 0.2]",,"[{'location': [108.9, 48.4], 'player': {'id': 10033, 'name': 'Luca Antei'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.2, 44.2], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.0, 51.8], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.8, 50.2], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.2, 46.6], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.4, 64.0], 'player': {'id': 387420, 'name': 'Alessandro Longhi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.6, 55.8], 'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [116.2, 43.1], 'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [89.3, 51.4], 'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [93.8, 65.8], 'player': {'id': 8420, 'name': 'Luca Cigarini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [107.7, 62.5], 'player': {'id': 8657, 'name': 'Andrea Conti'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [111.8, 53.2], 'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",3675dc66-242e-45be-a5de-1777e4ac3787,Saved,0.10954187,Normal,Open Play,,,,Atalanta,228,00:13:03.819,Shot,
,,,,,,,,,,,,,,,,,,,0.44079,,,,,,,,,,,,,,,d6edea25-969f-43c5-ad80-b7b245dd45e3,778,,"[100.8, 34.4]",3879708,17,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Joseph Alfred Duncan,7698.0,Left Center Midfield,38,Sassuolo,232,"['8920b776-17bc-4bfb-8e4d-0d2b4428ad8f', 'be7ffea7-4b25-4bb0-882f-6ae9c769b7d0']",35,,Left Foot,"[120.0, 39.1, 4.5]",True,"[{'location': [108.0, 45.6], 'player': {'id': 49439, 'name': 'Germán Gustavo Denis'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [105.9, 40.6], 'player': {'id': 8657, 'name': 'Andrea Conti'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [103.8, 50.9], 'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 41.0], 'player': {'id': 45590, 'name': 'Nicolò Cherubin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.4, 44.1], 'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [114.1, 24.3], 'player': {'id': 8420, 'name': 'Luca Cigarini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.1, 38.3], 'player': {'id': 7002, 'name': 'Rafael Tolói'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.6, 36.6], 'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [102.9, 35.2], 'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.2, 26.4], 'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [119.0, 38.4], 'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.2, 45.3], 'player': {'id': 8093, 'name': 'Diego Falcinelli'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.5, 44.5], 'player': {'id': 10033, 'name': 'Luca Antei'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [111.6, 48.4], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.8, 39.8], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.4, 43.3], 'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.2, 37.6], 'player': {'id': 387420, 'name': 'Alessandro Longhi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",d12fd95f-2863-4e97-bb2e-4cb6562a844d,Off T,0.051910378,Normal,Open Play,,,,Sassuolo,232,00:17:35.430,Shot,True
,,,,,,,,,,,,,,,,,,,0.778434,,,,,,,,,,,,,,,88725ae8-1dee-46c5-9110-56d655bcfdfc,1107,,"[85.4, 25.6]",3879708,26,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Francesco Magnanelli,7127.0,Center Defensive Midfield,56,Sassuolo,232,['1ad04e74-b366-4330-be65-f1f254a4ebb4'],6,,Right Foot,"[120.0, 31.5, 1.2]",,"[{'location': [100.7, 13.6], 'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.7, 9.9], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [86.5, 45.7], 'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [80.2, 21.6], 'player': {'id': 49439, 'name': 'Germán Gustavo Denis'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [87.7, 29.6], 'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.1, 42.4], 'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [93.9, 28.3], 'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [87.9, 22.0], 'player': {'id': 19847, 'name': 'Alessandro Diamanti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [100.7, 34.9], 'player': {'id': 45590, 'name': 'Nicolò Cherubin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.2, 31.1], 'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.3, 21.5], 'player': {'id': 8420, 'name': 'Luca Cigarini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.0, 18.3], 'player': {'id': 8657, 'name': 'Andrea Conti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.2, 38.5], 'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.6, 33.6], 'player': {'id': 8093, 'name': 'Diego Falcinelli'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [82.7, 34.6], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [99.2, 39.1], 'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [86.9, 17.5], 'player': {'id': 387420, 'name': 'Alessandro Longhi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [75.3, 18.9], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",3b5a1abb-b957-4c2a-b9d0-5122ac80c8e9,Off T,0.0057938704,Normal,Open Play,,,,Sassuolo,232,00:26:06.969,Shot,
,,,,,,,,,,,,,,,,,,,0.451488,,,,,,,,,,,,,,,d9f07f3b-3b2c-45d2-a78a-c0acad77e6c7,1138,,"[115.4, 37.5]",3879708,26,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Domenico Berardi,7131.0,Left Wing,58,Sassuolo,232,['8585b01b-8032-4590-9288-4278128910b0'],51,,Left Foot,"[120.0, 37.0, 0.2]",True,"[{'location': [115.4, 39.9], 'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.1, 43.1], 'player': {'id': 45590, 'name': 'Nicolò Cherubin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.9, 51.6], 'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.1, 38.0], 'player': {'id': 8657, 'name': 'Andrea Conti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.2, 40.3], 'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [117.0, 58.1], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [99.6, 28.4], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [112.2, 40.9], 'player': {'id': 8093, 'name': 'Diego Falcinelli'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,Goal,0.6683147,Normal,Open Play,,,,Sassuolo,232,00:26:51.866,Shot,
,,,,,,,,,,,,,,,,,,,0.374108,,,,,,,,,,,,,,,479aa62d-d553-45c5-abfc-3c510590c23f,1218,,"[108.0, 40.0]",3879708,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Germán Gustavo Denis,49439.0,Center Forward,65,Atalanta,228,['96ce639b-2ecc-4b80-b3be-d175558d9e74'],14,,Right Foot,"[119.2, 42.0, 0.2]",,,,Saved,0.7835,Normal,Penalty,,,,Atalanta,228,00:31:14.959,Shot,
,,,,,,,,,,,,,,,,,,,0.403795,,,,,,,,,,,,,,,b19b13dc-64de-4714-9dbe-7e408756ecac,1222,,"[112.5, 40.9]",3879708,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Germán Gustavo Denis,49439.0,Center Forward,65,Atalanta,228,['f377b837-eb5a-45d1-bec4-e5f298ab0037'],16,,Right Foot,"[120.0, 40.1, 0.2]",True,"[{'location': [113.8, 38.8], 'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.7, 37.5], 'player': {'id': 10033, 'name': 'Luca Antei'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.0, 43.3], 'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.5, 47.9], 'player': {'id': 387420, 'name': 'Alessandro Longhi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.5, 42.5], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.9, 49.7], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.1, 54.9], 'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.3, 46.9], 'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [93.2, 54.1], 'player': {'id': 8657, 'name': 'Andrea Conti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [107.7, 43.3], 'player': {'id': 8420, 'name': 'Luca Cigarini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.9, 43.9], 'player': {'id': 19847, 'name': 'Alessandro Diamanti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",,Goal,0.5531682,Normal,Open Play,,,,Atalanta,228,00:31:16.378,Shot,
,,,,,,,,,,,,,,,,,,,1.316314,,,,,,,,,,,,,,,7a47be29-3858-43df-97f1-aa8acc9fb118,1404,,"[106.4, 46.2]",3879708,36,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Germán Gustavo Denis,49439.0,Center Forward,80,Atalanta,228,['d19da0aa-6772-4758-98fb-49e4c055e79d'],58,,Head,"[120.0, 43.7, 3.9]",,"[{'location': [117.7, 42.2], 'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.8, 58.2], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.9, 64.1], 'player': {'id': 387420, 'name': 'Alessandro Longhi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.9, 49.7], 'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.2, 45.0], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.3, 39.6], 'player': {'id': 10033, 'name': 'Luca Antei'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.7, 36.6], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.9, 40.2], 'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [96.3, 67.2], 'player': {'id': 19847, 'name': 'Alessandro Diamanti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [90.2, 69.2], 'player': {'id': 8657, 'name': 'Andrea Conti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [90.5, 53.3], 'player': {'id': 8420, 'name': 'Luca Cigarini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",002c25c5-f67c-4c92-83ee-792c20ac42f3,Off T,0.03381448,Normal,Open Play,,,,Atalanta,228,00:36:58.999,Shot,
,,,,,,,,,,,,,,,,,,,0.043683,,,,,,,,,,,,,,,64375189-8f94-4033-b49e-769fa87a74e7,1449,,"[114.5, 48.3]",3879708,39,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Davide Biondini,10030.0,Right Center Midfield,84,Sassuolo,232,"['551777dd-98f3-445d-865f-7b883579656f', 'b17541d5-f87e-4856-8982-10ea06c278fb', 'b73add76-9090-4afb-9e29-81dc144891d3']",1,True,Head,"[115.0, 47.7]",,"[{'location': [111.4, 43.7], 'player': {'id': 45590, 'name': 'Nicolò Cherubin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 43.9], 'player': {'id': 49439, 'name': 'Germán Gustavo Denis'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [119.4, 37.6], 'player': {'id': 8420, 'name': 'Luca Cigarini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.7, 64.5], 'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [115.6, 63.5], 'player': {'id': 19847, 'name': 'Alessandro Diamanti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [113.0, 39.3], 'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.3, 41.2], 'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.9, 47.7], 'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.5, 38.1], 'player': {'id': 8657, 'name': 'Andrea Conti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.8, 33.1], 'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [118.9, 42.7], 'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.7, 44.7], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.0, 42.1], 'player': {'id': 10033, 'name': 'Luca Antei'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [108.6, 38.8], 'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.9, 38.5], 'player': {'id': 8093, 'name': 'Diego Falcinelli'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [119.1, 78.7], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [99.2, 43.5], 'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [100.0, 32.9], 'player': {'id': 387420, 'name': 'Alessandro Longhi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",c665f226-997b-4875-9b48-4f5a5e99d85d,Blocked,0.051092017,Normal,Open Play,,,,Sassuolo,232,00:39:01.345,Shot,True
,,,,,,,,,,,,,,,,,,,0.414484,,,,,,,,,,,,,,,62419ae8-8fc4-481b-81d0-58033de62414,1457,,"[95.5, 38.1]",3879708,39,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Joseph Alfred Duncan,7698.0,Left Center Midfield,85,Sassuolo,232,['07898518-1ccc-4f94-a815-cf11e3725f61'],29,,Left Foot,"[120.0, 27.0, 1.9]",True,"[{'location': [110.4, 12.9], 'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.6, 36.0], 'player': {'id': 8093, 'name': 'Diego Falcinelli'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.9, 39.9], 'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.7, 38.2], 'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.5, 45.1], 'player': {'id': 8420, 'name': 'Luca Cigarini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.6, 40.1], 'player': {'id': 49439, 'name': 'Germán Gustavo Denis'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [106.3, 38.6], 'player': {'id': 45590, 'name': 'Nicolò Cherubin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.5, 36.5], 'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.1, 45.2], 'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.7, 48.1], 'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.2, 40.0], 'player': {'id': 8657, 'name': 'Andrea Conti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.9, 42.3], 'player': {'id': 19847, 'name': 'Alessandro Diamanti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [104.6, 51.8], 'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [99.6, 52.2], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [105.1, 33.4], 'player': {'id': 10033, 'name': 'Luca Antei'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.5, 47.3], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [105.4, 42.1], 'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.5, 36.2], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [91.1, 34.0], 'player': {'id': 387420, 'name': 'Alessandro Longhi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",,Off T,0.03274308,Normal,Open Play,,,,Sassuolo,232,00:39:29.343,Shot,
