50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.089178,,,,,,,,,,,,c2e7c013-aeee-47d8-9331-3db48eb44fed,246,,,"[101.5, 45.7]",3901260,4,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Khalid Boutaïb,5726.0,Center Forward,11,Gazélec Ajaccio,160,"['8ce7bc2b-4553-4abc-a3d0-4762998a1f84', 'e00eed09-33dd-4e5c-b98a-f73ae270945f']",40,,Right Foot,,"[102.7, 45.4]",,"[{'location': [100.6, 61.7], 'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [88.9, 27.5], 'player': {'id': 3102, 'name': 'Yann Jouffre'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [98.2, 43.4], 'player': {'id': 3140, 'name': 'François Bellugou'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.6, 51.2], 'player': {'id': 3769, 'name': 'Wesley Lautoa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.1, 45.3], 'player': {'id': 7346, 'name': 'Lindsay Rose'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 36.4], 'player': {'id': 40531, 'name': 'Erwin Koffi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.2, 41.9], 'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.0, 55.1], 'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [94.6, 45.2], 'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [98.4, 22.5], 'player': {'id': 7430, 'name': 'Kévin Mayi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",6b556daf-dbe5-431a-851e-edf8456e440f,,,Blocked,0.061407533,Normal,Open Play,,,,Gazélec Ajaccio,160,00:04:40.062,Shot,
,,,,,,,,,,,,,,,,,0.975681,,,,,,,,,,,,6613b052-0a79-4997-838f-422125716f8e,317,,,"[101.5, 40.0]",3901260,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Kévin Mayi,7430.0,Left Wing,13,Gazélec Ajaccio,160,['04dbfe80-7dba-4973-8bb2-d5ec21c56d20'],50,,Right Foot,,"[116.6, 39.9, 0.9]",True,"[{'location': [94.8, 48.5], 'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [99.3, 39.7], 'player': {'id': 22587, 'name': 'Didier Ndong Ibrahim'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.1, 51.0], 'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.7, 40.7], 'player': {'id': 3769, 'name': 'Wesley Lautoa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.7, 26.5], 'player': {'id': 3140, 'name': 'François Bellugou'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.9, 36.1], 'player': {'id': 7346, 'name': 'Lindsay Rose'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.6, 16.0], 'player': {'id': 3102, 'name': 'Yann Jouffre'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [105.2, 23.9], 'player': {'id': 40531, 'name': 'Erwin Koffi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.2, 39.8], 'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.8, 54.6], 'player': {'id': 7721, 'name': 'John Tshibumbu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.8, 32.2], 'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [107.4, 30.4], 'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.7, 12.4], 'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",e960be22-62c6-4952-a990-9aa080eb1181,,,Saved,0.058513843,Half Volley,Open Play,,,,Gazélec Ajaccio,160,00:05:50.773,Shot,
,,,,,,,,,,,,,,,,,0.624202,,,,,,,,,,,,460e357c-0eaa-4015-8f33-b8bf5b33d8f7,369,,,"[111.0, 43.6]",3901260,7,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Didier Ndong Ibrahim,22587.0,Right Defensive Midfield,17,Lorient,165,['9c0a990d-7b20-45c3-b1a6-4b47427b88f3'],40,,Head,,"[120.0, 41.5, 4.5]",,"[{'location': [118.7, 40.0], 'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.3, 47.8], 'player': {'id': 7430, 'name': 'Kévin Mayi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [111.1, 45.2], 'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.6, 42.1], 'player': {'id': 3207, 'name': 'Pablo Jean Antoine Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 41.1], 'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.5, 40.4], 'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.0, 48.7], 'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.8, 35.5], 'player': {'id': 7808, 'name': 'Roderic Filippi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.3, 32.7], 'player': {'id': 90746, 'name': 'Alassane Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 27.5], 'player': {'id': 7721, 'name': 'John Tshibumbu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [96.4, 49.8], 'player': {'id': 40531, 'name': 'Erwin Koffi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [104.9, 37.6], 'player': {'id': 3102, 'name': 'Yann Jouffre'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [104.5, 35.4], 'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [110.0, 39.6], 'player': {'id': 3140, 'name': 'François Bellugou'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [104.6, 48.4], 'player': {'id': 33178, 'name': 'Benjamin Moukandjo Bilé'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [112.5, 47.2], 'player': {'id': 3552, 'name': 'Benjamin Jeannot'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",47a2e213-22c6-4904-ade5-ca6f851c738c,,,Off T,0.11437155,Normal,Open Play,,,,Lorient,165,00:07:40.909,Shot,
,,,,,,,,,,,,,,,,,0.220367,,,,,,,,,,,,cb9b0268-b427-453c-8117-86558e919167,413,,,"[114.6, 50.3]",3901260,10,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Benjamin Moukandjo Bilé,33178.0,Right Center Forward,22,Lorient,165,"['2cb002ec-09d4-41ee-997e-6358bd724b3e', 'ff80663b-c205-46d2-a84d-acaea4c117a1']",16,,Right Foot,,"[116.1, 47.9, 0.6]",,"[{'location': [113.4, 49.7], 'player': {'id': 7808, 'name': 'Roderic Filippi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.5, 44.2], 'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.4, 47.2], 'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",e639eada-effd-412a-86ba-5c8ff67a4599,True,,Saved,0.13995937,Normal,Open Play,,,,Lorient,165,00:10:16.976,Shot,True
,,,,,,,,,,,,,,,,,1.1131,,,,,,,,,,,,97774a4d-1371-4be1-ae0b-0c0cb36b8c52,687,,,"[113.6, 17.9]",3901260,15,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Benjamin Jeannot,3552.0,Left Center Forward,34,Lorient,165,['435c01f4-efe8-4028-8824-06016d6664d1'],52,,Left Foot,,"[120.0, 35.7, 0.2]",,"[{'location': [80.2, 30.7], 'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [86.9, 16.6], 'player': {'id': 33178, 'name': 'Benjamin Moukandjo Bilé'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [95.8, 2.0], 'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [94.0, 18.8], 'player': {'id': 7808, 'name': 'Roderic Filippi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.3, 15.4], 'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [98.9, 15.9], 'player': {'id': 90746, 'name': 'Alassane Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.4, 17.3], 'player': {'id': 3207, 'name': 'Pablo Jean Antoine Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.1, 40.1], 'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [84.0, 63.6], 'player': {'id': 3102, 'name': 'Yann Jouffre'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [109.6, 17.4], 'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",24c62376-2408-4966-8cc3-3cc42bd37135,True,True,Off T,0.04904573,Normal,Open Play,,,,Lorient,165,00:15:52.290,Shot,
,,,,,,,,,,,,,,,,,0.572023,,,,,,,,,,,,277a961e-f778-4247-a1ec-ffb150c1fd93,702,,,"[109.6, 29.5]",3901260,16,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Kévin Mayi,7430.0,Left Wing,35,Gazélec Ajaccio,160,['06fdda36-9d03-49c2-a9ec-ef1b8410d50b'],32,,Left Foot,,"[120.0, 35.5, 1.3]",,"[{'location': [106.0, 50.7], 'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.9, 43.8], 'player': {'id': 3769, 'name': 'Wesley Lautoa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.1, 38.0], 'player': {'id': 7346, 'name': 'Lindsay Rose'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.6, 30.9], 'player': {'id': 40531, 'name': 'Erwin Koffi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.5, 34.7], 'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.9, 49.6], 'player': {'id': 7721, 'name': 'John Tshibumbu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.2, 45.8], 'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",b995488a-8d8f-46c2-bbfe-3974568bcce2,,,Off T,0.20480949,Normal,Open Play,,,,Gazélec Ajaccio,160,00:16:32.280,Shot,
,,,,,,,,,,,,,,,,,0.731831,,,,,,,,,,,,ac000b70-d02c-43fe-bcf0-f7201e87d3db,1089,,,"[107.3, 46.4]",3901260,26,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Benjamin Moukandjo Bilé,33178.0,Right Center Forward,57,Lorient,165,['827c982c-ce4d-4326-b631-dfbbf91d168a'],15,,Right Foot,,"[120.0, 42.6, 0.4]",True,"[{'location': [110.3, 33.4], 'player': {'id': 90746, 'name': 'Alassane Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.6, 41.0], 'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 36.0], 'player': {'id': 3207, 'name': 'Pablo Jean Antoine Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.3, 49.7], 'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.0, 43.4], 'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",0efb32ef-e45e-4d68-a473-6e5aaad5712a,,,Goal,0.22780086,Half Volley,Open Play,,,,Lorient,165,00:26:15.899,Shot,
,,,,,,,,,,,,,,,,,0.641142,,,,,,,,,,,,a2dacec5-2339-48d6-98f1-e194eff4620c,1129,,,"[103.1, 57.1]",3901260,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Benjamin Jeannot,3552.0,Left Center Forward,59,Lorient,165,"['239504b9-436e-4dfa-a6f9-806530b5246a', '888fa8fa-7c04-498f-94b6-ac5d8a8fb4dc']",50,,Right Foot,,"[115.4, 42.7, 0.2]",,"[{'location': [97.1, 39.2], 'player': {'id': 33178, 'name': 'Benjamin Moukandjo Bilé'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [89.3, 53.1], 'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.1, 39.2], 'player': {'id': 7808, 'name': 'Roderic Filippi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.1, 47.9], 'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 54.7], 'player': {'id': 3207, 'name': 'Pablo Jean Antoine Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [89.9, 67.2], 'player': {'id': 40531, 'name': 'Erwin Koffi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [115.8, 43.3], 'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",46ef1a6c-ea13-4d0a-88b6-41614d2b20cf,True,,Saved,0.044695232,Normal,Open Play,,,,Lorient,165,00:27:50.240,Shot,True
,,,,,,,,,,,,,,,,,0.048171,,,,,,,,,,,,2e892b8a-26f9-4418-8745-526cf82f4ae6,1503,,,"[106.5, 43.6]",3901260,40,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kévin Mayi,7430.0,Left Wing,85,Gazélec Ajaccio,160,"['ba7ababa-cafa-46c8-a9db-304da571211d', 'ca084a3f-17e8-462f-92ff-ba2f920a9b4e', 'fe5ec23f-0414-4475-b110-8c9575574111']",11,True,Head,,"[107.4, 43.4]",,"[{'location': [88.9, 66.3], 'player': {'id': 7567, 'name': 'Maxime Barthelmé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [96.1, 70.2], 'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.3, 53.4], 'player': {'id': 3769, 'name': 'Wesley Lautoa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.2, 48.5], 'player': {'id': 22587, 'name': 'Didier Ndong Ibrahim'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.7, 45.7], 'player': {'id': 3140, 'name': 'François Bellugou'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [92.8, 75.2], 'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.1, 57.2], 'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.3, 43.7], 'player': {'id': 7721, 'name': 'John Tshibumbu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.8, 33.2], 'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [108.8, 34.5], 'player': {'id': 40531, 'name': 'Erwin Koffi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [89.4, 24.1], 'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [119.0, 42.2], 'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.3, 43.4], 'player': {'id': 7346, 'name': 'Lindsay Rose'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.8, 31.9], 'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",bc19d18e-5d31-49bf-9ac3-3520b5c03dda,,,Blocked,0.0349307,Normal,Open Play,,,,Gazélec Ajaccio,160,00:40:11.455,Shot,True
,,,,,,,,,,,,,,,,,0.455873,,,,,,,,,,,,1ce35291-5763-49c9-ba0f-905a28143be7,1555,,,"[110.1, 41.2]",3901260,41,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Khalid Boutaïb,5726.0,Center Forward,88,Gazélec Ajaccio,160,"['96ed1d89-4461-463d-acf4-d0122fd48a03', 'f08e9051-5d49-4e6f-814e-14836864dca9']",45,True,Head,,"[118.3, 34.9]",,"[{'location': [118.6, 41.4], 'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.7, 45.3], 'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [109.8, 45.5], 'player': {'id': 7721, 'name': 'John Tshibumbu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.4, 40.8], 'player': {'id': 22587, 'name': 'Didier Ndong Ibrahim'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.3, 47.7], 'player': {'id': 40531, 'name': 'Erwin Koffi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 42.0], 'player': {'id': 3769, 'name': 'Wesley Lautoa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 31.3], 'player': {'id': 3140, 'name': 'François Bellugou'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.9, 34.8], 'player': {'id': 7346, 'name': 'Lindsay Rose'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.4, 17.2], 'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [103.5, 20.1], 'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.5, 4.5], 'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [89.1, 10.6], 'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",e0ae29a6-9e8d-49ba-9443-f0f4814f68ba,True,,Wayward,0.097080335,Normal,Open Play,,,,Gazélec Ajaccio,160,00:41:45.000,Shot,True
