50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,1.013,,,,,,,,,,,,5dc29c01-ff01-41d6-aa2e-d8f7a7a5e24f,130,,,"[117.0, 46.0]",7521,2,,,,,,,,,,,,,,,,,,,1,Regular Play,Diana Matheson,4973.0,Right Attacking Midfield,6,Utah Royals,767,['d26298a0-b45a-42fe-8214-3424319e8c8f'],11,Right Foot,"[120.0, 42.4, 2.3]",True,"[{'location': [119.0, 43.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.0, 44.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.0, 41.0], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 29.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 38.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",4a67e090-f1ac-48ab-8712-aedcef353b52,,Goal,0.19345534,Normal,Open Play,,,,Utah Royals,767,00:02:11.080,Shot,
,,,,,,,,,,,,0.84,,,,,,,,,,,,5a600cb1-e5fa-4631-8230-cef67124a90a,361,,,"[106.0, 31.0]",7521,8,,,,,,,,,,,,,,,,,,,1,Regular Play,Shea Groom,4986.0,Left Wing,23,NJ/NY Gotham FC,763,['fc10c42f-28a8-42b9-aee9-f8bf0eacd18c'],39,Left Foot,"[120.0, 43.8, 0.9]",,"[{'location': [120.0, 39.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [117.0, 22.0], 'player': {'id': 4982, 'name': 'Katlyn Alicia Johnson Carreón'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.0, 27.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 26.0], 'player': {'id': 4983, 'name': 'Brooke Elby'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 33.0], 'player': {'id': 4987, 'name': 'Sydney Miramontez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 33.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.0, 44.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 46.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",c5b25ade-006d-4bca-9cd3-4ad7c418bc09,,Goal,0.08305111,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:08:39.040,Shot,
,,,,,,,,,,,,0.48,,,,,,,,,,,,06f7e33c-db34-406b-8326-eaa996b00cbc,392,,,"[114.0, 56.0]",7521,10,,,,,,,,,,,,,,,,,,,1,Regular Play,Brooke Elby,4983.0,Right Back,24,Utah Royals,767,"['5865c0ae-c103-4024-aa6e-962305316caf', '8de6a448-7d66-4e4e-908f-9b56173f6b95']",13,Left Foot,"[117.0, 48.0]",,"[{'location': [119.0, 43.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.0, 58.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.0, 60.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.0, 61.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 61.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [107.0, 46.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.0, 47.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 53.0], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.0, 48.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [115.0, 41.0], 'player': {'id': 4985, 'name': 'Christina Gibbons'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.0, 42.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",5cc942fe-3d26-4b14-b7b1-f256132ae6e1,,Blocked,0.01187223,Normal,Open Play,,,,Utah Royals,767,00:10:13.520,Shot,
,,,,,,,,,,,,1.293,,,,,,,,,,,,714db9d3-cdb0-4a4a-b8b7-d714aabf3768,400,,,"[104.0, 42.0]",7521,10,,,,,,,,,,,,,,,,,,,1,From Corner,Diana Matheson,4973.0,Right Attacking Midfield,25,Utah Royals,767,['a4e3cd58-2122-49a4-a906-6468a43da26c'],54,Right Foot,"[120.0, 39.5, 5.9]",True,"[{'location': [119.0, 46.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 49.0], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [117.0, 44.0], 'player': {'id': 4982, 'name': 'Katlyn Alicia Johnson Carreón'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 4985, 'name': 'Christina Gibbons'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.0, 42.0], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.0, 37.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 38.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.0, 42.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 30.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.0, 36.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [110.0, 48.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [114.0, 40.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [118.0, 45.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 34.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [101.0, 56.0], 'player': {'id': 4990, 'name': 'Taylor Lytle'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [106.0, 30.0], 'player': {'id': 4987, 'name': 'Sydney Miramontez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.0, 59.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",,,Off T,0.060705435,Half Volley,Open Play,,,,Utah Royals,767,00:10:54.160,Shot,
,,,,,,,,,,,,2.362,,,,,,,,,,,,0cf16aea-f7d5-4d09-a9a8-5acec7eb7821,692,,,"[97.0, 25.0]",7521,19,,,,,,,,,,,,,,,,,,,1,Regular Play,Thaysa de Moraes Rosa Moreno,4980.0,Left Center Midfield,46,NJ/NY Gotham FC,763,"['0bf7d84a-2d62-4aea-9f17-74a762822bdf', '3aa8dc76-cf86-492a-b163-363cf71d6aff']",45,Left Foot,"[120.0, 33.5, 2.4]",True,"[{'location': [120.0, 40.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.0, 22.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [106.0, 16.0], 'player': {'id': 4983, 'name': 'Brooke Elby'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.0, 12.0], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [109.0, 32.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 30.0], 'player': {'id': 4982, 'name': 'Katlyn Alicia Johnson Carreón'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 48.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.0, 27.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.0, 24.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.0, 26.0], 'player': {'id': 4987, 'name': 'Sydney Miramontez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 48.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.0, 35.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.0, 31.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",5e8fc53c-782f-4bb1-944e-40ab5b67a80a,,Off T,0.019532064,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:19:45.653,Shot,True
,,,,,,,,,,,,1.373,,,,,,,,,,,,a0098cdb-09e9-4b25-a724-1ab68de593b7,917,,,"[104.0, 34.0]",7521,29,,,,,,,,,,,,,,,,,,,1,Regular Play,Katrina Gorry,4979.0,Center Attacking Midfield,66,Utah Royals,767,['504f533e-6d8b-47e4-bf08-ef37751edd4d'],15,Left Foot,"[119.0, 34.2, 4.0]",True,"[{'location': [119.0, 40.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 53.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [99.0, 49.0], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [102.0, 43.0], 'player': {'id': 4990, 'name': 'Taylor Lytle'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [106.0, 47.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.0, 34.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 40.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.0, 37.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.0, 44.0], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 45.0], 'player': {'id': 4985, 'name': 'Christina Gibbons'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.0, 44.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",fb550ed3-f0b1-414c-a4da-9ba6cbf47ceb,,Off T,0.10793567,Normal,Open Play,,,,Utah Royals,767,00:29:15.080,Shot,
,,,,,,,,,,,,1.213,,,,,,,,,,,,8da9b927-d61d-40f5-baa9-9a76b83d6de7,1281,,,"[93.0, 41.0]",7521,40,,,,,,,,,,,,,,,,,,,1,From Corner,Katie Stengel,4972.0,Center Forward,86,Utah Royals,767,['0d1b5e10-8cc2-422d-be2d-a9a866e7c1b8'],36,Left Foot,"[118.0, 43.0, 1.3]",True,"[{'location': [95.0, 45.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [93.0, 38.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [92.0, 40.0], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [97.0, 44.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [92.0, 52.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [95.0, 53.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.0, 55.0], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [82.0, 56.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [118.0, 39.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.0, 33.0], 'player': {'id': 4985, 'name': 'Christina Gibbons'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [88.0, 49.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,,Saved,0.03904847,Normal,Open Play,,,,Utah Royals,767,00:40:36.400,Shot,
,,,,,,,,,,,,0.44,,,,,,,,,,,,d0ffc76a-14e0-47c8-99cb-ece046eb9355,1288,,,"[110.0, 48.0]",7521,40,,,,,,,,,,,,,,,,,,,1,From Corner,Rachel Corsie,4984.0,Right Center Back,86,Utah Royals,767,['63543d19-023b-4c2e-b1c2-1ba4611c009b'],42,Right Foot,"[116.0, 46.0]",True,"[{'location': [119.0, 42.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 58.0], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 51.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 46.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.0, 47.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.0, 42.0], 'player': {'id': 4985, 'name': 'Christina Gibbons'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 52.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",22271493-1cff-4a0c-9f54-a3c0d0fd98b6,,Wayward,0.091329105,Half Volley,Open Play,,,,Utah Royals,767,00:40:42.120,Shot,
,,,,,,,,,,,,0.148,,,,,,,,,,,,7f481663-c99e-4c3f-a734-145701fc7cbf,1369,,,"[96.0, 33.0]",7521,43,,,,,,,,,,,,,,,,,,,1,Regular Play,Janine Elizabeth Beckie,4992.0,Center Attacking Midfield,94,NJ/NY Gotham FC,763,"['028d560e-68a4-4fd2-9848-24d81f66ffcd', '1e6326f7-e552-4fdd-9fc3-f9eeed27a1a4']",58,Left Foot,"[97.0, 34.0]",,"[{'location': [119.0, 41.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 23.0], 'player': {'id': 4983, 'name': 'Brooke Elby'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [95.0, 22.0], 'player': {'id': 4982, 'name': 'Katlyn Alicia Johnson Carreón'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.0, 15.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [100.0, 29.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.0, 33.0], 'player': {'id': 4987, 'name': 'Sydney Miramontez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 47.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [87.0, 33.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [96.0, 57.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [83.0, 34.0], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [93.0, 35.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [87.0, 42.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [84.0, 25.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}]",7df24c58-a44c-4a09-b61e-93cbeabce9e7,,Blocked,0.04511424,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:43:58.853,Shot,
,,,,,,,,,,,,0.707,,,,,,,,,,,,bddb274c-03e4-472f-b6cb-81f8eb707ca6,1409,,,"[116.0, 22.0]",7521,45,,,,,,,,,,,,,,,,,,,1,Regular Play,Janine Elizabeth Beckie,4992.0,Center Attacking Midfield,97,NJ/NY Gotham FC,763,"['5ea4a437-bd9c-4d3d-9241-f19cb435dba5', 'f5db975c-352e-4de7-86a8-829775a9aee7']",33,Left Foot,"[119.0, 36.8, 0.5]",,"[{'location': [119.0, 39.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 21.0], 'player': {'id': 4983, 'name': 'Brooke Elby'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.0, 24.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",b89be3e0-653c-4480-a440-06e17d8474bc,True,Saved,0.01532444,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:45:33.973,Shot,True
