50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_end_early_video_end,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.2028,,,,,,,,,,,,89743106-230d-47da-b0d6-1e80d43842a5,206,,"[113.0, 33.3]",266557,4,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,10,Barcelona,217,"['9f2feaf7-7993-4a12-a4e9-3c13ee723e14', 'e88c5e18-37d1-4ba5-b66e-b46ea8577523']",9,Left Foot,"[114.1, 34.3]",,"[{'location': [118.5, 43.9], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [117.0, 43.3], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [116.1, 41.9], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.5, 43.3], 'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.8, 50.2], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.2, 29.1], 'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [117.1, 25.4], 'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.4, 30.1], 'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [119.2, 27.0], 'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.8, 20.0], 'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [120.0, 22.2], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [113.2, 37.5], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.9, 35.0], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.8, 37.5], 'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.5, 34.6], 'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",86451dc5-0b55-4b14-8711-e53bbf35dd35,,Blocked,0.07379108,Normal,Open Play,,,,Barcelona,217,00:04:09.381,Shot,
,,,,,,,,,,,,,,,,,,0.099,,,,,,,,,,,,2b07d0e5-1e54-4c69-a6df-366ff5d6daaa,214,,"[104.9, 52.6]",266557,4,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,10,Barcelona,217,"['33aa6ba4-8788-4411-9e61-8e28c23c2f84', '5be1b533-37de-4f8c-8d70-cd3ca5eee2c8']",13,Right Foot,"[107.3, 51.0]",True,"[{'location': [106.0, 49.7], 'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.4, 53.4], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [110.8, 56.8], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.0, 48.0], 'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 48.6], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.1, 42.1], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [117.9, 40.7], 'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.3, 40.1], 'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.5, 39.3], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.5, 32.2], 'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.1, 27.2], 'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.4, 19.3], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [112.7, 40.3], 'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.0, 33.0], 'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",5dbd1404-a4f6-493e-b8ba-b32127968114,,Blocked,0.047830377,Normal,Open Play,,,,Barcelona,217,00:04:13.597,Shot,
,,,,,,,,,,,,,,,,,,1.002711,,,,,,,,,,,,0f142c87-c8d6-42f4-9d8d-25d666c750c5,232,,"[115.4, 21.5]",266557,4,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Luis Alberto Suárez Díaz,5246.0,Center Forward,11,Barcelona,217,['c675f63c-fd7c-40e3-b4e3-4a5963a08ed8'],43,Right Foot,"[120.0, 54.2, 4.2]",True,"[{'location': [104.3, 45.8], 'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [111.0, 40.2], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [109.5, 51.0], 'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.5, 57.0], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.3, 56.8], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.1, 56.2], 'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.7, 48.8], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [113.9, 40.0], 'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.1, 43.0], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.1, 39.1], 'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [113.2, 38.4], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.3, 31.0], 'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [111.9, 34.9], 'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.3, 34.0], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [114.9, 32.8], 'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [115.1, 25.5], 'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.9, 36.4], 'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",bc812b4e-9305-471c-a8f1-051099ee2f7d,,Off T,0.008908878,Volley,Open Play,,,,Barcelona,217,00:04:43.885,Shot,
,,,,,,,,,,,,,,,,,,0.292338,,,,,,,,,,,,6151ba65-48d5-4a9e-bc6c-b0554a8ed585,326,,"[113.3, 48.2]",266557,6,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,15,Barcelona,217,"['109e1049-4aae-43d2-9ff4-ec234e0d544e', '693d2027-8255-4bbb-9a08-791a3f50521a']",35,Left Foot,"[118.2, 43.4, 1.7]",,"[{'location': [119.1, 42.4], 'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.9, 47.3], 'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [103.1, 40.7], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [113.3, 44.4], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.0, 43.4], 'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.1, 40.1], 'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.6, 37.1], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [114.3, 31.1], 'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.4, 23.3], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.3, 32.7], 'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.5, 27.4], 'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.1, 30.6], 'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",97c938c7-144e-462c-8df1-3707353cfc80,,Saved,0.11803146,Normal,Open Play,,,,Barcelona,217,00:06:35.086,Shot,True
,,,,,,,,,,,,,,,,,,1.554972,,,,,,,,,,,,85388360-2db5-40dc-83c6-27e8cb5fc5f8,428,,"[101.9, 50.9]",266557,8,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Luis Alberto Suárez Díaz,5246.0,Center Forward,19,Barcelona,217,['a428f111-6dd2-40d3-a6de-74b8bff91d7d'],32,Right Foot,"[120.0, 28.9, 0.2]",True,"[{'location': [89.2, 70.5], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [88.3, 67.1], 'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [91.9, 62.7], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.3, 66.2], 'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.7, 59.1], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.6, 57.3], 'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.3, 58.6], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.9, 48.2], 'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [80.5, 47.5], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [81.2, 41.7], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [93.0, 46.4], 'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [90.6, 35.5], 'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.1, 20.9], 'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [86.5, 22.9], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [83.2, 6.9], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [96.2, 13.2], 'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.3, 39.0], 'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",2b6b05ce-15ca-4d75-abac-188ed4a6784e,,Off T,0.094587356,Normal,Open Play,,,,Barcelona,217,00:08:32.481,Shot,
,,,,,,,,,,,,,,,,,,0.7697,,,,,,,,,,,,d1668680-89fe-40a3-bbe7-fd22f45d6788,553,,"[100.4, 37.4]",266557,11,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,28,Barcelona,217,['0488e9c8-0607-4d7e-87ea-ed9e8c7fd645'],55,Left Foot,"[107.8, 38.7, 1.6]",True,"[{'location': [84.7, 53.4], 'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.6, 44.7], 'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.5, 31.1], 'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.9, 39.7], 'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",7f2d1715-d315-4cf2-9a93-0557cfccb83b,,Saved,0.23861484,Lob,Open Play,,,,Barcelona,217,00:11:55.164,Shot,
,,,,,,,,,,,,,,,,,,0.144,,,,,,,,,,,,42adfcae-68b8-496f-8e46-c51c85639c4e,643,,"[111.4, 59.1]",266557,13,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,32,Barcelona,217,"['9a0d493c-a387-4bd3-ad2c-882fb75c4b79', 'f71872cf-1d4e-48bb-98ac-974d4d09fb53']",21,Right Foot,"[113.1, 55.8]",True,"[{'location': [108.7, 57.4], 'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.2, 60.8], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.6, 63.1], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.0, 60.2], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.6, 53.6], 'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.8, 45.9], 'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.0, 37.7], 'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.3, 47.5], 'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.5, 42.6], 'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.7, 55.2], 'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",6d3ef0e0-4b0e-4bb9-8ec0-aa6abcacfc4e,,Blocked,0.008735449,Normal,Open Play,,,,Barcelona,217,00:13:21.603,Shot,
,,,,,,,,,,,,,,,,,,0.854342,,,,,,,,,,,,7376064d-947c-4e3d-aae8-fedc592f0727,795,,"[101.1, 40.2]",266557,16,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Rodrigo Moreno Machado,5718.0,Right Midfield,36,Valencia,207,['6182b61b-bfbd-4cdb-a7d5-c02d41621b71'],38,Left Foot,"[120.0, 35.0, 0.4]",,"[{'location': [88.0, 14.4], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.8, 22.2], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.0, 35.5], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.9, 41.9], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [90.4, 43.1], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [94.0, 41.2], 'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [87.9, 50.2], 'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [85.2, 35.8], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [92.2, 18.4], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [95.3, 28.0], 'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.7, 40.0], 'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",f8e90227-550f-48ab-a591-201a50fa6559,,Off T,0.1359072,Normal,Open Play,,,,Valencia,207,00:16:38.561,Shot,
,,,,,,,,,,,,,,,,,,0.34886,,,,,,,,,,,,913c6d16-ff65-450e-9059-370bf542f1fe,954,,"[118.3, 35.5]",266557,21,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Luis Alberto Suárez Díaz,5246.0,Center Forward,46,Barcelona,217,['62d8caf2-68ed-4edb-82eb-cbf0dfd5ae9b'],38,Head,"[120.0, 46.5, 3.0]",,"[{'location': [119.4, 37.3], 'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [118.5, 42.6], 'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.1, 45.2], 'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.4, 38.0], 'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.6, 37.1], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [112.0, 37.3], 'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [115.3, 35.5], 'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.6, 39.0], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.5, 37.7], 'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.3, 15.2], 'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.1, 5.1], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [117.2, 28.6], 'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [116.2, 31.4], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [117.9, 30.0], 'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [117.2, 32.4], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",597aace1-9b8e-4cf9-89fa-0ab377c804e7,,Off T,0.33280447,Normal,Open Play,,,,Barcelona,217,00:21:38.998,Shot,
,,,,,,,,,,,,,,,,,,0.6363,,,,,,,,,,,,bf57a75d-ea61-4740-ba61-1bbc73dd701f,1043,,"[97.5, 41.2]",266557,24,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,53,Barcelona,217,['6f4f091d-e952-469c-a495-d098e48d980b'],29,Left Foot,"[119.9, 37.2, 1.3]",,"[{'location': [84.5, 54.6], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.4, 41.4], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [96.3, 38.0], 'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [98.0, 43.6], 'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.5, 44.1], 'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.8, 40.1], 'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.5, 46.9], 'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.9, 52.6], 'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",6f0a62d1-0085-497d-8ec4-b8b06b4737d5,,Saved,0.05887002,Normal,Open Play,,,,Barcelona,217,00:24:29.841,Shot,
