ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.85015,,,,,,,,,,,,,,cf363aaf-b5ff-4bd9-b6b4-ad166fc4372e,53,,,"[97.2, 27.1]",3829507,0,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gilles Sunu,3111.0,Center Forward,4,Toulouse,130,['f3fb008b-19c2-476f-90f2-7a47928f0475'],52,,Right Foot,"[117.9, 36.4, 0.2]",,"[{'location': [81.2, 36.5], 'player': {'id': 3189, 'name': 'Étienne Didot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [76.4, 10.9], 'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [93.5, 52.8], 'player': {'id': 3024, 'name': 'Jacques François Moubandje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [93.9, 29.6], 'player': {'id': 2961, 'name': 'Yann Bodiger'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [101.3, 31.1], 'player': {'id': 3035, 'name': 'Steeve Yago'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.8, 25.7], 'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [92.6, 11.3], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.3, 37.7], 'player': {'id': 41385, 'name': 'Ali Nadhoim Ahamada'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [86.8, 46.1], 'player': {'id': 7207, 'name': 'Férébory Doré'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [81.5, 35.1], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [81.8, 8.6], 'player': {'id': 3078, 'name': 'Abdoul Razzagui Camara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [94.3, 31.8], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,Saved,0.029184096,Normal,Open Play,,,,Angers,145,00:00:52.186,Shot,
,,,,,,,,,,,,,,,0.220501,,,,,,,,,,,,,,8f9857b0-b068-4418-95df-be770eefb570,855,,,"[95.7, 51.7]",3829507,17,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Óscar Guido Trejo,11540.0,Right Attacking Midfield,42,Toulouse,130,"['498fa11d-6414-4054-99c5-cbc3e1a67cb0', '5b2601fa-5b15-4b49-b138-644f373a3180', '83713a33-6533-4fbf-a91f-5c3209e89a5e']",35,,Right Foot,"[96.6, 51.2]",,"[{'location': [114.0, 43.1], 'player': {'id': 4547, 'name': 'Ludovic Butelle'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.9, 54.4], 'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.2, 50.8], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.9, 41.8], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.3, 38.9], 'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [87.9, 47.4], 'player': {'id': 7207, 'name': 'Férébory Doré'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [91.6, 50.0], 'player': {'id': 401483, 'name': 'Olivier Auriac'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [80.1, 69.0], 'player': {'id': 3078, 'name': 'Abdoul Razzagui Camara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.0, 52.2], 'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [100.2, 39.8], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [89.4, 70.2], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [88.0, 53.1], 'player': {'id': 2961, 'name': 'Yann Bodiger'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [98.4, 72.4], 'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [96.8, 51.0], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",359c6d70-2f22-47f9-b464-45ea33799c21,Blocked,0.016655572,Normal,Open Play,,,,Toulouse,130,00:17:35.383,Shot,True
,,,,,,,,,,,,,,,1.220673,,,,,,,,,,,,,,4207ab54-72c5-4bbd-94e2-a5688e579095,939,,,"[102.5, 17.2]",3829507,20,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Étienne Didot,3189.0,Left Center Midfield,48,Toulouse,130,['30ba6078-8f6d-41f6-8625-b239355c68f2'],20,,Right Foot,"[120.0, 44.3, 4.2]",,"[{'location': [113.5, 44.1], 'player': {'id': 401483, 'name': 'Olivier Auriac'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.7, 42.3], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.7, 38.8], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.5, 36.2], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.7, 39.5], 'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 33.7], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.4, 35.5], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [106.2, 18.9], 'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.5, 38.5], 'player': {'id': 4547, 'name': 'Ludovic Butelle'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.2, 45.6], 'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [107.7, 43.9], 'player': {'id': 3035, 'name': 'Steeve Yago'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [109.7, 8.6], 'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [110.2, 33.5], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.3, 42.6], 'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [111.9, 38.3], 'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [92.9, 38.9], 'player': {'id': 2961, 'name': 'Yann Bodiger'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",0738d628-313f-4ebf-9731-16590e439260,Off T,0.008300064,Normal,Open Play,,,,Toulouse,130,00:20:20.503,Shot,
,,,,,,,,,,,,,,,0.440739,,,,,,,,,,,,,,855ba9be-f70a-4ac7-8816-f6e50d943874,1133,,,"[113.7, 36.7]",3829507,23,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Óscar Guido Trejo,11540.0,Right Attacking Midfield,55,Toulouse,130,['e3bba27d-bf27-4229-a39e-1a1efa961ef7'],41,,Head,"[120.0, 37.5, 1.0]",,"[{'location': [119.1, 39.6], 'player': {'id': 4547, 'name': 'Ludovic Butelle'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.1, 40.2], 'player': {'id': 401483, 'name': 'Olivier Auriac'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [115.3, 45.7], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.4, 49.5], 'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.0, 48.2], 'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.9, 54.5], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [115.2, 39.8], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.6, 48.2], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.8, 61.3], 'player': {'id': 3078, 'name': 'Abdoul Razzagui Camara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [93.6, 50.6], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.2, 61.2], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [112.7, 50.6], 'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}]",a2cb0804-7f39-4725-9a17-8e686b7c24d0,Goal,0.2498506,Normal,Open Play,,,,Toulouse,130,00:23:41.842,Shot,
,,,,,,,,,,,,,,,0.97956,,,,,,,,,,,,,,1af0c7dd-c6a4-4475-91b9-168608c12fef,1234,,,"[110.8, 37.1]",3829507,26,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Cheikh N''Doye,5676.0,Right Center Midfield,58,Angers,145,['6150557d-4f23-48a4-b272-b259dc8d6938'],3,,Head,"[120.0, 42.9, 1.7]",,"[{'location': [106.6, 51.9], 'player': {'id': 2961, 'name': 'Yann Bodiger'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.8, 61.5], 'player': {'id': 3024, 'name': 'Jacques François Moubandje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.8, 39.1], 'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.4, 45.7], 'player': {'id': 3035, 'name': 'Steeve Yago'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.8, 38.5], 'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.6, 35.6], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.3, 39.7], 'player': {'id': 41385, 'name': 'Ali Nadhoim Ahamada'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.0, 42.9], 'player': {'id': 7207, 'name': 'Férébory Doré'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.6, 43.2], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.4, 30.1], 'player': {'id': 3078, 'name': 'Abdoul Razzagui Camara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",e894344c-884b-47c7-9eae-76a460eaa11d,Goal,0.081684425,Normal,Open Play,,,,Angers,145,00:26:03.750,Shot,
,,,,,,,,,,,,,,,1.145634,,,,,,,,,,,,,,d74ed48f-e5ab-429f-a04b-dbb5e1d154b0,1246,,,"[109.4, 45.9]",3829507,26,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Wissam Ben Yedder,6723.0,Left Attacking Midfield,59,Toulouse,130,['489f853d-f0db-4ec6-85eb-eb9518d67479'],59,,Left Foot,"[120.0, 37.8, 4.4]",True,"[{'location': [106.6, 48.5], 'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.9, 47.7], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.3, 50.9], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.9, 39.2], 'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.8, 47.2], 'player': {'id': 401483, 'name': 'Olivier Auriac'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [94.8, 48.2], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [81.9, 64.9], 'player': {'id': 3078, 'name': 'Abdoul Razzagui Camara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.0, 56.9], 'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [95.9, 31.9], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.6, 44.4], 'player': {'id': 4547, 'name': 'Ludovic Butelle'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",3822747a-b408-4abf-8a09-f5abf72ace38,Off T,0.3733363,Normal,Open Play,,,,Toulouse,130,00:26:59.657,Shot,
,,,,,,,,,,,,,,,0.27351,,,,,,,,,,,,,,ee7d160d-e4a5-4865-ad86-46e3be4924ff,1481,,,"[104.3, 25.4]",3829507,31,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Martin Braithwaite Christensen,4447.0,Center Forward,71,Toulouse,130,"['43d75e2e-61c8-46ed-8a03-4dab4c8aae4a', '5ba1d481-9ecf-4c7e-a8e2-dd11c9043d0e', '7a988671-7d67-44e7-9ff8-8295c92f07af']",41,,Left Foot,"[105.8, 26.8]",,"[{'location': [104.3, 37.4], 'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.5, 27.5], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.2, 26.7], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.1, 27.8], 'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.2, 31.3], 'player': {'id': 401483, 'name': 'Olivier Auriac'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [92.8, 39.3], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [84.5, 52.3], 'player': {'id': 3078, 'name': 'Abdoul Razzagui Camara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [115.0, 36.3], 'player': {'id': 4547, 'name': 'Ludovic Butelle'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.8, 34.9], 'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [92.4, 26.9], 'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [92.0, 54.1], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",135f92cf-4a02-4efe-8f03-9132cde91edb,Blocked,0.055283874,Normal,Open Play,,,,Toulouse,130,00:31:41.314,Shot,True
,,,,,,,,,,,,,,,0.706884,,,,,,,,,,,,,,dd249611-322c-469e-b235-e03fcc9a3cab,1501,,,"[104.9, 49.0]",3829507,32,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Abdoul Razzagui Camara,3078.0,Left Wing,73,Angers,145,['cdaaea72-d3c6-4424-b4d3-1b5c3297d14b'],55,,Left Foot,"[120.0, 43.7, 0.2]",,"[{'location': [100.0, 56.5], 'player': {'id': 3024, 'name': 'Jacques François Moubandje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 50.3], 'player': {'id': 3035, 'name': 'Steeve Yago'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.6, 49.1], 'player': {'id': 2961, 'name': 'Yann Bodiger'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.1, 37.1], 'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.2, 45.8], 'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.1, 31.6], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.3, 42.9], 'player': {'id': 41385, 'name': 'Ali Nadhoim Ahamada'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.9, 55.7], 'player': {'id': 3189, 'name': 'Étienne Didot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [95.6, 25.7], 'player': {'id': 7207, 'name': 'Férébory Doré'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.1, 46.9], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [96.0, 38.1], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",47c5d13f-d451-46f8-a46e-5c805832147b,Goal,0.07586099,Normal,Open Play,,,,Angers,145,00:32:55.307,Shot,
,,,,,,,,,,,,,,,0.682737,,,,,,,,,,,,,,bdcb5eb6-02b0-4792-a723-7ec55236ae6f,1679,,,"[86.5, 45.0]",3829507,37,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Étienne Didot,3189.0,Left Center Midfield,80,Toulouse,130,"['203978c9-86cd-408b-abab-6f9130d68fde', 'b16773ea-1a6c-4c31-a2e8-a2b97d935821']",19,,Right Foot,"[99.3, 44.4]",True,"[{'location': [99.2, 37.3], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.8, 30.4], 'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [85.4, 57.2], 'player': {'id': 7207, 'name': 'Férébory Doré'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [92.3, 39.1], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [90.5, 42.7], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [92.9, 34.6], 'player': {'id': 401483, 'name': 'Olivier Auriac'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [99.2, 8.6], 'player': {'id': 3078, 'name': 'Abdoul Razzagui Camara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [85.5, 27.4], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.2, 40.4], 'player': {'id': 4547, 'name': 'Ludovic Butelle'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.2, 40.5], 'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [100.6, 33.7], 'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [100.6, 27.5], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [89.5, 29.1], 'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [90.7, 10.2], 'player': {'id': 3024, 'name': 'Jacques François Moubandje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [99.3, 44.4], 'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",,Blocked,0.023114903,Normal,Open Play,,,,Toulouse,130,00:37:19.074,Shot,
,,,,,,,,,,,,,,,1.478052,,,,,,,,,,,,,,5e3764d3-ae56-46a4-a540-7a60ef7281bd,1725,,,"[111.6, 45.5]",3829507,38,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Cheikh N''Doye,5676.0,Right Center Midfield,82,Angers,145,"['0179d90e-45bb-4948-8c4a-86099920bc6c', 'f04d7840-5e26-4f98-98c2-b0f9fdd4cb7a']",38,True,Head,"[119.5, 30.6]",,"[{'location': [103.8, 9.1], 'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [118.6, 40.9], 'player': {'id': 41385, 'name': 'Ali Nadhoim Ahamada'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.2, 18.5], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.9, 46.3], 'player': {'id': 3024, 'name': 'Jacques François Moubandje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.6, 40.8], 'player': {'id': 7207, 'name': 'Férébory Doré'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.6, 43.0], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.2, 43.7], 'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.8, 39.9], 'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.5, 40.9], 'player': {'id': 3035, 'name': 'Steeve Yago'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.1, 35.2], 'player': {'id': 2961, 'name': 'Yann Bodiger'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [99.4, 22.8], 'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [94.5, 13.9], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",f521508b-17f0-4d21-8018-aca79b5cfd52,Wayward,0.07569604,Normal,Open Play,,,,Angers,145,00:38:38.945,Shot,True
