ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.450045,,,,,,,,,,,,9992fc97-b810-4dc8-a205-bd4441f0a9bb,294,,"[98.3, 41.9]",3754040,7,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,16,Liverpool,24,"['3eff2d16-512a-4f6a-ae33-7fb1630f3d29', '9f500610-7839-49ea-afd2-38f7c5116eec']",16,Right Foot,"[120.0, 32.4, 0.3]",,"[{'location': [118.3, 39.7], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.6, 47.8], 'player': {'id': 22594, 'name': 'Matt Jarvis'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.0, 49.3], 'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [105.4, 30.1], 'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [108.7, 40.1], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [111.8, 42.7], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [109.3, 36.5], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [109.4, 35.6], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.7, 35.1], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.9, 42.7], 'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [106.1, 40.5], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 43.1], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.9, 44.2], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.6, 44.0], 'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.4, 54.0], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",,,Off T,,0.041388728,Volley,Open Play,,,,Liverpool,24,00:07:16.906,Shot,True
,,,,,,,,,,,,,,,,1.907277,,,,,,,,,,,,9861b80d-9ba8-4d5f-9eae-0a9103d3631c,366,,"[92.5, 54.5]",3754040,9,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Graham Dorrans,16334.0,Right Center Midfield,21,Norwich City,56,['d55716cf-fc47-48e3-b84c-ddbb8db122cc'],4,Right Foot,"[120.0, 30.1, 0.2]",,"[{'location': [87.2, 63.9], 'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [100.6, 50.8], 'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.8, 30.4], 'player': {'id': 22594, 'name': 'Matt Jarvis'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [80.4, 57.1], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [96.1, 29.3], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [91.9, 48.0], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.4, 36.6], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [84.4, 62.0], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [91.1, 52.2], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.0, 47.3], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [89.9, 61.0], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [97.6, 52.5], 'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.1, 40.8], 'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",fad164e2-59f7-40d1-81f0-641d82b9f83f,,Off T,,0.018856132,Normal,Open Play,,,,Norwich City,56,00:09:04.917,Shot,
,,,,,,,,,,,,,,,,0.489224,,,,,,,,,,,,ae68e547-83fa-4a36-84f9-92f4b5f4cafb,687,,"[102.6, 44.5]",3754040,17,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,James Philip Milner,3473.0,Right Defensive Midfield,41,Liverpool,24,"['07180a50-152e-4bbf-a131-66774d6edb58', '75857bf7-7f3f-4d14-b46f-5a167cfd7774']",37,Right Foot,"[110.9, 41.1]",,"[{'location': [115.5, 40.6], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.8, 47.0], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.7, 40.9], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.7, 32.7], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.3, 32.6], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 38.5], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [96.9, 29.3], 'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.9, 57.1], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [111.5, 27.8], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [107.3, 31.9], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [111.2, 43.7], 'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [88.5, 24.8], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [94.0, 38.6], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",0c351764-22e9-4cf5-91db-fc8d6ff2e9da,,Blocked,,0.15365417,Normal,Open Play,,,,Liverpool,24,00:17:37.714,Shot,
,,,,,,,,,,,,,,,,1.378162,,,,,,,,,,,,4d181383-07ac-4c36-93e2-3e1dc19b8133,1183,,"[92.5, 19.5]",3754040,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Robert Brady,10967.0,Left Back,61,Norwich City,56,['6bf744d3-8879-4f6a-9737-391c1456201f'],3,Left Foot,"[120.0, 37.0, 7.5]",,"[{'location': [95.2, 31.1], 'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [98.9, 5.8], 'player': {'id': 22594, 'name': 'Matt Jarvis'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [81.2, 46.2], 'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [92.6, 22.4], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [90.4, 36.6], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.0, 19.1], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [99.5, 24.8], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.4, 32.4], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [99.0, 42.1], 'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.8, 53.0], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [117.6, 39.4], 'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",d0b8e51b-6e8e-4e0b-aba4-67b673c02b9a,,Off T,,0.0063310033,Normal,Open Play,,,,Norwich City,56,00:27:03.341,Shot,
,,,,,,,,,,,,,,,,1.20493,,,,,,,,,,,,7154162b-8c58-455d-8b2f-95bb026b9138,1278,,"[93.6, 52.3]",3754040,29,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Wing Back,66,Liverpool,24,['00454842-5804-4112-ad31-8ba890757145'],36,Right Foot,"[120.0, 34.5, 0.2]",,"[{'location': [98.1, 57.1], 'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [102.2, 31.1], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [101.0, 46.6], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [89.4, 39.4], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.0, 23.0], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.7, 36.2], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.6, 46.5], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.4, 51.1], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [91.8, 39.8], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [94.4, 49.5], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.9, 40.8], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Off T,,0.022358328,Normal,Open Play,,,,Liverpool,24,00:29:36.140,Shot,
,,,,,,,,,,,,,,,,0.471986,,,,,,,,,,,,80c06048-9150-4bbf-87a9-7173f89d1f8f,1411,,"[101.9, 48.4]",3754040,33,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Daniel Andre Sturridge,3529.0,Right Center Forward,72,Liverpool,24,['599ed4f4-f96f-4bb6-847b-66c769ac2400'],16,Left Foot,"[115.3, 40.8, 0.4]",True,"[{'location': [99.9, 28.6], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [99.2, 37.5], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.6, 43.2], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.7, 42.0], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",8c75fa27-34d2-4f36-9d48-c6dbd78228b5,,Saved,,0.13521104,Normal,Open Play,,,,Liverpool,24,00:33:16.189,Shot,
,,,,,,,,,,,,,,,,1.217639,,,,,,,,,,,,daecf06e-f47d-4386-84aa-381ad9fe6fa4,1490,,"[106.5, 43.4]",3754040,34,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,75,Liverpool,24,['679d0582-72fa-4680-a60a-94efe3f7a966'],56,Head,"[120.0, 46.3, 1.3]",,"[{'location': [106.5, 40.3], 'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [108.1, 34.6], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [88.5, 29.4], 'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [96.3, 49.6], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.8, 35.9], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.8, 39.6], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.6, 45.5], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.4, 42.1], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.5, 63.3], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.3, 41.3], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",13e1a88b-dc59-42e0-ae45-351dd9208435,,Off T,,0.09962635,Normal,Open Play,,,,Liverpool,24,00:34:56.127,Shot,
,,,,,,,,,,,,,,,,0.230864,,,,,,,,,,,,8acbda03-8cd4-4bad-b3fc-4ea82f414669,1770,,"[107.8, 27.4]",3754040,40,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Christian Benteke Liolo,3380.0,Left Center Forward,88,Liverpool,24,"['22290ecb-fddf-4bf1-8a6b-77403312116e', '3a0d6a7c-23d5-4d51-8b4f-9bd82b492775']",42,Right Foot,"[108.2, 28.0]",,"[{'location': [102.7, 35.7], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [109.4, 46.1], 'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [90.9, 22.7], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.6, 28.3], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.4, 30.4], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.6, 37.0], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.4, 31.0], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.5, 37.0], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.2, 43.8], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",25ff7e52-4ce3-40a9-baaa-28d10b1c1ae9,,Blocked,,0.027534725,Normal,Open Play,,,,Liverpool,24,00:40:42.778,Shot,
,,,,,,,,,,,,,,,,0.113223,,,,,,,,,,,,971203e8-13a8-44e9-b402-32cd065dd7a1,1775,,"[95.1, 44.0]",3754040,40,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,88,Liverpool,24,"['1e3bd294-0072-46a9-870b-d4a2ad9309c1', '488adb2e-0995-489e-9225-d18a8ed2c2ca']",46,Right Foot,"[98.6, 43.9]",,"[{'location': [102.8, 50.8], 'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [102.6, 36.3], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [105.2, 29.5], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [99.1, 43.9], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.5, 48.4], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.4, 41.0], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [99.2, 37.2], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.3, 37.9], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.8, 29.4], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.5, 40.4], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Blocked,,0.037556063,Normal,Open Play,,,,Liverpool,24,00:40:46.131,Shot,
,,,,,,,,,,,,,,,,0.928159,,,,,,,,,,,,aade74ef-bc00-4b6a-a2ba-6ad91b106d1a,1819,,"[97.8, 41.8]",3754040,41,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,James Philip Milner,3473.0,Right Defensive Midfield,90,Liverpool,24,['27010ee1-4090-4346-a386-7e313690043b'],41,Right Foot,"[117.1, 40.0, 0.5]",True,"[{'location': [98.1, 41.0], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [90.3, 30.3], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [101.7, 46.4], 'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [99.2, 55.0], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [107.0, 33.1], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [99.8, 50.1], 'player': {'id': 22594, 'name': 'Matt Jarvis'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [103.4, 43.1], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.5, 39.7], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.3, 38.6], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [93.0, 31.3], 'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.8, 45.9], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.1, 39.8], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.7, 40.0], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",1adc9a42-6d87-4d86-a120-d19c89b14d53,,Saved,,0.047851413,Volley,Open Play,,,,Liverpool,24,00:41:41.750,Shot,
