50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.476311,,,,,,,,,,,,,,60d7c726-8ed3-4bb9-929e-d97f6fd8d2cf,434,,,"[108.0, 40.0]",3900579,13,,,,,,,,,,,,,,,,,,,,,,,1,Other,Nolan Roux,3179.0,Right Midfield,33,Saint-Étienne,135,['b3894dfb-300c-46dd-912f-2e30574bc3a0'],36,,Right Foot,"[120.0, 43.0, 0.8]",,,,,Goal,0.7835,Normal,Penalty,,,,Saint-Étienne,135,00:13:36.908,Shot,
,,,,,,,,,,,,,,,,,,0.099806,,,,,,,,,,,,,,572581d1-078a-4c0b-849f-a3c909ab69d7,535,,,"[89.1, 35.7]",3900579,16,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Guillaume Gillet,4380.0,Right Defensive Midfield,40,Nantes,144,"['64b8b421-d7c0-408d-99e6-4965acf37026', 'ea96a060-1756-43ae-9a56-89f8d0ddf6b1']",3,,Left Foot,"[92.3, 36.1]",,"[{'location': [119.2, 39.8], 'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.0, 49.7], 'player': {'id': 3414, 'name': 'Vincent Pajot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [84.8, 20.1], 'player': {'id': 10746, 'name': 'Ermir Lenjani'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [104.6, 61.3], 'player': {'id': 7560, 'name': 'Jonathan Brison'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [92.9, 36.4], 'player': {'id': 4254, 'name': 'Valentin Eysseric'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.0, 38.1], 'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 43.2], 'player': {'id': 4802, 'name': 'Florentin Pogba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.8, 38.0], 'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.4, 32.3], 'player': {'id': 3413, 'name': 'Kévin Théophile-Catherine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.0, 26.6], 'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [104.1, 36.6], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [95.2, 65.6], 'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [102.5, 49.2], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [99.0, 29.2], 'player': {'id': 401477, 'name': 'Johan Audel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.1, 41.9], 'player': {'id': 3319, 'name': 'Yacine Bammou'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,,Blocked,0.013429783,Half Volley,Open Play,,,,Nantes,144,00:16:03.350,Shot,
,,,,,,,,,,,,,,,,,,0.489564,,,,,,,,,,,,,,7b34f3fc-91a9-4503-9a29-3e81ecf069b0,540,,,"[113.3, 38.5]",3900579,16,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Guillaume Gillet,4380.0,Right Defensive Midfield,41,Nantes,144,['2cf7f195-e937-4cf3-9163-f07f7b436ad9'],24,,Head,"[120.0, 29.1, 0.5]",,"[{'location': [119.8, 37.1], 'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.7, 33.2], 'player': {'id': 3423, 'name': 'Alexander Toft Søderlund'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [113.3, 39.7], 'player': {'id': 4260, 'name': 'Romain Hamouma'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [117.1, 37.6], 'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [111.5, 34.9], 'player': {'id': 4254, 'name': 'Valentin Eysseric'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [119.8, 43.5], 'player': {'id': 7560, 'name': 'Jonathan Brison'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.4, 42.7], 'player': {'id': 4802, 'name': 'Florentin Pogba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.9, 43.4], 'player': {'id': 3413, 'name': 'Kévin Théophile-Catherine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.4, 41.7], 'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.5, 45.7], 'player': {'id': 3414, 'name': 'Vincent Pajot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.5, 33.7], 'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [105.4, 46.9], 'player': {'id': 3319, 'name': 'Yacine Bammou'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [119.0, 40.7], 'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.9, 33.2], 'player': {'id': 7350, 'name': 'Birama Touré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [109.8, 42.9], 'player': {'id': 401477, 'name': 'Johan Audel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.5, 44.2], 'player': {'id': 3004, 'name': 'Oswaldo Augusto Vizcarrondo Araújo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",df7e4964-0c40-4b35-8cb2-b74f2a4e1921,,Off T,0.10673143,Normal,Open Play,,,,Nantes,144,00:16:24.078,Shot,
,,,,,,,,,,,,,,,,,,1.691905,,,,,,,,,,,,,,89c1c650-33c9-4410-a020-64d2853e7f03,639,,,"[108.9, 45.6]",3900579,19,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alexander Toft Søderlund,3423.0,Center Forward,48,Saint-Étienne,135,['d89f071d-327a-4232-9976-25afae993d97'],21,,Right Foot,"[120.0, 31.6, 0.2]",True,"[{'location': [96.5, 39.5], 'player': {'id': 3414, 'name': 'Vincent Pajot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [100.4, 30.7], 'player': {'id': 4260, 'name': 'Romain Hamouma'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [110.2, 46.0], 'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [110.2, 44.9], 'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.8, 37.2], 'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.3, 46.3], 'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [116.9, 42.9], 'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.8, 66.8], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [111.6, 56.4], 'player': {'id': 10746, 'name': 'Ermir Lenjani'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.2, 46.9], 'player': {'id': 3004, 'name': 'Oswaldo Augusto Vizcarrondo Araújo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.2, 57.5], 'player': {'id': 7350, 'name': 'Birama Touré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",610eff1e-4f30-4ee2-8735-88a3ceb53fe0,,Off T,0.05752371,Half Volley,Open Play,,,,Saint-Étienne,135,00:19:21.884,Shot,
,,,,,,,,,,,,,,,,,,0.418428,,,,,,,,,,,,,,ae454065-c0cb-487c-aa5a-b9b0dcc91796,801,,,"[101.0, 35.2]",3900579,25,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vincent Pajot,3414.0,Left Center Midfield,65,Saint-Étienne,135,"['48ddb171-77c1-4450-a68e-11c1e1098fab', '8deb2d7c-7367-40f6-b330-393f980853ae']",6,,Right Foot,"[111.6, 38.7]",True,"[{'location': [115.0, 23.4], 'player': {'id': 4260, 'name': 'Romain Hamouma'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [117.2, 37.4], 'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.7, 22.8], 'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.9, 38.5], 'player': {'id': 7350, 'name': 'Birama Touré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [98.2, 52.9], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [110.8, 28.1], 'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.6, 45.9], 'player': {'id': 10746, 'name': 'Ermir Lenjani'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.5, 38.6], 'player': {'id': 3004, 'name': 'Oswaldo Augusto Vizcarrondo Araújo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.1, 35.2], 'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.7, 36.1], 'player': {'id': 3423, 'name': 'Alexander Toft Søderlund'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.2, 42.4], 'player': {'id': 4254, 'name': 'Valentin Eysseric'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [100.9, 54.6], 'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",,,Blocked,0.09275672,Normal,Open Play,,,,Saint-Étienne,135,00:25:06.621,Shot,
,,,,,,,,,,,,,,,,,,0.156393,,,,,,,,,,,,,,4c9d6e06-bc4b-420c-852c-ebd06dd3a1c2,806,,,"[104.3, 42.0]",3900579,25,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Valentin Eysseric,4254.0,Right Center Midfield,65,Saint-Étienne,135,"['16fbe582-caab-445a-8997-64673091bd7b', '4ec5f3f5-cd9f-4d66-9dcf-a9d413e4918c']",8,,Right Foot,"[108.1, 41.2]",,"[{'location': [104.9, 38.1], 'player': {'id': 7350, 'name': 'Birama Touré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.3, 30.3], 'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 24.2], 'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 43.2], 'player': {'id': 10746, 'name': 'Ermir Lenjani'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.9, 40.9], 'player': {'id': 3004, 'name': 'Oswaldo Augusto Vizcarrondo Araújo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.1, 35.4], 'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [98.6, 51.9], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [115.8, 41.8], 'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [118.0, 20.3], 'player': {'id': 4260, 'name': 'Romain Hamouma'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [103.1, 33.2], 'player': {'id': 3414, 'name': 'Vincent Pajot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.7, 36.2], 'player': {'id': 3423, 'name': 'Alexander Toft Søderlund'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.6, 55.4], 'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",,,Blocked,0.10710983,Normal,Open Play,,,,Saint-Étienne,135,00:25:08.643,Shot,
,,,,,,,,,,,,,,,,,,1.045121,,,,,,,,,,,,,,298582ea-f1a8-4ba2-8357-f7d7a34e9611,881,,,"[110.7, 46.8]",3900579,28,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Johan Audel,401477.0,Center Forward,71,Nantes,144,['b00e63b2-5ec3-4eae-99c7-e9175ee569cd'],22,,Right Foot,"[120.0, 36.1, 0.6]",True,"[{'location': [108.1, 48.6], 'player': {'id': 3319, 'name': 'Yacine Bammou'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [96.3, 27.6], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [109.8, 51.4], 'player': {'id': 4802, 'name': 'Florentin Pogba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 51.0], 'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.6, 31.9], 'player': {'id': 3413, 'name': 'Kévin Théophile-Catherine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.9, 44.7], 'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.6, 42.7], 'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",8cd08793-d08f-4374-af0f-d4d04511aed8,,Post,0.13404496,Half Volley,Open Play,,,,Nantes,144,00:28:22.981,Shot,
,,,,,,,,,,,,,,,,,,0.280766,,,,,,,,,,,,,,4b82dcf2-ee89-48af-afe1-531caa81b18d,892,,,"[116.5, 48.0]",3900579,28,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Johan Audel,401477.0,Center Forward,71,Nantes,144,['e43af1bc-c814-44b8-9f71-2c78b8194d67'],31,,Left Foot,"[120.0, 41.7, 1.4]",,"[{'location': [116.2, 44.1], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [105.3, 35.8], 'player': {'id': 7350, 'name': 'Birama Touré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [115.7, 40.9], 'player': {'id': 3319, 'name': 'Yacine Bammou'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [112.7, 32.7], 'player': {'id': 4254, 'name': 'Valentin Eysseric'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [117.1, 51.9], 'player': {'id': 7560, 'name': 'Jonathan Brison'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [117.2, 38.6], 'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.5, 36.4], 'player': {'id': 4802, 'name': 'Florentin Pogba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 38.4], 'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.7, 34.1], 'player': {'id': 3413, 'name': 'Kévin Théophile-Catherine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",41656722-4ce7-438b-93cc-574c3add8b14,,Goal,0.3140384,Normal,Open Play,,,,Nantes,144,00:28:31.419,Shot,
,,,,,,,,,,,,,,,,,,0.161138,,,,,,,,,,,,,,9c322be2-3aca-4f59-8dfe-8aab0a6836cc,983,,,"[108.6, 44.2]",3900579,33,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Yacine Bammou,3319.0,Center Attacking Midfield,76,Nantes,144,"['7eee99ad-1042-4b67-991e-208617623ba4', 'b13aac9d-7ac8-4f9a-bb77-fd1db34a6d6d']",14,,Head,"[109.5, 44.1]",,"[{'location': [109.0, 64.8], 'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [102.1, 48.3], 'player': {'id': 3414, 'name': 'Vincent Pajot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.4, 51.0], 'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [111.2, 59.2], 'player': {'id': 7560, 'name': 'Jonathan Brison'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.1, 49.1], 'player': {'id': 4802, 'name': 'Florentin Pogba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.2, 44.0], 'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.5, 36.4], 'player': {'id': 4254, 'name': 'Valentin Eysseric'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.2, 36.8], 'player': {'id': 3413, 'name': 'Kévin Théophile-Catherine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.6, 43.0], 'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.5, 47.6], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [108.4, 47.9], 'player': {'id': 401477, 'name': 'Johan Audel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.9, 28.1], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",e404c4ee-0bd4-47d5-b0a8-63ad045b84f1,,Blocked,0.06514404,Normal,Open Play,,,,Nantes,144,00:33:14.829,Shot,
,,,,,,,,,,,,,,,,,,0.597435,,,,,,,,,,,,,,c3e0b47c-2fab-4664-b1c3-016795b9abf2,988,,,"[92.0, 32.3]",3900579,33,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Birama Touré,7350.0,Left Defensive Midfield,76,Nantes,144,"['1d0a0743-ff6a-4f16-970a-9785a441f507', 'e26aefdb-e0e3-40a3-b8e1-3cdacda7b8ec']",18,,Left Foot,"[105.1, 37.1]",True,"[{'location': [86.0, 42.0], 'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [81.8, 20.4], 'player': {'id': 10746, 'name': 'Ermir Lenjani'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [102.6, 63.8], 'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [105.6, 49.0], 'player': {'id': 3319, 'name': 'Yacine Bammou'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [99.2, 37.2], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [107.6, 45.0], 'player': {'id': 401477, 'name': 'Johan Audel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.6, 24.6], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [115.7, 38.8], 'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.1, 52.1], 'player': {'id': 4260, 'name': 'Romain Hamouma'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [106.0, 54.7], 'player': {'id': 7560, 'name': 'Jonathan Brison'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.9, 34.6], 'player': {'id': 3414, 'name': 'Vincent Pajot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.3, 34.4], 'player': {'id': 4254, 'name': 'Valentin Eysseric'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.1, 40.2], 'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.6, 43.3], 'player': {'id': 4802, 'name': 'Florentin Pogba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.8, 37.4], 'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.8, 28.0], 'player': {'id': 3413, 'name': 'Kévin Théophile-Catherine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.3, 17.4], 'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",,,Blocked,0.023260016,Normal,Open Play,,,,Nantes,144,00:33:18.278,Shot,
