bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.092859,,,,,,,,,,,,,84ec754f-a087-4b01-acfd-2149e1b6f93f,22,,"[102.9, 25.5]",3825788,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Wanderson Maciel Sousa Campos,16426.0,Left Wing,2,Getafe,216,"['485e22fb-4cce-44e9-954a-0c40143edc2a', '8d04be39-586f-4081-8dcd-82f70c0a9687']",16,,Right Foot,"[104.2, 26.9]",,"[{'location': [99.9, 11.4], 'player': {'id': 27092, 'name': 'Abdoul Karim Yoda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [87.0, 21.3], 'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [117.6, 38.2], 'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.3, 30.7], 'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.1, 36.3], 'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.7, 46.9], 'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [88.8, 21.3], 'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.6, 17.1], 'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [104.3, 27.4], 'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.7, 25.9], 'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.6, 32.6], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.9, 36.3], 'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.9, 44.5], 'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.4, 32.1], 'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [88.8, 45.5], 'player': {'id': 23785, 'name': ""Théo Bongonda Mbul''Ofeko Batombo""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",6641f8ce-92b1-47c5-b77f-04714a76bd06,,Blocked,0.037772417,Normal,Open Play,,,,Getafe,216,00:00:16.627,Shot,
,,,,,,,,,,,,,,,,,,1.172365,,,,,,,,,,,,,4f852a5a-dfe0-4e26-9470-9df3c090f268,719,,"[90.3, 45.5]",3825788,18,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Iago Aspas Juncal,5217.0,Right Wing,38,Celta Vigo,209,['e72d676c-9e04-4dd1-94af-5a55e16de4ff'],30,,Left Foot,"[120.0, 44.8, 2.9]",,"[{'location': [102.5, 47.2], 'player': {'id': 6038, 'name': 'John Guidetti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.4, 41.5], 'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [86.1, 42.7], 'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [93.3, 37.2], 'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [99.9, 34.9], 'player': {'id': 16426, 'name': 'Wanderson Maciel Sousa Campos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.3, 44.3], 'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 38.1], 'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.3, 43.6], 'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [101.0, 42.1], 'player': {'id': 17054, 'name': 'Emiliano Daniel Velázquez Maldonado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.8, 27.7], 'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.4, 45.2], 'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [96.6, 37.9], 'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [117.9, 39.8], 'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.6, 46.5], 'player': {'id': 27092, 'name': 'Abdoul Karim Yoda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.0, 48.1], 'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [103.0, 25.5], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [94.7, 33.9], 'player': {'id': 23785, 'name': ""Théo Bongonda Mbul''Ofeko Batombo""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.1, 37.6], 'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",,,Off T,0.043156754,Normal,Free Kick,,,,Celta Vigo,209,00:18:30.382,Shot,
,,,,,,,,,,,,,,,,,,0.180519,,,,,,,,,,,,,51a62f3e-6311-4901-9fc3-86d1567a1bab,740,,"[95.7, 34.8]",3825788,19,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Víctor Rodríguez Romero,15893.0,Center Attacking Midfield,39,Getafe,216,"['6aee4928-f081-441b-b142-a897fcaeddea', '8b700986-d0f3-453f-8dcb-45d4d8f37fd1', 'cc7373a8-1fd7-4dbe-a823-538989c08fc2']",3,,Right Foot,"[96.6, 35.1]",,"[{'location': [92.5, 19.3], 'player': {'id': 27092, 'name': 'Abdoul Karim Yoda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [99.7, 17.3], 'player': {'id': 16426, 'name': 'Wanderson Maciel Sousa Campos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.5, 25.1], 'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.9, 51.8], 'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [95.8, 41.7], 'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.8, 48.2], 'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.9, 38.3], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.9, 32.4], 'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [96.8, 34.9], 'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 38.4], 'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",b3b2c960-a4f4-4cf3-883f-711793184504,,Blocked,0.026511598,Normal,Open Play,,,,Getafe,216,00:19:03.802,Shot,True
,,,,,,,,,,,,,,,,,,0.890651,,,,,,,,,,,,,affdea30-ac58-409a-9048-90338bad897f,1021,,"[104.7, 57.8]",3825788,25,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Pablo Sarabia García,6720.0,Right Wing,57,Getafe,216,"['6ef88c6e-3809-4970-ad44-c013c1de8486', 'cdc015c2-e7e6-4c2a-8a43-194c18a2e7c5']",12,,Left Foot,"[118.5, 44.3, 0.2]",,"[{'location': [95.0, 51.6], 'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [117.9, 43.0], 'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.7, 39.1], 'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.2, 43.6], 'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.7, 57.4], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.5, 42.2], 'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.5, 37.3], 'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",e5e30c20-ca3d-437c-94da-f796a60ab374,,Saved,0.031954933,Normal,Open Play,,,,Getafe,216,00:25:12.454,Shot,True
,,,,,,,,,,,,,,,,,,0.982178,,,,,,,,,,,,,9ec390ae-5175-48bd-b134-0fed2af470cd,1082,,"[93.3, 32.6]",3825788,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mehdi Lacen,6745.0,Right Defensive Midfield,61,Getafe,216,['316107e5-01e4-410f-b627-72c9d948d0e8'],24,,Left Foot,"[120.0, 31.4, 0.7]",,"[{'location': [91.1, 36.6], 'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [95.9, 49.1], 'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.7, 32.3], 'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.7, 38.3], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.9, 37.4], 'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.5, 28.8], 'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.2, 56.7], 'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [99.7, 28.7], 'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.7, 21.7], 'player': {'id': 16426, 'name': 'Wanderson Maciel Sousa Campos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",78c2be17-c4ec-42ef-a92b-ac99361e1c60,,Off T,0.040269434,Normal,Open Play,,,,Getafe,216,00:27:24.989,Shot,
,,,,,,,,,,,,,,,,,,1.416711,,,,,,,,,,,,,0b4dccdf-1f7f-480b-b864-c617024030c5,1179,,"[87.4, 39.8]",3825788,30,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Juan Antonio Rodríguez Villamuela,25881.0,Left Defensive Midfield,68,Getafe,216,['20736bfb-974b-4c90-b6c2-a461e24d316e'],43,,Right Foot,"[120.0, 34.1, 0.2]",,"[{'location': [97.4, 19.9], 'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [89.2, 11.0], 'player': {'id': 16426, 'name': 'Wanderson Maciel Sousa Campos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [79.4, 15.2], 'player': {'id': 27092, 'name': 'Abdoul Karim Yoda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [95.7, 31.8], 'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [92.1, 57.5], 'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [83.7, 23.2], 'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [96.5, 47.1], 'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [86.2, 39.5], 'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [95.8, 37.6], 'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.1, 31.9], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 22.8], 'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [90.2, 11.9], 'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [93.5, 18.2], 'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.3, 39.8], 'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",4ddeac8a-2804-42a0-98dc-22096bc1d119,,Off T,0.026970813,Normal,Open Play,,,,Getafe,216,00:30:43.227,Shot,
,,,,,,,,,,,,,,,,,,0.126774,,,,,,,,,,,,,e1471af4-8e68-40e3-be41-3c88f30b9d30,1269,,"[110.4, 28.7]",3825788,32,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Víctor Rodríguez Romero,15893.0,Center Attacking Midfield,73,Getafe,216,"['19942e69-b9ba-4fe7-b011-c0c62621e825', '6a510527-d339-474f-8bee-c74cd444ecd3', '96c268f9-a24e-484d-92e1-60e1732dc048']",43,,Right Foot,"[111.1, 29.6]",,"[{'location': [111.0, 41.2], 'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.5, 33.6], 'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.3, 26.6], 'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.8, 28.9], 'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.3, 30.1], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.7, 22.6], 'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [117.2, 36.1], 'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.4, 17.0], 'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [111.2, 46.0], 'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.6, 9.9], 'player': {'id': 27092, 'name': 'Abdoul Karim Yoda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [101.7, 30.1], 'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.1, 24.2], 'player': {'id': 16426, 'name': 'Wanderson Maciel Sousa Campos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",5e1740e9-3ec3-4a00-8191-10ae2fabf117,,Blocked,0.047725037,Normal,Open Play,,,,Getafe,216,00:32:43.375,Shot,True
,,,,,,,,,,,,,,,,,,0.13338,,,,,,,,,,,,,ef1896fe-e6f6-4a54-b315-f5dbcd4a43d8,1493,,"[110.4, 22.2]",3825788,40,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,John Guidetti,6038.0,Center Forward,86,Celta Vigo,209,"['375ac851-fd7f-438b-8d40-c3421dbc4e5e', '50c26a2e-7705-4080-a6a2-1ee6858fc7ec']",3,,Left Foot,"[110.9, 22.9]",,"[{'location': [110.7, 23.2], 'player': {'id': 17054, 'name': 'Emiliano Daniel Velázquez Maldonado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 35.6], 'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.5, 32.0], 'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",5577ec42-1a1f-46f3-81da-443a81116baf,,Blocked,0.02551904,Normal,Open Play,,,,Celta Vigo,209,00:40:03.822,Shot,
,,,,,,,,,,,,,,,,,,0.570911,,,,,,,,,,,,,ecff1d05-394b-4068-a4d1-7cac9bf55a90,1523,,"[100.0, 49.9]",3825788,42,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Nemanja Radoja,6796.0,Left Defensive Midfield,88,Celta Vigo,209,['3f7f6c94-eac3-4449-bb0f-f64bce76eccd'],15,,Right Foot,"[110.1, 40.7]",True,"[{'location': [111.5, 47.9], 'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.9, 47.6], 'player': {'id': 6038, 'name': 'John Guidetti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.1, 38.6], 'player': {'id': 23785, 'name': ""Théo Bongonda Mbul''Ofeko Batombo""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.8, 29.0], 'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [112.9, 37.1], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [115.2, 34.0], 'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [101.5, 33.2], 'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.1, 39.3], 'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [106.4, 29.9], 'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.6, 47.2], 'player': {'id': 16426, 'name': 'Wanderson Maciel Sousa Campos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.7, 35.5], 'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [114.7, 35.4], 'player': {'id': 17054, 'name': 'Emiliano Daniel Velázquez Maldonado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.9, 40.1], 'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.1, 45.2], 'player': {'id': 27092, 'name': 'Abdoul Karim Yoda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.9, 48.9], 'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.4, 41.7], 'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Wayward,0.031089908,Half Volley,Open Play,,,,Celta Vigo,209,00:42:15.486,Shot,
,,,,,,,,,,,,,,,,,,0.915282,,,,,,,,,,,,,98dfb863-6457-4768-ab67-a2c756cb37c1,1574,,"[113.0, 39.7]",3825788,43,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Théo Bongonda Mbul''Ofeko Batombo,23785.0,Left Wing,90,Celta Vigo,209,"['30f6de55-3446-43a8-9e5f-4bea30c95474', '70144a78-a3e8-4992-bc4e-a3278483adab']",12,True,Head,"[120.0, 34.1, 0.9]",,"[{'location': [98.0, 50.6], 'player': {'id': 16426, 'name': 'Wanderson Maciel Sousa Campos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [113.1, 38.9], 'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.4, 43.3], 'player': {'id': 17054, 'name': 'Emiliano Daniel Velázquez Maldonado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.6, 54.4], 'player': {'id': 27092, 'name': 'Abdoul Karim Yoda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.9, 45.8], 'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.3, 47.4], 'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.5, 34.0], 'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [117.7, 40.7], 'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.4, 48.3], 'player': {'id': 6038, 'name': 'John Guidetti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.9, 42.0], 'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.3, 52.3], 'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.3, 57.2], 'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",afb2aac0-03cb-4b4f-a9e2-367f3a87757e,,Off T,0.21417549,Normal,Open Play,,,,Celta Vigo,209,00:43:12.575,Shot,True
