bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.187483,,,,,,,,,,,,,d10d6a3a-cb55-4a1a-b26e-5aca56a0c70f,83,,"[87.1, 35.1]",3754181,2,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Yannick Bolasie Yala,3589.0,Right Center Forward,5,Crystal Palace,31,['3caa0dea-d999-41c6-86ab-435de160bd02'],22,,Right Foot,,"[118.9, 37.1, 0.2]",,"[{'location': [119.4, 40.1], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [84.6, 15.6], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [95.3, 27.6], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [92.2, 20.2], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.0, 40.7], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.2, 25.2], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [91.3, 35.4], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.7, 30.1], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.9, 46.4], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [93.5, 24.0], 'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [93.2, 45.2], 'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [81.5, 51.9], 'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [86.6, 38.9], 'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [100.5, 12.7], 'player': {'id': 4817, 'name': 'Joe Ledley'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [86.1, 28.2], 'player': {'id': 26699, 'name': 'Emmanuel Adebayor'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",f88ebfac-bd66-4602-b1a8-debab93bb21d,,Saved,0.018623501,Normal,Open Play,,,,Crystal Palace,31,00:02:22.540,Shot,
,,,,,,,,,,,,,,,,,,0.21649,,,,,,,,,,,,,64bb790b-9035-4aed-a7d5-051bcf410327,637,,"[103.0, 49.3]",3754181,17,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Riyad Mahrez,3814.0,Right Midfield,36,Leicester City,22,['396db7e7-681a-48b5-b11c-74c025514e28'],41,,Left Foot,,"[120.0, 41.5, 0.2]",,"[{'location': [106.2, 46.7], 'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [76.6, 41.2], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [75.7, 44.5], 'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [88.3, 40.7], 'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [84.3, 28.4], 'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.8, 49.7], 'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.6, 44.3], 'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [90.7, 38.5], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",7482f9bb-9554-427a-94d8-7efa596e7f7e,True,Saved,0.4010443,Normal,Open Play,,,,Leicester City,22,00:17:41.196,Shot,
,,,,,,,,,,,,,,,,,,0.152999,,,,,,,,,,,,,85902d97-3cdc-4d5b-bbbb-8dd9c429b630,939,,"[102.6, 23.1]",3754181,26,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Yannick Bolasie Yala,3589.0,Right Center Forward,54,Crystal Palace,31,"['230b73a3-b800-41c4-ba6d-172c3a176b67', '4d0daaa7-826a-4d6e-ae5c-e106c603f8ef']",55,,Right Foot,,"[106.8, 26.6]",,"[{'location': [94.3, 42.9], 'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [95.5, 28.9], 'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [110.1, 41.0], 'player': {'id': 26699, 'name': 'Emmanuel Adebayor'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [112.4, 12.1], 'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [110.1, 42.5], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 34.4], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.6, 33.6], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [102.8, 28.5], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.7, 26.6], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.8, 17.4], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.8, 18.4], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [111.2, 24.2], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [119.8, 40.3], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",a5c6ed1d-93c2-444a-a176-27872c98378b,,Blocked,0.030921102,Normal,Open Play,,,,Crystal Palace,31,00:26:55.539,Shot,
,,,,,,,,,,,,,,,,,,0.136351,,,,,,,,,,,,,d299c403-971a-4e72-9371-9d5066d34df0,971,,"[95.8, 20.3]",3754181,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yannick Bolasie Yala,3589.0,Right Center Forward,55,Crystal Palace,31,"['d4914fbf-a0e2-46e5-9dd0-a23c8e9b9d0c', 'f039c0d1-8495-4fd4-bfb6-38d7f4fd97e2']",31,,Right Foot,,"[99.9, 21.6]",,"[{'location': [91.9, 46.6], 'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [83.1, 31.7], 'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [118.1, 39.3], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [85.7, 28.5], 'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [111.1, 31.8], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.5, 39.3], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.8, 42.5], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [100.8, 28.9], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.5, 22.8], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.6, 22.1], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [93.1, 17.8], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [85.3, 31.3], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [101.3, 1.9], 'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [105.3, 38.5], 'player': {'id': 4817, 'name': 'Joe Ledley'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",76de9398-4fef-47a8-a4de-6183cdc8aab9,,Blocked,0.008790727,Normal,Open Play,,,,Crystal Palace,31,00:27:31.344,Shot,
,,,,,,,,,,,,,,,,,,0.180346,,,,,,,,,,,,,a153a29b-0fe7-423a-8e41-0f4f5c474859,1083,,"[114.4, 49.5]",3754181,29,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Wilfried Zaha,3507.0,Right Midfield,57,Crystal Palace,31,['508d7206-ce9a-453f-9146-370472edaf1c'],40,,Right Foot,,"[120.0, 47.1, 1.2]",True,"[{'location': [119.0, 41.3], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.7, 43.3], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [116.8, 41.2], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.7, 39.2], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.4, 38.3], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.4, 31.4], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.5, 27.8], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.0, 34.0], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [119.4, 22.3], 'player': {'id': 3589, 'name': 'Yannick Bolasie Yala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [117.2, 31.4], 'player': {'id': 26699, 'name': 'Emmanuel Adebayor'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [114.7, 42.6], 'player': {'id': 4817, 'name': 'Joe Ledley'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",0fe3f151-3c41-4ff0-a6dc-9274e64c925a,,Off T,0.1496035,Half Volley,Open Play,,,,Crystal Palace,31,00:29:40.150,Shot,
,,,,,,,,,,,,,,,,,,0.559912,,,,,,,,,,,,,c17f8d6a-127d-486a-83d1-b4c793d5afa2,1129,,"[108.5, 35.2]",3754181,31,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yannick Bolasie Yala,3589.0,Right Center Forward,61,Crystal Palace,31,['a872d56a-9485-4150-aab8-8fd099371262'],20,,Head,,"[120.0, 48.8, 0.7]",,"[{'location': [112.3, 42.4], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.8, 38.3], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.6, 35.0], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.7, 40.7], 'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [102.4, 56.4], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [94.6, 54.7], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [102.6, 40.9], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.7, 37.0], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [118.7, 38.7], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.5, 46.1], 'player': {'id': 4817, 'name': 'Joe Ledley'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [93.0, 53.8], 'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [109.3, 34.0], 'player': {'id': 26699, 'name': 'Emmanuel Adebayor'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",56f4f1e1-28d4-4e32-ac06-76703e53c0f4,,Off T,0.031598173,Normal,Open Play,,,,Crystal Palace,31,00:31:20.457,Shot,
,,,,,,,,,,,,,,,,,,0.578483,,,,,,,,,,,,,05175b74-e3c4-4799-9cef-ee1312ac4aa2,1200,,"[110.8, 44.0]",3754181,33,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Riyad Mahrez,3814.0,Right Midfield,65,Leicester City,22,['44cb5e1b-7f4e-49d3-bfbd-7c1a8dee5145'],13,,Left Foot,,"[120.0, 41.1, 0.4]",True,"[{'location': [111.6, 53.1], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [118.3, 37.8], 'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.8, 37.6], 'player': {'id': 4817, 'name': 'Joe Ledley'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [113.4, 44.2], 'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.6, 31.4], 'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [116.1, 38.7], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [112.4, 24.2], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [97.3, 18.7], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [90.7, 30.1], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [100.6, 39.4], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [111.2, 25.4], 'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.9, 23.3], 'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [114.4, 34.7], 'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.9, 26.8], 'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.8, 38.5], 'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",0ab7980f-8c7f-4343-b4da-6c74b2b6c89b,,Goal,0.38573304,Normal,Open Play,,,,Leicester City,22,00:33:13.328,Shot,
,,,,,,,,,,,,,,,,,,0.178343,,,,,,,,,,,,,23750095-5b85-4dc3-96b1-535faa5ee0db,1319,,"[106.6, 25.8]",3754181,36,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yannick Bolasie Yala,3589.0,Right Center Forward,68,Crystal Palace,31,"['54025b4e-5f78-492a-99eb-469b98b4a79c', '8cb4ec0b-6f19-48bd-99f4-e90440d19df4']",6,,Left Foot,True,"[119.6, 37.6, 0.9]",,"[{'location': [110.1, 40.6], 'player': {'id': 26699, 'name': 'Emmanuel Adebayor'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [105.1, 46.6], 'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [91.8, 36.9], 'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [118.1, 36.5], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.0, 44.3], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [103.8, 29.2], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.9, 33.9], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.1, 29.2], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.6, 35.6], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 41.8], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 28.0], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",ba626471-4982-4b2a-afd6-214c9d6f96f0,,Saved,0.048444763,Normal,Open Play,,,,Crystal Palace,31,00:36:06.368,Shot,
,,,,,,,,,,,,,,,,,,0.592254,,,,,,,,,,,,,238f6413-413f-4a6f-8b87-df51149ae17c,1418,,"[103.2, 27.0]",3754181,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marc Albrighton,3307.0,Left Midfield,77,Leicester City,22,['f47dce9d-ccdd-40ca-a258-33e0428dede5'],17,,Right Foot,,"[117.2, 39.3, 0.6]",,"[{'location': [108.4, 35.7], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [102.1, 36.5], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [117.5, 37.7], 'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.4, 22.5], 'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [105.5, 27.6], 'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 32.7], 'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.2, 19.8], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [106.7, 50.5], 'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.5, 34.2], 'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.1, 34.5], 'player': {'id': 4817, 'name': 'Joe Ledley'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [109.7, 36.1], 'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",1bfd8302-3101-4d6a-acae-6ee0cd8fe588,,Saved,0.045090854,Normal,Open Play,,,,Leicester City,22,00:39:17.513,Shot,
,,,,,,,,,,,,,,,,,,0.711568,,,,,,,,,,,,,e2a07813-6dc1-49df-b56e-cd24f9d66e04,1710,,"[104.7, 48.7]",3754181,46,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Shinji Okazaki,3810.0,Left Center Forward,93,Leicester City,22,['c192009c-8239-4222-a780-0d3ebac1452a'],53,,Right Foot,,"[120.0, 44.0, 4.8]",,"[{'location': [102.5, 51.2], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [85.6, 60.1], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [93.5, 46.5], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [95.6, 39.4], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [106.8, 40.1], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [118.6, 41.4], 'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.5, 43.8], 'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.6, 45.5], 'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.2, 39.8], 'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.4, 45.4], 'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.4, 48.0], 'player': {'id': 4817, 'name': 'Joe Ledley'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [90.8, 60.0], 'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.9, 51.4], 'player': {'id': 3448, 'name': 'Martin Kelly'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.9, 65.4], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.9, 62.7], 'player': {'id': 3469, 'name': 'Bakary Sako'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",25442b3d-e894-4a1e-a73b-5c01c70d2826,,Off T,0.067239545,Normal,Open Play,,,,Leicester City,22,00:01:53.176,Shot,
