50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.105172,,,,,,,,,,,,,,94cbe049-a540-4283-9be3-99be5ba7e7c3,224,,,"[96.1, 19.8]",3754168,4,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,James Ward-Prowse,3328.0,Right Center Midfield,10,Southampton,25,['d61840f9-4014-4c72-9e64-2cebf4db83cb'],40,,Right Foot,"[120.0, 36.7, 2.0]",,"[{'location': [108.1, 37.1], 'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 35.3], 'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.3, 38.7], 'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 44.8], 'player': {'id': 11012, 'name': 'Jonathan Grant Evans'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.2, 44.3], 'player': {'id': 3514, 'name': 'James McClean'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.7, 39.5], 'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.6, 27.4], 'player': {'id': 40130, 'name': 'Victor Chinedu Anichebe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [103.9, 26.8], 'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.1, 26.1], 'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.5, 24.3], 'player': {'id': 2966, 'name': 'Stéphane Sessègnon'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [117.9, 39.7], 'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.2, 38.1], 'player': {'id': 3842, 'name': 'Shane Long'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 38.4], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [93.7, 40.3], 'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.3, 10.4], 'player': {'id': 3651, 'name': 'Matt Targett'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [108.9, 48.1], 'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [108.5, 45.3], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [105.7, 26.7], 'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.8, 25.2], 'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",,Goal,0.010029385,Normal,Free Kick,,,,Southampton,25,00:04:40.900,Shot,
,,,,,,,,,,,,,,,0.783313,,,,,,,,,,,,,,92489fed-72c1-4bd0-81e3-4d2e79bc2a53,369,,,"[108.1, 33.8]",3754168,9,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Craig Gardner,9485.0,Left Center Midfield,17,West Bromwich Albion,27,['485edad4-3b66-4e6b-a646-ad7a82c61f62'],12,,Head,"[120.0, 34.7, 1.3]",,"[{'location': [118.4, 38.0], 'player': {'id': 3970, 'name': 'Fraser Forster'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.7, 46.2], 'player': {'id': 3651, 'name': 'Matt Targett'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [109.4, 42.3], 'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.1, 39.2], 'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.9, 34.5], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [107.0, 24.5], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.8, 26.0], 'player': {'id': 3328, 'name': 'James Ward-Prowse'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.4, 13.8], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [99.7, 45.1], 'player': {'id': 2966, 'name': 'Stéphane Sessègnon'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [108.1, 36.1], 'player': {'id': 40130, 'name': 'Victor Chinedu Anichebe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.4, 43.4], 'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",0326c38d-8f5d-401e-85f6-4ecfe913ae69,Off T,0.041601956,Normal,Open Play,,,,West Bromwich Albion,27,00:09:12.013,Shot,
,,,,,,,,,,,,,,,0.846584,,,,,,,,,,,,,,0456e0b7-60e5-43ff-ade8-d547169e96ce,819,,,"[99.0, 41.0]",3754168,21,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Craig Gardner,9485.0,Left Center Midfield,33,West Bromwich Albion,27,['3c1e6000-4a2a-4a02-8154-982b01d359ce'],3,,Right Foot,"[120.0, 40.3, 4.9]",True,"[{'location': [107.0, 31.8], 'player': {'id': 3514, 'name': 'James McClean'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [94.2, 58.4], 'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.8, 43.2], 'player': {'id': 40130, 'name': 'Victor Chinedu Anichebe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.4, 75.9], 'player': {'id': 2966, 'name': 'Stéphane Sessègnon'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [111.2, 61.5], 'player': {'id': 3651, 'name': 'Matt Targett'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [106.8, 53.5], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [102.0, 58.1], 'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.9, 45.4], 'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.1, 46.5], 'player': {'id': 3328, 'name': 'James Ward-Prowse'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.4, 40.5], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.4, 33.0], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [118.2, 40.4], 'player': {'id': 3970, 'name': 'Fraser Forster'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.3, 55.0], 'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",073ee5bf-5a4d-4e9b-a5f6-45f5de575416,Off T,0.058983512,Half Volley,Open Play,,,,West Bromwich Albion,27,00:21:03.520,Shot,
,,,,,,,,,,,,,,,0.027825,,,,,,,,,,,,,,196bf06b-85c3-46b2-864c-ae6b1f2546ac,1032,,,"[109.6, 38.7]",3754168,26,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sadio Mané,3629.0,Left Wing,39,Southampton,25,"['92edd6c7-94e2-4070-a57d-89f3d95ef919', 'ea40b5b2-25bc-47ac-b180-c5daa32f90eb', 'fc41f0b5-782b-4347-9ebf-00d42eea14e3']",47,True,Head,"[110.4, 39.1]",,"[{'location': [100.9, 18.8], 'player': {'id': 3651, 'name': 'Matt Targett'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [109.7, 45.6], 'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 36.6], 'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.4, 40.2], 'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.6, 43.3], 'player': {'id': 3842, 'name': 'Shane Long'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.4, 39.1], 'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",34889bf2-4495-41f2-a344-87dd5462682f,Blocked,0.05316601,Normal,Open Play,,,,Southampton,25,00:26:47.537,Shot,True
,,,,,,,,,,,,,,,0.038501,,,,,,,,,,,,,,3ccbfa04-3c38-40af-b2cf-2c7c3838308b,1092,,,"[113.3, 45.5]",3754168,28,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Victor Chinedu Anichebe,40130.0,Center Forward,41,West Bromwich Albion,27,"['54325346-1bc7-4ec0-9a7a-e65434a4b8c6', 'c7dbbba3-a5a0-451b-8a98-25e41d12b43a']",50,,Head,"[114.0, 43.2]",,"[{'location': [99.0, 39.5], 'player': {'id': 3328, 'name': 'James Ward-Prowse'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.8, 35.0], 'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [98.9, 45.7], 'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [110.7, 47.1], 'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [102.1, 58.1], 'player': {'id': 2966, 'name': 'Stéphane Sessègnon'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [114.4, 44.0], 'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.4, 41.9], 'player': {'id': 3970, 'name': 'Fraser Forster'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.7, 48.2], 'player': {'id': 3651, 'name': 'Matt Targett'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [112.5, 42.7], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [106.3, 36.1], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",5accad3d-e2e2-4889-ba76-3b763b6c5b7a,Blocked,0.078432344,Normal,Open Play,,,,West Bromwich Albion,27,00:28:50.543,Shot,
,,,,,,,,,,,,,,,0.779071,,,,,,,,,,,,,,c933acf6-4445-4963-ac91-23659e879e5a,1109,,,"[93.5, 47.6]",3754168,29,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Shane Long,3842.0,Center Forward,42,West Bromwich Albion,27,['3d4837f9-8c1c-479a-93fb-4b09fc0163b1'],38,,Right Foot,"[118.3, 41.2, 0.2]",,"[{'location': [93.7, 60.3], 'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [85.5, 44.0], 'player': {'id': 3328, 'name': 'James Ward-Prowse'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.6, 37.1], 'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.3, 48.1], 'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.2, 55.7], 'player': {'id': 11012, 'name': 'Jonathan Grant Evans'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [92.4, 45.8], 'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [96.3, 58.9], 'player': {'id': 3514, 'name': 'James McClean'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [86.7, 32.2], 'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [79.8, 29.2], 'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [87.3, 22.9], 'player': {'id': 3651, 'name': 'Matt Targett'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [100.6, 19.0], 'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [118.2, 41.2], 'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,Saved,0.035987433,Normal,Open Play,,,,Southampton,25,00:29:38.933,Shot,
,,,,,,,,,,,,,,,0.422491,,,,,,,,,,,,,,27a9303b-8922-4022-969a-068dff7bd2f2,1270,,,"[108.1, 39.9]",3754168,34,,,,,,,,,,,,,,,,,,,,,,1,Other,James Ward-Prowse,3328.0,Right Center Midfield,52,Southampton,25,['43d48bd9-5c80-495f-9835-b3e41d1d8bc6'],8,,Right Foot,"[120.0, 36.7, 0.2]",,,,Goal,0.7835,Normal,Penalty,,,,Southampton,25,00:34:08.348,Shot,
,,,,,,,,,,,,,,,0.073819,,,,,,,,,,,,,,a68ec181-7b12-45ab-bafd-e76229223297,1338,,,"[112.1, 32.0]",3754168,35,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sadio Mané,3629.0,Left Wing,54,Southampton,25,"['46dbbd4b-9a59-4b84-a886-3e906a505864', '7a9f9a72-83f4-40e3-9f1e-2b60c8b21bcf', 'd1d47e4f-33e4-4026-8401-c9e4d7581a7d']",45,,Left Foot,"[112.7, 32.6]",True,"[{'location': [102.3, 8.1], 'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.6, 25.9], 'player': {'id': 3651, 'name': 'Matt Targett'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [97.6, 23.4], 'player': {'id': 3842, 'name': 'Shane Long'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.7, 48.4], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [117.8, 37.0], 'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 32.8], 'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 32.8], 'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.3, 25.8], 'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.1, 24.8], 'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.7, 33.7], 'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [111.0, 47.1], 'player': {'id': 3514, 'name': 'James McClean'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.3, 42.2], 'player': {'id': 11012, 'name': 'Jonathan Grant Evans'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",8891e519-56ad-4443-bb08-1a81c889e4bc,Blocked,0.049719237,Normal,Open Play,,,,Southampton,25,00:35:45.580,Shot,True
,,,,,,,,,,,,,,,0.462408,,,,,,,,,,,,,,ebaf98d2-6792-4354-81d4-42e677e26185,1343,,,"[112.7, 29.2]",3754168,35,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Matt Targett,3651.0,Left Wing Back,54,Southampton,25,"['a00d78ab-01c5-43e9-8f5c-3050c4731d16', 'e12c1608-2365-4595-b5a9-d72c09bba4aa']",47,,Left Foot,"[119.5, 41.7]",True,"[{'location': [119.5, 41.7], 'player': {'id': 3514, 'name': 'James McClean'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [114.6, 32.9], 'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [112.0, 40.6], 'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.7, 26.0], 'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.4, 35.5], 'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [117.3, 44.3], 'player': {'id': 11012, 'name': 'Jonathan Grant Evans'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.1, 30.1], 'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.0, 33.1], 'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.6, 28.4], 'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.7, 37.0], 'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.8, 11.0], 'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.7, 23.9], 'player': {'id': 3842, 'name': 'Shane Long'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.1, 43.1], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}]",,Blocked,0.12364924,Normal,Open Play,,,,Southampton,25,00:35:47.175,Shot,
,,,,,,,,,,,,,,,0.819653,,,,,,,,,,,,,,82b0e70c-98ec-4ab4-9e69-21943a9a2cbb,1819,,,"[112.4, 41.6]",3754168,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Victor Chinedu Anichebe,40130.0,Right Center Forward,74,West Bromwich Albion,27,"['4256269c-888a-48ef-b47f-7bf6dd85976d', 'e6f7e7cc-efd4-4459-aae8-ae29a4ef580e']",52,True,Head,"[120.0, 40.3, 4.4]",,"[{'location': [112.6, 34.3], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [111.6, 38.8], 'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.6, 43.5], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [106.7, 34.7], 'player': {'id': 3328, 'name': 'James Ward-Prowse'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.8, 71.8], 'player': {'id': 3651, 'name': 'Matt Targett'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [105.4, 51.8], 'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [113.6, 44.9], 'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [97.1, 23.4], 'player': {'id': 3514, 'name': 'James McClean'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [105.3, 48.7], 'player': {'id': 2966, 'name': 'Stéphane Sessègnon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [117.2, 79.3], 'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [115.4, 44.5], 'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 41.9], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.8, 40.6], 'player': {'id': 3970, 'name': 'Fraser Forster'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",09409a85-ef04-4d06-b9bd-24b6d3df83bd,Off T,0.11439753,Normal,Open Play,,,,West Bromwich Albion,27,00:00:52.376,Shot,True
