50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.387704,,,,,,,,,,,,,36864e32-e117-4b23-a7f7-7f434d10feb1,123,,"[95.5, 32.4]",3829462,3,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,David Ducourtioux,401509.0,Center Defensive Midfield,11,Gazélec Ajaccio,160,"['82e25a9c-0e1d-4d4c-aee9-62d6d5244975', 'cd580e5f-a145-4662-b1c0-e18394fed88d']",10,,Right Foot,"[109.0, 32.8]",True,"[{'location': [119.1, 39.7], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.8, 44.9], 'player': {'id': 3204, 'name': 'Almamy Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.7, 33.4], 'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.5, 46.6], 'player': {'id': 4464, 'name': 'Adama Traoré'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.4, 41.9], 'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.2, 43.7], 'player': {'id': 18243, 'name': 'Ivan Ricardo Neves Abreu Cavaleiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [113.2, 36.4], 'player': {'id': 11603, 'name': 'Mario Pašalić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.7, 41.6], 'player': {'id': 3246, 'name': 'Guido Marcelo Carrillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [111.9, 35.1], 'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.7, 37.2], 'player': {'id': 27558, 'name': 'Elderson Uwa Echiejile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.4, 33.9], 'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.9, 36.4], 'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.6, 47.6], 'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.2, 43.0], 'player': {'id': 401506, 'name': 'Grégory Pujol'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.3, 47.3], 'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [111.9, 34.6], 'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [101.9, 39.4], 'player': {'id': 7603, 'name': 'Jérémie Bréchet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [90.5, 43.2], 'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",,,Blocked,0.020754019,Volley,Open Play,,,,Gazélec Ajaccio,160,00:03:10.449,Shot,True
,,,,,,,,,,,,,,,,0.912961,,,,,,,,,,,,,5a6ec0ca-392e-47b7-8ad7-c0fdf819cb30,241,,"[98.6, 51.2]",3829462,8,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Adama Traoré,4464.0,Left Center Midfield,21,AS Monaco,129,['69d74445-b00b-4fa1-a819-2bea7b54e989'],22,,Left Foot,"[120.0, 44.9, 3.4]",,"[{'location': [109.9, 50.6], 'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.5, 49.5], 'player': {'id': 3207, 'name': 'Pablo Jean Antoine Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.2, 48.2], 'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.0, 47.3], 'player': {'id': 401506, 'name': 'Grégory Pujol'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [108.7, 46.1], 'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.7, 45.3], 'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.2, 45.1], 'player': {'id': 3204, 'name': 'Almamy Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [108.3, 44.9], 'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.8, 44.8], 'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [107.9, 38.6], 'player': {'id': 3246, 'name': 'Guido Marcelo Carrillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.5, 39.1], 'player': {'id': 18243, 'name': 'Ivan Ricardo Neves Abreu Cavaleiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.3, 31.7], 'player': {'id': 27558, 'name': 'Elderson Uwa Echiejile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [99.7, 43.8], 'player': {'id': 401505, 'name': 'Jacques Zoua Daogari'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [108.7, 40.0], 'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.0, 39.6], 'player': {'id': 7603, 'name': 'Jérémie Bréchet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.4, 34.6], 'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.3, 40.1], 'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.0, 49.6], 'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",,,Off T,0.06913254,Normal,Free Kick,,,,AS Monaco,129,00:08:22.029,Shot,
,,,,,,,,,,,,,,,,1.078568,,,,,,,,,,,,,a4d5f729-721a-43b1-9055-953380f03d86,255,,"[87.7, 53.6]",3829462,8,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Amos Youga,7389.0,Right Center Midfield,22,Gazélec Ajaccio,160,['942241d2-2bc0-4210-b0e5-50fc1e340bf0'],57,,Right Foot,"[120.0, 35.1, 1.6]",,"[{'location': [95.4, 50.2], 'player': {'id': 27558, 'name': 'Elderson Uwa Echiejile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.2, 42.7], 'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [87.1, 48.9], 'player': {'id': 4464, 'name': 'Adama Traoré'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [96.1, 35.4], 'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.5, 36.5], 'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [87.6, 10.9], 'player': {'id': 3207, 'name': 'Pablo Jean Antoine Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [118.9, 40.2], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [87.0, 51.5], 'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.8, 35.6], 'player': {'id': 401506, 'name': 'Grégory Pujol'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [92.2, 35.3], 'player': {'id': 401505, 'name': 'Jacques Zoua Daogari'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",e68e0582-3f85-48f6-a11e-5b6e143fedfc,,Off T,0.0067773634,Normal,Open Play,,,,Gazélec Ajaccio,160,00:08:57.343,Shot,
,,,,,,,,,,,,,,,,0.839152,,,,,,,,,,,,,d2d9cc01-420b-469c-80bb-4b56464c9c2c,274,,"[112.9, 45.2]",3829462,9,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Guido Marcelo Carrillo,3246.0,Center Forward,23,AS Monaco,129,['8e2672a0-fc05-4c80-b49a-7a58a3553632'],49,,Right Foot,"[117.4, 42.6, 0.0]",True,"[{'location': [117.3, 45.2], 'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 45.9], 'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.7, 47.8], 'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.4, 47.4], 'player': {'id': 7603, 'name': 'Jérémie Bréchet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.5, 45.8], 'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.8, 40.3], 'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.9, 31.7], 'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [110.7, 33.1], 'player': {'id': 11603, 'name': 'Mario Pašalić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [113.9, 49.0], 'player': {'id': 18243, 'name': 'Ivan Ricardo Neves Abreu Cavaleiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",7154220f-1088-4548-8061-ee9f8fe138ea,,Saved,0.28183258,Normal,Open Play,,,,AS Monaco,129,00:09:49.480,Shot,
,,,,,,,,,,,,,,,,0.530306,,,,,,,,,,,,,1e2865b3-d163-4543-b9fa-551f644a63d3,417,,"[104.4, 31.4]",3829462,14,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Damjan Đoković,31911.0,Left Center Midfield,38,Gazélec Ajaccio,160,['4fcf795b-dcb7-4d7c-be88-d4531c424e70'],13,,Left Foot,"[118.8, 38.2, 2.2]",True,"[{'location': [112.9, 48.4], 'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [115.9, 47.7], 'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [116.9, 45.8], 'player': {'id': 3246, 'name': 'Guido Marcelo Carrillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [118.7, 38.4], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.2, 45.7], 'player': {'id': 27558, 'name': 'Elderson Uwa Echiejile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.6, 53.8], 'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.2, 40.9], 'player': {'id': 4464, 'name': 'Adama Traoré'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.9, 32.4], 'player': {'id': 11603, 'name': 'Mario Pašalić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.4, 35.1], 'player': {'id': 3204, 'name': 'Almamy Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.0, 59.9], 'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.2, 39.8], 'player': {'id': 401506, 'name': 'Grégory Pujol'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",605ddb0f-f5f1-4056-ad01-8a0c048ab5c8,,Saved,0.06728313,Half Volley,Open Play,,,,Gazélec Ajaccio,160,00:14:13.710,Shot,
,,,,,,,,,,,,,,,,0.160025,,,,,,,,,,,,,c0050afe-59ce-40a4-a5db-74ba6e22ee76,439,,"[103.1, 36.6]",3829462,14,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Wing,40,AS Monaco,129,"['5cd29d90-3ead-47e5-8536-0a1d792ebdcb', '86bb3948-d944-403d-9c7d-f0d4dbd4b22c', 'f49ef265-9479-4683-a776-1c1795f203ca']",58,,Left Foot,"[105.8, 37.1]",,"[{'location': [114.9, 38.7], 'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.6, 44.7], 'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.8, 48.0], 'player': {'id': 7603, 'name': 'Jérémie Bréchet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.8, 38.8], 'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.2, 36.4], 'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.5, 37.5], 'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.8, 51.1], 'player': {'id': 18243, 'name': 'Ivan Ricardo Neves Abreu Cavaleiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.4, 42.6], 'player': {'id': 3246, 'name': 'Guido Marcelo Carrillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.4, 47.2], 'player': {'id': 11603, 'name': 'Mario Pašalić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",713dc683-5894-4bcf-ab21-fca66d2b832a,,Blocked,0.099165194,Normal,Open Play,,,,AS Monaco,129,00:14:58.681,Shot,True
,,,,,,,,,,,,,,,,0.504961,,,,,,,,,,,,,8dcdd180-6d4e-4e4b-abd2-d1f1ac71890d,450,,"[108.1, 40.1]",3829462,16,,,,,,,,,,,,,,,,,,,,,,,1,Other,Fábio Henrique Tavares,3247.0,Center Defensive Midfield,42,AS Monaco,129,['824f97ee-9571-4b3e-a85f-ab3fd4b2d829'],27,,Right Foot,"[120.0, 37.1, 0.0]",,,,,Goal,0.7835,Normal,Penalty,,,,AS Monaco,129,00:16:27.618,Shot,
,,,,,,,,,,,,,,,,0.55597,,,,,,,,,,,,,44495581-db47-4ee8-a9cb-ba924e971c40,463,,"[112.2, 26.7]",3829462,17,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Khalid Boutaïb,5726.0,Right Wing,43,Gazélec Ajaccio,160,['54c189cb-5f97-4610-8423-19e48b945529'],19,,Left Foot,"[118.6, 36.3, 2.3]",,"[{'location': [106.7, 41.1], 'player': {'id': 3204, 'name': 'Almamy Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.1, 29.0], 'player': {'id': 27558, 'name': 'Elderson Uwa Echiejile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 28.1], 'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.1, 34.3], 'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.7, 28.3], 'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.7, 36.2], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.5, 32.8], 'player': {'id': 401506, 'name': 'Grégory Pujol'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.0, 23.2], 'player': {'id': 401505, 'name': 'Jacques Zoua Daogari'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,Saved,0.028503958,Half Volley,Open Play,,,,Gazélec Ajaccio,160,00:17:19.413,Shot,
,,,,,,,,,,,,,,,,0.431408,,,,,,,,,,,,,a8d89ea7-567f-4916-af10-db8ad70b2a4c,495,,"[84.5, 39.3]",3829462,18,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Damjan Đoković,31911.0,Left Center Midfield,48,Gazélec Ajaccio,160,"['998cf032-e683-4bca-9066-5e6f48b5f7f4', 'da86a099-6875-4ea8-9166-c959e82a0cdf']",46,,Left Foot,"[97.9, 39.8]",,"[{'location': [97.9, 39.8], 'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.8, 39.6], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.3, 55.1], 'player': {'id': 4464, 'name': 'Adama Traoré'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.6, 44.6], 'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.5, 46.8], 'player': {'id': 27558, 'name': 'Elderson Uwa Echiejile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [89.6, 37.4], 'player': {'id': 3204, 'name': 'Almamy Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [83.1, 39.6], 'player': {'id': 11603, 'name': 'Mario Pašalić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [73.9, 68.6], 'player': {'id': 18243, 'name': 'Ivan Ricardo Neves Abreu Cavaleiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [99.4, 59.9], 'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [88.4, 71.3], 'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [98.1, 42.3], 'player': {'id': 401505, 'name': 'Jacques Zoua Daogari'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [94.7, 49.2], 'player': {'id': 401506, 'name': 'Grégory Pujol'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [83.7, 56.0], 'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",1a4f137a-5ae5-4393-9b7e-cefca0b25674,,Blocked,0.014443882,Normal,Open Play,,,,Gazélec Ajaccio,160,00:18:46.647,Shot,
,,,,,,,,,,,,,,,,2.6565,,,,,,,,,,,,,b0ed818a-38d4-4306-bb01-81b5f72db8f9,617,,"[115.3, 34.0]",3829462,24,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Khalid Boutaïb,5726.0,Right Wing,61,Gazélec Ajaccio,160,['386344d6-e63d-4aca-a0f4-ab1056bb95fb'],28,,Head,"[120.0, 44.5, 4.4]",,"[{'location': [117.1, 33.8], 'player': {'id': 3246, 'name': 'Guido Marcelo Carrillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [115.2, 32.7], 'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [116.2, 34.8], 'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.9, 40.0], 'player': {'id': 18243, 'name': 'Ivan Ricardo Neves Abreu Cavaleiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [119.4, 39.4], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.4, 39.6], 'player': {'id': 3204, 'name': 'Almamy Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 41.2], 'player': {'id': 27558, 'name': 'Elderson Uwa Echiejile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.3, 43.9], 'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.3, 35.8], 'player': {'id': 11603, 'name': 'Mario Pašalić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.5, 45.2], 'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [109.8, 43.1], 'player': {'id': 3207, 'name': 'Pablo Jean Antoine Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [111.3, 39.7], 'player': {'id': 401506, 'name': 'Grégory Pujol'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.4, 40.7], 'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.3, 35.6], 'player': {'id': 7603, 'name': 'Jérémie Bréchet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",a9ae6da2-facd-4170-ac3e-b9abb065eb15,,Off T,0.093184106,Normal,Open Play,,,,Gazélec Ajaccio,160,00:24:28.337,Shot,
