50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.115647,,,,,,,,,,,,0c894612-9537-4a2d-aac5-0291264cf7ed,103,,"[96.8, 41.9]",3879593,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,David López Silva,6754.0,Right Center Midfield,7,Napoli,227,"['6bc257f3-8fd5-44e9-b07a-366a231857c2', 'ffa197a3-a4b1-49c9-88d8-27085b14eebd']",52,,Right Foot,"[100.8, 41.3]",,"[{'location': [117.1, 40.6], 'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.7, 41.2], 'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.8, 38.5], 'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [103.0, 46.5], 'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.3, 36.4], 'player': {'id': 25954, 'name': 'Enzo Maresca'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.8, 24.4], 'player': {'id': 30769, 'name': 'Andrea Rispoli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [102.7, 34.4], 'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.9, 30.9], 'player': {'id': 7461, 'name': 'Luca Rigoni'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.4, 30.1], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [100.6, 21.2], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [120.0, 20.1], 'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [111.5, 45.1], 'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.9, 52.9], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.5, 40.8], 'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}]",,Blocked,,0.044578888,Normal,Open Play,,,,Napoli,227,00:01:52.946,Shot,
,,,,,,,,,,,,,,,,,,1.152916,,,,,,,,,,,,65631787-c0ed-4a4e-99cf-2b71d020b2bb,157,,"[98.7, 34.3]",3879593,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luca Rigoni,7461.0,Right Center Midfield,8,Palermo,2256,"['35949b46-3223-44d8-9e76-1a521680ac1d', '80d8646a-bbb3-48a6-ac0b-76caf22c17c4', '8625c7cd-b784-4d52-9eb9-cf462b867615']",45,,Right Foot,"[120.0, 46.2, 4.2]",,"[{'location': [100.5, 27.4], 'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [100.2, 22.3], 'player': {'id': 38389, 'name': 'Alberto Gilardino'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.2, 14.4], 'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [87.7, 16.0], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [92.6, 20.7], 'player': {'id': 6754, 'name': 'David López Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [98.3, 33.8], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.7, 34.3], 'player': {'id': 10736, 'name': 'Vlad Iulian Chiricheș'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.8, 41.9], 'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.6, 31.1], 'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.6, 30.9], 'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.1, 28.0], 'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.6, 39.5], 'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",572ed198-83d1-497a-9e91-aab9fdc829a0,Off T,,0.038529426,Normal,Open Play,,,,Palermo,2256,00:02:45.503,Shot,True
,,,,,,,,,,,,,,,,,,0.673489,,,,,,,,,,,,0ffe94f8-7ddd-47fb-bc55-78f2427290e7,227,,"[100.2, 33.2]",3879593,3,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marek Hamšík,7025.0,Left Center Midfield,12,Napoli,227,['7c79409c-b83a-49cc-bc10-207355125c4b'],58,,Left Foot,"[120.0, 33.2, 1.6]",,"[{'location': [105.5, 43.7], 'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.2, 33.8], 'player': {'id': 30769, 'name': 'Andrea Rispoli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [107.7, 40.7], 'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [105.9, 42.1], 'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 40.7], 'player': {'id': 25954, 'name': 'Enzo Maresca'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 54.0], 'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [95.1, 50.0], 'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.5, 39.0], 'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.2, 53.0], 'player': {'id': 6754, 'name': 'David López Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.7, 48.7], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.9, 57.3], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.4, 44.8], 'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",a21371b0-2235-4277-b9ee-43675a38a8ed,Off T,,0.05658529,Normal,Open Play,,,,Napoli,227,00:03:58.892,Shot,
,,,,,,,,,,,,,,,,,,0.736957,,,,,,,,,,,,bc958b2d-ab22-45e6-85a0-576e18c244fa,359,,"[106.6, 41.1]",3879593,6,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gonzalo Gerardo Higuaín,5497.0,Center Forward,16,Napoli,227,"['73b81e4f-b45c-4773-8b7f-c9ae85bb9741', 'd3cd36c9-eb06-4c93-88aa-fdde0988bf2d']",46,True,Head,"[118.0, 42.7, 0.6]",,"[{'location': [102.3, 24.2], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.0, 40.5], 'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.1, 48.9], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.7, 43.9], 'player': {'id': 6754, 'name': 'David López Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.6, 43.3], 'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [106.9, 40.4], 'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.5, 55.2], 'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.5, 47.7], 'player': {'id': 25954, 'name': 'Enzo Maresca'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.7, 47.3], 'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.9, 34.4], 'player': {'id': 30769, 'name': 'Andrea Rispoli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [96.3, 60.6], 'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}]",615aedb8-a930-416a-a786-f85ef4cef663,Saved,,0.050034303,Normal,Open Play,,,,Napoli,227,00:06:46.594,Shot,True
,,,,,,,,,,,,,,,,,,0.901234,,,,,,,,,,,,d77ae666-5df6-45b6-8bc7-b10714f41c4e,369,,"[103.4, 31.4]",3879593,7,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Marek Hamšík,7025.0,Left Center Midfield,17,Napoli,227,"['27e2aa06-9293-471d-9577-9963a0df896c', 'c536d32a-5a6a-4ba6-bb2a-a73d15d3ca9b']",18,,Right Foot,"[120.0, 45.2, 0.2]",True,"[{'location': [114.5, 39.6], 'player': {'id': 10736, 'name': 'Vlad Iulian Chiricheș'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [110.6, 37.9], 'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.2, 39.5], 'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.0, 45.6], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [115.4, 54.1], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [115.2, 40.2], 'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [111.0, 46.7], 'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 45.6], 'player': {'id': 30769, 'name': 'Andrea Rispoli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [113.4, 56.3], 'player': {'id': 25954, 'name': 'Enzo Maresca'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.4, 48.5], 'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [110.8, 39.2], 'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 54.0], 'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.2, 45.4], 'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [104.9, 31.4], 'player': {'id': 7461, 'name': 'Luca Rigoni'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.0, 44.0], 'player': {'id': 38389, 'name': 'Alberto Gilardino'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [118.6, 39.8], 'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.1, 61.8], 'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [95.1, 53.3], 'player': {'id': 6754, 'name': 'David López Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",b7d8a02f-6a26-4ea5-abcf-3c422b106f48,Off T,,0.07906382,Normal,Open Play,,,,Napoli,227,00:07:18.707,Shot,True
,,,,,,,,,,,,,,,,,,0.963775,,,,,,,,,,,,92ca6858-079c-4ae1-b487-6a438b0abaf1,441,,"[91.7, 33.2]",3879593,9,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Franco Damián Vázquez,6719.0,Center Attacking Midfield,21,Napoli,227,"['6221b67f-3108-4eeb-9afc-3774845bcbe8', '9b6f73c2-b8f2-4414-ad99-47d3925601ff']",0,,Left Foot,"[120.0, 36.9, 5.6]",,"[{'location': [116.6, 38.4], 'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.9, 50.3], 'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.4, 34.3], 'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.5, 42.9], 'player': {'id': 10736, 'name': 'Vlad Iulian Chiricheș'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.7, 30.9], 'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [92.3, 30.2], 'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [97.3, 46.3], 'player': {'id': 38389, 'name': 'Alberto Gilardino'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,Off T,,0.021404311,Normal,Open Play,,,,Palermo,2256,00:09:00.568,Shot,True
,,,,,,,,,,,,,,,,,,1.126403,,,,,,,,,,,,70beb359-b6d0-49ce-ab0d-39a5f7cdbee2,530,,"[99.6, 24.8]",3879593,11,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Lorenzo Insigne,7037.0,Left Wing,25,Palermo,2256,['3dab4070-2390-4a15-a72f-be3004647729'],9,,Right Foot,"[120.0, 49.8, 6.8]",,"[{'location': [106.2, 27.1], 'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.6, 19.0], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [95.3, 33.3], 'player': {'id': 6754, 'name': 'David López Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.2, 47.4], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [94.7, 18.6], 'player': {'id': 30769, 'name': 'Andrea Rispoli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [115.3, 37.4], 'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.3, 25.1], 'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.3, 28.6], 'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [102.3, 31.2], 'player': {'id': 25954, 'name': 'Enzo Maresca'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.4, 42.2], 'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,Off T,,0.029425528,Normal,Open Play,,,,Napoli,227,00:11:09.561,Shot,
,,,,,,,,,,,,,,,,,,0.792526,,,,,,,,,,,,e3a37e79-fc0a-4c8c-ae0a-5972dbf63b1b,628,,"[101.3, 22.4]",3879593,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lorenzo Insigne,7037.0,Left Wing,30,Napoli,227,['a16fe2c9-6d05-4fdb-b709-332ce2376d8b'],0,,Right Foot,"[120.0, 32.1, 1.3]",,"[{'location': [117.1, 37.2], 'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.5, 20.7], 'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.9, 45.0], 'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [101.7, 37.0], 'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.4, 27.6], 'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [98.4, 22.4], 'player': {'id': 7461, 'name': 'Luca Rigoni'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.0, 17.4], 'player': {'id': 30769, 'name': 'Andrea Rispoli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [101.0, 24.4], 'player': {'id': 25954, 'name': 'Enzo Maresca'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [91.5, 44.0], 'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [89.7, 22.6], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [98.7, 33.7], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.2, 50.0], 'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",59ba63dc-0cff-4105-8e33-f9cae38500c4,Off T,,0.025086796,Half Volley,Open Play,,,,Napoli,227,00:13:00.552,Shot,
,,,,,,,,,,,,,,,,,,0.598916,,,,,,,,,,,,2f8de44c-7f74-4486-ba4c-35ecc9160215,782,,"[101.8, 30.1]",3879593,15,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gonzalo Gerardo Higuaín,5497.0,Center Forward,36,Napoli,227,['fd6197ec-84c9-44ab-9019-6096e581f36f'],49,,Right Foot,"[116.3, 37.9, 0.2]",,"[{'location': [109.0, 25.3], 'player': {'id': 30769, 'name': 'Andrea Rispoli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [104.9, 30.8], 'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [107.2, 24.0], 'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.4, 28.8], 'player': {'id': 25954, 'name': 'Enzo Maresca'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.9, 22.6], 'player': {'id': 7461, 'name': 'Luca Rigoni'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.9, 29.3], 'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [106.1, 44.5], 'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [104.4, 37.1], 'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.1, 40.1], 'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.9, 38.3], 'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.4, 23.7], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.6, 10.3], 'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [96.9, 33.8], 'player': {'id': 6754, 'name': 'David López Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.7, 24.8], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.4, 46.7], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",923d07a7-f8be-42a1-95fb-04ac50d8a073,Saved,,0.06677994,Normal,Open Play,,,,Napoli,227,00:15:49.511,Shot,
,,,,,,,,,,,,,,,,,,0.119284,,,,,,,,,,,,1b49eb26-2a64-48db-8f26-67909ef83e1c,987,,"[104.9, 30.6]",3879593,20,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gonzalo Gerardo Higuaín,5497.0,Center Forward,49,Napoli,227,"['8f9a5191-0708-446c-b763-72639eaa207c', '9ff6f636-cb09-4a9c-b45e-09ade0249778']",0,,Left Foot,"[107.2, 32.1]",,"[{'location': [115.6, 37.0], 'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 41.3], 'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.3, 50.1], 'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [107.7, 32.5], 'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [103.7, 31.5], 'player': {'id': 30769, 'name': 'Andrea Rispoli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [99.9, 39.0], 'player': {'id': 25954, 'name': 'Enzo Maresca'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 34.6], 'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.7, 55.8], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",21f38ffd-e7a4-4e88-82b8-0e689dc861b4,Blocked,,0.07301881,Normal,Open Play,,,,Napoli,227,00:20:00.068,Shot,
