50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.596,,,,,,,,,,8f264d3c-c542-4765-8a94-d26062bceca0,278,,"[112.0, 33.0]",7473,6,,,,,,,,,,,,,,,,,,,1,From Throw In,Christen Annemarie Press,6817.0,Left Wing,21,Utah Royals,767,['2aba45a8-c0db-4e45-96f1-fd78d850e6bf'],31,Left Foot,"[118.0, 42.6, 0.5]",True,"[{'location': [112.0, 52.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 70.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.0, 41.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.0, 41.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.0, 36.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 66.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.0, 63.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.0, 48.0], 'player': {'id': 5097, 'name': 'Carli Anne Hollins'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [97.0, 55.0], 'player': {'id': 5027, 'name': 'Erika Tymrak'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.0, 58.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.0, 48.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",a8c71e6b-166e-423f-8a6a-a76fc0c2ae1b,,Goal,0.13848665,Normal,Open Play,,,,Utah Royals,767,00:06:31.353,Shot,
,,,,,,,,,,,,0.507,,,,,,,,,,ab1ff82c-8e72-4acf-b447-ba9872c59781,604,,"[114.0, 51.0]",7473,13,,,,,,,,,,,,,,,,,,,1,From Throw In,Katie Stengel,4972.0,Center Forward,40,NJ/NY Gotham FC,763,['ada6dc96-c7cf-42a2-9d0f-79925ddc644c'],58,Right Foot,"[119.0, 44.2, 1.1]",,"[{'location': [92.0, 65.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.0, 40.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 48.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 53.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.0, 64.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 44.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.0, 43.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 33.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.0, 53.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [98.0, 60.0], 'player': {'id': 5027, 'name': 'Erika Tymrak'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,True,Post,0.1406357,Normal,Open Play,,,,Utah Royals,767,00:13:58.362,Shot,
,,,,,,,,,,,,1.628,,,,,,,,,,17d0154a-c792-451a-8ebc-dcc65147fd13,1042,,"[109.0, 46.0]",7473,24,,,,,,,,,,,,,,,,,,,1,From Throw In,Katie Stengel,4972.0,Center Forward,66,Utah Royals,767,['15f95f47-a0b3-49cc-b35a-be5c1ea7184b'],2,Right Foot,"[119.0, 36.8, 1.3]",,"[{'location': [91.0, 31.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [90.0, 44.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [95.0, 56.0], 'player': {'id': 5027, 'name': 'Erika Tymrak'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.0, 26.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.0, 31.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 41.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 52.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 45.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",c0ea63fb-75fd-41aa-97e7-064a79423716,,Goal,0.3721361,Lob,Open Play,,,,Utah Royals,767,00:24:02.104,Shot,
,,,,,,,,,,,,0.863,,,,,,,,,,b366d93c-55ef-4c78-b69c-e985d31cb0fe,1167,,"[109.0, 37.0]",7473,28,,,,,,,,,,,,,,,,,,,1,From Free Kick,Katie Stengel,4972.0,Center Forward,70,Utah Royals,767,['a9795a0c-ae42-4bad-8be6-274df31d9ea0'],0,Head,"[118.0, 37.0, 2.2]",,"[{'location': [107.0, 36.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 35.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [112.0, 43.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.0, 34.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.0, 43.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [104.0, 34.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.0, 41.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 44.0], 'player': {'id': 5097, 'name': 'Carli Anne Hollins'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [118.0, 39.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 47.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 52.0], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [85.0, 60.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [96.0, 57.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 59.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",3e25db3e-29b7-4c76-9889-21a65341794b,,Goal,0.15564875,Normal,Open Play,,,,Utah Royals,767,00:28:00.108,Shot,
,,,,,,,,,,,,2.123,,,,,,,,,,9219eeb0-661d-443a-b10e-bdc53e95d32d,1450,,"[86.0, 36.0]",7473,35,,,,,,,,,,,,,,,,,,,1,From Free Kick,Katie Bowen,5028.0,Right Back,85,Utah Royals,767,"['18b99565-2cd4-4b58-b28b-d13f3e2e95d1', '42d23e74-6845-44bc-b2d7-1a7c2cbfd816']",7,Right Foot,"[117.0, 43.6, 1.6]",,"[{'location': [102.0, 30.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [103.0, 40.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.0, 44.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [86.0, 21.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [99.0, 32.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.0, 47.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 42.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [96.0, 43.0], 'player': {'id': 5097, 'name': 'Carli Anne Hollins'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [105.0, 39.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 34.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.0, 41.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.0, 39.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [82.0, 58.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [91.0, 44.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [90.0, 37.0], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [100.0, 56.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",f16e64c6-dade-4797-b636-d3ad7d8b32c2,,Saved,0.017947694,Normal,Open Play,,,,Utah Royals,767,00:35:07.482,Shot,True
,,,,,,,,,,,,0.815,,,,,,,,,,85ff7762-d3fb-406a-abad-b9c74a6f9d82,1497,,"[110.0, 50.0]",7473,36,,,,,,,,,,,,,,,,,,,1,Regular Play,Erika Tymrak,5027.0,Right Wing,88,Utah Royals,767,['d3899941-8ee0-4c29-b8fe-03424d160df8'],8,Right Foot,"[119.0, 43.6, 4.1]",,"[{'location': [92.0, 45.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [109.0, 38.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.0, 35.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 42.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [91.0, 39.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [89.0, 51.0], 'player': {'id': 5097, 'name': 'Carli Anne Hollins'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [89.0, 56.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [98.0, 59.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.0, 48.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 49.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 43.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",45bf05bd-0bbb-411b-8448-686ee5800d8a,,Off T,0.12965037,Normal,Open Play,,,,Utah Royals,767,00:36:08.937,Shot,
,,,,,,,,,,,,1.142,,,,,,,,,,62a61631-480b-4362-b09b-ca081884a7dd,2324,,"[100.0, 32.0]",7473,55,,,,,,,,,,,,,,,,,,,2,Regular Play,Christen Annemarie Press,6817.0,Left Wing,136,Utah Royals,767,['2f8df139-6cb1-486e-8b71-5e9b26220eb8'],27,Left Foot,"[120.0, 39.3, 4.7]",,"[{'location': [89.0, 52.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [85.0, 39.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.0, 36.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.0, 57.0], 'player': {'id': 5027, 'name': 'Erika Tymrak'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.0, 46.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 33.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.0, 34.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 41.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [88.0, 43.0], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [93.0, 56.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [91.0, 34.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}]",1af2cfa2-2a3c-44c0-ac70-f0e1d865d69d,,Off T,0.0614531,Normal,Open Play,,,,Utah Royals,767,00:10:27.781,Shot,
,,,,,,,,,,,,1.383,,,,,,,,,,eaa50321-733d-45b1-8d47-62e1dd86856f,2457,,"[96.0, 26.0]",7473,59,,,,,,,,,,,,,,,,,,,2,Regular Play,Janine Elizabeth Beckie,4992.0,Right Center Midfield,145,NJ/NY Gotham FC,763,['608fa883-396d-456a-8b3a-ddd975c292f3'],13,Right Foot,"[119.0, 42.0, 3.8]",,"[{'location': [109.0, 51.0], 'player': {'id': 10384, 'name': 'Elise Thorsnes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 36.0], 'player': {'id': 5031, 'name': 'Abby Smith'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.0, 37.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 41.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 44.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [107.0, 37.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.0, 38.0], 'player': {'id': 5101, 'name': 'Samantha Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 33.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [91.0, 61.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.0, 24.0], 'player': {'id': 5030, 'name': 'Rebecca Elizabeth Sauerbrunn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.0, 24.0], 'player': {'id': 5027, 'name': 'Erika Tymrak'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [82.0, 35.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [105.0, 51.0], 'player': {'id': 5097, 'name': 'Carli Anne Hollins'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [95.0, 50.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [105.0, 47.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [103.0, 16.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [83.0, 30.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}]",,,Off T,0.02359681,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:14:13.148,Shot,
,,,,,,,,,,,,0.409,,,,,,,,,,14a7c556-0423-48a3-b7a7-f12f23a0db20,2535,,"[107.0, 42.0]",7473,61,,,,,,,,,,,,,,,,,,,2,From Counter,Shea Groom,4986.0,Center Forward,151,NJ/NY Gotham FC,763,['052b87cf-7733-454c-970c-626e9ec55b14'],48,Left Foot,"[115.0, 40.3, 0.5]",,"[{'location': [105.0, 46.0], 'player': {'id': 10384, 'name': 'Elise Thorsnes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 31.0], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [104.0, 24.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [99.0, 48.0], 'player': {'id': 5097, 'name': 'Carli Anne Hollins'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [97.0, 55.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [116.0, 42.0], 'player': {'id': 5031, 'name': 'Abby Smith'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 25.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.0, 28.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 40.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [109.0, 40.0], 'player': {'id': 5030, 'name': 'Rebecca Elizabeth Sauerbrunn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.0, 43.0], 'player': {'id': 5101, 'name': 'Samantha Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",d57217e7-7530-4651-9b64-20c1e81c5743,,Saved,0.14891309,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:16:48.877,Shot,
,,,,,,,,,,,,1.128,,,,,,,,,,2013432c-4631-43bb-ac57-dbe8b9861a2b,2539,,"[101.0, 43.0]",7473,61,,,,,,,,,,,,,,,,,,,2,Regular Play,Carli Anne Hollins,5097.0,Left Center Midfield,151,NJ/NY Gotham FC,763,['19bd96d6-79c2-417a-a442-98c290df3f3e'],51,Left Foot,"[119.0, 36.6, 2.0]",True,"[{'location': [111.0, 49.0], 'player': {'id': 10384, 'name': 'Elise Thorsnes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 35.0], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [110.0, 30.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [100.0, 55.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [113.0, 41.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 37.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [111.0, 39.0], 'player': {'id': 5030, 'name': 'Rebecca Elizabeth Sauerbrunn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 33.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.0, 28.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [92.0, 40.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 43.0], 'player': {'id': 5101, 'name': 'Samantha Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.0, 39.0], 'player': {'id': 5031, 'name': 'Abby Smith'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Goal,0.07145249,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:16:51.362,Shot,
