50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.1661,,,,,,,,,,ca6231ee-4d33-4b3c-b103-07e64cc05bd2,72,,,"[103.0, 19.0]",19741,0,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Remi Allen,18149.0,Left Wing,2,Reading WFC,974,"['45499b4f-f376-4b77-bf3d-a812a907e507', '7be06b2b-3000-4a20-9e2d-48fc7a52fe8a']",52,,Right Foot,"[104.0, 22.0]",,"[{'location': [118.0, 39.0], 'player': {'id': 15615, 'name': 'Pauline Peyraud Magnin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 14.0], 'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 3.0], 'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [91.0, 24.0], 'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [94.0, 31.0], 'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.0, 38.0], 'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [109.0, 35.0], 'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.0, 35.0], 'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [101.0, 31.0], 'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.0, 24.0], 'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [107.0, 19.0], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.0, 20.0], 'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",c5c52b0e-8dd3-4f37-baef-62e77369514b,,,Blocked,0.009224798,Normal,Open Play,,,,Reading WFC,974,00:00:52.747,Shot,
,,,,,,,,,,,,1.455,,,,,,,,,,53f0330c-331b-4cd7-9812-e7176ee64efa,114,,,"[113.0, 38.0]",19741,2,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Vivianne Miedema,15623.0,Left Center Forward,4,Arsenal WFC,968,"['8ebd92e2-900c-41f1-a6b3-31ce10368111', 'c18215ec-f2fe-4bf7-9c94-3886645ef871']",13,True,Head,"[120.0, 43.4, 2.1]",,"[{'location': [117.0, 46.0], 'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 40.0], 'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [114.0, 50.0], 'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [109.0, 53.0], 'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 46.0], 'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [118.0, 63.0], 'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 48.0], 'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [105.0, 56.0], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [98.0, 36.0], 'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [107.0, 30.0], 'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.0, 37.0], 'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 40.0], 'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 43.0], 'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [120.0, 69.0], 'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",877253b9-d38d-43a5-8309-cf9809c7df4a,,,Goal,0.14567278,Normal,Open Play,,,,Arsenal WFC,968,00:02:13.199,Shot,True
,,,,,,,,,,,,0.2681,,,,,,,,,,bc53f289-abc7-4a40-ad87-40a3603770af,161,,,"[103.0, 36.0]",19741,3,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vivianne Miedema,15623.0,Left Center Forward,7,Arsenal WFC,968,['7963d922-f95b-43b0-a092-3c3e2392ca6b'],36,,Right Foot,"[107.0, 43.0, 0.7]",,"[{'location': [84.0, 17.0], 'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [94.0, 33.0], 'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [87.0, 50.0], 'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [83.0, 32.0], 'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [85.0, 37.0], 'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [91.0, 58.0], 'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.0, 25.0], 'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.0, 38.0], 'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 40.0], 'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 36.0], 'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",098300db-a847-4a9a-b1a6-ed2f305cc025,,,Saved,0.3278349,Normal,Open Play,,,,Arsenal WFC,968,00:03:36.151,Shot,
,,,,,,,,,,,,0.257,,,,,,,,,,c2f75ac1-04a4-4080-b56b-b6403e9c66a7,235,,,"[95.0, 35.0]",19741,5,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordan Nobbs,10192.0,Right Center Forward,9,Arsenal WFC,968,"['4c5779a1-eddc-4c6d-86a8-3b2fd891e547', '9e926c2f-7e09-45b6-9648-42d27cbc9ba9']",29,,Right Foot,"[99.0, 36.0]",,"[{'location': [101.0, 32.0], 'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 42.0], 'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 48.0], 'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.0, 43.0], 'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [99.0, 35.0], 'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [79.0, 20.0], 'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [87.0, 33.0], 'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [95.0, 21.0], 'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 27.0], 'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [102.0, 46.0], 'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [86.0, 47.0], 'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",6e83a568-0fae-4232-9411-783c89f4a13c,,,Blocked,0.04386532,Normal,Open Play,,,,Arsenal WFC,968,00:05:29.540,Shot,
,,,,,,,,,,,,1.0363,,,,,,,,,,6d9ccd78-3105-4625-802a-825e85d4ba6e,286,,,"[113.0, 50.0]",19741,6,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jordan Nobbs,10192.0,Right Center Forward,11,Reading WFC,974,['d5a65407-84e7-475d-847c-bf9e687444f8'],6,,Right Foot,"[120.0, 36.2, 0.9]",,"[{'location': [106.0, 57.0], 'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [94.0, 33.0], 'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.0, 32.0], 'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 40.0], 'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 46.0], 'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 47.0], 'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 47.0], 'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 52.0], 'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 47.0], 'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [87.0, 23.0], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [99.0, 24.0], 'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [113.0, 39.0], 'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",,,,Goal,0.18023665,Normal,Open Play,,,,Arsenal WFC,968,00:06:06.445,Shot,
,,,,,,,,,,,,1.2491,,,,,,,,,,9d6756ec-525f-4e0e-8094-05cf1f346469,374,,,"[112.0, 27.0]",19741,9,,,,,,,,,,,,,,,,,,,,1,From Counter,Vivianne Miedema,15623.0,Left Center Forward,17,Arsenal WFC,968,['a6ba3d91-b7fd-4cae-841c-82056ca464e2'],40,,Left Foot,"[120.0, 48.1, 0.1]",,"[{'location': [98.0, 39.0], 'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 48.0], 'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 39.0], 'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 29.0], 'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 28.0], 'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 38.0], 'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.0, 29.0], 'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [104.0, 36.0], 'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",23b8c498-2ec2-4281-ae6e-a859137f4a0e,True,,Off T,0.08580388,Normal,Open Play,,,,Arsenal WFC,968,00:09:40.924,Shot,
,,,,,,,,,,,,2.1371,,,,,,,,,,38d0367a-fcbc-427a-9cd5-bb3b3f047e4d,431,,,"[117.0, 65.0]",19741,11,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bethany Mead,15619.0,Left Midfield,19,Arsenal WFC,968,['9a2bfa4d-5e0e-4b79-98c5-30b231436236'],31,,Right Foot,"[120.0, 30.5, 0.1]",,"[{'location': [104.0, 42.0], 'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [100.0, 59.0], 'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 61.0], 'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 56.0], 'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 50.0], 'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [114.0, 36.0], 'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 42.0], 'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.0, 44.0], 'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [97.0, 59.0], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.0, 61.0], 'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [115.0, 64.0], 'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 40.0], 'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [113.0, 33.0], 'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [120.0, 44.0], 'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",cc3ccdd0-657b-4f64-a086-904dc2a88eea,True,,Off T,0.0062839086,Normal,Open Play,,,,Arsenal WFC,968,00:11:31.103,Shot,
,,,,,,,,,,,,0.3942,,,,,,,,,,5be6a70b-e230-43f3-8750-175ffc6ed9dd,709,,,"[109.0, 31.0]",19741,18,,,,,,,,,,,,,,,,,,,,1,From Throw In,Lisa Evans,10179.0,Right Midfield,32,Arsenal WFC,968,"['5df85de3-75e6-4da3-93b8-9a4a8920dd49', 'ca9e630b-eea4-43bf-856a-ff560474fc7d']",34,,Right Foot,"[106.0, 40.0]",,"[{'location': [101.0, 42.0], 'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 33.0], 'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 39.0], 'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 45.0], 'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 56.0], 'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.0, 29.0], 'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.0, 26.0], 'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.0, 26.0], 'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [100.0, 33.0], 'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [114.0, 50.0], 'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,,,Wayward,0.1788364,Normal,Open Play,,,,Arsenal WFC,968,00:18:34.262,Shot,True
,,,,,,,,,,,,2.252161,,,,,,,,,,34816cb8-2cb0-41e3-9c66-29b3ad8d6a64,882,,,"[93.0, 25.0]",19741,22,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Remi Allen,18149.0,Left Wing,41,Reading WFC,974,['5385de4a-dcb5-4c4a-8ef7-35e2967d21c3'],4,,Right Foot,"[119.0, 46.9, 0.2]",,"[{'location': [94.0, 22.0], 'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 15615, 'name': 'Pauline Peyraud Magnin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [82.0, 25.0], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [79.0, 36.0], 'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [83.0, 31.0], 'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [81.0, 46.0], 'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [94.0, 39.0], 'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.0, 30.0], 'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [91.0, 25.0], 'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [83.0, 42.0], 'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [84.0, 28.0], 'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [93.0, 34.0], 'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [72.0, 39.0], 'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [76.0, 16.0], 'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",,,,Off T,0.02263235,Normal,Open Play,,,,Reading WFC,974,00:22:04.938,Shot,
,,,,,,,,,,,,0.6491,,,,,,,,,,f9333452-e234-44e8-a287-00c64f94b187,1089,,,"[118.0, 42.0]",19741,29,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordan Nobbs,10192.0,Right Center Forward,55,Arsenal WFC,968,['2cfcf200-a17e-4dff-9841-f023dcff97b2'],37,,Head,"[120.0, 41.9, 3.7]",,"[{'location': [26.0, 49.0], 'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [10.0, 48.0], 'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [6.0, 35.0], 'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [5.0, 42.0], 'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [12.0, 51.0], 'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [5.0, 51.0], 'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [2.0, 50.0], 'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [3.0, 45.0], 'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [2.0, 44.0], 'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [13.0, 46.0], 'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [17.0, 49.0], 'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [9.0, 32.0], 'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [3.0, 56.0], 'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",7e7d49a1-6cac-4b8d-87f8-0957542347f6,True,True,Off T,0.9462508,Normal,Open Play,,,,Arsenal WFC,968,00:29:37.911,Shot,
