bad_behaviour_card,ball_receipt_outcome,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.1268,,,,,,,,,,,,aae79898-8e41-443a-9414-5e120cb34ac2,36,,"[102.4, 29.6]",266989,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luciano Vietto,6744.0,Center Forward,4,Sevilla,213,['95dddf64-96de-4f23-b45c-df9e4c5d3d9b'],34,,Left Foot,"[115.0, 39.8, 0.2]",,"[{'location': [103.1, 44.4], 'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [98.1, 34.8], 'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [97.3, 27.3], 'player': {'id': 20253, 'name': 'Samir Nasri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.1, 15.6], 'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [116.6, 39.1], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.6, 34.7], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.4, 30.4], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.6, 41.5], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.4, 32.4], 'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.9, 30.9], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.9, 28.3], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",b716ef6c-8f1a-42af-a7a1-83b8c0b8b36d,,Saved,0.089423865,Normal,Open Play,,,,Sevilla,213,00:00:34.641,Shot,
,,,,,,,,,,,,,,,,,0.1363,,,,,,,,,,,,e06dd9ca-6b6f-4240-83f7-e7367b9ec20c,49,,"[92.2, 53.6]",266989,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Franco Damián Vázquez,6719.0,Right Center Midfield,5,Barcelona,217,"['4453239e-7633-4af3-91b1-a69aeec8f095', 'd17f0655-12f3-41bf-8221-f7f0fe838b2b']",49,,Left Foot,"[98.6, 50.8]",,"[{'location': [95.0, 45.7], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.7, 51.2], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.4, 49.5], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [101.4, 42.8], 'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.1, 61.7], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [89.3, 61.2], 'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.8, 33.9], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.9, 42.0], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.2, 30.9], 'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [95.2, 47.3], 'player': {'id': 20253, 'name': 'Samir Nasri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [102.8, 53.3], 'player': {'id': 6744, 'name': 'Luciano Vietto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.4, 69.4], 'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [87.2, 43.7], 'player': {'id': 6718, 'name': 'Sergio Escudero Palomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",,,Blocked,0.019778265,Normal,Open Play,,,,Sevilla,213,00:00:49.023,Shot,
,,,,,,,,,,,,,,,,,1.2384,,,,,,,,,,,,5cf4811b-d8bb-4261-b8a1-8ddb6d6eb4c7,56,,"[107.6, 27.5]",266989,1,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Franco Damián Vázquez,6719.0,Right Center Midfield,6,Sevilla,213,['2a568151-ac47-461e-9d4a-8d758451504d'],21,,Left Foot,"[107.0, 47.0]",True,"[{'location': [114.4, 36.9], 'player': {'id': 6825, 'name': 'Daniel Filipe Martins Carriço'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [109.0, 37.7], 'player': {'id': 6744, 'name': 'Luciano Vietto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.3, 26.1], 'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [107.0, 48.5], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [112.7, 42.6], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.5, 38.8], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.2, 37.4], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.8, 35.1], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.3, 38.4], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.8, 33.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.8, 30.8], 'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,,Wayward,0.054566093,Volley,Open Play,,,,Sevilla,213,00:01:21.190,Shot,
,,,,,,,,,,,,,,,,,0.6284,,,,,,,,,,,,3aa061d1-dcc1-4bdb-b44e-89d0119e4cac,76,,"[108.8, 28.9]",266989,1,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,7,Barcelona,217,['20a2949c-3579-44e4-bc2b-56a17c29dfce'],38,,Right Foot,"[117.9, 38.8, 0.3]",True,"[{'location': [118.4, 37.8], 'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.8, 38.9], 'player': {'id': 21210, 'name': 'Mariano Ferreira Filho'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.1, 46.4], 'player': {'id': 6718, 'name': 'Sergio Escudero Palomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.4, 43.8], 'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.3, 32.3], 'player': {'id': 6825, 'name': 'Daniel Filipe Martins Carriço'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.5, 34.5], 'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.9, 29.7], 'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [98.8, 36.3], 'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [97.3, 30.7], 'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [97.6, 50.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [104.1, 49.3], 'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.2, 39.2], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",6c31ef09-8711-4b74-a554-499af34ac042,,Saved,0.13794506,Normal,Open Play,,,,Barcelona,217,00:01:38.214,Shot,
,,,,,,,,,,,,,,,,,0.7678,,,,,,,,,,,,83b33e64-40ba-43f0-8684-b18c5bacf27c,178,,"[104.5, 27.0]",266989,4,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sergio Escudero Palomo,6718.0,Left Back,12,Sevilla,213,['bf870c5c-df49-4ede-a4ed-30b535befabd'],11,,Left Foot,"[120.0, 33.3, 2.1]",True,"[{'location': [109.1, 44.1], 'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [119.0, 38.9], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.2, 48.9], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.7, 46.2], 'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.7, 38.0], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.8, 29.1], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",2ff1dbbe-9ba0-4723-8ccd-71aae2405259,,Off T,0.04823813,Volley,Open Play,,,,Sevilla,213,00:04:11.970,Shot,
,,,,,,,,,,,,,,,,,0.2346,,,,,,,,,,,,4defc093-37dd-4b3c-944b-85c930d6b156,637,,"[102.9, 35.8]",266989,13,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Víctor Machín Pérez,6841.0,Left Midfield,34,Sevilla,213,"['684c60e1-8623-4b68-80e4-2dd65d9b05a1', 'e120da33-9f21-40f0-b695-4d7b83e91cf4']",46,,Right Foot,"[104.5, 36.2]",,"[{'location': [105.0, 36.4], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.1, 36.5], 'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.7, 40.8], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.3, 30.4], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [116.0, 39.8], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.9, 43.9], 'player': {'id': 6744, 'name': 'Luciano Vietto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.5, 32.5], 'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",463e74fd-5d05-48ab-890c-ed51b9e7a384,,Blocked,0.09241598,Normal,Open Play,,,,Sevilla,213,00:13:46.623,Shot,
,,,,,,,,,,,,,,,,,0.1339,,,,,,,,,,,,0337c63a-2aaf-405d-86c5-715281712846,673,,"[112.4, 37.0]",266989,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Víctor Machín Pérez,6841.0,Left Midfield,36,Sevilla,213,['8d6bb1db-cdd8-49d5-b5ac-e3bf10c7fe97'],50,,Right Foot,"[120.0, 38.9, 0.2]",,"[{'location': [111.3, 38.6], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.3, 37.4], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",f8fc7c15-4249-4e5b-a60c-b42e641ae7f3,True,Goal,0.40806633,Normal,Open Play,,,,Sevilla,213,00:14:50.234,Shot,
,,,,,,,,,,,,,,,,,0.0695,,,,,,,,,,,,6493eef8-4ce0-4ad8-8b1d-46787e4ba10d,959,,"[102.5, 35.9]",266989,20,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Denis Suárez Fernández,6609.0,Left Center Midfield,46,Barcelona,217,"['1c1e0e3d-a77d-49cd-b47f-8283cc2d71a0', '91641476-5258-4077-b01f-664b362adbaf']",54,,Right Foot,"[103.6, 36.3]",,"[{'location': [103.6, 36.7], 'player': {'id': 6718, 'name': 'Sergio Escudero Palomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.4, 38.8], 'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.3, 35.3], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [95.4, 42.4], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.4, 35.9], 'player': {'id': 6825, 'name': 'Daniel Filipe Martins Carriço'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.1, 31.6], 'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 28.8], 'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 25.3], 'player': {'id': 21210, 'name': 'Mariano Ferreira Filho'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.3, 22.6], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.5, 17.6], 'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [94.8, 28.1], 'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",872ec705-747d-4ddb-abe7-356f0630fe59,,Blocked,0.09605295,Normal,Open Play,,,,Barcelona,217,00:20:54.666,Shot,
,,,,,,,,,,,,,,,,,1.6782,,,,,,,,,,,,12a82dac-c3a1-454c-be5b-7d02fa7e87a3,1380,,"[115.9, 51.1]",266989,32,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Luciano Vietto,6744.0,Center Forward,67,Sevilla,213,['aeed2c5e-48bd-4b3d-a04c-5dc1c22ea90f'],1,,Right Foot,"[120.0, 27.0, 0.2]",,"[{'location': [105.1, 43.1], 'player': {'id': 20253, 'name': 'Samir Nasri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [111.9, 61.5], 'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [99.3, 33.5], 'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [108.5, 59.2], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.5, 59.0], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.9, 40.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [119.2, 43.6], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.7, 41.8], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.1, 49.9], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.6, 52.3], 'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",25e0a736-6b89-4ce2-af65-2bef24e1a695,True,Off T,0.060912292,Normal,Open Play,,,,Sevilla,213,00:32:01.731,Shot,
,,,,,,,,,,,,,,,,,0.090499,,,,,,,,,,,,eac74363-c32b-424d-88c3-f72fed6aa262,1450,,"[107.5, 49.4]",266989,33,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Pablo Sarabia García,6720.0,Right Midfield,70,Sevilla,213,"['c4b2613f-9ed6-497d-b3c3-6279a8fd0250', 'e9550b7d-a965-4c5e-bc0f-529eedc885f4']",53,,Right Foot,"[108.5, 48.9]",,"[{'location': [109.3, 48.7], 'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.7, 48.0], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [98.9, 33.1], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.1, 37.1], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.7, 61.0], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.9, 61.5], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.3, 57.4], 'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [118.6, 42.7], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.8, 18.0], 'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [108.1, 39.8], 'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [105.3, 60.5], 'player': {'id': 6744, 'name': 'Luciano Vietto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [95.6, 46.8], 'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",93eead69-0856-44e6-a34c-6e7ea35971c7,,Blocked,0.053158823,Normal,Open Play,,,,Sevilla,213,00:33:53.961,Shot,
