50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.882,,,,,,,,54086641-fc2b-4c4a-95a1-74ab5276547f,76,,"[111.0, 29.0]",7479,1,,,,,,,,,,,,,,,,,,1,Regular Play,Sydney Rae Leroux,5067.0,Right Center Forward,5,Orlando Pride,764,['eb0ba1fe-2eda-4568-b746-86a0d1c70fa7'],6,,Left Foot,"[117.0, 36.4, 0.5]",,"[{'location': [108.0, 31.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 33.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.0, 40.0], 'player': {'id': 5070, 'name': 'Christine Nairn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [100.0, 37.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [118.0, 37.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 46.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",597b1cb7-c9c4-46c9-9758-da3f938e1ffe,Saved,0.08659738,Normal,Open Play,,,,Orlando Pride,764,00:01:06.115,Shot,
,,,,,,,,,,,,1.617,,,,,,,,7ee40e2a-2afe-45e1-9000-8220a2b14b44,99,,"[107.0, 53.0]",7479,3,,,,,,,,,,,,,,,,,,1,Regular Play,Sydney Rae Leroux,5067.0,Right Center Forward,8,Orlando Pride,764,['dcfe8e23-3fd4-4a84-b788-9d27e7cc6210'],40,,Right Foot,"[119.0, 40.3, 6.3]",,"[{'location': [97.0, 40.0], 'player': {'id': 5082, 'name': 'Marta Vieira da Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [94.0, 43.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.0, 35.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [109.0, 35.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.0, 40.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [90.0, 47.0], 'player': {'id': 5070, 'name': 'Christine Nairn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [118.0, 42.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 51.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",399b5fb0-b580-4a10-87ec-cf91fa25b90e,Off T,0.103761636,Normal,Open Play,,,,Orlando Pride,764,00:03:40.354,Shot,
,,,,,,,,,,,,1.676,,,,,,,,911043f6-eeb7-426e-b2ef-cc9b111f4c81,184,,"[84.0, 50.0]",7479,5,,,,,,,,,,,,,,,,,,1,Regular Play,Andi Sullivan,4940.0,Right Center Midfield,12,Washington Spirit,759,"['0f76cf35-f645-4b8a-822f-db7f5c455482', '1c58410e-bb2a-4218-b301-5f779c727b91']",37,,Right Foot,"[120.0, 43.2, 1.6]",,"[{'location': [81.0, 66.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [95.0, 53.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [76.0, 46.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [79.0, 48.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [86.0, 53.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [95.0, 56.0], 'player': {'id': 5064, 'name': 'Carson Pickett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.0, 50.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.0, 47.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.0, 39.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 42.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [85.0, 48.0], 'player': {'id': 5070, 'name': 'Christine Nairn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",00c9e229-3fc6-4b84-8afb-d42c301e6dc9,Saved,0.0061332975,Normal,Open Play,,,,Washington Spirit,759,00:05:37.506,Shot,True
,,,,,,,,,,,,0.373,,,,,,,,cf8cfae5-efc3-4afe-8c3d-25c45d373a51,244,,"[105.0, 47.0]",7479,6,,,,,,,,,,,,,,,,,,1,From Throw In,Marta Vieira da Silva,5082.0,Center Attacking Midfield,16,Orlando Pride,764,['5dbde665-0780-44ac-9988-9d0930d11ca0'],58,,Left Foot,"[118.0, 37.6, 1.5]",,"[{'location': [110.0, 41.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [103.0, 36.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [119.0, 41.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 43.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [110.0, 48.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.0, 45.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 58.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [108.0, 49.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [108.0, 35.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 60.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.0, 58.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.0, 67.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [81.0, 67.0], 'player': {'id': 5070, 'name': 'Christine Nairn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",60bdc97c-830a-4738-8d5a-d5bc268e8e01,Saved,0.09462861,Normal,Open Play,,,,Orlando Pride,764,00:06:58.400,Shot,
,,,,,,,,,,,,1.273,,,,,,,,76453398-c39b-4532-9901-bcb7cfb1fe39,307,,"[113.0, 42.0]",7479,8,,,,,,,,,,,,,,,,,,1,Regular Play,Marta Vieira da Silva,5082.0,Center Attacking Midfield,22,Orlando Pride,764,['8b4595ed-ac4c-4991-a780-50fd64bb185b'],21,,Right Foot,"[119.0, 46.9, 1.6]",,"[{'location': [108.0, 30.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [113.0, 20.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.0, 30.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.0, 45.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [113.0, 41.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 49.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 52.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",49b3da28-ec6d-43f7-b7ba-23bea7775d63,Off T,0.37505436,Volley,Open Play,,,,Orlando Pride,764,00:08:21.250,Shot,
,,,,,,,,,,,,1.154,,,,,,,,8f50f305-8be3-4374-8215-c33b9960f81d,322,,"[105.0, 25.0]",7479,9,,,,,,,,,,,,,,,,,,1,Regular Play,Chioma Ubogagu,5063.0,Left Center Forward,24,Orlando Pride,764,['726e94ef-2a04-4985-9d21-16b07c8bf86a'],29,,Left Foot,"[118.0, 36.6, 0.6]",,"[{'location': [118.0, 37.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.0, 35.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 31.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.0, 26.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 37.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.0, 41.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 58.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [108.0, 50.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 55.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [94.0, 53.0], 'player': {'id': 5070, 'name': 'Christine Nairn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [102.0, 48.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [98.0, 28.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [94.0, 35.0], 'player': {'id': 5082, 'name': 'Marta Vieira da Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",c03395b7-6754-45a7-bdcd-0bb789d4d077,Saved,0.019941147,Normal,Open Play,,,,Orlando Pride,764,00:09:29.474,Shot,
,,,,,,,,,,,,1.317,,,,,,,,906deb91-068f-47c7-af96-f167b07c5477,370,,"[111.0, 41.0]",7479,10,,,,,,,,,,,,,,,,,,1,Regular Play,Marta Vieira da Silva,5082.0,Center Attacking Midfield,27,Orlando Pride,764,['a213f7a7-67ce-4c5c-8579-5f70d544ba07'],35,,Head,"[119.0, 46.3, 1.3]",,"[{'location': [110.0, 30.0], 'player': {'id': 5070, 'name': 'Christine Nairn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [119.0, 40.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.0, 39.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 32.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [99.0, 48.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.0, 28.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.0, 50.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [111.0, 44.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",a29d22a0-04f6-4aa1-9daf-2555fa79e4e6,Off T,0.15937936,Normal,Open Play,,,,Orlando Pride,764,00:10:35.056,Shot,
,,,,,,,,,,,,1.378,,,,,,,,1b6adc59-f84f-4e91-9617-412c441cea58,379,,"[101.0, 52.0]",7479,11,,,,,,,,,,,,,,,,,,1,From Counter,Marta Vieira da Silva,5082.0,Center Attacking Midfield,29,Orlando Pride,764,['b53d7463-d8d5-4078-906e-5fbc79ed522c'],23,,Left Foot,"[118.0, 34.8, 0.8]",,"[{'location': [118.0, 41.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.0, 41.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [97.0, 40.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.0, 57.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 51.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 38.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 47.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 49.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [99.0, 60.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [107.0, 60.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [91.0, 55.0], 'player': {'id': 5070, 'name': 'Christine Nairn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [92.0, 62.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [101.0, 55.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}]",3842afd4-b8c0-42f3-852a-73f4b4df85b7,Off T,0.043369576,Normal,Open Play,,,,Orlando Pride,764,00:11:23.827,Shot,
,,,,,,,,,,,,1.723,,,,,,,,406e2908-7015-41ac-81a6-e93b54cba147,841,,"[99.0, 36.0]",7479,19,,,,,,,,,,,,,,,,,,1,Regular Play,Estefanía Romina Banini Ruiz,4944.0,Left Center Midfield,52,Washington Spirit,759,['eba7a92c-3f75-453c-9f57-c3b2f309b7b2'],58,,Right Foot,"[120.0, 43.6, 3.8]",,"[{'location': [96.0, 43.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [120.0, 41.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 40.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 35.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 28.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 32.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 33.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [98.0, 29.0], 'player': {'id': 5070, 'name': 'Christine Nairn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.0, 30.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.0, 26.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",130fdaab-eb2f-4521-960d-22ba9147f69c,Off T,0.08099098,Normal,Open Play,,,,Washington Spirit,759,00:19:58.397,Shot,
,,,,,,,,,,,,1.173,,,,,,,,daacb338-4820-452d-ba53-6116e91c1bf4,874,,"[95.0, 41.0]",7479,21,,,,,,,,,,,,,,,,,,1,From Goal Kick,Ashley Hatch,4964.0,Center Forward,53,Orlando Pride,764,['a48e7019-76af-49d6-a728-6dc146437a2a'],9,,Right Foot,"[120.0, 39.1, 1.6]",,"[{'location': [119.0, 41.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.0, 41.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [100.0, 47.0], 'player': {'id': 5064, 'name': 'Carson Pickett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 43.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 41.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.0, 37.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [86.0, 39.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}, {'location': [88.0, 27.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.0, 27.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 29.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,Saved,0.030921767,Normal,Open Play,,,,Washington Spirit,759,00:21:09.290,Shot,
