50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.693,,,,,,,,,,,,93a57da2-baf5-4915-933c-0ea8e432a8ed,55,,,"[104.0, 21.0]",7555,1,,,,,,,,,,,,,,,,,,,1,From Free Kick,Dawid Kownacki,5666.0,Left Wing,6,Poland,789,"['39d2c790-3cda-47d7-abe4-eff50a861c5b', '3d752f75-29a1-47c0-b8de-a2fa15511691']",0,,Right Foot,"[113.0, 37.0]",,"[{'location': [109.0, 53.0], 'player': {'id': 5691, 'name': 'Johan Andrés Mojica Palacio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [91.0, 39.0], 'player': {'id': 6195, 'name': 'Jacek Góralski'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [114.0, 41.0], 'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.0, 46.0], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.0, 52.0], 'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [120.0, 40.0], 'player': {'id': 4276, 'name': 'David Ospina Ramírez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 44.0], 'player': {'id': 3494, 'name': 'Davinson Sánchez Mina'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.0, 38.0], 'player': {'id': 6196, 'name': 'Yerry Fernando Mina González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 28.0], 'player': {'id': 5686, 'name': 'Wílmar Enrique Barrios Terán'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 23.0], 'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.0, 19.0], 'player': {'id': 5696, 'name': 'Santiago Arias Naranjo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.0, 26.0], 'player': {'id': 5692, 'name': 'Juan Fernando Quintero Paniagua'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",a753b32b-b1a3-4af0-9650-48fd8ecc1aa2,,Blocked,0.009801016,Normal,Open Play,,,,Poland,789,00:01:00.420,Shot,
,,,,,,,,,,,,,,1.533,,,,,,,,,,,,c9c97eb3-5e65-4d97-bf06-2e9fa7428e39,166,,,"[115.0, 39.0]",7555,4,,,,,,,,,,,,,,,,,,,1,Other,Robert Lewandowski,5668.0,Center Forward,13,Poland,789,"['15a1f9e8-9b5b-4189-846c-c961059d2822', '57c64adf-fa29-4822-8220-632b406f07fd']",16,True,Head,"[118.0, 37.0]",,"[{'location': [120.0, 42.0], 'player': {'id': 4276, 'name': 'David Ospina Ramírez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 64.0], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.0, 50.0], 'player': {'id': 3494, 'name': 'Davinson Sánchez Mina'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 49.0], 'player': {'id': 6192, 'name': 'Abel Enrique Aguilar Tapia'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.0, 41.0], 'player': {'id': 5686, 'name': 'Wílmar Enrique Barrios Terán'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [114.0, 41.0], 'player': {'id': 6196, 'name': 'Yerry Fernando Mina González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 38.0], 'player': {'id': 5696, 'name': 'Santiago Arias Naranjo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.0, 37.0], 'player': {'id': 5666, 'name': 'Dawid Kownacki'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [114.0, 34.0], 'player': {'id': 5672, 'name': 'Maciej Rybus'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [115.0, 34.0], 'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",d714ae8a-f7df-43ee-9257-9ce3dbe6b969,,Wayward,0.2728475,Normal,Open Play,,,,Poland,789,00:04:16.540,Shot,True
,,,,,,,,,,,,,,0.4,,,,,,,,,,,,220ead5a-f0d6-4835-ad9c-cc7416734419,573,,,"[95.0, 52.0]",7555,14,,,,,,,,,,,,,,,,,,,1,From Throw In,Santiago Arias Naranjo,5696.0,Right Back,31,Colombia,769,"['012c83b2-c5de-4503-a93c-6bf6d9931626', '3bb46256-5385-4e86-8e05-058dc71300ee']",48,,Right Foot,"[99.0, 52.0]",True,"[{'location': [99.0, 52.0], 'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.0, 40.0], 'player': {'id': 3445, 'name': 'Radamel Falcao García Zárate'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.0, 37.0], 'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 41.0], 'player': {'id': 4626, 'name': 'Jan Bednarek'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [106.0, 49.0], 'player': {'id': 5672, 'name': 'Maciej Rybus'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [93.0, 52.0], 'player': {'id': 5666, 'name': 'Dawid Kownacki'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [98.0, 51.0], 'player': {'id': 6195, 'name': 'Jacek Góralski'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.0, 15.0], 'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 47.0], 'player': {'id': 5670, 'name': 'Michał Pazdan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.0, 37.0], 'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.0, 37.0], 'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,Blocked,0.017330227,Half Volley,Open Play,,,,Colombia,769,00:14:48.793,Shot,
,,,,,,,,,,,,,,0.533,,,,,,,,,,,,9ddd81a4-edfc-4c4e-aff6-bd702de76439,707,,,"[95.0, 52.0]",7555,17,,,,,,,,,,,,,,,,,,,1,Regular Play,Piotr Zieliński,5660.0,Right Wing,37,Poland,789,"['33f83331-d2d9-47e7-87c7-d8a44442e42c', '602068a0-a085-40c1-ad71-94cfb7d97bc9']",41,,Left Foot,"[99.0, 52.0]",,"[{'location': [97.0, 55.0], 'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [96.0, 53.0], 'player': {'id': 5686, 'name': 'Wílmar Enrique Barrios Terán'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [91.0, 53.0], 'player': {'id': 6192, 'name': 'Abel Enrique Aguilar Tapia'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 60.0], 'player': {'id': 5691, 'name': 'Johan Andrés Mojica Palacio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.0, 54.0], 'player': {'id': 3494, 'name': 'Davinson Sánchez Mina'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [89.0, 40.0], 'player': {'id': 5692, 'name': 'Juan Fernando Quintero Paniagua'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [85.0, 42.0], 'player': {'id': 6195, 'name': 'Jacek Góralski'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [84.0, 30.0], 'player': {'id': 5672, 'name': 'Maciej Rybus'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [103.0, 50.0], 'player': {'id': 6196, 'name': 'Yerry Fernando Mina González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.0, 40.0], 'player': {'id': 5666, 'name': 'Dawid Kownacki'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.0, 40.0], 'player': {'id': 5696, 'name': 'Santiago Arias Naranjo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [120.0, 42.0], 'player': {'id': 4276, 'name': 'David Ospina Ramírez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.0, 65.0], 'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",6bd743f4-99de-4f6e-bcc6-d39fe142e722,,Blocked,0.02723293,Normal,Open Play,,,,Poland,789,00:17:41.980,Shot,
,,,,,,,,,,,,,,1.44,,,,,,,,,,,,c1771110-28b8-452d-9c9f-4d4efc41e67d,1208,,,"[82.0, 30.0]",7555,34,,,,,,,,,,,,,,,,,,,1,Regular Play,Juan Guillermo Cuadrado Bello,5689.0,Right Wing,61,Colombia,769,"['168fa30f-2069-474a-955e-ccfafef82305', 'f1272c0c-7166-42f4-a023-eb6ffb1bcdb1']",8,,Right Foot,"[120.0, 31.3, 1.6]",,"[{'location': [94.0, 28.0], 'player': {'id': 6193, 'name': 'Andrés Mateus Uribe Villa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [98.0, 19.0], 'player': {'id': 3445, 'name': 'Radamel Falcao García Zárate'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [91.0, 2.0], 'player': {'id': 5691, 'name': 'Johan Andrés Mojica Palacio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [85.0, 40.0], 'player': {'id': 5666, 'name': 'Dawid Kownacki'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [98.0, 44.0], 'player': {'id': 5670, 'name': 'Michał Pazdan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 32.0], 'player': {'id': 4626, 'name': 'Jan Bednarek'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [101.0, 22.0], 'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.0, 11.0], 'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [88.0, 29.0], 'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [86.0, 31.0], 'player': {'id': 6195, 'name': 'Jacek Góralski'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [79.0, 16.0], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [97.0, 51.0], 'player': {'id': 5672, 'name': 'Maciej Rybus'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [118.0, 39.0], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [79.0, 33.0], 'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [71.0, 54.0], 'player': {'id': 5696, 'name': 'Santiago Arias Naranjo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [83.0, 54.0], 'player': {'id': 5692, 'name': 'Juan Fernando Quintero Paniagua'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",861ef751-4eab-4343-a16d-429fcc134cac,,Off T,0.006297056,Normal,Open Play,,,,Colombia,769,00:34:08.220,Shot,True
,,,,,,,,,,,,,,0.32,,,,,,,,,,,,433bc490-f59b-4b26-ae0b-e42d4588da34,1468,,,"[116.0, 38.0]",7555,39,,,,,,,,,,,,,,,,,,,1,From Corner,Yerry Fernando Mina González,6196.0,Right Center Back,72,Colombia,769,['24d1cb0f-031c-4749-afdc-ffc91941ea15'],3,,Head,"[120.0, 37.0, 2.0]",,"[{'location': [115.0, 54.0], 'player': {'id': 5672, 'name': 'Maciej Rybus'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [111.0, 50.0], 'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [106.0, 51.0], 'player': {'id': 6195, 'name': 'Jacek Góralski'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.0, 49.0], 'player': {'id': 5666, 'name': 'Dawid Kownacki'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.0, 43.0], 'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 41.0], 'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.0, 32.0], 'player': {'id': 3445, 'name': 'Radamel Falcao García Zárate'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 43.0], 'player': {'id': 6193, 'name': 'Andrés Mateus Uribe Villa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [115.0, 37.0], 'player': {'id': 3494, 'name': 'Davinson Sánchez Mina'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [108.0, 49.0], 'player': {'id': 5692, 'name': 'Juan Fernando Quintero Paniagua'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [113.0, 55.0], 'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 42.0], 'player': {'id': 4626, 'name': 'Jan Bednarek'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [117.0, 36.0], 'player': {'id': 5670, 'name': 'Michał Pazdan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 38.0], 'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",c9c45428-7acc-4e9f-9ff8-fbb1d8bb289f,,Goal,0.54294956,Normal,Open Play,,,,Colombia,769,00:39:03.340,Shot,
,,,,,,,,,,,,,,2.053,,,,,,,,,,,,7c84b451-9f6e-491e-bd6b-a241d2b24635,1949,,,"[105.0, 55.0]",7555,46,,,,,,,,,,,,,,,,,,,2,Regular Play,Bartosz Bereszyński,5673.0,Right Midfield,90,Poland,789,"['a8b41f9c-004f-410a-9259-9f59753aea37', 'e7cfd8cc-b03e-46d2-a1a2-7eb204f3ce48']",12,True,Head,"[119.0, 46.1, 1.6]",,"[{'location': [98.0, 48.0], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.0, 31.0], 'player': {'id': 6195, 'name': 'Jacek Góralski'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [94.0, 31.0], 'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.0, 18.0], 'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [92.0, 43.0], 'player': {'id': 6193, 'name': 'Andrés Mateus Uribe Villa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [85.0, 55.0], 'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [103.0, 29.0], 'player': {'id': 5696, 'name': 'Santiago Arias Naranjo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.0, 35.0], 'player': {'id': 6196, 'name': 'Yerry Fernando Mina González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 47.0], 'player': {'id': 3494, 'name': 'Davinson Sánchez Mina'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.0, 41.0], 'player': {'id': 4276, 'name': 'David Ospina Ramírez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 55.0], 'player': {'id': 5691, 'name': 'Johan Andrés Mojica Palacio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",07d6f806-69fd-4d92-b08c-5cc19d852434,,Off T,0.0516608,Normal,Open Play,,,,Poland,789,00:01:12.440,Shot,True
,,,,,,,,,,,,,,0.853,,,,,,,,,,,,4f84b4b3-302e-4ee5-8845-16e086fee448,2073,,,"[112.0, 44.0]",7555,48,,,,,,,,,,,,,,,,,,,2,From Throw In,Robert Lewandowski,5668.0,Center Forward,96,Poland,789,"['3a07467f-512e-4f50-9354-9ad890efbca6', '3be24370-c2c6-41e1-a254-8638a19b10bc']",26,True,Head,"[120.0, 47.1, 4.7]",,"[{'location': [118.0, 41.0], 'player': {'id': 4276, 'name': 'David Ospina Ramírez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.0, 63.0], 'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [107.0, 63.0], 'player': {'id': 6193, 'name': 'Andrés Mateus Uribe Villa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 64.0], 'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [105.0, 28.0], 'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.0, 40.0], 'player': {'id': 5696, 'name': 'Santiago Arias Naranjo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.0, 48.0], 'player': {'id': 3494, 'name': 'Davinson Sánchez Mina'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 44.0], 'player': {'id': 6196, 'name': 'Yerry Fernando Mina González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 48.0], 'player': {'id': 5686, 'name': 'Wílmar Enrique Barrios Terán'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 40.0], 'player': {'id': 5692, 'name': 'Juan Fernando Quintero Paniagua'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [100.0, 50.0], 'player': {'id': 5691, 'name': 'Johan Andrés Mojica Palacio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.0, 71.0], 'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [103.0, 51.0], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.0, 38.0], 'player': {'id': 5672, 'name': 'Maciej Rybus'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",62fcbfdd-15da-4781-85fe-34560d5b78d0,,Off T,0.08806232,Normal,Open Play,,,,Poland,789,00:03:26.200,Shot,True
,,,,,,,,,,,,,,1.2,,,,,,,,,,,,147fb5f4-8863-4ef9-8847-2f1704224d1d,2163,,,"[85.0, 57.0]",7555,50,,,,,,,,,,,,,,,,,,,2,Regular Play,Juan Fernando Quintero Paniagua,5692.0,Center Attacking Midfield,101,Colombia,769,['61ad02b9-a97e-4d2a-a068-325eea1d70e9'],26,,Left Foot,"[120.0, 46.5, 1.6]",,"[{'location': [105.0, 32.0], 'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [86.0, 20.0], 'player': {'id': 5691, 'name': 'Johan Andrés Mojica Palacio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [105.0, 42.0], 'player': {'id': 3445, 'name': 'Radamel Falcao García Zárate'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.0, 36.0], 'player': {'id': 6193, 'name': 'Andrés Mateus Uribe Villa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [104.0, 58.0], 'player': {'id': 5672, 'name': 'Maciej Rybus'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [98.0, 67.0], 'player': {'id': 5666, 'name': 'Dawid Kownacki'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [92.0, 47.0], 'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [94.0, 38.0], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.0, 51.0], 'player': {'id': 5670, 'name': 'Michał Pazdan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 27.0], 'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [120.0, 43.0], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 37.0], 'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 41.0], 'player': {'id': 4626, 'name': 'Jan Bednarek'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [88.0, 57.0], 'player': {'id': 6195, 'name': 'Jacek Góralski'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.0, 63.0], 'player': {'id': 5696, 'name': 'Santiago Arias Naranjo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [90.0, 72.0], 'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",d7a8af9d-7919-4870-a835-67fba026032c,,Off T,0.006554862,Normal,Open Play,,,,Colombia,769,00:05:26.440,Shot,
,,,,,,,,,,,,,,0.787,,,,,,,,,,,,a5ae7c9b-acb1-4717-aa5c-ea8eaf9c0e50,2183,,,"[102.0, 51.0]",7555,50,,,,,,,,,,,,,,,,,,,2,Regular Play,Radamel Falcao García Zárate,3445.0,Center Forward,103,Colombia,769,['90eb40a0-bf88-4421-a6c7-6f4dcdde231a'],59,,Right Foot,"[120.0, 41.9, 5.9]",,"[{'location': [111.0, 39.0], 'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [88.0, 26.0], 'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [109.0, 49.0], 'player': {'id': 4626, 'name': 'Jan Bednarek'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [107.0, 58.0], 'player': {'id': 5672, 'name': 'Maciej Rybus'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.0, 54.0], 'player': {'id': 5670, 'name': 'Michał Pazdan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 61.0], 'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.0, 32.0], 'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [119.0, 43.0], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",ea9dd32e-2d93-482e-b614-6996d8748fc9,,Off T,0.05552095,Normal,Open Play,,,,Colombia,769,00:05:59.973,Shot,
