50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,1.64,,,,,,,,,,c371d9a4-8bae-45d0-a9cc-d5878a6d4cba,158,,"[91.0, 37.0]",7522,3,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Débora Cristiane de Oliveira,5044.0,Right Wing,11,North Carolina Courage,766,['646a14e2-97e1-44c5-a802-cb37c09576dd'],26,,Right Foot,"[120.0, 33.9, 0.6]",,"[{'location': [118.0, 39.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.0, 17.0], 'player': {'id': 5040, 'name': 'Meleana Shim'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [83.0, 19.0], 'player': {'id': 5033, 'name': 'Yuri Kawamura'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [88.0, 9.0], 'player': {'id': 5043, 'name': 'Nichelle Patrice Prince'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [85.0, 4.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [95.0, 35.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [83.0, 50.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [92.0, 4.0], 'player': {'id': 5050, 'name': 'Meredith Speck'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.0, 16.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [87.0, 22.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [95.0, 27.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [88.0, 63.0], 'player': {'id': 5046, 'name': 'Elizabeth Eddy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [100.0, 50.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.0, 39.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.0, 32.0], 'player': {'id': 5054, 'name': 'Janine van Wyk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 21.0], 'player': {'id': 5035, 'name': 'Haley Jean McCutcheon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",70a3da2b-960d-463d-aa0d-0748e0d157f5,Off T,0.02972913,Normal,Open Play,,,,North Carolina Courage,766,00:03:26.480,Shot,
,,,,,,,,,,,,0.68,,,,,,,,,,676ea952-6717-45bc-bf0e-22715a6239f0,229,,"[113.0, 26.0]",7522,5,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kyah Pam Simon,5059.0,Center Attacking Midfield,16,Houston Dash,762,"['1d9a7df3-24eb-4f54-8095-f91e02f2dd4a', 'eeeaeeb4-c791-4226-8552-8e180d21e9b6']",5,,Left Foot,"[119.0, 36.2, 0.2]",,"[{'location': [105.0, 26.0], 'player': {'id': 5046, 'name': 'Elizabeth Eddy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.0, 29.0], 'player': {'id': 5033, 'name': 'Yuri Kawamura'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 31.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [92.0, 11.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [113.0, 29.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 31.0], 'player': {'id': 5041, 'name': 'Cari Roccaro'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.0, 42.0], 'player': {'id': 5043, 'name': 'Nichelle Patrice Prince'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [111.0, 38.0], 'player': {'id': 5057, 'name': 'Kaleigh Kurtz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 46.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",422b74ea-8f32-4b22-aedf-a64ddf942814,Saved,0.06439967,Normal,Open Play,,,,Houston Dash,762,00:05:05.600,Shot,True
,,,,,,,,,,,,0.973,,,,,,,,,,bf7d6528-217a-4019-b582-1de4086b4639,401,,"[111.0, 34.0]",7522,8,,,,,,,,,,,,,,,,,,,,,1,From Counter,Rachel Daly,5058.0,Center Forward,28,Houston Dash,762,"['5103c0ad-ce8f-41d8-b0e1-a132ba914419', '8a1d83a9-06ee-40c2-b852-47f362df458d']",40,,Left Foot,"[120.0, 45.2, 0.4]",,"[{'location': [118.0, 39.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.0, 22.0], 'player': {'id': 5046, 'name': 'Elizabeth Eddy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 35.0], 'player': {'id': 5057, 'name': 'Kaleigh Kurtz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 38.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.0, 37.0], 'player': {'id': 5033, 'name': 'Yuri Kawamura'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",69ade158-9432-4dd2-9401-ca10f45304ce,Off T,0.24936347,Normal,Open Play,,,,Houston Dash,762,00:08:40.200,Shot,True
,,,,,,,,,,,,1.48,,,,,,,,,,327caa88-32ca-4ab2-9ebc-1507348cb150,704,,"[98.0, 41.0]",7522,16,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rachel Daly,5058.0,Center Forward,42,Houston Dash,762,['82aaab5b-1c73-440b-bfd5-109e46c5c542'],14,,Right Foot,"[120.0, 32.1, 0.2]",True,"[{'location': [112.0, 47.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [105.0, 26.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [96.0, 31.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.0, 45.0], 'player': {'id': 5041, 'name': 'Cari Roccaro'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 44.0], 'player': {'id': 5033, 'name': 'Yuri Kawamura'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 52.0], 'player': {'id': 5050, 'name': 'Meredith Speck'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [107.0, 33.0], 'player': {'id': 5046, 'name': 'Elizabeth Eddy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [84.0, 37.0], 'player': {'id': 5040, 'name': 'Meleana Shim'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [79.0, 27.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [111.0, 57.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.0, 48.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [120.0, 66.0], 'player': {'id': 5043, 'name': 'Nichelle Patrice Prince'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [92.0, 51.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [95.0, 62.0], 'player': {'id': 5035, 'name': 'Haley Jean McCutcheon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [106.0, 38.0], 'player': {'id': 5057, 'name': 'Kaleigh Kurtz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [80.0, 38.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}]",,Off T,0.05524006,Volley,Open Play,,,,Houston Dash,762,00:16:14.400,Shot,
,,,,,,,,,,,,0.24,,,,,,,,,,59d33167-cab3-4e25-be75-b3b814a14660,721,,"[96.0, 34.0]",7522,16,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kyah Pam Simon,5059.0,Center Attacking Midfield,44,Houston Dash,762,"['6a37703b-98b5-483c-9f1d-f6a6fc993f19', '920f7eee-a04d-4213-96b0-f8a10923e6c1']",48,,Right Foot,"[100.0, 36.0]",True,"[{'location': [119.0, 41.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [86.0, 25.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [90.0, 25.0], 'player': {'id': 5046, 'name': 'Elizabeth Eddy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 35.0], 'player': {'id': 5057, 'name': 'Kaleigh Kurtz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [82.0, 33.0], 'player': {'id': 5041, 'name': 'Cari Roccaro'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [85.0, 44.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [97.0, 47.0], 'player': {'id': 5043, 'name': 'Nichelle Patrice Prince'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [101.0, 45.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.0, 42.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 42.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [93.0, 44.0], 'player': {'id': 5033, 'name': 'Yuri Kawamura'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [88.0, 50.0], 'player': {'id': 5050, 'name': 'Meredith Speck'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",465c72f9-7817-4238-97b3-5f117c78e2f7,Blocked,0.046443466,Normal,Open Play,,,,Houston Dash,762,00:16:48.720,Shot,
,,,,,,,,,,,,0.8,,,,,,,,,,8830ef00-6503-42dd-99eb-eb8b2bbdf0b6,866,,"[109.0, 29.0]",7522,21,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kealia Ohai,5051.0,Left Midfield,49,Houston Dash,762,['d79925a5-b934-4163-b112-851ea2424b2a'],3,,Left Foot,"[120.0, 34.4, 3.2]",,"[{'location': [102.0, 22.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.0, 32.0], 'player': {'id': 5046, 'name': 'Elizabeth Eddy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 30.0], 'player': {'id': 5057, 'name': 'Kaleigh Kurtz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 39.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.0, 54.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.0, 44.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",b3762620-313c-476a-9827-32af00377077,Off T,0.13918236,Normal,Open Play,,,,Houston Dash,762,00:21:03.200,Shot,
,,,,,,,,,,,,0.68,,,,,,,,,,4eb4358a-4169-43a8-8913-9d92678fd4a9,1191,,"[92.0, 45.0]",7522,30,,,,,,,,,,,,,,,,,,,,,1,From Corner,Linda Maserame Motlhalo,5053.0,Right Defensive Midfield,65,Houston Dash,762,"['40c61808-f4eb-4661-8466-89712d494e2f', 'e4425d7f-876c-4c61-ad62-1544df39dfb7']",46,,Right Foot,"[102.0, 43.0]",True,"[{'location': [112.0, 37.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [91.0, 37.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [83.0, 22.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [112.0, 35.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 43.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 77.0], 'player': {'id': 5040, 'name': 'Meleana Shim'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [114.0, 42.0], 'player': {'id': 5057, 'name': 'Kaleigh Kurtz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 43.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [100.0, 37.0], 'player': {'id': 5033, 'name': 'Yuri Kawamura'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 43.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [120.0, 38.0], 'player': {'id': 5046, 'name': 'Elizabeth Eddy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 47.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [108.0, 42.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [94.0, 48.0], 'player': {'id': 5050, 'name': 'Meredith Speck'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [117.0, 39.0], 'player': {'id': 5043, 'name': 'Nichelle Patrice Prince'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [116.0, 42.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 52.0], 'player': {'id': 5035, 'name': 'Haley Jean McCutcheon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [110.0, 49.0], 'player': {'id': 5041, 'name': 'Cari Roccaro'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [86.0, 64.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,Blocked,0.02236279,Volley,Open Play,,,,Houston Dash,762,00:30:46.960,Shot,
,,,,,,,,,,,,0.96,,,,,,,,,,d2860caf-551f-4d4b-89b6-8883c2821b20,1385,,"[95.0, 33.0]",7522,37,,,,,,,,,,,,,,,,,,,,,1,From Counter,Débora Cristiane de Oliveira,5044.0,Right Wing,73,North Carolina Courage,766,['a3771b5b-3592-4ace-abed-5fddcf3122c1'],28,,Right Foot,"[117.0, 38.5, 0.5]",,"[{'location': [118.0, 38.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [87.0, 44.0], 'player': {'id': 5040, 'name': 'Meleana Shim'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [95.0, 34.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [95.0, 24.0], 'player': {'id': 5035, 'name': 'Haley Jean McCutcheon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.0, 31.0], 'player': {'id': 5054, 'name': 'Janine van Wyk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [73.0, 57.0], 'player': {'id': 5057, 'name': 'Kaleigh Kurtz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [100.0, 22.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [100.0, 40.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [86.0, 51.0], 'player': {'id': 5050, 'name': 'Meredith Speck'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [100.0, 48.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 52.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",e11a4ed4-b176-4b16-933f-63b4c579ca69,Saved,0.049361818,Normal,Open Play,,,,North Carolina Courage,766,00:37:28.400,Shot,
,,,,,,,,,,,,2.08,,,,,,,,,,374afa72-6ff7-4332-8c14-34192995edc6,1475,,"[89.0, 38.0]",7522,44,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Kyah Pam Simon,5059.0,Center Attacking Midfield,83,Houston Dash,762,"['b3ccdbbd-00f6-43f3-980a-a2c81cf26838', 'e31a2d37-3c44-408d-95e5-fe94f4daf767']",54,,Right Foot,"[120.0, 46.7, 4.3]",True,"[{'location': [92.0, 26.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [92.0, 25.0], 'player': {'id': 5040, 'name': 'Meleana Shim'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [86.0, 26.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [96.0, 6.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [94.0, 37.0], 'player': {'id': 5046, 'name': 'Elizabeth Eddy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 57.0], 'player': {'id': 5043, 'name': 'Nichelle Patrice Prince'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [119.0, 40.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [88.0, 52.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [101.0, 34.0], 'player': {'id': 5041, 'name': 'Cari Roccaro'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 45.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 42.0], 'player': {'id': 5035, 'name': 'Haley Jean McCutcheon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [100.0, 35.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [107.0, 54.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.0, 50.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [99.0, 36.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [102.0, 38.0], 'player': {'id': 5033, 'name': 'Yuri Kawamura'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.0, 22.0], 'player': {'id': 5050, 'name': 'Meredith Speck'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [103.0, 52.0], 'player': {'id': 5057, 'name': 'Kaleigh Kurtz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",bee6a5c3-3fdc-4755-bcf4-f098d58b65d2,Off T,0.022615263,Normal,Open Play,,,,Houston Dash,762,00:44:54.960,Shot,True
,,,,,,,,,,,,0.48,,,,,,,,,,3f3e3e9a-be14-4938-8027-0a321988387f,1879,,"[102.0, 41.0]",7522,47,,,,,,,,,,,,,,,,,,,,,2,From Counter,Meleana Shim,5040.0,Left Defensive Midfield,106,Houston Dash,762,"['4c447b05-509d-4468-b7ce-0fea3e1e9e6b', '8970243b-aa55-43e1-883c-d4cc7c5592ce']",25,,Left Foot,"[108.0, 42.0]",,"[{'location': [118.0, 41.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 51.0], 'player': {'id': 5043, 'name': 'Nichelle Patrice Prince'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [103.0, 43.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [89.0, 48.0], 'player': {'id': 5050, 'name': 'Meredith Speck'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.0, 36.0], 'player': {'id': 5041, 'name': 'Cari Roccaro'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 36.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.0, 39.0], 'player': {'id': 5057, 'name': 'Kaleigh Kurtz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 42.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [87.0, 57.0], 'player': {'id': 5035, 'name': 'Haley Jean McCutcheon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",778990a0-9703-470b-8d30-b244f94d11e6,Blocked,0.07772745,Normal,Open Play,,,,Houston Dash,762,00:02:25.880,Shot,
