50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.4092,,,,,,,,,,,09605a10-0b93-4adb-80a2-47c1d5757664,281,,,"[86.6, 37.5]",22964,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Danielle van de Donk,10658.0,Center Defensive Midfield,16,Netherlands Women's,851,['fddd51a7-3b5d-43de-9f38-964f44545949'],42,Right Foot,"[120.0, 47.5, 4.5]",,"[{'location': [119.2, 40.2], 'player': {'id': 25620, 'name': 'Annette Ngo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [87.9, 35.7], 'player': {'id': 25777, 'name': 'Geneviève Ngo Mbeleck'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [87.7, 40.8], 'player': {'id': 25626, 'name': 'Raissa Feudjio Tchuanyo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [81.4, 38.1], 'player': {'id': 25631, 'name': 'Jeannette Yango'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [95.9, 40.1], 'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [95.3, 38.9], 'player': {'id': 25618, 'name': 'Christine Manie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.8, 44.4], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.3, 59.8], 'player': {'id': 25623, 'name': 'Yvonne Patrice Leuko'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.5, 29.0], 'player': {'id': 25630, 'name': 'Claudine Falonne Meffometou Tcheno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [74.9, 47.6], 'player': {'id': 10714, 'name': 'Michaela Abam'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [71.8, 46.2], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [72.5, 40.7], 'player': {'id': 10645, 'name': 'Sherida Spitse'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [93.6, 15.2], 'player': {'id': 10649, 'name': 'Lieke Martens'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [72.8, 64.3], 'player': {'id': 10657, 'name': 'Desiree van Lunteren'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",ac67c974-1aea-4061-8ed2-b644cd535d0e,,Off T,0.02312676,Normal,Open Play,,,,Netherlands Women's,851,00:05:42.416,Shot,
,,,,,,,,,,,,,,,,,,1.862407,,,,,,,,,,,11bc38f6-6791-4188-9c03-18537268b162,560,,,"[90.8, 60.8]",22964,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gaelle Enganamouit,25605.0,Center Forward,30,Cameroon Women's,1208,['f4018271-fa65-469c-a4ba-a1970394199b'],24,Right Foot,"[120.0, 32.0, 0.7]",,"[{'location': [119.3, 39.9], 'player': {'id': 10646, 'name': 'Sari van Veenendaal'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.4, 33.8], 'player': {'id': 10657, 'name': 'Desiree van Lunteren'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.7, 34.9], 'player': {'id': 10714, 'name': 'Michaela Abam'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.7, 41.7], 'player': {'id': 10652, 'name': 'Anouk Dekker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.4, 58.2], 'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.6, 66.7], 'player': {'id': 10651, 'name': 'Kika van Es'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.0, 41.5], 'player': {'id': 25777, 'name': 'Geneviève Ngo Mbeleck'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [84.7, 39.1], 'player': {'id': 10645, 'name': 'Sherida Spitse'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [90.8, 57.4], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [84.1, 60.8], 'player': {'id': 10649, 'name': 'Lieke Martens'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.2, 76.6], 'player': {'id': 25630, 'name': 'Claudine Falonne Meffometou Tcheno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",8116c2fa-b207-4fdb-9f2c-fe9ad7335335,,Off T,0.008100627,Normal,Open Play,,,,Cameroon Women's,1208,00:11:24.241,Shot,
,,,,,,,,,,,,,,,,,,0.901672,,,,,,,,,,,3deb962f-9cc1-4c31-8f74-c9ed1c51ec5b,851,,,"[108.2, 28.3]",22964,21,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gabrielle Onguene,25616.0,Left Wing,43,Cameroon Women's,1208,['0337e7bb-e2c3-429b-826b-3b0a47f2931d'],9,Right Foot,"[120.0, 35.4, 0.5]",,"[{'location': [118.6, 37.2], 'player': {'id': 10646, 'name': 'Sari van Veenendaal'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.4, 30.1], 'player': {'id': 10652, 'name': 'Anouk Dekker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.7, 26.2], 'player': {'id': 10657, 'name': 'Desiree van Lunteren'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.5, 28.0], 'player': {'id': 10645, 'name': 'Sherida Spitse'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",,,Off T,0.09782372,Normal,Open Play,,,,Cameroon Women's,1208,00:21:09.336,Shot,
,,,,,,,,,,,,,,,,,,0.631653,,,,,,,,,,,a69912cd-9a59-4dbd-95f3-3d0aaaf2aec7,961,,,"[87.4, 22.5]",22964,25,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Geneviève Ngo Mbeleck,25777.0,Right Center Midfield,48,Cameroon Women's,1208,"['2cea7b04-ad71-45f7-9a9a-933e2a8a0133', '6ff74731-21d1-4c84-9745-1d4a7cc10695']",56,Left Foot,"[98.0, 27.8]",True,"[{'location': [114.8, 36.4], 'player': {'id': 10646, 'name': 'Sari van Veenendaal'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.3, 28.0], 'player': {'id': 10652, 'name': 'Anouk Dekker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.2, 19.5], 'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [90.6, 13.4], 'player': {'id': 10657, 'name': 'Desiree van Lunteren'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [92.4, 3.3], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [87.5, 7.8], 'player': {'id': 25605, 'name': 'Gaelle Enganamouit'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [78.3, 11.9], 'player': {'id': 25626, 'name': 'Raissa Feudjio Tchuanyo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [85.1, 24.2], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [90.7, 34.0], 'player': {'id': 10714, 'name': 'Michaela Abam'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.8, 49.7], 'player': {'id': 10651, 'name': 'Kika van Es'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [85.4, 36.7], 'player': {'id': 10645, 'name': 'Sherida Spitse'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [74.4, 32.2], 'player': {'id': 25631, 'name': 'Jeannette Yango'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,,Blocked,0.007319563,Normal,Open Play,,,,Cameroon Women's,1208,00:25:56.208,Shot,
,,,,,,,,,,,,,,,,,,1.13916,,,,,,,,,,,f839f538-c617-4cc2-9b81-b7a40d9061d2,1117,,,"[92.5, 51.9]",22964,29,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jeannette Yango,25631.0,Left Center Midfield,58,Cameroon Women's,1208,['0cb360b2-22ee-46a8-8943-5cd8410a1d17'],58,Left Foot,"[118.9, 40.0, 0.2]",,"[{'location': [119.2, 41.8], 'player': {'id': 10646, 'name': 'Sari van Veenendaal'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.1, 29.3], 'player': {'id': 10714, 'name': 'Michaela Abam'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.6, 28.0], 'player': {'id': 10657, 'name': 'Desiree van Lunteren'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.5, 31.9], 'player': {'id': 10652, 'name': 'Anouk Dekker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.7, 44.7], 'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.7, 43.1], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [92.3, 46.7], 'player': {'id': 10645, 'name': 'Sherida Spitse'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [96.1, 54.6], 'player': {'id': 10649, 'name': 'Lieke Martens'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.3, 48.9], 'player': {'id': 10651, 'name': 'Kika van Es'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.7, 46.9], 'player': {'id': 25605, 'name': 'Gaelle Enganamouit'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [86.5, 41.4], 'player': {'id': 25777, 'name': 'Geneviève Ngo Mbeleck'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [82.3, 36.0], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.3, 70.9], 'player': {'id': 25630, 'name': 'Claudine Falonne Meffometou Tcheno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",6cc04fbb-8f20-4000-b0cc-24fb3a7f2195,,Saved,0.02449257,Normal,Open Play,,,,Cameroon Women's,1208,00:29:58.034,Shot,
,,,,,,,,,,,,,,,,,,0.4999,,,,,,,,,,,a442df60-6bc0-49d1-a12f-e5c8677bd9a1,1392,,,"[112.3, 41.5]",22964,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vivianne Miedema,15623.0,Center Forward,76,Netherlands Women's,851,['80a5d6dd-af93-4ae3-a872-a3e07c643326'],8,Head,"[120.0, 38.2, 1.1]",,"[{'location': [96.1, 38.0], 'player': {'id': 25626, 'name': 'Raissa Feudjio Tchuanyo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.3, 33.5], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [109.8, 33.7], 'player': {'id': 10649, 'name': 'Lieke Martens'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [113.1, 32.8], 'player': {'id': 10714, 'name': 'Michaela Abam'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [113.3, 38.4], 'player': {'id': 25618, 'name': 'Christine Manie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.2, 46.4], 'player': {'id': 25631, 'name': 'Jeannette Yango'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.0, 58.9], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [100.8, 67.0], 'player': {'id': 10657, 'name': 'Desiree van Lunteren'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [114.4, 52.3], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.2, 57.3], 'player': {'id': 25623, 'name': 'Yvonne Patrice Leuko'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.1, 58.9], 'player': {'id': 10648, 'name': 'Shanice van de Sanden'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [118.3, 43.4], 'player': {'id': 25620, 'name': 'Annette Ngo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.3, 63.8], 'player': {'id': 25616, 'name': 'Gabrielle Onguene'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [107.5, 55.3], 'player': {'id': 25777, 'name': 'Geneviève Ngo Mbeleck'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",44176342-c244-4a54-9ffa-2ef2949ae903,,Goal,0.4445364,Normal,Open Play,,,,Netherlands Women's,851,00:40:08.868,Shot,
,,,,,,,,,,,,,,,,,,0.2284,,,,,,,,,,,c6af68cd-2d5a-49e4-909a-a62d4dca0277,1446,,,"[87.2, 38.7]",22964,42,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sherida Spitse,10645.0,Left Center Midfield,78,Netherlands Women's,851,"['031c6f0d-acda-47bc-b058-56afe29a4bd7', '1b9b3218-f71f-4985-912e-555943d96414']",18,Right Foot,"[91.8, 38.6]",True,"[{'location': [92.2, 38.8], 'player': {'id': 25626, 'name': 'Raissa Feudjio Tchuanyo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [117.8, 39.0], 'player': {'id': 25620, 'name': 'Annette Ngo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.7, 41.8], 'player': {'id': 25777, 'name': 'Geneviève Ngo Mbeleck'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.4, 39.9], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.6, 47.5], 'player': {'id': 25623, 'name': 'Yvonne Patrice Leuko'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.5, 52.0], 'player': {'id': 10648, 'name': 'Shanice van de Sanden'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [91.7, 47.8], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [96.9, 32.3], 'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.0, 20.0], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [102.0, 27.1], 'player': {'id': 25630, 'name': 'Claudine Falonne Meffometou Tcheno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.9, 30.0], 'player': {'id': 10649, 'name': 'Lieke Martens'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.7, 31.4], 'player': {'id': 25618, 'name': 'Christine Manie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [92.3, 35.5], 'player': {'id': 25631, 'name': 'Jeannette Yango'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",a01ba078-5593-495e-a500-11dee0a27cf9,,Blocked,0.018807383,Normal,Open Play,,,,Netherlands Women's,851,00:42:18.305,Shot,
,,,,,,,,,,,,,,,,,,0.425469,,,,,,,,,,,17f5c076-b561-4762-ae23-18367e2c2f33,1464,,,"[114.8, 30.7]",22964,42,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Gabrielle Onguene,25616.0,Left Wing,79,Cameroon Women's,1208,['b320e081-7937-4b83-9779-721017939d83'],42,Left Foot,"[120.0, 38.0, 0.5]",,"[{'location': [111.3, 29.8], 'player': {'id': 10657, 'name': 'Desiree van Lunteren'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.5, 33.1], 'player': {'id': 10652, 'name': 'Anouk Dekker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.9, 33.9], 'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.3, 33.9], 'player': {'id': 10646, 'name': 'Sari van Veenendaal'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",f771f233-8400-4382-990a-123bad14dca4,,Goal,0.6475734,Normal,Open Play,,,,Cameroon Women's,1208,00:42:42.565,Shot,
,,,,,,,,,,,,,,,,,,0.020566,,,,,,,,,,,847cf8da-f7f0-42ca-be4b-5eb5561cb693,1526,,,"[98.5, 52.3]",22964,45,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gaelle Enganamouit,25605.0,Center Forward,82,Cameroon Women's,1208,"['95c694c3-870a-4574-a84a-fca238367c64', 'c1127506-d497-408b-8187-22c10b8f068a']",3,Right Foot,"[100.0, 51.5]",,"[{'location': [119.3, 40.6], 'player': {'id': 10646, 'name': 'Sari van Veenendaal'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.5, 22.8], 'player': {'id': 25616, 'name': 'Gabrielle Onguene'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.0, 31.3], 'player': {'id': 10657, 'name': 'Desiree van Lunteren'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.4, 43.4], 'player': {'id': 10652, 'name': 'Anouk Dekker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.9, 49.2], 'player': {'id': 10714, 'name': 'Michaela Abam'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.4, 51.4], 'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.2, 59.7], 'player': {'id': 10651, 'name': 'Kika van Es'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.2, 47.9], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [94.6, 47.1], 'player': {'id': 25777, 'name': 'Geneviève Ngo Mbeleck'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [92.5, 53.1], 'player': {'id': 10645, 'name': 'Sherida Spitse'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [83.4, 51.3], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [92.8, 63.1], 'player': {'id': 10649, 'name': 'Lieke Martens'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [92.2, 62.2], 'player': {'id': 25630, 'name': 'Claudine Falonne Meffometou Tcheno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",,,Blocked,0.022357285,Normal,Open Play,,,,Cameroon Women's,1208,00:45:03.612,Shot,
,,,,,,,,,,,,,,,,,,0.3248,,,,,,,,,,,5839e6be-ba0a-414f-b0c1-5205b0677871,1701,,,"[118.1, 42.0]",22964,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Dominique Johanna Anna Petrone Janssen,10666.0,Left Center Back,89,Netherlands Women's,851,['6cfa17e9-fe66-4f52-8448-baeed673ac38'],26,Left Foot,"[120.0, 41.4, 2.1]",True,"[{'location': [113.4, 35.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.5, 43.4], 'player': {'id': 25620, 'name': 'Annette Ngo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [120.0, 40.2], 'player': {'id': 25618, 'name': 'Christine Manie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.2, 35.3], 'player': {'id': 10714, 'name': 'Michaela Abam'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.0, 33.8], 'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.4, 31.6], 'player': {'id': 10648, 'name': 'Shanice van de Sanden'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.2, 32.3], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [113.7, 40.2], 'player': {'id': 10652, 'name': 'Anouk Dekker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.1, 40.3], 'player': {'id': 25777, 'name': 'Geneviève Ngo Mbeleck'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.9, 42.0], 'player': {'id': 25605, 'name': 'Gaelle Enganamouit'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [118.0, 45.3], 'player': {'id': 25626, 'name': 'Raissa Feudjio Tchuanyo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.3, 47.6], 'player': {'id': 10649, 'name': 'Lieke Martens'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.4, 48.1], 'player': {'id': 25630, 'name': 'Claudine Falonne Meffometou Tcheno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.8, 49.3], 'player': {'id': 25631, 'name': 'Jeannette Yango'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.3, 50.9], 'player': {'id': 25623, 'name': 'Yvonne Patrice Leuko'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [120.0, 59.1], 'player': {'id': 10657, 'name': 'Desiree van Lunteren'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",,True,Goal,0.690471,Normal,Open Play,,,,Netherlands Women's,851,00:02:26.495,Shot,
