50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.717772,,,,,,,,,,,90034b3e-96d9-46cf-ba31-70973f1ccd20,141,,"[98.7, 50.7]",3825767,4,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jonathas Cristian de Jesus,8584.0,Center Forward,10,Real Sociedad,210,"['3e3e3656-e54a-4321-803f-400cea11b624', '4e0714a8-3cfb-4343-b72b-05589495d489']",23,,Right Foot,"[120.0, 41.2, 1.2]",True,"[{'location': [102.6, 50.2], 'player': {'id': 31904, 'name': 'Giedrius Arlauskis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [85.2, 18.5], 'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [95.8, 49.7], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [89.3, 32.3], 'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [90.6, 57.5], 'player': {'id': 15297, 'name': 'Mickaël Ciani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",c113bb21-7ab0-4ed1-ba61-20b3a348a72c,,Goal,0.2200532,Lob,Open Play,,,,Real Sociedad,210,00:04:23.198,Shot,True
,,,,,,,,,,,,,,,,,1.561003,,,,,,,,,,,6691ab7c-8769-41b5-bed0-b64ba8f6873a,226,,"[99.8, 54.0]",3825767,7,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Carlos Alberto Vela Garrido,5560.0,Right Midfield,16,Real Sociedad,210,"['3202a338-c757-4a77-886f-6897f1ea3b3b', '4b1ca304-af79-4d8d-9c6e-86e7e912b81b']",9,,Left Foot,"[120.0, 41.4, 1.5]",,"[{'location': [106.8, 48.8], 'player': {'id': 31904, 'name': 'Giedrius Arlauskis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.7, 42.1], 'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.7, 48.1], 'player': {'id': 15297, 'name': 'Mickaël Ciani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.2, 44.5], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.8, 53.3], 'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",0531f491-be61-4c90-a49d-b232015c3565,,Goal,0.08263753,Lob,Open Play,,,,Real Sociedad,210,00:07:09.336,Shot,True
,,,,,,,,,,,,,,,,,1.088603,,,,,,,,,,,c473ba50-14d4-4937-9450-c7294b0ecb89,541,,"[100.0, 38.1]",3825767,17,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Mikel Oyarzabal Ugarte,6685.0,Left Midfield,37,Real Sociedad,210,"['35cd5a4d-2191-44ec-9215-4e4d419203a5', '829fcdad-6f74-49d8-9733-a93869ba92bb']",12,,Right Foot,"[120.0, 48.0, 7.1]",,"[{'location': [108.5, 46.9], 'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.8, 39.9], 'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.7, 37.4], 'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [112.0, 26.4], 'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.7, 18.1], 'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [101.5, 52.9], 'player': {'id': 4741, 'name': 'Juan Rafael Fuentes Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.4, 44.9], 'player': {'id': 6701, 'name': 'Joan Jordán Moreno'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.9, 37.2], 'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [103.3, 40.1], 'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [108.5, 40.1], 'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [110.7, 39.4], 'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.1, 42.5], 'player': {'id': 15297, 'name': 'Mickaël Ciani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.1, 32.4], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.9, 38.7], 'player': {'id': 31904, 'name': 'Giedrius Arlauskis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Off T,0.051454227,Half Volley,Open Play,,,,Real Sociedad,210,00:17:12.044,Shot,True
,,,,,,,,,,,,,,,,,2.68145,,,,,,,,,,,f912117c-e92b-4f8e-bb02-92f46ad728d7,815,,"[108.6, 22.7]",3825767,24,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Héctor Hernández Ortega,10754.0,Left Back,53,Real Sociedad,210,['6c3542a1-1f07-4389-af80-95278f06956b'],54,,Left Foot,"[120.0, 52.2, 0.2]",True,"[{'location': [87.9, 22.7], 'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.4, 46.3], 'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.3, 34.9], 'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [106.2, 47.1], 'player': {'id': 4741, 'name': 'Juan Rafael Fuentes Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.1, 29.4], 'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.1, 37.2], 'player': {'id': 15297, 'name': 'Mickaël Ciani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.6, 33.1], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.2, 25.6], 'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.9, 36.7], 'player': {'id': 31904, 'name': 'Giedrius Arlauskis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",94254ab4-cde3-4420-a1d1-64849d4afb58,,Off T,0.016798764,Normal,Open Play,,,,Real Sociedad,210,00:24:54.522,Shot,
,,,,,,,,,,,,,,,,,0.00384,,,,,,,,,,,f1afef74-4253-482c-a317-7fd3d18cdd86,1787,,"[105.7, 47.3]",3825767,46,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Jonathas Cristian de Jesus,8584.0,Center Forward,103,Real Sociedad,210,['c1d342a8-c0cd-4c2c-ac0b-6b0b5fe5576f'],26,,Right Foot,"[107.0, 46.7, 0.7]",,"[{'location': [97.4, 30.3], 'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.6, 50.7], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [86.4, 67.3], 'player': {'id': 4741, 'name': 'Juan Rafael Fuentes Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.9, 51.4], 'player': {'id': 15297, 'name': 'Mickaël Ciani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [88.3, 51.2], 'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [98.8, 54.5], 'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [107.3, 46.8], 'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,True,Saved,0.43877897,Lob,Open Play,,,,Real Sociedad,210,00:01:26.211,Shot,
,,,,,,,,,,,,,,,,,0.624,,,,,,,,,,,74cb5d60-6ccd-4a31-9a84-ae03ea7e3a35,1798,,"[109.8, 44.8]",3825767,46,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Rubén Pardo Gutiérrez,6899.0,Left Center Midfield,103,Real Sociedad,210,['a611c901-cbe7-427e-bd15-7aa19938a299'],40,,Right Foot,"[120.0, 45.2, 4.9]",True,"[{'location': [114.8, 46.6], 'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.6, 51.3], 'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [111.9, 42.0], 'player': {'id': 4741, 'name': 'Juan Rafael Fuentes Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.2, 43.2], 'player': {'id': 15297, 'name': 'Mickaël Ciani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.0, 32.2], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.4, 27.3], 'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [120.0, 24.3], 'player': {'id': 10754, 'name': 'Héctor Hernández Ortega'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [117.8, 40.1], 'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.8, 40.9], 'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.2, 32.6], 'player': {'id': 6701, 'name': 'Joan Jordán Moreno'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",,,Off T,0.14499587,Half Volley,Open Play,,,,Real Sociedad,210,00:01:40.158,Shot,
,,,,,,,,,,,,,,,,,0.788112,,,,,,,,,,,ce74eac9-7414-4e99-95f4-0148ef332167,1963,,"[108.6, 39.3]",3825767,51,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Mikel Oyarzabal Ugarte,6685.0,Left Midfield,115,Real Sociedad,210,['ad42e5cf-e16a-4dbd-a539-4131b565424d'],30,,Left Foot,"[120.0, 36.8, 0.7]",,"[{'location': [102.3, 31.9], 'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.6, 39.8], 'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.1, 38.5], 'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.8, 42.9], 'player': {'id': 15297, 'name': 'Mickaël Ciani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.5, 40.8], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.8, 49.3], 'player': {'id': 4741, 'name': 'Juan Rafael Fuentes Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.4, 41.7], 'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [89.5, 65.8], 'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [106.7, 61.4], 'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",efa2fad8-8d1c-4837-908e-04ffb2429831,True,Goal,0.3473582,Half Volley,Open Play,,,,Real Sociedad,210,00:06:30.359,Shot,
,,,,,,,,,,,,,,,,,1.213917,,,,,,,,,,,2164b516-e004-4ee1-baa0-2fefdd4a8ba1,2024,,"[113.6, 42.1]",3825767,54,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Diego Antonio Reyes Rosales,16539.0,Center Defensive Midfield,120,Real Sociedad,210,"['95f7fae0-e7bb-41f3-902c-c98a55fb40c3', 'b4094128-c193-4684-8487-890580b71937']",43,True,Head,"[120.0, 37.1, 1.6]",,"[{'location': [113.1, 34.4], 'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [114.0, 38.6], 'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [115.1, 36.6], 'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [112.2, 37.1], 'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.5, 46.3], 'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [114.2, 41.8], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.7, 43.3], 'player': {'id': 6701, 'name': 'Joan Jordán Moreno'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.3, 40.5], 'player': {'id': 15297, 'name': 'Mickaël Ciani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.5, 39.5], 'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [119.3, 38.7], 'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.8, 42.3], 'player': {'id': 24072, 'name': 'Salvador Sevilla López'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [112.5, 41.9], 'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.5, 36.7], 'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",b8e37295-79a1-4587-9193-5e1502479197,,Goal,0.10420787,Normal,Open Play,,,,Real Sociedad,210,00:09:43.488,Shot,True
,,,,,,,,,,,,,,,,,0.913339,,,,,,,,,,,d6a22377-0918-47fe-9376-d743c47eabea,2157,,"[93.6, 37.0]",3825767,59,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Asier Illarramendi Andonegi,6671.0,Right Center Midfield,130,Real Sociedad,210,['0fb9bb01-ec3f-4b82-ae9d-b8aac20cad36'],24,,Left Foot,"[120.0, 50.3, 0.5]",True,"[{'location': [90.4, 59.1], 'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [98.5, 63.3], 'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [118.1, 39.2], 'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.4, 41.7], 'player': {'id': 24072, 'name': 'Salvador Sevilla López'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [88.1, 61.7], 'player': {'id': 6624, 'name': 'Jorge Franco Alviz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.4, 41.1], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.7, 39.2], 'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.5, 34.0], 'player': {'id': 15297, 'name': 'Mickaël Ciani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 38.8], 'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [94.4, 38.0], 'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [98.3, 27.0], 'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [103.6, 39.3], 'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [105.7, 31.0], 'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [98.2, 35.5], 'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.4, 46.5], 'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [99.7, 51.3], 'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.5, 43.2], 'player': {'id': 6701, 'name': 'Joan Jordán Moreno'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.2, 29.4], 'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",,,Off T,0.027521616,Half Volley,Open Play,,,,Real Sociedad,210,00:14:24.095,Shot,
,,,,,,,,,,,,,,,,,0.285831,,,,,,,,,,,1ed3cabe-9e6d-4640-aefe-c456a89397b8,2582,,"[105.5, 24.9]",3825767,67,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jorge Franco Alviz,6624.0,Left Wing,149,Espanyol,214,['82e3b8b0-f65b-4412-b099-432dbce414a1'],59,,Right Foot,"[120.0, 34.6, 0.8]",,"[{'location': [103.9, 51.9], 'player': {'id': 10754, 'name': 'Héctor Hernández Ortega'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [91.8, 31.9], 'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.1, 36.8], 'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.6, 27.8], 'player': {'id': 24072, 'name': 'Salvador Sevilla López'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.5, 45.0], 'player': {'id': 6701, 'name': 'Joan Jordán Moreno'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [108.6, 41.7], 'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.5, 33.9], 'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.9, 46.5], 'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [113.0, 43.4], 'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.8, 32.8], 'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.8, 29.8], 'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.2, 23.7], 'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",60cc6587-e9bf-4a8f-9f3f-b23e6434bfda,,Off T,0.056897588,Normal,Open Play,,,,Espanyol,214,00:22:59.909,Shot,
