50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.817912,,,,,,,,,,,,,,4e7046d2-07a2-4956-99d1-332da07046f7,254,,"[105.5, 34.1]",3879672,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Valter Birsa,7045.0,Center Attacking Midfield,9,Chievo,231,"['0afb09b8-23f5-4a7d-a819-dfdc8efe60c5', '87bfcb21-64a1-43d5-9ffc-36f07eeb9398']",0,,Left Foot,"[117.8, 37.6, 1.0]",,"[{'location': [106.4, 47.4], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.1, 39.1], 'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.8, 35.1], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.3, 30.3], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.5, 34.9], 'player': {'id': 23241, 'name': 'William Vainqueur'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [101.2, 24.9], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.5, 37.9], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.6, 25.8], 'player': {'id': 11643, 'name': 'Riccardo Meggiorini'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [110.3, 43.5], 'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [108.5, 53.6], 'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",18a6160d-9ea0-4b5e-9b3d-9f83556e8fb6,,,Saved,,0.056616403,Volley,Open Play,,,,Chievo,231,00:05:00.226,Shot,True
,,,,,,,,,,,,,,,,,0.496927,,,,,,,,,,,,,,95944373-417d-4a27-b534-da6416de44c7,325,,"[111.1, 29.5]",3879672,6,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gervais Lombe Yao Kouassi,15818.0,Left Wing,12,AS Roma,229,['9a699921-97f0-4200-8207-0b3355994f63'],47,,Left Foot,"[117.0, 41.3]",,"[{'location': [95.6, 38.6], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.3, 33.9], 'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.6, 41.5], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 39.4], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.2, 31.9], 'player': {'id': 7050, 'name': 'Fabrizio Cacciatore'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.6, 30.7], 'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.4, 37.0], 'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.8, 39.9], 'player': {'id': 23241, 'name': 'William Vainqueur'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [104.2, 39.3], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [109.5, 42.8], 'player': {'id': 11128, 'name': 'Umar Sadiq Mesbah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.6, 46.5], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.2, 28.6], 'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",70fe2c79-93ad-48f8-966c-6a6c10f6f15e,,,Wayward,,0.1503442,Normal,Open Play,,,,AS Roma,229,00:06:47.415,Shot,
,,,,,,,,,,,,,,,,,0.347565,,,,,,,,,,,,,,3b80dc46-b4e4-4a71-b9d4-ab45c1e6f7e3,331,,"[115.9, 41.7]",3879672,6,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Umar Sadiq Mesbah,11128.0,Center Forward,12,AS Roma,229,['981f75b6-a986-49aa-a8b6-9d45646f9888'],48,,Right Foot,"[120.0, 42.0, 0.2]",True,"[{'location': [116.7, 42.4], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.9, 36.5], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.4, 34.8], 'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.7, 40.3], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.7, 28.8], 'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.5, 38.7], 'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.0, 32.5], 'player': {'id': 7050, 'name': 'Fabrizio Cacciatore'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.6, 36.9], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [109.1, 45.9], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.5, 38.2], 'player': {'id': 23241, 'name': 'William Vainqueur'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [102.6, 28.2], 'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [114.0, 29.7], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,,Goal,,0.5095096,Normal,Open Play,,,,AS Roma,229,00:06:48.340,Shot,
,,,,,,,,,,,,,,,,,0.594305,,,,,,,,,,,,,,33207d49-6938-4f82-b9b1-e220af5868bc,489,,"[105.7, 51.0]",3879672,11,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lucas Nahuel Castro,7049.0,Right Center Midfield,27,Chievo,231,"['4d8128ed-2c88-4e38-ab46-d48bc82e8be3', 'ade61545-90af-42a4-a383-48f9a10130be']",57,,Right Foot,"[120.0, 40.4, 5.5]",True,"[{'location': [106.1, 52.1], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.7, 55.8], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.7, 49.9], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [94.3, 66.4], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.8, 58.0], 'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [96.9, 54.5], 'player': {'id': 23241, 'name': 'William Vainqueur'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [99.6, 40.8], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.8, 45.0], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.8, 43.1], 'player': {'id': 7046, 'name': 'Perparim Hetemaj'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [91.4, 59.2], 'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [98.8, 46.4], 'player': {'id': 7045, 'name': 'Valter Birsa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [89.2, 66.9], 'player': {'id': 7050, 'name': 'Fabrizio Cacciatore'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",592d0deb-ef1c-4fbb-9c91-7a8e6329c4f3,,,Off T,,0.112794645,Half Volley,Open Play,,,,Chievo,231,00:11:57.099,Shot,True
,,,,,,,,,,,,,,,,,1.219508,,,,,,,,,,,,,,9b35f814-dc6b-4d1a-9652-77a9030c031a,636,,"[84.9, 36.2]",3879672,15,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Perparim Hetemaj,7046.0,Left Center Midfield,33,Chievo,231,['9f2c6655-ae1b-4716-b148-930c16ddec6f'],21,,Right Foot,"[120.0, 41.8, 6.2]",,"[{'location': [119.0, 39.0], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.5, 54.5], 'player': {'id': 11128, 'name': 'Umar Sadiq Mesbah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [100.2, 44.7], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.4, 38.2], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.9, 33.9], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.6, 36.7], 'player': {'id': 23241, 'name': 'William Vainqueur'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.5, 23.4], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [89.9, 39.0], 'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [91.9, 30.8], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [84.1, 42.5], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [83.7, 40.6], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [93.9, 41.5], 'player': {'id': 7045, 'name': 'Valter Birsa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [100.0, 15.9], 'player': {'id': 11643, 'name': 'Riccardo Meggiorini'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [101.1, 36.7], 'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [99.3, 40.8], 'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [91.6, 64.2], 'player': {'id': 7050, 'name': 'Fabrizio Cacciatore'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",2b6a4cfe-b5a2-409a-acfa-1f53edc1758d,,,Off T,,0.013177907,Normal,Open Play,,,,Chievo,231,00:15:21.942,Shot,
,,,,,,,,,,,,,,,,,0.149217,,,,,,,,,,,,,,f8b3471c-1da3-4873-879b-05486cbc1571,714,,"[105.9, 33.7]",3879672,18,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mohamed Salah,3531.0,Right Wing,39,AS Roma,229,"['2b21bf47-ec53-44df-93ef-217639f234df', '96333c72-76b8-4709-b05a-cd715aed5313']",46,,Left Foot,"[108.8, 35.2]",True,"[{'location': [110.6, 42.5], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 35.2], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 33.4], 'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [89.4, 19.9], 'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [95.6, 33.9], 'player': {'id': 7046, 'name': 'Perparim Hetemaj'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.1, 31.6], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 39.0], 'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.0, 25.4], 'player': {'id': 7050, 'name': 'Fabrizio Cacciatore'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.5, 47.4], 'player': {'id': 11128, 'name': 'Umar Sadiq Mesbah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.1, 21.9], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",d5c4694c-1895-43aa-89db-afd7ad750097,,,Blocked,,0.07407459,Half Volley,Open Play,,,,AS Roma,229,00:18:46.712,Shot,
,,,,,,,,,,,,,,,,,0.203986,,,,,,,,,,,,,,c8f37dfd-eca1-416e-a2d7-334984be96be,803,,"[100.0, 35.8]",3879672,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Nicolas Sebastian Frey,23324.0,Left Back,45,Chievo,231,"['29ceb2f1-d284-41e7-8fab-381261acee3f', 'f2fd0324-0a99-4a32-9f33-b2206096e8ee']",31,,Right Foot,"[105.1, 37.0]",True,"[{'location': [109.4, 29.6], 'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [114.2, 33.5], 'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.4, 44.1], 'player': {'id': 7050, 'name': 'Fabrizio Cacciatore'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [110.1, 44.6], 'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [111.2, 39.7], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [109.1, 46.2], 'player': {'id': 7043, 'name': 'Roberto Inglese'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [92.4, 51.4], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [106.9, 35.4], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.8, 37.5], 'player': {'id': 23241, 'name': 'William Vainqueur'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.8, 40.3], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.4, 38.6], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.8, 36.2], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.9, 36.2], 'player': {'id': 11128, 'name': 'Umar Sadiq Mesbah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [100.5, 37.7], 'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [119.1, 39.6], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.7, 53.6], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.5, 55.4], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.3, 40.6], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.1, 62.3], 'player': {'id': 7045, 'name': 'Valter Birsa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",b8b0a5d9-eebe-46a4-b090-f66b17cb59db,,,Blocked,,0.04001403,Normal,Open Play,,,,Chievo,231,00:22:31.035,Shot,
,,,,,,,,,,,,,,,,,0.89991,,,,,,,,,,,,,,cdf58bc4-6a7e-4ccf-884a-7bb6fee40083,1000,,"[90.7, 41.4]",3879672,28,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Maicon Douglas Sisenando,19299.0,Right Back,59,AS Roma,229,['368e8234-0bf5-4c39-a7b5-87b12e8a1c6c'],2,,Right Foot,"[116.4, 40.7, 2.1]",,"[{'location': [88.9, 55.1], 'player': {'id': 7046, 'name': 'Perparim Hetemaj'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [89.8, 45.0], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [98.3, 42.9], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.8, 48.7], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.8, 35.6], 'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.8, 28.8], 'player': {'id': 7050, 'name': 'Fabrizio Cacciatore'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.6, 41.0], 'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.7, 59.1], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [87.1, 29.3], 'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [98.8, 46.5], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [97.1, 34.2], 'player': {'id': 11128, 'name': 'Umar Sadiq Mesbah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.5, 21.9], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",6441c4ae-ac20-4404-a7ed-27c9f85049df,,,Saved,,0.03551997,Normal,Open Play,,,,AS Roma,229,00:28:02.421,Shot,
,,,,,,,,,,,,,,,,,0.630296,,,,,,,,,,,,,,8f87ebdf-0e99-4298-87e8-9d7e5480b2db,1219,,"[111.3, 32.8]",3879672,33,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Umar Sadiq Mesbah,11128.0,Center Forward,69,AS Roma,229,"['6eeb26ee-f60b-4c4a-95fe-8aa58751892f', '95cf2afc-500b-4c3e-84dc-adf8f10e1a8c']",6,,Right Foot,"[120.0, 35.5, 0.4]",,"[{'location': [103.8, 46.5], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.8, 20.7], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [106.0, 40.2], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [94.3, 30.8], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [98.7, 22.7], 'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.8, 43.7], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.2, 37.4], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.9, 31.7], 'player': {'id': 7050, 'name': 'Fabrizio Cacciatore'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.9, 36.3], 'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",daf7765d-526c-4232-bf2d-dde79115233e,,,Off T,,0.48719934,Normal,Open Play,,,,AS Roma,229,00:33:06.857,Shot,True
,,,,,,,,,,,,,,,,,0.848875,,,,,,,,,,,,,,300f0553-1291-4028-b883-4d7effdc8007,1349,,"[109.2, 50.0]",3879672,36,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alessandro Florenzi,6964.0,Right Center Midfield,75,Chievo,231,['219858cd-2419-423b-8bd6-e2591f642a73'],35,,Right Foot,"[120.0, 36.9, 0.2]",,"[{'location': [108.1, 48.7], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.8, 29.9], 'player': {'id': 7050, 'name': 'Fabrizio Cacciatore'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.8, 41.3], 'player': {'id': 7771, 'name': 'Dario Dainelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.8, 44.5], 'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.8, 35.4], 'player': {'id': 11128, 'name': 'Umar Sadiq Mesbah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,,Goal,,0.26681015,Normal,Open Play,,,,AS Roma,229,00:36:35.251,Shot,
