ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.410753,,,,,,,,,,,,,,7c79922f-03f7-4072-906e-d3d29bac2395,429,,"[107.8, 30.2]",3817873,8,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Manvir Singh,124741.0,Right Center Forward,17,ATK Mohun Bagan,7282,"['2253e85b-8cb3-46f1-b642-80085818ac5d', '6e4b36cc-8001-4eac-999f-7840378c12cd']",37,,Right Foot,"[114.4, 35.4, 0.3]",,"[{'location': [115.2, 35.6], 'player': {'id': 162747, 'name': 'Subhasish Roy Chowdhury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.4, 29.4], 'player': {'id': 162750, 'name': 'Mashoor Shereef Thangalakath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.3, 36.3], 'player': {'id': 22911, 'name': 'Zakaria Diallo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.4, 39.0], 'player': {'id': 124907, 'name': 'Liston Colaco'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",035a1235-69a6-4f27-9002-34165aaeb86a,True,Saved,0.3040507,Normal,Open Play,,,,ATK Mohun Bagan,7282,00:08:37.531,Shot,True
,,,,,,,,,,,,,,,0.218379,,,,,,,,,,,,,,08f09dc6-991d-4dfd-8a1d-268f94befabb,440,,"[85.5, 43.5]",3817873,9,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Pragyan Sundar Gogoi,162752.0,Right Center Midfield,20,NorthEast United,7285,"['7ea198c7-7d10-475c-8e48-af2276a33c89', 'b3ff4610-fb29-488c-9024-4a6c853a8994']",17,,Left Foot,"[89.3, 42.4]",,"[{'location': [102.7, 26.9], 'player': {'id': 187212, 'name': 'Marcelo Leite Pereira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.9, 29.8], 'player': {'id': 163337, 'name': 'Ashutosh Mehta'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.7, 40.0], 'player': {'id': 124773, 'name': 'Amrinder Singh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [88.4, 40.4], 'player': {'id': 24303, 'name': 'Joni Ensio Kauko'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [89.5, 42.4], 'player': {'id': 163340, 'name': 'Deepak Tangri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [91.3, 43.9], 'player': {'id': 170691, 'name': 'José Luis Espinosa Arroyo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.3, 54.5], 'player': {'id': 124756, 'name': 'Subhasish Bose'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [93.1, 31.3], 'player': {'id': 163343, 'name': 'Lenny Rodrigues'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.0, 36.8], 'player': {'id': 124772, 'name': 'Pritam Kotal'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [98.1, 23.1], 'player': {'id': 163339, 'name': 'Prabir Das'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [89.7, 64.2], 'player': {'id': 168198, 'name': 'Joe Zoherliana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [90.0, 41.7], 'player': {'id': 8624, 'name': 'Marco Sahanek'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [89.3, 12.1], 'player': {'id': 162749, 'name': 'Gurjinder Kumar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [101.6, 31.5], 'player': {'id': 162753, 'name': 'Suhair Vadakkepeedika'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [75.6, 29.6], 'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [82.3, 18.8], 'player': {'id': 162755, 'name': 'Mohammed Irshad'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",e29f60cf-c760-4036-9447-c26a50c929bd,,Blocked,0.015362355,Normal,Open Play,,,,NorthEast United,7285,00:09:17.338,Shot,
,,,,,,,,,,,,,,,0.763172,,,,,,,,,,,,,,6ef9c200-4552-4ccc-8c15-fa1e0f076e6d,495,,"[105.3, 21.0]",3817873,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Subhasish Bose,124756.0,Left Wing Back,24,ATK Mohun Bagan,7282,['e9e5d863-4813-46c4-bdf5-2fa927c72928'],33,,Left Foot,"[117.6, 35.6, 1.3]",,"[{'location': [117.8, 36.4], 'player': {'id': 162747, 'name': 'Subhasish Roy Chowdhury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.9, 37.5], 'player': {'id': 22911, 'name': 'Zakaria Diallo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.1, 27.6], 'player': {'id': 162750, 'name': 'Mashoor Shereef Thangalakath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.6, 45.3], 'player': {'id': 162749, 'name': 'Gurjinder Kumar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.7, 26.4], 'player': {'id': 168198, 'name': 'Joe Zoherliana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.6, 44.3], 'player': {'id': 162755, 'name': 'Mohammed Irshad'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.0, 29.9], 'player': {'id': 8624, 'name': 'Marco Sahanek'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [99.3, 20.5], 'player': {'id': 162752, 'name': 'Pragyan Sundar Gogoi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [92.8, 37.2], 'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [101.1, 31.1], 'player': {'id': 24303, 'name': 'Joni Ensio Kauko'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [102.7, 40.0], 'player': {'id': 124907, 'name': 'Liston Colaco'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [103.0, 30.3], 'player': {'id': 124741, 'name': 'Manvir Singh'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",15731c11-ffd4-41ed-94e3-d9f8881b9fe7,,Saved,0.013592523,Normal,Open Play,,,,ATK Mohun Bagan,7282,00:10:33.004,Shot,
,,,,,,,,,,,,,,,0.110822,,,,,,,,,,,,,,715d16f1-843d-49ac-8658-ab73ceda1310,532,,"[111.0, 28.4]",3817873,12,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Manvir Singh,124741.0,Right Center Forward,28,ATK Mohun Bagan,7282,"['61c18dbd-84fa-4b62-896f-011ea8c59bf7', 'b63b52e8-3dc3-4d22-9ec0-268e3ed92882']",24,,Left Foot,"[111.7, 29.1]",,"[{'location': [117.1, 36.5], 'player': {'id': 162747, 'name': 'Subhasish Roy Chowdhury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.6, 29.3], 'player': {'id': 22911, 'name': 'Zakaria Diallo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.1, 32.3], 'player': {'id': 162749, 'name': 'Gurjinder Kumar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.1, 42.4], 'player': {'id': 163343, 'name': 'Lenny Rodrigues'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",419cfd97-d919-4bba-95b1-386a8b3aa67a,,Blocked,0.048895262,Normal,Open Play,,,,ATK Mohun Bagan,7282,00:12:24.543,Shot,
,,,,,,,,,,,,,,,1.239341,,,,,,,,,,,,,,5179f4b5-5b78-4dbe-a0d2-81915ac8e358,542,,"[101.5, 16.1]",3817873,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Liston Colaco,124907.0,Left Center Forward,29,ATK Mohun Bagan,7282,['25860823-fa8a-4594-a82c-33ffe71bb0e5'],3,,Right Foot,"[118.8, 37.8, 1.6]",,"[{'location': [92.4, 47.1], 'player': {'id': 163343, 'name': 'Lenny Rodrigues'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [89.9, 29.3], 'player': {'id': 163340, 'name': 'Deepak Tangri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.1, 38.3], 'player': {'id': 124741, 'name': 'Manvir Singh'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [110.9, 41.7], 'player': {'id': 124772, 'name': 'Pritam Kotal'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [112.3, 43.4], 'player': {'id': 24303, 'name': 'Joni Ensio Kauko'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [113.5, 46.6], 'player': {'id': 124756, 'name': 'Subhasish Bose'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [113.4, 8.7], 'player': {'id': 163339, 'name': 'Prabir Das'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [104.9, 22.3], 'player': {'id': 162752, 'name': 'Pragyan Sundar Gogoi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.3, 26.5], 'player': {'id': 162753, 'name': 'Suhair Vadakkepeedika'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [110.4, 19.5], 'player': {'id': 187212, 'name': 'Marcelo Leite Pereira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.2, 40.2], 'player': {'id': 168198, 'name': 'Joe Zoherliana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.6, 52.1], 'player': {'id': 170691, 'name': 'José Luis Espinosa Arroyo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [119.1, 38.6], 'player': {'id': 162747, 'name': 'Subhasish Roy Chowdhury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.6, 50.4], 'player': {'id': 162750, 'name': 'Mashoor Shereef Thangalakath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.3, 44.5], 'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.1, 42.3], 'player': {'id': 8624, 'name': 'Marco Sahanek'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.6, 40.9], 'player': {'id': 162749, 'name': 'Gurjinder Kumar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.3, 37.6], 'player': {'id': 162755, 'name': 'Mohammed Irshad'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.4, 36.1], 'player': {'id': 22911, 'name': 'Zakaria Diallo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",783580ed-b58e-41d1-9ccc-7f83dc0c58c6,,Saved,0.008640031,Normal,Open Play,,,,ATK Mohun Bagan,7282,00:13:03.064,Shot,
,,,,,,,,,,,,,,,1.345102,,,,,,,,,,,,,,5f18bac8-c669-4bb9-835f-b7ac030e0d32,597,,"[97.1, 53.5]",3817873,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Prabir Das,163339.0,Right Wing Back,44,ATK Mohun Bagan,7282,['31505801-e941-4f5b-9420-ba977a0e602c'],47,,Right Foot,"[120.0, 33.4, 6.0]",True,"[{'location': [108.9, 43.6], 'player': {'id': 24303, 'name': 'Joni Ensio Kauko'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [116.9, 43.3], 'player': {'id': 162747, 'name': 'Subhasish Roy Chowdhury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.1, 57.4], 'player': {'id': 168198, 'name': 'Joe Zoherliana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.3, 53.3], 'player': {'id': 22911, 'name': 'Zakaria Diallo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.3, 43.6], 'player': {'id': 162749, 'name': 'Gurjinder Kumar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.4, 50.5], 'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.4, 36.3], 'player': {'id': 162750, 'name': 'Mashoor Shereef Thangalakath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 31.2], 'player': {'id': 162752, 'name': 'Pragyan Sundar Gogoi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [92.2, 31.1], 'player': {'id': 162755, 'name': 'Mohammed Irshad'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.5, 23.2], 'player': {'id': 163343, 'name': 'Lenny Rodrigues'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [102.4, 60.5], 'player': {'id': 124741, 'name': 'Manvir Singh'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",731ae49d-93d8-44a7-9c98-c82294b05bf1,,Off T,0.024746535,Normal,Open Play,,,,ATK Mohun Bagan,7282,00:14:47.131,Shot,
,,,,,,,,,,,,,,,0.733692,,,,,,,,,,,,,,d7ff1661-d4d5-4d77-adf5-49d328233d98,649,,"[106.2, 49.3]",3817873,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Suhair Vadakkepeedika,162753.0,Center Forward,47,NorthEast United,7285,['ee178e5f-8b6f-451f-95d7-6e704785cb4c'],28,,Right Foot,"[120.0, 43.4, 0.9]",True,"[{'location': [103.0, 41.8], 'player': {'id': 187212, 'name': 'Marcelo Leite Pereira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.4, 42.1], 'player': {'id': 124773, 'name': 'Amrinder Singh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.8, 40.0], 'player': {'id': 163337, 'name': 'Ashutosh Mehta'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.9, 39.2], 'player': {'id': 163339, 'name': 'Prabir Das'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [101.8, 42.8], 'player': {'id': 124772, 'name': 'Pritam Kotal'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [107.6, 46.7], 'player': {'id': 170691, 'name': 'José Luis Espinosa Arroyo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [90.2, 31.8], 'player': {'id': 8624, 'name': 'Marco Sahanek'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",02b836d0-029a-4a9b-9c78-262328abb37b,,Goal,0.14424776,Normal,Open Play,,,,NorthEast United,7285,00:16:28.733,Shot,
,,,,,,,,,,,,,,,0.903202,,,,,,,,,,,,,,9bd5149b-8dce-4fd6-8b00-c4b35cb37255,828,,"[95.7, 40.9]",3817873,21,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Joni Ensio Kauko,24303.0,Center Defensive Midfield,52,ATK Mohun Bagan,7282,['1b3d60a1-bd62-4d75-9f37-d237a84a5c18'],10,,Right Foot,"[120.0, 37.9, 0.2]",,"[{'location': [99.2, 46.2], 'player': {'id': 124741, 'name': 'Manvir Singh'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [104.1, 35.9], 'player': {'id': 124907, 'name': 'Liston Colaco'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [97.6, 27.6], 'player': {'id': 163340, 'name': 'Deepak Tangri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.6, 25.1], 'player': {'id': 163343, 'name': 'Lenny Rodrigues'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [91.4, 33.7], 'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [92.9, 45.4], 'player': {'id': 162755, 'name': 'Mohammed Irshad'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.0, 29.9], 'player': {'id': 162752, 'name': 'Pragyan Sundar Gogoi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.3, 34.2], 'player': {'id': 162750, 'name': 'Mashoor Shereef Thangalakath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 38.9], 'player': {'id': 22911, 'name': 'Zakaria Diallo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.1, 43.0], 'player': {'id': 162749, 'name': 'Gurjinder Kumar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.7, 33.1], 'player': {'id': 168198, 'name': 'Joe Zoherliana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.5, 40.1], 'player': {'id': 162747, 'name': 'Subhasish Roy Chowdhury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",18db38c6-4c18-4d47-8204-5e1ad559ce0c,,Goal,0.04996507,Normal,Open Play,,,,ATK Mohun Bagan,7282,00:21:10.047,Shot,
,,,,,,,,,,,,,,,0.251453,,,,,,,,,,,,,,7abda7fb-69fc-402d-886b-42098ca26a70,876,,"[97.9, 30.8]",3817873,23,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marcelo Leite Pereira,187212.0,Left Wing,56,NorthEast United,7285,"['3a4e0f77-c50f-44d9-825a-8f759a4e14b4', 'c5e5b3dd-e903-4142-adb1-104f0236708f']",28,,Left Foot,"[105.1, 33.5]",,"[{'location': [105.4, 20.5], 'player': {'id': 162749, 'name': 'Gurjinder Kumar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [95.1, 25.8], 'player': {'id': 162753, 'name': 'Suhair Vadakkepeedika'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.4, 47.0], 'player': {'id': 168198, 'name': 'Joe Zoherliana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [98.3, 44.5], 'player': {'id': 162755, 'name': 'Mohammed Irshad'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.6, 35.0], 'player': {'id': 8624, 'name': 'Marco Sahanek'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [116.3, 37.9], 'player': {'id': 124773, 'name': 'Amrinder Singh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.6, 37.8], 'player': {'id': 170691, 'name': 'José Luis Espinosa Arroyo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.6, 33.5], 'player': {'id': 163340, 'name': 'Deepak Tangri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.7, 30.3], 'player': {'id': 163337, 'name': 'Ashutosh Mehta'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.1, 33.6], 'player': {'id': 124772, 'name': 'Pritam Kotal'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [97.9, 33.9], 'player': {'id': 24303, 'name': 'Joni Ensio Kauko'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.7, 47.2], 'player': {'id': 124756, 'name': 'Subhasish Bose'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [101.7, 27.6], 'player': {'id': 163339, 'name': 'Prabir Das'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [99.4, 24.1], 'player': {'id': 163343, 'name': 'Lenny Rodrigues'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",c38e5402-9387-488b-9168-c826cb3bb1f4,,Blocked,0.038028542,Normal,Open Play,,,,NorthEast United,7285,00:23:28.152,Shot,
,,,,,,,,,,,,,,,0.2686,,,,,,,,,,,,,,5ac1fd0c-f0d4-4312-b381-538728c60a2c,977,,"[106.9, 43.1]",3817873,26,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Joni Ensio Kauko,24303.0,Center Defensive Midfield,62,ATK Mohun Bagan,7282,"['690fe409-6c72-4a7d-9568-9e14d808e660', '8c5472ae-947c-4277-971c-681f4fc8b3a8', 'ea571e9c-6845-40f0-91ad-d8a6f83f6bf1']",6,,Right Foot,"[110.5, 42.1]",,"[{'location': [103.0, 62.5], 'player': {'id': 163343, 'name': 'Lenny Rodrigues'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.0, 69.4], 'player': {'id': 163339, 'name': 'Prabir Das'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [110.4, 37.3], 'player': {'id': 124741, 'name': 'Manvir Singh'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [110.2, 30.2], 'player': {'id': 124907, 'name': 'Liston Colaco'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [118.2, 41.7], 'player': {'id': 162747, 'name': 'Subhasish Roy Chowdhury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 40.8], 'player': {'id': 162752, 'name': 'Pragyan Sundar Gogoi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.9, 49.3], 'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [111.9, 37.5], 'player': {'id': 168198, 'name': 'Joe Zoherliana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.7, 42.0], 'player': {'id': 162750, 'name': 'Mashoor Shereef Thangalakath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.5, 54.8], 'player': {'id': 162755, 'name': 'Mohammed Irshad'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.8, 43.4], 'player': {'id': 22911, 'name': 'Zakaria Diallo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.7, 54.8], 'player': {'id': 162749, 'name': 'Gurjinder Kumar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",d07639f0-8151-4802-b60e-a76f7291555a,,Blocked,0.096301265,Normal,Open Play,,,,ATK Mohun Bagan,7282,00:26:06.888,Shot,True
