50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.547935,,,,,,,,,,,,,8be15293-204d-4345-bec6-ef5c3bcff2f2,353,,"[108.8, 40.6]",3890475,6,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Dante Bonfim da Costa Santos,3197.0,Left Center Back,18,Wolfsburg,179,"['0f915a40-bcc6-4a83-925a-1dd35e252742', '2fb82705-15e1-439b-8efc-ce649ccf6cbf', '4c503a9c-db11-4bd5-9e90-a33f3ab35ec0']",24,True,Head,,"[115.1, 42.4]",,"[{'location': [119.6, 36.9], 'player': {'id': 8238, 'name': 'Mahmoud Dahoud'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.7, 42.7], 'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [114.0, 41.5], 'player': {'id': 8239, 'name': 'Robin Knoche'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [112.9, 41.4], 'player': {'id': 8395, 'name': 'Håvard Nordtveit'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.2, 38.0], 'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.2, 44.6], 'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [110.0, 43.8], 'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.6, 40.7], 'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [119.6, 40.1], 'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.4, 34.8], 'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.9, 40.0], 'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [106.5, 36.3], 'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.0, 35.3], 'player': {'id': 8307, 'name': 'Martin Hinteregger'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}]",fa3541e5-7e46-4a45-be8e-40f21e3993cc,,Blocked,0.0356545,Normal,Open Play,,,,Wolfsburg,179,00:06:24.462,Shot,True
,,,,,,,,,,,,,,,,,1.605663,,,,,,,,,,,,,becda463-6fa0-454a-96ab-ba3426a295cb,744,,"[106.3, 39.9]",3890475,14,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Julian Draxler,3186.0,Center Forward,35,Wolfsburg,179,"['1f1956c1-6da8-40a6-ad2b-20d32dae0412', '76d8094f-6293-4caf-9a1f-a3703b38e409']",33,,Left Foot,,"[120.0, 43.7, 0.3]",,"[{'location': [105.2, 46.4], 'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.1, 59.2], 'player': {'id': 8395, 'name': 'Håvard Nordtveit'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.2, 51.6], 'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.1, 47.5], 'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [106.3, 42.5], 'player': {'id': 8238, 'name': 'Mahmoud Dahoud'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.8, 42.0], 'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.5, 40.6], 'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.3, 34.9], 'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [104.0, 27.4], 'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",d8dfdb56-a254-4d77-bfbd-af464d4f27ca,,Goal,0.2713439,Normal,Open Play,,,,Wolfsburg,179,00:14:33.356,Shot,True
,,,,,,,,,,,,,,,,,0.83854,,,,,,,,,,,,,4765b295-34d0-46c2-93ec-de1ee240af58,856,,"[111.1, 26.5]",3890475,16,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Max Kruse,8386.0,Left Wing,37,Wolfsburg,179,['06953b7c-29e4-400b-bea3-fd8a1f581c7f'],58,,Right Foot,,"[120.0, 43.7, 2.2]",,"[{'location': [105.5, 36.1], 'player': {'id': 8238, 'name': 'Mahmoud Dahoud'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [114.3, 43.4], 'player': {'id': 8395, 'name': 'Håvard Nordtveit'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.5, 33.1], 'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [113.6, 27.4], 'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.8, 36.8], 'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.3, 28.7], 'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [111.0, 48.8], 'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.2, 33.0], 'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [104.8, 23.5], 'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",a6daa2a4-e2e1-4696-bae6-9ef4b06186fb,,Goal,0.08358842,Normal,Open Play,,,,Wolfsburg,179,00:16:58.195,Shot,
,,,,,,,,,,,,,,,,,0.901846,,,,,,,,,,,,,bfd51ed4-dac9-4536-9fcc-a928a60e90f9,1100,,"[113.6, 22.6]",3890475,22,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Raffael Caetano de Araújo,8810.0,Left Wing,48,Borussia Mönchengladbach,185,['5122e04b-a1ff-452d-96ea-1cdd4644957b'],51,,Right Foot,,"[120.0, 38.1, 2.4]",,"[{'location': [102.0, 55.1], 'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.6, 36.2], 'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.9, 29.1], 'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [86.7, 59.0], 'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [103.3, 33.1], 'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [96.4, 41.2], 'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [93.3, 49.6], 'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.0, 26.1], 'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.4, 32.9], 'player': {'id': 8239, 'name': 'Robin Knoche'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.1, 37.7], 'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.4, 35.5], 'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.1, 48.2], 'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",8bcc5c3b-e210-449e-8730-604dc18c6871,,Goal,0.00905987,Normal,Open Play,,,,Borussia Mönchengladbach,185,00:22:51.466,Shot,
,,,,,,,,,,,,,,,,,0.332532,,,,,,,,,,,,,efd17e58-a3b7-4556-8722-10977eb1ed9f,1155,,"[102.1, 40.9]",3890475,24,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mahmoud Dahoud,8238.0,Right Center Midfield,50,Borussia Mönchengladbach,185,"['26aa5f65-75c6-45f4-b3d9-a330c181207e', 'be93b1bd-de84-4379-ab0d-dd0e76fe154c']",37,,Right Foot,,"[111.3, 38.6]",True,"[{'location': [107.5, 31.6], 'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [117.7, 30.4], 'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.4, 38.6], 'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.8, 43.9], 'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [93.6, 50.1], 'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [113.6, 32.2], 'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.2, 38.0], 'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.3, 39.5], 'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 36.6], 'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.1, 40.4], 'player': {'id': 8239, 'name': 'Robin Knoche'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.4, 40.3], 'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [117.9, 39.8], 'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.6, 43.6], 'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.3, 49.7], 'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",a2c35a11-0329-43e9-9fe3-f472f913842b,,Blocked,0.06235986,Normal,Open Play,,,,Borussia Mönchengladbach,185,00:24:37.260,Shot,
,,,,,,,,,,,,,,,,,0.708182,,,,,,,,,,,,,003405a3-f8ae-4053-a4bd-fd68647e9901,1167,,"[112.4, 26.3]",3890475,24,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Raffael Caetano de Araújo,8810.0,Left Wing,50,Borussia Mönchengladbach,185,['03ebe36e-3e74-47db-9b8b-f40010fe9bcd'],49,,Right Foot,,"[117.7, 36.5, 0.6]",,"[{'location': [109.4, 52.1], 'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.8, 58.8], 'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.8, 37.7], 'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [108.4, 45.8], 'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.7, 54.0], 'player': {'id': 8238, 'name': 'Mahmoud Dahoud'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [111.8, 29.6], 'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.7, 36.4], 'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.4, 42.1], 'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.1, 49.9], 'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.4, 36.1], 'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.6, 43.9], 'player': {'id': 8239, 'name': 'Robin Knoche'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.3, 39.2], 'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",70f02a58-b552-4946-a25f-66f6cbeb9337,True,Saved,0.06697844,Normal,Open Play,,,,Borussia Mönchengladbach,185,00:24:49.779,Shot,
,,,,,,,,,,,,,,,,,0.193456,,,,,,,,,,,,,e0565d7f-8fe7-43ed-88c7-7eec40b51471,1218,,"[109.0, 46.1]",3890475,26,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Fabian Johnson,11283.0,Left Center Midfield,54,Borussia Mönchengladbach,185,['646b4875-d399-45b3-a9b7-de123cf53225'],2,,Right Foot,,"[113.9, 44.3, 0.2]",True,"[{'location': [93.8, 59.4], 'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.9, 50.7], 'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.1, 43.7], 'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.6, 43.2], 'player': {'id': 8239, 'name': 'Robin Knoche'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.1, 45.6], 'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.2, 47.6], 'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [99.5, 58.9], 'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",bd7f611b-6207-4bf3-b22e-cec6e5193aea,,Saved,0.3961849,Normal,Open Play,,,,Borussia Mönchengladbach,185,00:26:02.748,Shot,
,,,,,,,,,,,,,,,,,1.147967,,,,,,,,,,,,,cded6519-d8d6-45c5-b0ee-c2e07cadb974,1232,,"[85.8, 34.0]",3890475,26,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mahmoud Dahoud,8238.0,Right Center Midfield,54,Borussia Mönchengladbach,185,['f273f9da-761a-4cc1-b6b4-970d7b1bfb24'],15,,Right Foot,,"[118.0, 37.8, 1.0]",,"[{'location': [85.1, 26.5], 'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [98.0, 60.5], 'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [118.2, 38.6], 'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.2, 46.4], 'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.1, 45.3], 'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [91.8, 7.7], 'player': {'id': 8307, 'name': 'Martin Hinteregger'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [98.1, 20.8], 'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [97.9, 35.1], 'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [81.0, 58.5], 'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [87.7, 26.4], 'player': {'id': 3186, 'name': 'Julian Draxler'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [93.7, 13.8], 'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [99.1, 23.7], 'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.5, 31.2], 'player': {'id': 8239, 'name': 'Robin Knoche'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [92.9, 32.9], 'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [95.4, 40.2], 'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.1, 38.2], 'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.6, 47.7], 'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [88.9, 47.6], 'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",e9532881-cf50-4d75-b850-7e57c7d34ecd,,Saved,0.015011145,Normal,Open Play,,,,Borussia Mönchengladbach,185,00:26:15.981,Shot,
,,,,,,,,,,,,,,,,,0.15033,,,,,,,,,,,,,e1d99dc9-dcc0-4347-a627-d3988c66d753,1737,,"[107.9, 39.7]",3890475,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lars Edi Stindl,8806.0,Center Forward,75,Borussia Mönchengladbach,185,"['380bb606-7660-46e1-a4b4-38994de9c48f', 'ea181a52-f667-45d7-9f9b-df03bbfe7856']",19,,Left Foot,,"[110.0, 39.6]",,"[{'location': [117.9, 15.6], 'player': {'id': 8307, 'name': 'Martin Hinteregger'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [109.1, 31.9], 'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [112.7, 36.7], 'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.6, 42.7], 'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [115.7, 17.0], 'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.8, 28.7], 'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.2, 31.4], 'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [111.2, 35.1], 'player': {'id': 8239, 'name': 'Robin Knoche'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.9, 37.9], 'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.8, 40.0], 'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.2, 42.6], 'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.4, 52.5], 'player': {'id': 3186, 'name': 'Julian Draxler'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [110.6, 39.3], 'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",,,Blocked,0.09804809,Half Volley,Open Play,,,,Borussia Mönchengladbach,185,00:38:19.487,Shot,
,,,,,,,,,,,,,,,,,0.124477,,,,,,,,,,,,,8293ad1a-cb65-4f01-8141-1c1ddf91b881,1835,,"[94.3, 45.4]",3890475,41,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Raffael Caetano de Araújo,8810.0,Left Wing,80,Borussia Mönchengladbach,185,"['e5c41c54-1683-43da-9c43-1c6373681684', 'f8a5911f-2f5c-47bd-a1c7-d1f673fe9b0c']",59,,Right Foot,True,"[116.9, 42.7, 0.4]",,"[{'location': [83.1, 43.4], 'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [96.2, 29.5], 'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [95.3, 62.1], 'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.0, 51.4], 'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [79.9, 65.1], 'player': {'id': 3186, 'name': 'Julian Draxler'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [79.0, 53.4], 'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [116.8, 41.2], 'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.2, 35.4], 'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.2, 45.8], 'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.1, 44.7], 'player': {'id': 8239, 'name': 'Robin Knoche'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 51.4], 'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.8, 45.6], 'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",1b6b734e-a802-4ed7-827a-196fb3dee551,,Saved,0.030269912,Normal,Open Play,,,,Borussia Mönchengladbach,185,00:41:59.995,Shot,
