ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.480094,,,,,,,,,,,,,38d441d4-63d9-4f70-926f-fd3b3c02f4e3,79,,"[108.2, 40.2]",3775550,1,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Melanie Leupolz,15648.0,Center Defensive Midfield,7,Chelsea FCW,971,['4a7759eb-3547-4046-9436-186929ce07e9'],52,,Right Foot,"[119.3, 36.7, 0.9]",,,,,Saved,0.7835,Normal,Penalty,,,,Chelsea FCW,971,00:01:52.655,Shot,
,,,,,,,,,,,,,,,0.090442,,,,,,,,,,,,,6bbbfd51-a004-4350-b4db-e4577341f22a,83,,"[112.2, 32.4]",3775550,2,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Magdalena Lilly Eriksson,4633.0,Left Center Back,8,Chelsea FCW,971,"['15ca4172-2daa-4e38-8669-4708c3186ae2', '44db0e8e-96b1-4aa2-bea6-2f8a55da0a72']",29,,Left Foot,"[113.5, 33.2]",True,"[{'location': [118.9, 42.4], 'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.5, 45.2], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.5, 35.6], 'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.6, 40.8], 'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.2, 38.3], 'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [114.3, 36.9], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [113.7, 34.5], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.8, 31.8], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [114.3, 32.2], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [113.7, 33.4], 'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [118.1, 37.9], 'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.1, 35.6], 'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [116.7, 43.1], 'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [112.7, 38.5], 'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.9, 44.9], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",268d9408-0172-41c8-9f62-5bfaccc79cc4,,Blocked,0.06203545,Half Volley,Open Play,,,,Chelsea FCW,971,00:02:29.437,Shot,
,,,,,,,,,,,,,,,0.677504,,,,,,,,,,,,,fab43a7b-4676-48bb-b04d-4ba4506fbf08,90,,"[110.6, 33.2]",3775550,2,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Samantha May Kerr,4961.0,Left Center Forward,9,Chelsea FCW,971,['1139534b-f73c-4448-a3c0-140b67107b4e'],53,,Head,"[111.8, 43.0]",,"[{'location': [118.5, 36.7], 'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [114.9, 33.5], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [115.7, 44.1], 'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.6, 39.6], 'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.6, 44.9], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.4, 38.1], 'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [117.0, 37.1], 'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.4, 38.1], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.1, 36.4], 'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [110.1, 38.7], 'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [113.9, 45.1], 'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.8, 43.5], 'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.5, 32.5], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [98.9, 13.2], 'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [96.7, 19.7], 'player': {'id': 4646, 'name': 'Claire Emslie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [110.6, 34.4], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.8, 36.7], 'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",c6363161-c8fd-4a0a-8594-826cf3818486,,Wayward,0.04354177,Normal,Open Play,,,,Chelsea FCW,971,00:02:53.410,Shot,
,,,,,,,,,,,,,,,0.94645,,,,,,,,,,,,,3759fbdb-90f6-4512-a71c-48ff98ac3101,598,,"[102.0, 36.7]",3775550,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Francesca Kirby,4641.0,Right Center Forward,28,Chelsea FCW,971,['a5f5a457-8a53-4f4c-b763-ca1d1ac38f78'],3,,Left Foot,"[120.0, 38.0, 0.0]",,"[{'location': [104.0, 41.4], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.8, 36.1], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.8, 43.9], 'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.9, 37.6], 'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",148507b3-f414-4c6f-8f64-4154ec6b95a2,,Goal,0.4375537,Normal,Open Play,,,,Chelsea FCW,971,00:13:03.230,Shot,
,,,,,,,,,,,,,,,1.060278,,,,,,,,,,,,,5a6adeba-476e-4307-812b-f8ba8f1e1cca,814,,"[97.5, 43.4]",3775550,18,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Francesca Kirby,4641.0,Right Center Forward,38,Chelsea FCW,971,['c9b24818-1161-4225-a30f-2103a2356915'],26,,Right Foot,"[120.0, 34.9, 1.1]",,"[{'location': [96.0, 39.5], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [96.1, 28.4], 'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [94.7, 43.3], 'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [79.7, 25.9], 'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.9, 46.4], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 42.6], 'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.5, 37.9], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.1, 34.9], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.2, 40.6], 'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",a7a3d948-158e-42a1-8b03-cf50525b4882,,Off T,0.046098273,Normal,Open Play,,,,Chelsea FCW,971,00:18:26.055,Shot,
,,,,,,,,,,,,,,,0.122828,,,,,,,,,,,,,25491be6-9bfc-4582-904b-ad39443c85a6,1042,,"[100.3, 27.7]",3775550,24,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,So-Yun Ji,4647.0,Left Center Midfield,49,Chelsea FCW,971,"['216d138f-4c83-4cf7-a1f3-ba3f90c8da78', '78d6322e-09d1-4b3d-ba60-3930ba426ffd', '84093392-7c38-4ea5-bca5-e349bcc77c19']",0,,Right Foot,"[103.5, 29.6]",True,"[{'location': [103.4, 52.8], 'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 50.3], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.3, 38.2], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [110.5, 41.7], 'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.1, 31.4], 'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [110.6, 34.9], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.4, 29.8], 'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.1, 38.3], 'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.4, 47.1], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [100.0, 34.4], 'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.9, 38.6], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",,,Blocked,0.03040483,Half Volley,Open Play,,,,Chelsea FCW,971,00:24:00.091,Shot,True
,,,,,,,,,,,,,,,0.497437,,,,,,,,,,,,,92ffca2e-d616-47ab-a562-39d2b7ef14c5,1048,,"[105.1, 46.5]",3775550,24,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Erin Cuthbert,4660.0,Right Center Midfield,50,Chelsea FCW,971,"['47e5c705-19d0-43dd-8a29-24080731e56b', '601b0dc5-8b42-4ea6-9647-285780539c57']",45,,Left Foot,"[111.9, 41.9]",,"[{'location': [111.7, 39.7], 'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [103.1, 52.9], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [109.2, 30.8], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [110.9, 38.7], 'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.9, 41.7], 'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.7, 38.6], 'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [107.3, 41.5], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.1, 42.8], 'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.6, 47.1], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.7, 48.5], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [116.4, 41.8], 'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.3, 29.5], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [109.5, 36.8], 'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.4, 44.4], 'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.7, 40.3], 'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [98.4, 37.5], 'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [84.2, 26.2], 'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",e40f8b8b-5afb-40a7-9390-8c7a0ea00a3d,,Blocked,0.07008951,Half Volley,Open Play,,,,Chelsea FCW,971,00:24:45.520,Shot,
,,,,,,,,,,,,,,,0.539727,,,,,,,,,,,,,b21affac-41a8-4db0-844a-8201e4f7e500,1054,,"[109.7, 45.5]",3775550,24,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Pernille Mosegaard Harder,10108.0,Center Attacking Midfield,50,Chelsea FCW,971,"['27d9e670-e884-4cd6-a92c-e3ba3fb00681', '30181a20-2e0a-4a82-a46f-80c8babcbea2', '3f0f9b10-59b0-44dc-b318-7550e7eb3698']",47,,Right Foot,"[118.9, 40.9, 0.8]",True,"[{'location': [105.7, 40.5], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.3, 44.2], 'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.7, 44.5], 'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.8, 37.9], 'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.4, 40.3], 'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [106.5, 30.9], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [118.1, 40.4], 'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.6, 41.8], 'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.2, 42.7], 'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [106.7, 32.5], 'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [106.0, 28.6], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [103.9, 47.4], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [97.8, 40.8], 'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [107.6, 46.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.3, 46.6], 'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,,Saved,0.07799183,Half Volley,Open Play,,,,Chelsea FCW,971,00:24:47.677,Shot,True
,,,,,,,,,,,,,,,2.370159,,,,,,,,,,,,,1c1ff208-b35b-40fc-9c59-4ddcd776667d,1071,,"[111.9, 49.1]",3775550,25,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Pernille Mosegaard Harder,10108.0,Center Attacking Midfield,50,Chelsea FCW,971,"['5155cd7f-6959-4794-afa1-2dc771947bea', '8bd1dfaf-9ebf-4ed2-8ae2-21e1411b8364']",5,True,Head,"[120.0, 56.0, 1.1]",,"[{'location': [103.3, 40.0], 'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.6, 49.6], 'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.2, 13.3], 'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [102.4, 11.9], 'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [100.9, 16.7], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [99.8, 15.4], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [110.2, 51.3], 'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.6, 50.1], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [118.2, 41.5], 'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.1, 50.5], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 43.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.3, 40.1], 'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [111.0, 48.3], 'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.3, 36.4], 'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [94.4, 22.8], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.6, 20.6], 'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",f67ddfb2-91f7-44e7-a007-a081bde23267,,Off T,0.070013404,Normal,Open Play,,,,Chelsea FCW,971,00:25:05.389,Shot,True
,,,,,,,,,,,,,,,0.858669,,,,,,,,,,,,,c29fd414-43b1-460c-8424-04322dadaad3,1507,,"[101.4, 41.3]",3775550,34,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,So-Yun Ji,4647.0,Left Center Midfield,65,Chelsea FCW,971,['74807250-2d11-42d2-abbd-aa2f654df909'],54,,Right Foot,"[118.0, 40.0, 0.4]",True,"[{'location': [108.8, 49.5], 'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.0, 45.0], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [117.4, 41.0], 'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.3, 38.2], 'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.2, 41.8], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 38.4], 'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.7, 43.8], 'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.3, 49.7], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.3, 48.0], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.3, 50.9], 'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.5, 24.7], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",a4463e61-658e-4f09-9521-3345d1024a40,,Saved,0.07730267,Normal,Open Play,,,,Chelsea FCW,971,00:34:54.967,Shot,
