50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.956661,,,,,,,,,,,,,,,06241af8-11cd-4832-8fe7-f0a445214ce5,330,,"[93.1, 28.4]",22955,7,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Elise Kellond-Knight,25537.0,Left Back,17,Australia Women's,1205,['3c10fbe9-9e48-4824-8019-c066adc1dda8'],4,,Left Foot,"[120.0, 30.0, 5.5]",True,"[{'location': [118.3, 37.6], 'player': {'id': 25555, 'name': 'Bárbara Micheline do Monte Barbosa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.7, 31.2], 'player': {'id': 25556, 'name': 'Kathellen Sousa Feitoza'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.8, 36.1], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 25.2], 'player': {'id': 25560, 'name': 'Letícia Santos de Oliveira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.0, 39.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.2, 47.0], 'player': {'id': 15291, 'name': 'Miraildes Maciel Mota'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [92.4, 31.0], 'player': {'id': 24368, 'name': 'Andressa Alves da Silva'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [89.2, 42.3], 'player': {'id': 5082, 'name': 'Marta Vieira da Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.9, 36.3], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.0, 46.7], 'player': {'id': 25744, 'name': 'Emily Gielnik'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.6, 38.2], 'player': {'id': 25549, 'name': 'Tameka Yallop'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [99.9, 4.0], 'player': {'id': 25547, 'name': 'Chloe Logarzo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.6, 52.2], 'player': {'id': 25559, 'name': 'Tamires Cássia Dias de Britto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",b3d50fbc-c4f1-4425-ba09-27978d343b9f,Off T,0.022229781,Normal,Open Play,,,,Australia Women's,1205,00:07:04.050,Shot,
,,,,,,,,,,,,,,,3.459767,,,,,,,,,,,,,,,1ddad21b-444a-468f-b90f-c38a5d97d651,382,,"[104.1, 43.9]",22955,8,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Samantha May Kerr,4961.0,Center Forward,19,Australia Women's,1205,['1d10ba6a-4d2d-4c5a-a0aa-2c5c52200162'],5,,Head,"[120.0, 22.9, 0.4]",,"[{'location': [118.6, 42.0], 'player': {'id': 25555, 'name': 'Bárbara Micheline do Monte Barbosa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.9, 42.9], 'player': {'id': 25556, 'name': 'Kathellen Sousa Feitoza'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.2, 49.4], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.2, 38.5], 'player': {'id': 25560, 'name': 'Letícia Santos de Oliveira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.3, 31.5], 'player': {'id': 24368, 'name': 'Andressa Alves da Silva'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [101.9, 40.8], 'player': {'id': 25549, 'name': 'Tameka Yallop'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [95.3, 50.2], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.5, 62.3], 'player': {'id': 15291, 'name': 'Miraildes Maciel Mota'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [99.1, 62.4], 'player': {'id': 25547, 'name': 'Chloe Logarzo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [104.0, 30.1], 'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",ccf4ebd8-0ebb-4c6e-9075-1faf7fda1e30,Off T,0.09283967,Normal,Open Play,,,,Australia Women's,1205,00:08:05.138,Shot,
,,,,,,,,,,,,,,,0.5078,,,,,,,,,,,,,,,8c20a83b-7c40-4eb6-be84-3c3e3fe5bcbc,978,,"[108.4, 40.0]",22955,26,,,,,,,,,,,,,,,,,,,,,1,Other,Marta Vieira da Silva,5082.0,Right Center Midfield,44,Brazil Women's,1203,['da000bb2-953b-482f-9166-c80db80a61e4'],51,,Left Foot,"[120.0, 37.2, 0.5]",,,,Goal,0.7835,Normal,Penalty,,,,Brazil Women's,1203,00:26:51.000,Shot,
,,,,,,,,,,,,,,,0.71721,,,,,,,,,,,,,,,30295373-285f-494b-816d-5e3f4bfcba98,1427,,"[113.2, 35.2]",22955,36,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Samantha May Kerr,4961.0,Center Forward,60,Australia Women's,1205,['55acbab9-9fd9-4d7a-bc45-7c853a6abee4'],30,,Right Foot,"[119.5, 36.3, 0.3]",True,"[{'location': [119.4, 36.3], 'player': {'id': 25555, 'name': 'Bárbara Micheline do Monte Barbosa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.4, 35.7], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.6, 38.8], 'player': {'id': 25556, 'name': 'Kathellen Sousa Feitoza'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.5, 31.4], 'player': {'id': 15291, 'name': 'Miraildes Maciel Mota'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [111.9, 48.8], 'player': {'id': 25559, 'name': 'Tamires Cássia Dias de Britto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.6, 50.7], 'player': {'id': 25744, 'name': 'Emily Gielnik'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.4, 19.2], 'player': {'id': 25560, 'name': 'Letícia Santos de Oliveira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.3, 18.3], 'player': {'id': 24368, 'name': 'Andressa Alves da Silva'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [110.4, 17.4], 'player': {'id': 25537, 'name': 'Elise Kellond-Knight'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [95.4, 35.1], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.0, 41.2], 'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [97.8, 42.1], 'player': {'id': 25549, 'name': 'Tameka Yallop'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [97.0, 30.7], 'player': {'id': 25547, 'name': 'Chloe Logarzo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",003149f6-82b4-4f34-8b0f-d14f89dc9f07,Saved,0.14876376,Normal,Open Play,,,,Australia Women's,1205,00:36:30.240,Shot,
,,,,,,,,,,,,,,,0.9091,,,,,,,,,,,,,,,ea644a17-a9b7-42cf-89fd-74f05fa2b31f,1504,,"[112.8, 40.5]",22955,37,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Cristiane Rozeira de Souza Silva,15293.0,Center Forward,63,Brazil Women's,1203,"['b1157b0d-de6b-44ea-94a7-3c12ce05c212', 'fe6776b1-9059-45fe-a744-9125ebacd2ac']",56,True,Head,"[120.0, 43.2, 0.9]",,"[{'location': [109.7, 35.9], 'player': {'id': 25537, 'name': 'Elise Kellond-Knight'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.1, 36.7], 'player': {'id': 5082, 'name': 'Marta Vieira da Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.8, 41.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.6, 42.0], 'player': {'id': 25549, 'name': 'Tameka Yallop'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.4, 30.4], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.4, 20.9], 'player': {'id': 5095, 'name': 'Ellie Madison Carpenter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.5, 40.2], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",43625f9d-0b27-4ec1-9793-2904fbdc8103,Goal,0.17210981,Normal,Open Play,,,,Brazil Women's,1203,00:37:56.465,Shot,True
,,,,,,,,,,,,,,,0.1847,,,,,,,,,,,,,,,f4d96c1c-704a-4102-99e9-33abece686ca,1691,,"[95.4, 37.5]",22955,43,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Tameka Yallop,25549.0,Right Center Midfield,73,Australia Women's,1205,"['a90536fe-bc59-4f56-81fe-b4012ae4147d', 'f3bef41b-33c6-44a9-b998-31174bc0a2ef']",3,,Right Foot,"[101.4, 38.5]",True,"[{'location': [119.3, 39.8], 'player': {'id': 25555, 'name': 'Bárbara Micheline do Monte Barbosa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.5, 39.5], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 47.9], 'player': {'id': 25559, 'name': 'Tamires Cássia Dias de Britto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.9, 33.6], 'player': {'id': 25556, 'name': 'Kathellen Sousa Feitoza'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.9, 38.3], 'player': {'id': 15291, 'name': 'Miraildes Maciel Mota'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.8, 31.4], 'player': {'id': 25560, 'name': 'Letícia Santos de Oliveira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.1, 56.2], 'player': {'id': 25744, 'name': 'Emily Gielnik'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.5, 35.5], 'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.7, 29.6], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",c5a2e582-253e-46a3-84ae-5dee646a9eb5,Blocked,0.0411494,Normal,Open Play,,,,Australia Women's,1205,00:43:03.613,Shot,
,,,,,,,,,,,,,,,0.854487,,,,,,,,,,,,,,,edb7127a-2745-4cd0-ac62-d0718e6681d2,1781,,"[106.8, 57.7]",22955,44,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Emily Gielnik,25744.0,Right Wing,76,Australia Women's,1205,"['0667ed38-701b-4b3a-8184-fd8ea5a37957', '3d54e355-8590-4e42-b575-c36c56b89638']",39,,Right Foot,"[119.2, 43.5, 0.9]",,"[{'location': [119.0, 43.6], 'player': {'id': 25555, 'name': 'Bárbara Micheline do Monte Barbosa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.6, 56.7], 'player': {'id': 25559, 'name': 'Tamires Cássia Dias de Britto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.3, 47.8], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.9, 56.3], 'player': {'id': 5082, 'name': 'Marta Vieira da Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.8, 46.9], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.9, 41.4], 'player': {'id': 25556, 'name': 'Kathellen Sousa Feitoza'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.1, 40.6], 'player': {'id': 15291, 'name': 'Miraildes Maciel Mota'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.5, 37.1], 'player': {'id': 25560, 'name': 'Letícia Santos de Oliveira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.4, 47.2], 'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [113.2, 37.1], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.2, 36.8], 'player': {'id': 25549, 'name': 'Tameka Yallop'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",7c2ddc10-8bea-42ee-a8ac-3bb251eb6bae,Saved,0.021552216,Normal,Open Play,,,,Australia Women's,1205,00:44:39.145,Shot,True
,,,,,,,,,,,,,,,0.40737,,,,,,,,,,,,,,,7157b5e0-8f0a-43a1-a0de-69682c783b59,1838,,"[116.4, 41.6]",22955,45,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Caitlin Jade Foord,11338.0,Left Wing,79,Australia Women's,1205,['8ec5286d-01b9-40dc-83c5-fe66796cc56c'],59,,Right Foot,"[120.0, 42.8, 0.2]",True,"[{'location': [119.3, 40.6], 'player': {'id': 25555, 'name': 'Bárbara Micheline do Monte Barbosa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.9, 43.8], 'player': {'id': 25559, 'name': 'Tamires Cássia Dias de Britto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.4, 40.5], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.9, 33.3], 'player': {'id': 25556, 'name': 'Kathellen Sousa Feitoza'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.9, 31.4], 'player': {'id': 15291, 'name': 'Miraildes Maciel Mota'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.5, 51.8], 'player': {'id': 25744, 'name': 'Emily Gielnik'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [114.2, 31.4], 'player': {'id': 25547, 'name': 'Chloe Logarzo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",4d3aeede-dff9-4c5d-b2e2-902a14c87f9a,Goal,0.4565889,Volley,Open Play,,,,Australia Women's,1205,00:45:59.834,Shot,
,,,,,,,,,,,,,,,1.1625,,,,,,,,,,,,,,,c8e3957c-9418-4828-98fe-a50b49499ee2,2058,,"[108.4, 22.1]",22955,48,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Débora Cristiane de Oliveira,5044.0,Left Midfield,90,Brazil Women's,1203,['63c0ae43-84ca-4f94-8c0e-d634978bc932'],41,,Right Foot,"[120.0, 45.7, 1.6]",,"[{'location': [103.1, 26.8], 'player': {'id': 25542, 'name': 'Ludmila da Silva'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [94.4, 42.8], 'player': {'id': 24368, 'name': 'Andressa Alves da Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.3, 39.9], 'player': {'id': 25537, 'name': 'Elise Kellond-Knight'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.3, 22.4], 'player': {'id': 5095, 'name': 'Ellie Madison Carpenter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.6, 17.1], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.7, 25.3], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.3, 23.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.1, 36.7], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",35ee0009-02db-49d0-a1b5-4308d43a4b05,Off T,0.012806382,Normal,Open Play,,,,Brazil Women's,1203,00:03:41.580,Shot,
,,,,,,,,,,,,,,,1.073389,,,,,,,,,,,,,,,ec9de983-8216-4293-9e90-53a6458469d1,2098,,"[104.7, 28.9]",22955,50,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Tameka Yallop,25549.0,Right Center Midfield,93,Australia Women's,1205,"['459a4c26-040b-43b0-b3e1-fffac8a8d880', '529b6ed6-09a6-4668-8cb1-cbf9dabe3cfc']",49,,Right Foot,"[120.0, 44.8, 4.6]",,"[{'location': [107.6, 29.9], 'player': {'id': 25560, 'name': 'Letícia Santos de Oliveira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.4, 31.9], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.8, 37.7], 'player': {'id': 25555, 'name': 'Bárbara Micheline do Monte Barbosa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.5, 33.6], 'player': {'id': 25556, 'name': 'Kathellen Sousa Feitoza'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.5, 36.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.2, 41.7], 'player': {'id': 24368, 'name': 'Andressa Alves da Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.6, 34.8], 'player': {'id': 15293, 'name': 'Cristiane Rozeira de Souza Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.7, 41.2], 'player': {'id': 25743, 'name': 'Luana Bertolucci Paixão'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.2, 34.1], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.9, 37.9], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [114.0, 37.7], 'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [116.3, 60.2], 'player': {'id': 25547, 'name': 'Chloe Logarzo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [95.6, 26.9], 'player': {'id': 25537, 'name': 'Elise Kellond-Knight'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [107.4, 42.3], 'player': {'id': 25744, 'name': 'Emily Gielnik'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.0, 29.9], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]",,Off T,0.047613975,Half Volley,Open Play,,,,Australia Women's,1205,00:05:49.390,Shot,True
