50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.946253,,,,,,,,,,,,,ba62ca9f-8c2e-4082-9b6b-22acd1a01f7d,301,,"[94.5, 30.4]",3890321,6,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Henrikh Mkhitaryan,3275.0,Left Wing,18,Borussia Dortmund,180,['794ab258-413c-49f3-ad53-79fa607f1f84'],55,,Right Foot,"[120.0, 34.9, 0.4]",,"[{'location': [95.1, 26.4], 'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.5, 27.0], 'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.5, 33.9], 'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.1, 39.6], 'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.9, 40.4], 'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.6, 55.8], 'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [101.0, 47.3], 'player': {'id': 108336, 'name': 'Júnior Enrique Díaz Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.7, 37.9], 'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.9, 12.0], 'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [93.3, 24.2], 'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [87.6, 40.2], 'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [97.4, 51.6], 'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.0, 37.5], 'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",ea5b6527-5fef-4f04-abb5-d3d1be41a163,,Off T,0.033443738,Normal,Open Play,,,,Borussia Dortmund,180,00:06:55.871,Shot,
,,,,,,,,,,,,,,,,,0.411138,,,,,,,,,,,,,ad2323ae-931b-476c-a95e-c6970156564c,500,,"[114.3, 42.7]",3890321,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marco Reus,5559.0,Right Wing,24,Borussia Dortmund,180,['75f2dcbd-b0e2-4a83-ade3-e9ba5a5c88a0'],10,,Right Foot,"[120.0, 39.7, 5.0]",True,"[{'location': [102.2, 40.9], 'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 43.2], 'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.3, 38.7], 'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.4, 53.7], 'player': {'id': 108336, 'name': 'Júnior Enrique Díaz Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.3, 55.6], 'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [98.3, 51.2], 'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [118.5, 42.3], 'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.2, 40.1], 'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.2, 58.3], 'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [111.7, 56.5], 'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",8b4a75f7-85ed-46fd-971b-1b7ae2b5154e,,Off T,0.39293268,Volley,Open Play,,,,Borussia Dortmund,180,00:10:10.268,Shot,
,,,,,,,,,,,,,,,,,1.105449,,,,,,,,,,,,,0d405353-aa62-4592-8a66-e591323e250f,511,,"[110.0, 30.9]",3890321,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Luca Caldirola,9404.0,Left Center Back,26,Darmstadt 98,872,['ecb03ed2-a076-4105-9e9a-b04cd1e09b77'],42,,Right Foot,"[120.0, 39.4, 5.9]",True,"[{'location': [97.9, 33.4], 'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [105.8, 45.6], 'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.0, 41.6], 'player': {'id': 8816, 'name': 'Julian Weigl'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.1, 49.1], 'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.4, 36.9], 'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.4, 42.6], 'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 33.5], 'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.7, 37.3], 'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 51.1], 'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [106.0, 40.2], 'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [114.1, 44.5], 'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.1, 37.9], 'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [110.7, 33.4], 'player': {'id': 40477, 'name': 'Jan Rosenthal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,,Off T,0.07261949,Volley,Open Play,,,,Darmstadt 98,872,00:11:42.729,Shot,
,,,,,,,,,,,,,,,,,0.662866,,,,,,,,,,,,,7ef6daa3-e7ba-4b58-b330-0c1cc2b4e84d,748,,"[107.0, 45.2]",3890321,16,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marcel Heller,9401.0,Right Midfield,36,Darmstadt 98,872,['68de8f5f-613b-46ed-a9fc-8f7413af1480'],51,,Right Foot,"[120.0, 38.2, 0.6]",True,"[{'location': [117.4, 42.8], 'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [87.3, 12.7], 'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.2, 33.5], 'player': {'id': 8816, 'name': 'Julian Weigl'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.8, 41.6], 'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.4, 34.4], 'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 43.8], 'player': {'id': 40477, 'name': 'Jan Rosenthal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",1574c695-1ab0-4956-bdd6-200c4304ad0b,,Goal,0.1230055,Volley,Open Play,,,,Darmstadt 98,872,00:16:51.766,Shot,
,,,,,,,,,,,,,,,,,0.561329,,,,,,,,,,,,,e73823e7-dc5d-404a-ac3d-e5cdc5a49643,829,,"[115.6, 38.3]",3890321,19,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Pierre-Emerick Aubameyang,3712.0,Center Forward,39,Borussia Dortmund,180,['228b72ac-95c6-4c2c-b19c-98b8c23bd32f'],23,,Left Foot,"[120.0, 36.7, 3.4]",True,"[{'location': [114.4, 53.9], 'player': {'id': 108336, 'name': 'Júnior Enrique Díaz Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.1, 48.9], 'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.9, 43.9], 'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.3, 55.1], 'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [116.0, 40.0], 'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.8, 44.7], 'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 48.6], 'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [99.4, 52.7], 'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.5, 44.1], 'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.3, 62.7], 'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [114.1, 53.3], 'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",9086d3d2-5154-4b04-90f3-45095e35dc87,True,Off T,0.7939393,Half Volley,Open Play,,,,Borussia Dortmund,180,00:19:23.688,Shot,
,,,,,,,,,,,,,,,,,0.655951,,,,,,,,,,,,,15a53baa-d635-491a-ba5d-fe5cca6fe7ea,868,,"[113.8, 35.7]",3890321,20,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pierre-Emerick Aubameyang,3712.0,Center Forward,41,Borussia Dortmund,180,['b560f6bf-36aa-4c98-9779-f8a306e0ca5b'],29,,Head,"[120.0, 39.0, 4.5]",,"[{'location': [116.8, 28.6], 'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.7, 36.2], 'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.5, 54.5], 'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.9, 44.1], 'player': {'id': 108336, 'name': 'Júnior Enrique Díaz Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.0, 53.5], 'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [114.9, 35.1], 'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.6, 38.4], 'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.4, 49.7], 'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.2, 42.8], 'player': {'id': 40477, 'name': 'Jan Rosenthal'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.4, 26.7], 'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [104.3, 31.4], 'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.7, 50.1], 'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.9, 59.1], 'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [92.0, 52.3], 'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.3, 41.0], 'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",bd02c31e-40d1-40ac-8215-c8df236c87f3,,Off T,0.19458573,Normal,Open Play,,,,Borussia Dortmund,180,00:20:29.164,Shot,
,,,,,,,,,,,,,,,,,0.65504,,,,,,,,,,,,,6229ee95-e953-4de7-a731-521687677f4a,1037,,"[112.0, 28.9]",3890321,23,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marcel Schmelzer,11458.0,Left Back,49,Borussia Dortmund,180,"['64d8caa1-6012-4d04-b725-3f8a40751fb2', 'f424a06d-7ca4-4b24-9a6e-5f21146841b2']",42,,Left Foot,"[120.0, 36.9, 4.6]",,"[{'location': [113.6, 57.5], 'player': {'id': 108336, 'name': 'Júnior Enrique Díaz Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.9, 27.8], 'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [117.9, 40.4], 'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.4, 55.6], 'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [113.2, 38.3], 'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.3, 43.1], 'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [112.9, 30.1], 'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.2, 48.3], 'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.3, 35.9], 'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.5, 32.3], 'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [98.5, 58.1], 'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [114.1, 37.8], 'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.1, 46.8], 'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [107.8, 59.8], 'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.6, 36.6], 'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",be1a33ba-e55b-41cd-b450-a63689e1f566,,Off T,0.04119373,Half Volley,Open Play,,,,Borussia Dortmund,180,00:23:42.640,Shot,True
,,,,,,,,,,,,,,,,,0.985408,,,,,,,,,,,,,5a9011f7-750c-4c11-9c0a-e5da51b89219,1269,,"[89.2, 35.4]",3890321,29,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Julian Weigl,8816.0,Center Defensive Midfield,61,Borussia Dortmund,180,['a189b544-6812-40f6-9111-0753a4cf4043'],59,,Right Foot,"[117.0, 36.8, 0.3]",,"[{'location': [96.0, 24.9], 'player': {'id': 40477, 'name': 'Jan Rosenthal'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [92.2, 33.0], 'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [102.7, 13.5], 'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [101.6, 29.9], 'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.3, 26.9], 'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.0, 39.3], 'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.0, 41.4], 'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.9, 47.5], 'player': {'id': 108336, 'name': 'Júnior Enrique Díaz Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.5, 55.3], 'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [118.5, 39.5], 'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.4, 4.5], 'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [104.1, 27.3], 'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [98.9, 49.5], 'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.7, 61.1], 'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.7, 43.3], 'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [89.8, 51.0], 'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [96.6, 28.8], 'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",144ec2c5-b34e-45fc-b45e-9d3e14651dc2,,Saved,0.026018431,Normal,Open Play,,,,Borussia Dortmund,180,00:29:59.324,Shot,
,,,,,,,,,,,,,,,,,0.172938,,,,,,,,,,,,,74d51a45-cf47-48c9-be5c-1c4ff57109d1,1477,,"[113.0, 56.5]",3890321,36,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Marco Reus,5559.0,Center Forward,75,Borussia Dortmund,180,"['7b0832f3-f11e-4756-abc4-386dd1ca5e2d', '81eaa7e9-43b9-4cef-8497-023618e18777']",52,,Right Foot,"[115.1, 51.2]",True,"[{'location': [113.2, 39.0], 'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.1, 40.1], 'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.4, 43.6], 'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.1, 43.7], 'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.4, 51.4], 'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [110.1, 51.4], 'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.5, 37.7], 'player': {'id': 108336, 'name': 'Júnior Enrique Díaz Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.4, 33.0], 'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [107.0, 40.8], 'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [114.4, 38.5], 'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [114.2, 39.6], 'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.3, 49.1], 'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",4324899c-98b0-4a8d-8bb2-832ce376b777,,Blocked,0.0111136455,Half Volley,Open Play,,,,Borussia Dortmund,180,00:36:52.649,Shot,
,,,,,,,,,,,,,,,,,0.079176,,,,,,,,,,,,,765cba1d-1ff7-412d-bccc-4f947dbcc04f,1816,,"[107.0, 21.8]",3890321,48,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Marcel Schmelzer,11458.0,Left Back,92,Borussia Dortmund,180,"['5ae18e0f-d0cd-4d1e-b656-bd6cebcb2db0', '995e4758-07ed-401b-bf64-8fa425c72136']",59,,Left Foot,"[114.0, 33.4]",True,"[{'location': [114.2, 33.9], 'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.9, 30.6], 'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [108.7, 24.3], 'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 37.9], 'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.3, 41.1], 'player': {'id': 108336, 'name': 'Júnior Enrique Díaz Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.6, 44.8], 'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [101.5, 53.0], 'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [119.1, 36.6], 'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.2, 58.2], 'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [99.5, 44.5], 'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.0, 36.6], 'player': {'id': 40477, 'name': 'Jan Rosenthal'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.1, 35.6], 'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [114.3, 30.4], 'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [111.7, 40.9], 'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.6, 43.2], 'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.2, 40.5], 'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [92.1, 58.7], 'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [96.0, 45.0], 'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,,Blocked,0.00881582,Half Volley,Open Play,,,,Borussia Dortmund,180,00:48:59.873,Shot,
