bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.222,,,,,,,,,,,,,320ad3bb-5e93-4947-8164-ae581bb56f62,146,,,"[113.0, 41.0]",7483,4,,,,,,,,,,,,,,,,,,1,From Goal Kick,Amy Rodriguez,5024.0,Center Forward,13,Utah Royals,767,['d0be4acc-18f4-4381-b03f-f3c2142589dd'],41,,Left Foot,"[117.0, 39.3, 0.5]",,"[{'location': [108.0, 29.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 41.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.0, 37.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [100.0, 51.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.0, 55.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 58.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",b7669450-bda3-4c0b-bcc3-4f45241bfef0,True,Saved,0.29035154,Normal,Open Play,,,,Utah Royals,767,00:04:41.460,Shot,
,,,,,,,,,,,,,1.549,,,,,,,,,,,,,b7e5af45-590b-48a1-9c07-57ed4b1933bd,182,,,"[111.0, 42.0]",7483,7,,,,,,,,,,,,,,,,,,1,From Free Kick,Amy Rodriguez,5024.0,Center Forward,15,Utah Royals,767,['ac7f5244-6477-450e-9cde-45b03e63952a'],19,,Left Foot,"[119.0, 43.2, 1.9]",,"[{'location': [108.0, 27.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [108.0, 25.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.0, 36.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [109.0, 40.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.0, 41.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 51.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.0, 43.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [101.0, 49.0], 'player': {'id': 8199, 'name': 'Toni Pressley'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [94.0, 57.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.0, 59.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 62.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",249c136f-7f87-43ec-b406-25cf4a3fa6c7,True,Goal,0.2033329,Volley,Open Play,,,,Utah Royals,767,00:07:19.999,Shot,
,,,,,,,,,,,,,0.975,,,,,,,,,,,,,55d51c1a-e83f-47cf-88bd-fc9f6669d7a7,320,,,"[108.0, 27.0]",7483,12,,,,,,,,,,,,,,,,,,1,From Counter,Rachel Hill,5086.0,Left Center Forward,27,Orlando Pride,764,"['1e412544-3d69-464a-b0c1-2a0d2abdc46e', '9273e39f-4fb5-40f7-9c07-616fd95cb3b9']",15,,Left Foot,"[120.0, 35.0, 2.9]",,"[{'location': [102.0, 40.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [94.0, 34.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.0, 26.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 48.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 44.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 42.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 5031, 'name': 'Abby Smith'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 40.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [110.0, 53.0], 'player': {'id': 5085, 'name': 'Alexandra Morgan Carrasco'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",09f39404-119d-467e-a2be-d5887882f3f5,,Off T,0.10038433,Normal,Open Play,,,,Orlando Pride,764,00:12:15.197,Shot,True
,,,,,,,,,,,,,0.673,,,,,,,,,,,,,53204e5e-2c8b-4355-9e24-5ec1c8633735,508,,,"[110.0, 34.0]",7483,17,,,,,,,,,,,,,,,,,,1,From Throw In,Alexandra Morgan Carrasco,5085.0,Right Center Forward,41,Orlando Pride,764,['9d5bbfa7-2975-4579-b1a8-969bba524130'],18,,Left Foot,"[119.0, 40.5, 0.5]",,"[{'location': [105.0, 35.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.0, 48.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 5031, 'name': 'Abby Smith'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 38.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 36.0], 'player': {'id': 4987, 'name': 'Sydney Miramontez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 27.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.0, 29.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.0, 22.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.0, 50.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [105.0, 31.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [99.0, 23.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [114.0, 27.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",2dfca6ec-fb8c-40d2-91bf-c75bfef2898f,,Saved,0.1901159,Normal,Open Play,,,,Orlando Pride,764,00:17:18.946,Shot,
,,,,,,,,,,,,,1.202,,,,,,,,,,,,,75d5d4ad-943d-498e-b595-b1794518491e,838,,,"[106.0, 26.0]",7483,26,,,,,,,,,,,,,,,,,,1,Regular Play,Alexandra Morgan Carrasco,5085.0,Right Center Forward,63,Orlando Pride,764,['90ad7edb-c9ab-4b8f-8c41-85c7197e1804'],53,,Right Foot,"[120.0, 48.5, 0.9]",,"[{'location': [104.0, 31.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.0, 32.0], 'player': {'id': 4987, 'name': 'Sydney Miramontez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 26.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 52.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.0, 46.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [92.0, 24.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 5031, 'name': 'Abby Smith'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 49.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [104.0, 28.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",5ce305a0-5c2d-4110-bcf7-4ec743f30b03,,Off T,0.07162415,Normal,Open Play,,,,Orlando Pride,764,00:26:53.092,Shot,
,,,,,,,,,,,,,0.524,,,,,,,,,,,,,c8658d0b-9ae2-4624-bb40-30a9dfcadfa2,853,,,"[113.0, 48.0]",7483,28,,,,,,,,,,,,,,,,,,1,From Corner,Alanna Stephanie Kennedy,5078.0,Right Center Midfield,66,Orlando Pride,764,"['550448ec-9b9e-4f96-af40-0683caec1c3c', 'f317a7e8-89e9-4303-a673-610332b72e69']",5,True,Head,"[120.0, 40.7, 3.7]",,"[{'location': [104.0, 47.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [117.0, 40.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [117.0, 6.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [115.0, 41.0], 'player': {'id': 4987, 'name': 'Sydney Miramontez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 52.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.0, 49.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [115.0, 48.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.0, 42.0], 'player': {'id': 5031, 'name': 'Abby Smith'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [119.0, 44.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [115.0, 42.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [116.0, 38.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.0, 38.0], 'player': {'id': 8199, 'name': 'Toni Pressley'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [117.0, 39.0], 'player': {'id': 5085, 'name': 'Alexandra Morgan Carrasco'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [113.0, 42.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.0, 42.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [105.0, 43.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [97.0, 33.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",17b43363-a1c6-43c7-9794-521bffa2d16e,,Off T,0.057251688,Normal,Open Play,,,,Orlando Pride,764,00:28:05.869,Shot,True
,,,,,,,,,,,,,0.178,,,,,,,,,,,,,fce36e5c-bb26-412a-a521-3fe8a061ca43,914,,,"[117.0, 39.0]",7483,33,,,,,,,,,,,,,,,,,,1,From Free Kick,Chioma Ubogagu,5063.0,Left Midfield,71,Orlando Pride,764,['29ef4f06-6a76-4b05-8be4-6b5d6553d5da'],51,,Head,"[120.0, 34.2, 0.5]",,"[{'location': [105.0, 45.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 41.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 5031, 'name': 'Abby Smith'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 28.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [117.0, 26.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 36.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [114.0, 32.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.0, 32.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.0, 31.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [113.0, 42.0], 'player': {'id': 4987, 'name': 'Sydney Miramontez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 46.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 44.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [101.0, 42.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [112.0, 21.0], 'player': {'id': 8199, 'name': 'Toni Pressley'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",7f24e8e6-c29c-4bf7-8938-c8530158fb24,,Off T,0.3313803,Normal,Open Play,,,,Orlando Pride,764,00:33:51.480,Shot,
,,,,,,,,,,,,,1.457,,,,,,,,,,,,,93f6c287-fc9d-4b9e-ad29-b44d73297580,1149,,,"[86.0, 43.0]",7483,42,,,,,,,,,,,,,,,,,,1,From Free Kick,Katie Bowen,5028.0,Right Back,86,Utah Royals,767,['3ced9272-477a-47c7-b501-4406d0c0af0d'],57,,Right Foot,"[119.0, 37.4, 2.3]",,"[{'location': [84.0, 24.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [100.0, 60.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.0, 31.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.0, 37.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.0, 48.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.0, 24.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.0, 45.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [102.0, 31.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.0, 29.0], 'player': {'id': 5085, 'name': 'Alexandra Morgan Carrasco'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [100.0, 28.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [101.0, 27.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.0, 22.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.0, 29.0], 'player': {'id': 8199, 'name': 'Toni Pressley'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 36.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 54.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.0, 44.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [96.0, 46.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]",,,Saved,0.026851725,Normal,Free Kick,,,,Utah Royals,767,00:42:57.656,Shot,
,,,,,,,,,,,,,0.592,,,,,,,,,,,,,cb20cf9e-f593-41f6-8859-791fe46a3950,1163,,,"[109.0, 41.0]",7483,46,,,,,,,,,,,,,,,,,,1,Other,Alexandra Morgan Carrasco,5085.0,Right Center Forward,90,Orlando Pride,764,['642ed699-9d2d-4da4-b812-fa074ee8cf88'],2,,Left Foot,"[120.0, 43.6, 2.2]",,,,,Goal,0.7835,Normal,Penalty,,,,Orlando Pride,764,00:46:02.489,Shot,
,,,,,,,,,,,,,1.162,,,,,,,,,,,,,3caa324b-3589-45b5-85d9-da1ad580f86f,1404,,,"[108.0, 29.0]",7483,47,,,,,,,,,,,,,,,,,,2,Regular Play,Amy Rodriguez,5024.0,Center Forward,108,Utah Royals,767,['4970790b-967a-4c12-bb1e-bc159547b816'],12,,Left Foot,"[120.0, 34.2, 4.3]",True,"[{'location': [102.0, 53.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [90.0, 28.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 39.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 47.0], 'player': {'id': 8199, 'name': 'Toni Pressley'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 28.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [86.0, 23.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.0, 28.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,,Off T,0.14316231,Half Volley,Open Play,,,,Utah Royals,767,00:02:12.785,Shot,
