50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.13593,,,,,,,,,,,,,,c76011a1-61af-4f68-a88d-9576599a5a9b,756,,"[98.9, 25.4]",3879864,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Luca Marrone,31572.0,Left Defensive Midfield,34,Hellas Verona,226,"['111ada5a-5dd3-4644-a404-254cf90eba1a', 'dd084bbe-f88a-478c-92e4-91c24ba91228']",57,,Right Foot,,"[101.6, 27.4]",,"[{'location': [105.1, 42.1], 'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.7, 35.8], 'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.1, 5.7], 'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.8, 45.7], 'player': {'id': 6945, 'name': 'Alex Sandro Lobo Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [108.3, 39.2], 'player': {'id': 6953, 'name': 'Daniele Rugani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.3, 34.7], 'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [100.4, 37.4], 'player': {'id': 6940, 'name': 'Kwadwo Asamoah'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.9, 21.0], 'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.2, 28.0], 'player': {'id': 3951, 'name': 'Mario Lemina'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.7, 20.3], 'player': {'id': 7013, 'name': 'Stefano Sturaro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [117.4, 38.1], 'player': {'id': 6590, 'name': 'Norberto Murara Neto'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 46.7], 'player': {'id': 20252, 'name': 'Luca Toni'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",322900b7-76cf-4f76-8568-ea13ecb8f522,,Blocked,,0.032570854,Normal,Open Play,,,,Hellas Verona,226,00:16:57.339,Shot,
,,,,,,,,,,,,,,,,,0.934509,,,,,,,,,,,,,,bb7e08c2-35ce-4fa1-a2ef-8a4faaf24a67,1228,,"[93.8, 39.5]",3879864,27,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Federico Viviani,7770.0,Right Defensive Midfield,58,Hellas Verona,226,['8ee4338e-9124-4220-90bd-73f3f464fc1e'],30,,Right Foot,,"[117.4, 40.7, 2.0]",True,"[{'location': [118.0, 40.4], 'player': {'id': 6590, 'name': 'Norberto Murara Neto'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.8, 50.4], 'player': {'id': 6940, 'name': 'Kwadwo Asamoah'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.4, 34.6], 'player': {'id': 6953, 'name': 'Daniele Rugani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.9, 44.7], 'player': {'id': 6945, 'name': 'Alex Sandro Lobo Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [106.0, 36.8], 'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [104.1, 28.1], 'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.6, 41.5], 'player': {'id': 3951, 'name': 'Mario Lemina'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [98.2, 32.7], 'player': {'id': 7013, 'name': 'Stefano Sturaro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [89.5, 37.1], 'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [91.9, 18.9], 'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [99.0, 19.3], 'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.6, 38.3], 'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [103.5, 24.9], 'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.9, 31.9], 'player': {'id': 20252, 'name': 'Luca Toni'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.5, 43.5], 'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,,Saved,,0.034843095,Half Volley,Open Play,,,,Hellas Verona,226,00:27:30.149,Shot,
,,,,,,,,,,,,,,,,,1.267475,,,,,,,,,,,,,,c488529b-9945-4bad-8e50-e31abab268f9,1271,,"[105.5, 45.5]",3879864,28,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luca Toni,20252.0,Center Forward,62,Hellas Verona,226,['25e5f98f-e3c5-4bcf-ad6f-2a78a98c04a6'],29,,Head,,"[120.0, 50.9, 5.3]",,"[{'location': [102.9, 58.7], 'player': {'id': 6945, 'name': 'Alex Sandro Lobo Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [100.8, 62.5], 'player': {'id': 6953, 'name': 'Daniele Rugani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.4, 43.5], 'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [109.5, 37.1], 'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.4, 44.0], 'player': {'id': 3951, 'name': 'Mario Lemina'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [97.2, 51.6], 'player': {'id': 6940, 'name': 'Kwadwo Asamoah'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.0, 29.7], 'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [100.1, 39.7], 'player': {'id': 7013, 'name': 'Stefano Sturaro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.7, 40.2], 'player': {'id': 6590, 'name': 'Norberto Murara Neto'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.7, 37.7], 'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.7, 29.2], 'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [100.6, 69.8], 'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [96.5, 67.8], 'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [87.4, 62.7], 'player': {'id': 7770, 'name': 'Federico Viviani'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",9088fd9e-2d43-4af5-afb8-3954da74b5ff,,Off T,,0.07058123,Normal,Open Play,,,,Hellas Verona,226,00:28:29.646,Shot,
,,,,,,,,,,,,,,,,,0.967214,,,,,,,,,,,,,,0174771f-ce88-4cbf-a844-db1d7f347d9f,1553,,"[99.0, 47.3]",3879864,35,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Juan Guillermo Cuadrado Bello,5689.0,Right Wing Back,75,Juventus,224,"['ca1c723c-fa82-4414-be6f-f2022411e0f9', 'fac60d10-ae0f-415a-a715-a9d9a933fe11']",36,,Left Foot,,"[120.0, 32.9, 7.4]",,"[{'location': [100.4, 25.1], 'player': {'id': 6945, 'name': 'Alex Sandro Lobo Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [103.5, 28.6], 'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [116.7, 41.0], 'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.7, 63.3], 'player': {'id': 7013, 'name': 'Stefano Sturaro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [100.6, 50.0], 'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [97.1, 57.9], 'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [97.9, 49.7], 'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [97.7, 47.1], 'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [102.0, 53.6], 'player': {'id': 8463, 'name': 'Urby Emanuelson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.8, 50.3], 'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.5, 47.2], 'player': {'id': 8421, 'name': 'Matteo Bianchetti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.3, 43.8], 'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.7, 44.0], 'player': {'id': 7770, 'name': 'Federico Viviani'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.7, 40.1], 'player': {'id': 6584, 'name': 'Simone Zaza'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [92.4, 37.9], 'player': {'id': 3951, 'name': 'Mario Lemina'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [91.1, 30.4], 'player': {'id': 6940, 'name': 'Kwadwo Asamoah'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,,Off T,,0.04058703,Normal,Open Play,,,,Juventus,224,00:35:36.063,Shot,True
,,,,,,,,,,,,,,,,,0.544021,,,,,,,,,,,,,,f180b5c5-5e4c-4ade-b404-ea9416d830fa,1589,,"[110.3, 36.8]",3879864,37,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Luca Toni,20252.0,Center Forward,77,Hellas Verona,226,['c097315d-f94f-4a78-a701-a56fc7a991d8'],3,,Left Foot,,"[120.0, 35.9, 0.2]",True,"[{'location': [117.5, 37.1], 'player': {'id': 6590, 'name': 'Norberto Murara Neto'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 41.9], 'player': {'id': 6945, 'name': 'Alex Sandro Lobo Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [112.6, 36.6], 'player': {'id': 6953, 'name': 'Daniele Rugani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.3, 29.2], 'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [110.7, 29.8], 'player': {'id': 7013, 'name': 'Stefano Sturaro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.8, 26.5], 'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.7, 31.9], 'player': {'id': 3951, 'name': 'Mario Lemina'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [99.4, 41.5], 'player': {'id': 6940, 'name': 'Kwadwo Asamoah'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.9, 27.2], 'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [112.3, 45.7], 'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.0, 40.8], 'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",d53bd210-8376-408e-aa23-7ed24f91729a,,Post,,0.32924402,Normal,Open Play,,,,Hellas Verona,226,00:37:03.173,Shot,
,,,,,,,,,,,,,,,,,0.132767,,,,,,,,,,,,,,fffc3716-8b14-4231-8d05-71f902d57dc4,1736,,"[95.3, 29.5]",3879864,39,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Simone Zaza,6584.0,Left Center Forward,82,Juventus,224,"['5009c7a4-98fe-4932-bcab-80bcdb1c116e', '97a905d5-201b-47b5-bef5-e98c66ab9818', '98611cfd-6102-47f1-a8aa-6efc148103a5']",31,,Left Foot,,"[98.8, 31.3]",,"[{'location': [98.2, 56.7], 'player': {'id': 3951, 'name': 'Mario Lemina'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [99.5, 39.7], 'player': {'id': 6940, 'name': 'Kwadwo Asamoah'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [86.0, 19.8], 'player': {'id': 6945, 'name': 'Alex Sandro Lobo Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [93.1, 46.7], 'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [98.7, 55.3], 'player': {'id': 8463, 'name': 'Urby Emanuelson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.7, 38.3], 'player': {'id': 7770, 'name': 'Federico Viviani'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [95.2, 30.6], 'player': {'id': 8421, 'name': 'Matteo Bianchetti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.7, 41.4], 'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.2, 31.7], 'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.5, 24.7], 'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [115.8, 38.4], 'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",5c5393e4-cc72-4615-85d3-46fbb86492b7,,Blocked,,0.027056841,Normal,Open Play,,,,Juventus,224,00:39:31.129,Shot,True
,,,,,,,,,,,,,,,,,0.467981,,,,,,,,,,,,,,65b28e19-ab96-4e97-837c-4b19f5ef3aaf,1743,,"[111.4, 56.2]",3879864,39,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Juan Guillermo Cuadrado Bello,5689.0,Right Wing Back,82,Juventus,224,['068ac60e-b4b3-4116-b017-2b2c5cc011ec'],38,,Right Foot,,"[120.0, 44.9, 4.5]",True,"[{'location': [102.5, 43.6], 'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [98.3, 29.7], 'player': {'id': 7770, 'name': 'Federico Viviani'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 49.4], 'player': {'id': 8463, 'name': 'Urby Emanuelson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.5, 53.7], 'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [97.0, 21.6], 'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.1, 41.5], 'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.7, 34.9], 'player': {'id': 8421, 'name': 'Matteo Bianchetti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 25.4], 'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.8, 43.8], 'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.3, 46.3], 'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [108.3, 51.0], 'player': {'id': 3951, 'name': 'Mario Lemina'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [111.6, 39.2], 'player': {'id': 6584, 'name': 'Simone Zaza'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [104.0, 20.6], 'player': {'id': 7013, 'name': 'Stefano Sturaro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [92.5, 20.2], 'player': {'id': 6945, 'name': 'Alex Sandro Lobo Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}]",7a94b16f-d93a-4b19-bb1f-d79a9ec78431,,Off T,,0.0129249375,Volley,Open Play,,,,Juventus,224,00:39:38.909,Shot,
,,,,,,,,,,,,,,,,,0.752943,,,,,,,,,,,,,,a6bb588b-6fc6-403e-8e4f-5765a143bdc4,1755,,"[104.2, 33.0]",3879864,40,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Paulo Bruno Exequiel Dybala,5743.0,Right Center Forward,84,Juventus,224,"['006cdac0-3073-45d1-8634-489e9d025a49', '5138b607-2d43-4717-8b34-c0144af2b08c']",14,,Left Foot,,"[120.0, 44.6, 0.2]",,"[{'location': [98.6, 38.7], 'player': {'id': 6584, 'name': 'Simone Zaza'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [91.9, 32.8], 'player': {'id': 8421, 'name': 'Matteo Bianchetti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.1, 41.5], 'player': {'id': 8463, 'name': 'Urby Emanuelson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [90.6, 23.5], 'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 34.4], 'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 37.6], 'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",dcd60b63-9158-4eef-b5eb-dd38215d13a9,True,Off T,,0.26377368,Normal,Open Play,,,,Juventus,224,00:40:14.109,Shot,True
,,,,,,,,,,,,,,,,,1.143486,,,,,,,,,,,,,,40fc45ea-7bb7-47a9-af44-14ed5958a609,1769,,"[108.0, 40.0]",3879864,42,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Luca Toni,20252.0,Center Forward,87,Hellas Verona,226,['f8dfafb3-d982-461e-8bfb-2d765be9ee71'],48,,Right Foot,,"[120.0, 38.5, 1.6]",,,,,Goal,,0.7835,Lob,Penalty,,,,Hellas Verona,226,00:42:48.533,Shot,
,,,,,,,,,,,,,,,,,1.133717,,,,,,,,,,,,,,87bf0b08-acf6-4581-a385-38678d55f9bb,2081,,"[85.6, 25.7]",3879864,51,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Daniele Rugani,6953.0,Left Center Back,103,Juventus,224,['51780567-7f7a-4a5b-859e-876a76b26308'],17,,Right Foot,,"[117.0, 37.4, 0.5]",,"[{'location': [117.3, 38.8], 'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [81.1, 39.5], 'player': {'id': 3951, 'name': 'Mario Lemina'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [101.3, 48.5], 'player': {'id': 8463, 'name': 'Urby Emanuelson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.1, 40.4], 'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.1, 52.1], 'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.5, 32.9], 'player': {'id': 8421, 'name': 'Matteo Bianchetti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.1, 39.4], 'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [96.5, 18.7], 'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [99.3, 25.3], 'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [91.1, 30.0], 'player': {'id': 7770, 'name': 'Federico Viviani'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [88.1, 34.8], 'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [100.1, 45.5], 'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [102.0, 38.7], 'player': {'id': 6584, 'name': 'Simone Zaza'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [97.4, 38.0], 'player': {'id': 7013, 'name': 'Stefano Sturaro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [95.6, 22.0], 'player': {'id': 6940, 'name': 'Kwadwo Asamoah'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [84.4, 48.8], 'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [90.8, 7.4], 'player': {'id': 6945, 'name': 'Alex Sandro Lobo Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}]",a556a75f-534b-4c04-b435-2ed513e8dab1,,Saved,,0.0068635596,Normal,Open Play,,,,Juventus,224,00:06:17.607,Shot,
