bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.888983,,,,,,,,,,,,,,,fe759e77-2a41-4e7c-8bdf-b5fc5c94fc9d,141,,,"[107.3, 30.8]",3754129,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Christian Benteke Liolo,3380.0,Center Forward,9,Liverpool,24,"['4b83cd1f-3914-4595-abe3-f660f6bd428b', 'e4d64736-1ad5-437f-bfa0-4243e6f1f3bb']",35,,Left Foot,,"[120.0, 34.4, 0.5]",,"[{'location': [107.6, 40.8], 'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.8, 31.1], 'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [88.8, 21.0], 'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [107.1, 10.5], 'player': {'id': 3495, 'name': 'Joe Gomez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [111.6, 25.0], 'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.4, 31.9], 'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.6, 28.8], 'player': {'id': 3713, 'name': 'Calum Chambers'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.7, 24.6], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.8, 13.3], 'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [116.8, 38.3], 'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.9, 42.9], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.6, 25.3], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [111.3, 24.3], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",442194ef-507f-49dd-b37b-304c6cfd4434,,Off T,,0.06821079,Normal,Open Play,,,,Liverpool,24,00:01:35.553,Shot,True
,,,,,,,,,,,,,,,,,,0.522426,,,,,,,,,,,,,,,a9217204-32ec-4b2d-aa25-0a778331c50a,159,,,"[108.0, 48.2]",3754129,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Left Wing,11,Liverpool,24,['9b942399-38ca-4fd7-905f-48f7e418083d'],18,,Right Foot,,"[120.0, 42.0, 2.8]",True,"[{'location': [109.2, 55.9], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.1, 47.4], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.2, 39.9], 'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.3, 45.6], 'player': {'id': 3713, 'name': 'Calum Chambers'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.8, 53.0], 'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.2, 43.8], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.1, 50.9], 'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.7, 52.4], 'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [116.7, 43.2], 'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.4, 28.7], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [89.1, 27.4], 'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",8ff07181-880d-4ec1-b9b9-deacc7a8a901,,Post,,0.13439108,Normal,Open Play,,,,Liverpool,24,00:02:18.046,Shot,
,,,,,,,,,,,,,,,,,,0.584857,,,,,,,,,,,,,,,6282f183-2301-46c1-8601-7052d5344506,300,,,"[113.6, 40.0]",3754129,4,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,15,Arsenal,1,"['bb793d4b-ebde-45b1-a384-1983b6866ee2', 'e57ed00e-9e35-4227-be60-d2d0e63f9f5c']",47,True,Head,,"[120.0, 40.8, 4.3]",,"[{'location': [92.2, 60.1], 'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.7, 36.0], 'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [114.0, 40.6], 'player': {'id': 3495, 'name': 'Joe Gomez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.1, 37.2], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.0, 35.9], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.4, 55.1], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.2, 31.5], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.6, 24.1], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.4, 14.6], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [98.7, 37.8], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.7, 30.0], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.6, 36.9], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.9, 39.0], 'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",a191a51a-10c3-4d54-a16f-385a6e4ee166,,Off T,,0.23137365,Normal,Open Play,,,,Arsenal,1,00:04:47.733,Shot,True
,,,,,,,,,,,,,,,,,,0.817011,,,,,,,,,,,,,,,46caca37-b55d-46d4-a7e0-38f2267f2af0,389,,,"[112.4, 36.7]",3754129,6,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,21,Arsenal,1,['e193d6ed-a22e-4fff-a332-d6721e7973b1'],43,,Right Foot,,"[120.0, 35.0, 0.4]",,"[{'location': [112.5, 41.2], 'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [116.4, 37.8], 'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.5, 28.9], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [110.3, 32.2], 'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [102.4, 39.6], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [90.2, 55.9], 'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [110.3, 45.6], 'player': {'id': 3495, 'name': 'Joe Gomez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.5, 38.2], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.7, 34.8], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.6, 25.5], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.5, 32.7], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",,,Saved Off Target,True,0.35746992,Normal,Open Play,,,,Arsenal,1,00:06:43.319,Shot,
,,,,,,,,,,,,,,,,,,0.52804,,,,,,,,,,,,,,,c8d7072a-4490-4ad7-906f-cc2e99dca856,473,,,"[110.6, 55.1]",3754129,8,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Christian Benteke Liolo,3380.0,Center Forward,22,Liverpool,24,['48338e50-ea33-4579-9038-344e7a073bf5'],54,,Right Foot,,"[117.6, 44.6, 1.0]",,"[{'location': [92.4, 34.4], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [96.0, 54.1], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [117.6, 44.8], 'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.9, 40.0], 'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.2, 48.9], 'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.9, 53.1], 'player': {'id': 3713, 'name': 'Calum Chambers'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.8, 52.8], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",f76f8b31-b64c-4e1c-a8cf-0a7218fc058b,,Saved,,0.052029558,Normal,Open Play,,,,Liverpool,24,00:08:54.564,Shot,
,,,,,,,,,,,,,,,,,,0.126996,,,,,,,,,,,,,,,346c9b4e-441e-4b95-b717-4aa3b002b86f,558,,,"[106.6, 25.1]",3754129,10,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,27,Arsenal,1,"['606b77b9-e6e3-44ae-bc49-1c4ea79ddd08', 'bea7d2e8-b205-4f27-bd22-c5bfdff745f7']",34,,Right Foot,,"[107.5, 26.2]",,"[{'location': [102.3, 35.2], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.5, 26.2], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [110.3, 31.8], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.3, 34.9], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.5, 34.9], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.2, 50.0], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [113.1, 40.3], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.1, 45.1], 'player': {'id': 3495, 'name': 'Joe Gomez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.3, 46.8], 'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [107.6, 32.3], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [109.4, 35.4], 'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [105.0, 41.4], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.3, 45.0], 'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.1, 27.3], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.7, 37.0], 'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.4, 53.8], 'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",edea644e-acee-4a52-a795-fe29c65cf056,,Blocked,,0.020304073,Normal,Open Play,,,,Arsenal,1,00:10:34.877,Shot,
,,,,,,,,,,,,,,,,,,0.154163,,,,,,,,,,,,,,,4cb49b3b-c8df-4356-880c-0df143b04273,728,,,"[108.5, 55.3]",3754129,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,James Philip Milner,3473.0,Right Center Midfield,34,Liverpool,24,"['00a609d7-ba5c-4261-9cf5-3516b6eb3d18', 'e18ec9b4-7a6d-484d-bee1-20a4113a877f']",41,,Right Foot,,"[110.3, 53.2]",True,"[{'location': [105.5, 47.2], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.4, 36.8], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.1, 32.6], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.2, 45.1], 'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.3, 50.3], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.2, 53.1], 'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.1, 45.9], 'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.8, 48.7], 'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.1, 43.4], 'player': {'id': 3713, 'name': 'Calum Chambers'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 31.9], 'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.8, 31.6], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",092ed078-fa62-45bf-90d6-c22a21081314,,Blocked,,0.031531822,Normal,Open Play,,,,Liverpool,24,00:13:41.765,Shot,
,,,,,,,,,,,,,,,,,,0.589212,,,,,,,,,,,,,,,ab36fb9c-047b-402a-b7c3-8bec7fb09a2f,736,,,"[109.2, 40.5]",3754129,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Dejan Lovren,3471.0,Left Center Back,35,Liverpool,24,"['b8a6005b-005c-4fd1-a7c0-fd6206e1eabc', 'c0a0e147-2fc5-4f01-a06e-6c804a098b91', 'c9a5da53-5d1e-45bc-b1ec-36efe5754094']",48,True,Head,,"[117.2, 38.8]",,"[{'location': [102.5, 51.2], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [92.3, 35.4], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [118.9, 41.5], 'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.1, 78.0], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [107.1, 30.5], 'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [115.0, 44.6], 'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.5, 35.7], 'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 44.5], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.6, 39.9], 'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.4, 41.8], 'player': {'id': 3713, 'name': 'Calum Chambers'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 37.2], 'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [107.5, 45.8], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [115.7, 32.0], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.6, 28.5], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [107.9, 34.7], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.8, 46.5], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [117.0, 38.6], 'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",1e6a2ee4-c1c6-4035-962c-d5718a0bc756,,Blocked,,0.045988224,Normal,Open Play,,,,Liverpool,24,00:14:48.927,Shot,True
,,,,,,,,,,,,,,,,,,1.389326,,,,,,,,,,,,,,,fc9c09eb-6fdd-428b-8a92-33eb7ab93ca8,851,,,"[109.1, 37.2]",3754129,17,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Olivier Giroud,3604.0,Center Forward,41,Arsenal,1,"['38fdad37-0d14-4de6-a697-69c554ad50be', 'a56d767b-1912-4a8b-b692-77c46baf6e88']",19,True,Head,,"[119.5, 39.9, 2.1]",,"[{'location': [117.0, 5.9], 'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.1, 50.4], 'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.5, 30.0], 'player': {'id': 3713, 'name': 'Calum Chambers'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [108.9, 37.9], 'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [109.4, 38.6], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.2, 30.9], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [115.1, 29.8], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.6, 36.4], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 45.2], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.9, 30.8], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [115.3, 39.8], 'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [94.8, 41.1], 'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [118.8, 39.4], 'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.5, 39.2], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.1, 40.3], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.5, 34.6], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.1, 36.0], 'player': {'id': 3495, 'name': 'Joe Gomez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",95b6b599-9524-4c23-9432-d52f476198f3,,Saved,,0.041074086,Normal,Open Play,,,,Arsenal,1,00:17:19.076,Shot,True
,,,,,,,,,,,,,,,,,,0.573482,,,,,,,,,,,,,,,7a3eea2c-8329-49c6-8994-44d52b62393a,1104,,,"[114.6, 31.4]",3754129,23,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,James Philip Milner,3473.0,Right Center Midfield,56,Liverpool,24,"['3d468643-6ea6-4964-b46e-cab1a6059d7b', 'c947988c-3c30-40f6-a722-1722667474da']",58,,Right Foot,,"[118.3, 35.4, 0.3]",True,"[{'location': [95.6, 29.6], 'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.6, 38.7], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.2, 42.2], 'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.4, 30.5], 'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.9, 31.9], 'player': {'id': 3713, 'name': 'Calum Chambers'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.7, 28.5], 'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.3, 36.9], 'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.9, 23.6], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.9, 45.8], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Saved,,0.16320802,Volley,Open Play,,,,Liverpool,24,00:23:58.633,Shot,True
