ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,0.68,,,,,,,,,,,,,,,bedd3921-2ad3-46df-a55f-6a85cff9d258,170,,,"[109.0, 41.0]",7576,3,,,,,,,,,,,,,,,,,,,,,1,Other,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Center Forward,5,Portugal,780,['e1bbf976-feea-4a92-bfe6-8d89d6d76441'],28,,Right Foot,"[120.0, 43.8, 1.3]",,,,,Goal,0.7835,Normal,Penalty,,,,Portugal,780,00:03:28.040,Shot,
,,,,,,,,,0.853,,,,,,,,,,,,,,,1809dc20-c41b-490e-811f-3eb93e0d29ed,388,,,"[106.0, 38.0]",7576,9,,,,,,,,,,,,,,,,,,,,,1,Regular Play,David Josué Jiménez Silva,3064.0,Right Wing,12,Spain,772,['4944c7a1-e7f2-41dd-b5cb-943a4623199b'],6,,Right Foot,"[120.0, 43.6, 4.6]",True,"[{'location': [109.0, 44.0], 'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.0, 48.0], 'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 49.0], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.0, 42.0], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 34.0], 'player': {'id': 5214, 'name': 'William Silva de Carvalho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.0, 23.0], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [100.0, 23.0], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [100.0, 20.0], 'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.0, 12.0], 'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [97.0, 37.0], 'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 5205, 'name': 'Rui Pedro dos Santos Patrício'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 20.0], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 35.0], 'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",9f4f9bbe-2223-44b0-905f-f96d05e7772c,,Off T,0.17203248,Volley,Open Play,,,,Spain,772,00:09:06.440,Shot,
,,,,,,,,,0.613,,,,,,,,,,,,,,,faecc9df-96e0-44cb-a348-44d28a816cfc,841,,,"[96.0, 53.0]",7576,15,,,,,,,,,,,,,,,,,,,,,1,From Counter,Gonçalo Manuel Ganchinho Guedes,4367.0,Right Center Forward,25,Portugal,780,"['3a846f39-4e7a-4cf1-9937-e56b3872c99c', '5b72c643-2456-443e-bbce-f96f7583dbfc', '64a9fcde-8f86-4c14-9f33-baa26e2cd9f4']",59,,Right Foot,"[99.0, 51.0]",,"[{'location': [97.0, 28.0], 'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [99.0, 51.0], 'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [82.0, 30.0], 'player': {'id': 5202, 'name': 'José Ignacio Fernández Iglesias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 42.0], 'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [82.0, 40.0], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [93.0, 47.0], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.0, 33.0], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.0, 49.0], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",511caade-699d-40aa-87a3-6f89f857474e,,Blocked,0.023871757,Normal,Open Play,,,,Portugal,780,00:15:59.360,Shot,True
,,,,,,,,,0.493,,,,,,,,,,,,,,,336ea767-2831-4cc3-bfd4-9b0b4d3eeb13,875,,,"[99.0, 63.0]",7576,17,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Center Forward,28,Portugal,780,"['063b1de7-d145-4329-a4ea-f1cb5b2e169e', '8b1c4567-2fc1-47a3-a5ac-e950ab853e3f']",53,,Right Foot,"[106.0, 59.0]",,"[{'location': [108.0, 46.0], 'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.0, 29.0], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [95.0, 49.0], 'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [90.0, 37.0], 'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [119.0, 42.0], 'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 56.0], 'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [109.0, 34.0], 'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 56.0], 'player': {'id': 5202, 'name': 'José Ignacio Fernández Iglesias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 35.0], 'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.0, 66.0], 'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.0, 55.0], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [109.0, 41.0], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 57.0], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 58.0], 'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.0, 44.0], 'player': {'id': 4367, 'name': 'Gonçalo Manuel Ganchinho Guedes'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [103.0, 46.0], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.0, 55.0], 'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.0, 36.0], 'player': {'id': 5214, 'name': 'William Silva de Carvalho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.0, 31.0], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",,,Blocked,0.008962571,Normal,Free Kick,,,,Portugal,780,00:17:53.080,Shot,
,,,,,,,,,0.52,,,,,,,,,,,,,,,bbbaa117-3ead-4d4b-a05d-196a708959a6,1045,,,"[113.0, 31.0]",7576,20,,,,,,,,,,,,,,,,,,,,,1,From Throw In,David Josué Jiménez Silva,3064.0,Right Wing,32,Spain,772,"['1add1dc9-4c69-4850-870a-8c579b327131', '8c4078ee-fa7b-4072-a617-8f6cdcb50fd4']",44,,Left Foot,"[117.0, 33.0]",,"[{'location': [117.0, 35.0], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.0, 29.0], 'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 53.0], 'player': {'id': 5202, 'name': 'José Ignacio Fernández Iglesias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [119.0, 37.0], 'player': {'id': 5205, 'name': 'Rui Pedro dos Santos Patrício'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.0, 33.0], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 34.0], 'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.0, 28.0], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [114.0, 22.0], 'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.0, 35.0], 'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [109.0, 28.0], 'player': {'id': 5214, 'name': 'William Silva de Carvalho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.0, 42.0], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [116.0, 37.0], 'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",41b1db40-0bf4-4084-8bd7-175c77d7452f,,Blocked,0.077663854,Normal,Open Play,,,,Spain,772,00:20:44.560,Shot,
,,,,,,,,,0.733,,,,,,,,,,,,,,,fb58eadb-0632-4359-982d-6cea8c48565c,1148,,,"[105.0, 45.0]",7576,23,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Diego da Silva Costa,5198.0,Center Forward,38,Spain,772,['3fc08d0f-e852-448e-b964-bda90c9f9679'],2,,Right Foot,"[120.0, 36.2, 0.4]",,"[{'location': [110.0, 45.0], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 37.0], 'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 5205, 'name': 'Rui Pedro dos Santos Patrício'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 43.0], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 43.0], 'player': {'id': 5214, 'name': 'William Silva de Carvalho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.0, 38.0], 'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.0, 50.0], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]",,,Goal,0.07830886,Normal,Open Play,,,,Spain,772,00:23:02.040,Shot,
,,,,,,,,,0.8,,,,,,,,,,,,,,,5944a260-3b1a-4a6b-9e05-8a34acf6cc67,1238,,,"[103.0, 20.0]",7576,25,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Francisco Román Alarcón Suárez,4926.0,Left Wing,40,Spain,772,['f68a2185-b789-46e3-8993-934ab3ffa76e'],17,,Right Foot,"[120.0, 36.4, 2.7]",True,"[{'location': [113.0, 31.0], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 28.0], 'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 25.0], 'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.0, 30.0], 'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [116.0, 36.0], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [118.0, 37.0], 'player': {'id': 5205, 'name': 'Rui Pedro dos Santos Patrício'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 43.0], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [96.0, 55.0], 'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.0, 38.0], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.0, 22.0], 'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [97.0, 30.0], 'player': {'id': 5214, 'name': 'William Silva de Carvalho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.0, 54.0], 'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 38.0], 'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Post,0.0092897555,Volley,Open Play,,,,Spain,772,00:25:17.720,Shot,
,,,,,,,,,0.32,,,,,,,,,,,,,,,9c48b375-f0ba-4a36-9e26-742a9597c540,1308,,,"[100.0, 54.0]",7576,28,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,David Josué Jiménez Silva,3064.0,Right Wing,43,Spain,772,"['ae9eeef1-8a3e-4942-b8fd-ca1c598104c1', 'e665b376-b47d-4d99-8060-7c753c566b66']",26,,Left Foot,"[108.0, 52.0]",,"[{'location': [108.0, 44.0], 'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.0, 52.0], 'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 5205, 'name': 'Rui Pedro dos Santos Patrício'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 40.0], 'player': {'id': 4367, 'name': 'Gonçalo Manuel Ganchinho Guedes'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [107.0, 41.0], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [109.0, 44.0], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.0, 46.0], 'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.0, 47.0], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 49.0], 'player': {'id': 5214, 'name': 'William Silva de Carvalho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.0, 50.0], 'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 53.0], 'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.0, 47.0], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [108.0, 36.0], 'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [108.0, 48.0], 'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [111.0, 36.0], 'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 35.0], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",,,Blocked,0.05749292,Normal,Free Kick,,,,Spain,772,00:28:26.200,Shot,
,,,,,,,,,1.44,,,,,,,,,,,,,,,5713c6d0-39e9-4cc1-8181-6d90fde95f9e,1642,,,"[110.0, 29.0]",7576,34,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,51,Spain,772,"['9a54d4ff-c8af-4315-95f2-0e11cbd8bab2', 'c40e2f26-ba1d-4553-aecd-901bee3e01e2']",15,,Left Foot,"[120.0, 45.0, 0.4]",True,"[{'location': [100.0, 27.0], 'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.0, 42.0], 'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 43.0], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.0, 32.0], 'player': {'id': 5214, 'name': 'William Silva de Carvalho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.0, 51.0], 'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [119.0, 12.0], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [101.0, 20.0], 'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.0, 26.0], 'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.0, 36.0], 'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [115.0, 37.0], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 38.0], 'player': {'id': 5205, 'name': 'Rui Pedro dos Santos Patrício'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 14.0], 'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [113.0, 31.0], 'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.0, 18.0], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",4c170215-7b78-407c-ba23-e4b4d8fb6867,,Off T,0.073567346,Normal,Open Play,,,,Spain,772,00:34:15.480,Shot,True
,,,,,,,,,2.16,,,,,,,,,,,,,,,37987f95-6eef-4cd8-973c-4e42f0c28bc3,1811,,,"[111.0, 40.0]",7576,38,,,,,,,,,,,,,,,,,,,,,1,From Corner,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,56,Spain,772,['89cf7071-1549-46c4-937b-9518d177c155'],24,,Head,"[120.0, 35.2, 5.1]",,"[{'location': [112.0, 31.0], 'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.0, 3.0], 'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.0, 44.0], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.0, 36.0], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.0, 37.0], 'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 34.0], 'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [112.0, 37.0], 'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [118.0, 43.0], 'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.0, 29.0], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [112.0, 41.0], 'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [116.0, 43.0], 'player': {'id': 4367, 'name': 'Gonçalo Manuel Ganchinho Guedes'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 5205, 'name': 'Rui Pedro dos Santos Patrício'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 32.0], 'player': {'id': 5214, 'name': 'William Silva de Carvalho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [96.0, 45.0], 'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.0, 44.0], 'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 48.0], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",13983f0f-3c25-4027-ba1b-f81e7908042b,,Off T,0.10047825,Normal,Open Play,,,,Spain,772,00:38:24.680,Shot,
