bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.333,,,,,,,,,,,,,a17e3ce9-4cd4-46a0-9e2e-9f8208330890,391,,"[97.0, 34.0]",7443,8,,,,,,,,,,,,,,,,,,,,,1,From Corner,Lindsey Michelle Horan,4999.0,Left Defensive Midfield,22,Portland Thorns,765,"['730db8ef-9063-4b2e-ab0d-4409417d2817', 'c978d14a-2d78-4282-aeed-0fb0ae6d2120']",38,,Right Foot,"[119.0, 38.7, 2.2]",True,"[{'location': [108.0, 38.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [101.0, 47.0], 'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [105.0, 43.0], 'player': {'id': 5017, 'name': 'Christen Westphal'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 32.0], 'player': {'id': 5003, 'name': 'Emily Ann Sonnett'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [119.0, 40.0], 'player': {'id': 5019, 'name': 'Michelle Betos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 35.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.0, 40.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.0, 36.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 39.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 43.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.0, 28.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.0, 27.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [107.0, 35.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [108.0, 31.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [105.0, 21.0], 'player': {'id': 5010, 'name': 'Mallory Weber'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [99.0, 4.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",a006252e-c207-42e5-b19e-4343eb70a5fb,,Saved,0.0384103,Normal,Open Play,,,,Portland Thorns,765,00:08:38.680,Shot,True
,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,29e8f1de-a3f5-4048-89d0-5bac462b0aa2,688,,"[111.0, 45.0]",7443,17,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mallory Weber,5010.0,Left Center Forward,39,Portland Thorns,765,['eeefe9d2-20c6-4d70-8c82-a9d272c1150d'],11,,Left Foot,"[119.0, 41.9, 2.7]",,"[{'location': [112.0, 55.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 5019, 'name': 'Michelle Betos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.0, 50.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.0, 60.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 52.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 50.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.0, 41.0], 'player': {'id': 5017, 'name': 'Christen Westphal'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 42.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.0, 49.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,,Post,0.3215839,Normal,Open Play,,,,Portland Thorns,765,00:17:11.880,Shot,
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,bdad8598-55e0-494d-b649-a2c72b7c7961,787,,"[106.0, 30.0]",7443,21,,,,,,,,,,,,,,,,,,,,,1,From Corner,Stephanie-Elise Catley,5000.0,Left Back,48,OL Reign,760,['2e7dd2d1-9f92-4903-804f-5d30adca943c'],5,,Left Foot,"[118.0, 38.7, 0.8]",,"[{'location': [105.0, 46.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 5005, 'name': 'Britt Eckerstrom'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.0, 22.0], 'player': {'id': 5010, 'name': 'Mallory Weber'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [115.0, 26.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.0, 30.0], 'player': {'id': 5015, 'name': 'Kelli Hubly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.0, 30.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [113.0, 34.0], 'player': {'id': 5009, 'name': 'Margaret Purce'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [108.0, 36.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 47.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.0, 40.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 36.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [113.0, 40.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [105.0, 33.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [112.0, 51.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [111.0, 37.0], 'player': {'id': 5003, 'name': 'Emily Ann Sonnett'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [113.0, 43.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}]",,,Saved,0.061868846,Volley,Open Play,,,,OL Reign,760,00:21:05.480,Shot,
,,,,,,,,,,,,,,1.533,,,,,,,,,,,,,61a9db26-fdfb-4ffa-a959-d572931a79d1,926,,"[93.0, 47.0]",7443,25,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lindsey Michelle Horan,4999.0,Left Defensive Midfield,59,Portland Thorns,765,['29d6a060-7b5e-404a-9cef-6b4f3ab70d9b'],0,,Right Foot,"[120.0, 43.0, 4.4]",,"[{'location': [103.0, 39.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [89.0, 51.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [89.0, 63.0], 'player': {'id': 5009, 'name': 'Margaret Purce'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [99.0, 57.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.0, 52.0], 'player': {'id': 5010, 'name': 'Mallory Weber'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [118.0, 41.0], 'player': {'id': 5019, 'name': 'Michelle Betos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 46.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [101.0, 45.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.0, 44.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.0, 38.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 42.0], 'player': {'id': 5003, 'name': 'Emily Ann Sonnett'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [105.0, 31.0], 'player': {'id': 5017, 'name': 'Christen Westphal'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 34.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 33.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.0, 36.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.0, 30.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",,,Off T,0.053808708,Normal,Free Kick,,,,Portland Thorns,765,00:25:00.120,Shot,
,,,,,,,,,,,,,,1.013,,,,,,,,,,,,,014807f1-fada-40a6-afd0-c08ff1485734,972,,"[112.0, 35.0]",7443,27,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mallory Weber,5010.0,Left Center Forward,64,Portland Thorns,765,"['3711f4ff-4106-43d0-827e-66692fd633a4', 'b751c6d5-34c3-4e09-97c5-18088cef284b']",34,,Right Foot,"[119.0, 37.4, 0.6]",True,"[{'location': [115.0, 43.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 5019, 'name': 'Michelle Betos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.0, 42.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.0, 50.0], 'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [111.0, 48.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [96.0, 61.0], 'player': {'id': 5009, 'name': 'Margaret Purce'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [115.0, 60.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [117.0, 49.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 36.0], 'player': {'id': 5017, 'name': 'Christen Westphal'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.0, 38.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 46.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [109.0, 38.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [116.0, 45.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 75.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [114.0, 50.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",c0dfbe95-a0a4-4c8e-b9c1-bf12a15d0de9,,Saved,0.26365405,Half Volley,Open Play,,,,Portland Thorns,765,00:27:34.880,Shot,True
,,,,,,,,,,,,,,0.813,,,,,,,,,,,,,aca30125-76a7-466b-b86c-70b84c198465,992,,"[108.0, 52.0]",7443,28,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ana-Maria Crnogorčević,10408.0,Right Center Forward,66,OL Reign,760,['10c354bf-876f-4b1c-bd63-3384f534bbec'],5,,Right Foot,"[120.0, 45.6, 1.8]",True,"[{'location': [112.0, 36.0], 'player': {'id': 5019, 'name': 'Michelle Betos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [89.0, 57.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.0, 42.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 50.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,,Off T,0.15594445,Normal,Open Play,,,,Portland Thorns,765,00:28:05.880,Shot,
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,28da2320-8641-4b03-a0e6-c0b17b806513,1127,,"[113.0, 39.0]",7443,33,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Allie Long,5001.0,Right Center Midfield,79,OL Reign,760,['1d852ccc-a62d-4123-b817-c25fd3da7ee1'],31,,Head,"[120.0, 37.6, 2.4]",,"[{'location': [119.0, 41.0], 'player': {'id': 5005, 'name': 'Britt Eckerstrom'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 24.0], 'player': {'id': 5010, 'name': 'Mallory Weber'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [114.0, 38.0], 'player': {'id': 5003, 'name': 'Emily Ann Sonnett'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [113.0, 38.0], 'player': {'id': 5009, 'name': 'Margaret Purce'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [94.0, 27.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [99.0, 37.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [114.0, 42.0], 'player': {'id': 5015, 'name': 'Kelli Hubly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 45.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [101.0, 51.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.0, 57.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [93.0, 38.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [112.0, 42.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.0, 51.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",f9237ac8-10d2-4dbe-9bb9-17fd6cce4071,,Saved,0.12907563,Normal,Open Play,,,,OL Reign,760,00:33:31.920,Shot,
,,,,,,,,,,,,,,1.64,,,,,,,,,,,,,0000ed2d-ee36-4038-bfec-1083ecc52a8d,1133,,"[92.0, 31.0]",7443,34,,,,,,,,,,,,,,,,,,,,,1,From Corner,Jessica Fishlock,5016.0,Center Attacking Midfield,80,OL Reign,760,['d91d630c-caa3-4e9f-ad89-d0441a496912'],11,,Right Foot,"[118.0, 43.0, 1.8]",,"[{'location': [99.0, 32.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 5005, 'name': 'Britt Eckerstrom'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 33.0], 'player': {'id': 5012, 'name': 'Katherine Reynolds'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 28.0], 'player': {'id': 5009, 'name': 'Margaret Purce'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [108.0, 38.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.0, 45.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [106.0, 38.0], 'player': {'id': 5015, 'name': 'Kelli Hubly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 25.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [102.0, 24.0], 'player': {'id': 5010, 'name': 'Mallory Weber'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [107.0, 41.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 49.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.0, 37.0], 'player': {'id': 5003, 'name': 'Emily Ann Sonnett'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [106.0, 26.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [114.0, 24.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [108.0, 34.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.0, 38.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [98.0, 50.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [108.0, 42.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",,,Saved,0.019309279,Normal,Open Play,,,,OL Reign,760,00:34:11.360,Shot,
,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,7b60be7d-e835-4812-935e-14aa853e43c7,1157,,"[117.0, 40.0]",7443,35,,,,,,,,,,,,,,,,,,,,,1,From Corner,Beverly Yanez,5006.0,Right Wing,83,OL Reign,760,['5803aa1f-fa6c-4393-b137-8dc2ffa10985'],8,,Head,"[120.0, 36.2, 1.2]",,"[{'location': [118.0, 12.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [119.0, 39.0], 'player': {'id': 5005, 'name': 'Britt Eckerstrom'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [118.0, 27.0], 'player': {'id': 5011, 'name': 'Meghan Klingenberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [106.0, 24.0], 'player': {'id': 5010, 'name': 'Mallory Weber'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [119.0, 36.0], 'player': {'id': 5009, 'name': 'Margaret Purce'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [117.0, 38.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [117.0, 37.0], 'player': {'id': 5015, 'name': 'Kelli Hubly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.0, 39.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [114.0, 38.0], 'player': {'id': 5003, 'name': 'Emily Ann Sonnett'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [119.0, 38.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 4995, 'name': 'Celeste Boureille'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [117.0, 43.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [117.0, 42.0], 'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",3fa65ec0-a7e5-4525-a848-ab5ab018f032,,Goal,0.20339668,Normal,Open Play,,,,OL Reign,760,00:35:08.880,Shot,
,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,c7a7e593-d883-42b2-92c5-9a7447eb0d74,1208,,"[105.0, 23.0]",7443,36,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mallory Weber,5010.0,Left Center Forward,85,Portland Thorns,765,"['372bfed4-be36-40ee-8ffe-5685b10decbf', '59416f93-a793-49a7-9108-f2015ec201cc', '86a0b28f-d32c-414e-a9da-c13bb56f580f']",31,,Right Foot,"[106.0, 24.0]",,"[{'location': [111.0, 37.0], 'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [98.0, 45.0], 'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [101.0, 43.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [92.0, 70.0], 'player': {'id': 5009, 'name': 'Margaret Purce'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [106.0, 53.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.0, 37.0], 'player': {'id': 5019, 'name': 'Michelle Betos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 25.0], 'player': {'id': 5017, 'name': 'Christen Westphal'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 34.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 36.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 38.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.0, 45.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",cd77be49-682a-49d5-9fc0-50e8a3db2ddf,,Blocked,0.02328303,Normal,Open Play,,,,Portland Thorns,765,00:36:31.800,Shot,True
