bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.09555,,,,,,,,,,adfe7c59-bf97-47e8-8110-736e0d755bc4,176,,,"[107.0, 34.0]",19780,3,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Felicity Gibbons,16392.0,Left Back,16,Brighton & Hove Albion WFC,965,"['002ea3df-6232-49b5-b4b3-09792d955863', '04e870ad-c4d2-4c98-9134-4495e45a8542']",58,,Right Foot,"[120.0, 45.8, 0.5]",,"[{'location': [113.0, 38.0], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 39.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [111.0, 50.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [116.0, 35.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 45.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 34.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 32.0], 'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 38.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [83.0, 18.0], 'player': {'id': 15218, 'name': 'Jessica Anne Clarke'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [103.0, 28.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [103.0, 32.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",ebfbb6ad-4746-4b83-ae9f-d39c3191c181,Off T,0.102062486,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:03:58.888,Shot,True
,,,,,,,,,,,,,,,0.4881,,,,,,,,,,24bb938a-5280-49cc-a387-a7e53c29c33d,209,,,"[115.0, 43.0]",19780,5,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Laura Rafferty,16394.0,Right Center Back,19,Brighton & Hove Albion WFC,965,['8d9c6485-2a56-4722-8d83-cfe1b5900fab'],21,,Head,"[120.0, 39.1, 0.5]",,"[{'location': [114.0, 38.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [108.0, 28.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.0, 27.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [92.0, 22.0], 'player': {'id': 15218, 'name': 'Jessica Anne Clarke'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.0, 34.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [112.0, 41.0], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 50.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [116.0, 37.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.0, 39.0], 'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 42.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.0, 44.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 42.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [116.0, 46.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.0, 44.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.0, 44.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}]",55d1423b-21c1-42a4-9983-42a7c004b3be,Saved,0.23245873,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:05:21.233,Shot,
,,,,,,,,,,,,,,,0.5486,,,,,,,,,,91f5c85c-c1cb-4eea-af90-fb32d9907945,218,,,"[103.0, 35.0]",19780,5,,,,,,,,,,,,,,,,,,,,1,From Corner,Danielle Buet,20034.0,Left Defensive Midfield,20,Brighton & Hove Albion WFC,965,"['4479b3a8-808a-440b-a15c-b2105b40ad65', '91b920e2-3a61-4dcb-8b72-8f304a191257']",53,,Right Foot,"[110.0, 36.0]",True,"[{'location': [112.0, 37.0], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 40.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 39.0], 'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 43.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [115.0, 44.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 42.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [105.0, 41.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.0, 40.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 33.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [113.0, 36.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 35.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.0, 37.0], 'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.0, 47.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [105.0, 44.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}]",,Blocked,0.066886865,Volley,Open Play,,,,Brighton & Hove Albion WFC,965,00:05:53.120,Shot,
,,,,,,,,,,,,,,,1.569481,,,,,,,,,,85ca729a-8495-424c-9344-ed4ee5e6786e,234,,,"[96.0, 30.0]",19780,6,,,,,,,,,,,,,,,,,,,,1,From Throw In,Danielle Buet,20034.0,Left Defensive Midfield,21,Brighton & Hove Albion WFC,965,['e3d1455c-ddbf-440d-ade4-2132588fc563'],28,,Left Foot,"[120.0, 34.8, 3.1]",True,"[{'location': [102.0, 31.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [116.0, 25.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 22.0], 'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [106.0, 30.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 32.0], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [116.0, 30.0], 'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 36.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 43.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [110.0, 40.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 34.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [111.0, 32.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [105.0, 31.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.0, 25.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.0, 22.0], 'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",,Off T,0.028454646,Volley,Open Play,,,,Brighton & Hove Albion WFC,965,00:06:28.679,Shot,
,,,,,,,,,,,,,,,1.547516,,,,,,,,,,b54c4ff5-ba68-4a97-a15d-7125cfe9b28a,284,,,"[92.0, 46.0]",19780,7,,,,,,,,,,,,,,,,,,,,1,Regular Play,Chloe Peplow,16397.0,Right Defensive Midfield,25,Brighton & Hove Albion WFC,965,['d95191c5-34cd-40bc-b05a-0bb95068e8a1'],49,,Right Foot,"[118.0, 44.0, 2.1]",,"[{'location': [97.0, 36.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.0, 46.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 51.0], 'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 56.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 55.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [91.0, 49.0], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [88.0, 50.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [89.0, 53.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.0, 61.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [119.0, 42.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,Saved,0.02808702,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:07:49.965,Shot,
,,,,,,,,,,,,,,,2.791326,,,,,,,,,,75f63180-4fcf-4979-8073-5a9613b575bc,577,,,"[91.0, 25.0]",19780,14,,,,,,,,,,,,,,,,,,,,1,From Throw In,Felicity Gibbons,16392.0,Left Back,38,Brighton & Hove Albion WFC,965,['22133859-0814-4798-8f23-9c19bcd8cb53'],38,,Left Foot,"[120.0, 46.5, 0.6]",,"[{'location': [120.0, 40.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 42.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 36.0], 'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 30.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.0, 28.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [106.0, 28.0], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 23.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 22.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.0, 26.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [105.0, 31.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.0, 37.0], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [102.0, 35.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,Off T,0.010256475,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:14:38.249,Shot,
,,,,,,,,,,,,,,,1.715093,,,,,,,,,,5628086c-e5fb-4465-9819-8d851a997e21,641,,,"[112.0, 47.0]",19780,17,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Courtney Sweetman-Kirk,15611.0,Left Wing,44,Liverpool WFC,966,['529be054-d20f-4735-be94-12c3acf81189'],35,,Right Foot,"[119.0, 45.4, 1.2]",True,"[{'location': [110.0, 42.0], 'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [97.0, 49.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [101.0, 37.0], 'player': {'id': 15218, 'name': 'Jessica Anne Clarke'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.0, 36.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [114.0, 34.0], 'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 43.0], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.0, 41.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.0, 47.0], 'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 37.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [114.0, 35.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 36.0], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.0, 34.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",4430174a-c5c9-4c4a-88b8-f9f40b70702d,Off T,0.14613739,Volley,Open Play,,,,Liverpool WFC,966,00:17:35.616,Shot,
,,,,,,,,,,,,,,,0.745623,,,,,,,,,,f8adf418-242b-4671-ad2c-837ea0f85098,1209,,,"[109.0, 37.0]",19780,32,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Iniabasi Anefiok Umotong,16378.0,Center Forward,83,Brighton & Hove Albion WFC,965,"['38cd7cb1-d563-4c79-bd14-8f65a12eec40', '966cb351-7e5f-4fa0-a0aa-1621755b0ecf']",28,True,Head,"[116.0, 39.0]",,"[{'location': [115.0, 34.0], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [105.0, 41.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [107.0, 35.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [113.0, 49.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.0, 37.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 36.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.0, 33.0], 'player': {'id': 15218, 'name': 'Jessica Anne Clarke'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.0, 44.0], 'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.0, 48.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.0, 35.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 40.0], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 58.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",f5564822-c3f2-45a7-ae8c-46332cc214d8,Wayward,0.05384062,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:32:28.688,Shot,True
,,,,,,,,,,,,,,,0.0044,,,,,,,,,,124708c6-1099-4ae0-abf0-207f801d3eb0,1212,,,"[113.0, 38.0]",19780,32,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Felicity Gibbons,16392.0,Left Back,83,Brighton & Hove Albion WFC,965,['6c4d83e4-4f17-48f6-970a-be87dc93b5cf'],30,,Head,"[115.0, 38.5, 1.5]",,"[{'location': [117.0, 46.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.0, 43.0], 'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.0, 35.0], 'player': {'id': 15218, 'name': 'Jessica Anne Clarke'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [115.0, 39.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.0, 36.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 36.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 40.0], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 38.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.0, 37.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.0, 42.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [115.0, 47.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",,Saved,0.39062515,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:32:30.332,Shot,
,,,,,,,,,,,,,,,0.7423,,,,,,,,,,2661d04c-8210-4b8d-aec8-952026cceaec,1222,,,"[114.0, 53.0]",19780,33,,,,,,,,,,,,,,,,,,,,1,From Corner,Iniabasi Anefiok Umotong,16378.0,Center Forward,84,Brighton & Hove Albion WFC,965,['ced39e79-6093-4791-b890-55268d9cd116'],3,,Right Foot,"[120.0, 40.5, 2.7]",,"[{'location': [116.0, 47.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.0, 42.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [115.0, 40.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.0, 41.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.0, 50.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [114.0, 50.0], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 51.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [113.0, 58.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 46.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [117.0, 45.0], 'player': {'id': 15622, 'name': 'Leandra Little'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 45.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [119.0, 48.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [120.0, 42.0], 'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [120.0, 39.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [115.0, 42.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",,Post,0.03798627,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:33:03.152,Shot,
