bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,half_end_early_video_end,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.413347,,,,,,,,,,,,,,,,75af5fc9-e1f9-433a-b07d-c60cfdde292c,262,,"[88.3, 39.8]",2275138,4,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lauren James,31531.0,Center Forward,13,Manchester United,1475,"['06d59562-ff96-4d32-8360-dcc385d8eb3f', '7aece1f4-493d-47a4-8bff-7faa7071eb5d']",39,,Left Foot,"[118.4, 37.8, 0.5]",,"[{'location': [85.5, 41.7], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [78.0, 51.2], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [102.0, 57.9], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [92.4, 34.1], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [92.7, 16.4], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.6, 39.8], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.5, 47.1], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 43.9], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.4, 34.2], 'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [89.3, 37.0], 'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.7, 52.8], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",,Saved,0.027433053,Normal,Open Play,,,,Manchester United,1475,00:04:39.743,Shot,True
,,,,,,,,,,,,,,,,0.51004,,,,,,,,,,,,,,,,603136b3-b32b-4f21-a01e-0c9149faa3d7,432,,"[95.8, 37.5]",2275138,10,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Katie Zelem,31540.0,Center Defensive Midfield,30,Manchester United,1475,"['380ae2fa-e678-44d1-97c5-35a9344a6d71', '42bacc9c-23e7-4de1-a0c3-46382ca774f1']",56,,Left Foot,"[109.7, 41.2]",True,"[{'location': [109.0, 34.0], 'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 38.1], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.3, 40.3], 'player': {'id': 15547, 'name': 'Melissa Lawley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [106.7, 46.9], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.3, 42.6], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [108.8, 26.5], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.7, 52.8], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.4, 45.1], 'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [90.1, 55.6], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [118.1, 38.9], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.9, 52.5], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.1, 38.6], 'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [90.7, 61.8], 'player': {'id': 15613, 'name': 'Rinsola Babajide'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [110.8, 40.8], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",4db859f7-eb82-4feb-9629-8e666e71e044,Blocked,0.039107747,Normal,Open Play,,,,Manchester United,1475,00:10:56.082,Shot,
,,,,,,,,,,,,,,,,1.046834,,,,,,,,,,,,,,,,b65df9a0-e226-4c32-87d5-a03a84dae16c,483,,"[111.9, 42.3]",2275138,13,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Rinsola Babajide,15613.0,Left Wing,35,Liverpool WFC,966,['06abef16-27f8-4620-a220-c9edf9663904'],42,,Head,"[120.0, 43.5, 3.8]",,"[{'location': [112.1, 43.5], 'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.7, 52.4], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 40.9], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.4, 26.7], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.5, 44.8], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.5, 45.4], 'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [119.3, 41.9], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.4, 75.4], 'player': {'id': 50460, 'name': 'Lotta Ökvist'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",198e17a6-dded-47c1-bd02-26cf84bee620,Off T,0.1241301,Normal,Open Play,,,,Liverpool WFC,966,00:13:42.298,Shot,
,,,,,,,,,,,,,,,,1.637363,,,,,,,,,,,,,,,,dbcf8e41-ce72-453c-8b2e-c7cae66f5d2c,553,,"[81.1, 57.3]",2275138,15,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Courtney Sweetman-Kirk,15611.0,Center Forward,40,Manchester United,1475,"['011607ad-ad24-44e6-b26e-22344843c64d', 'a7ca2895-7426-4147-be03-38741559efe1']",11,,Right Foot,"[109.4, 43.7, 0.4]",,"[{'location': [80.6, 58.0], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [89.3, 53.5], 'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [79.3, 30.6], 'player': {'id': 15613, 'name': 'Rinsola Babajide'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [71.6, 14.9], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [70.4, 44.3], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [65.1, 60.2], 'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [67.6, 58.7], 'player': {'id': 15547, 'name': 'Melissa Lawley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [65.6, 66.5], 'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.7, 43.8], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,Saved,0.007967759,Lob,Open Play,,,,Liverpool WFC,966,00:15:11.935,Shot,True
,,,,,,,,,,,,,,,,0.527437,,,,,,,,,,,,,,,,8041ad3e-98fc-449f-b0d2-ea95f6659303,980,,"[110.4, 26.4]",2275138,25,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Leah Galton,31539.0,Left Wing,64,Manchester United,1475,"['8420ae32-54c6-49dd-b33c-bb714440b1fd', 'e7ed1c5f-fe0b-43d4-8990-10d0dcc42368']",3,,Left Foot,"[118.5, 36.5, 2.2]",True,"[{'location': [88.6, 26.2], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.3, 15.9], 'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [115.1, 54.5], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [117.7, 35.9], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [84.6, 51.1], 'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.2, 46.6], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 33.7], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.8, 25.4], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.1, 18.5], 'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.4, 27.2], 'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [94.6, 35.5], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",34d232f5-96db-44e6-9e5b-ea24b5821f7d,Saved,0.06096569,Normal,Open Play,,,,Manchester United,1475,00:25:03.053,Shot,True
,,,,,,,,,,,,,,,,1.679874,,,,,,,,,,,,,,,,72e9d6cc-796e-4014-9477-60e1c1898009,1011,,"[89.6, 29.4]",2275138,25,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Ella Toone,31534.0,Left Center Midfield,65,Manchester United,1475,['f03a2ca6-1019-4bf6-8b8e-8a485639c456'],49,,Right Foot,"[118.5, 40.3, 1.1]",,"[{'location': [92.6, 3.0], 'player': {'id': 50460, 'name': 'Lotta Ökvist'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [104.5, 46.4], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [104.2, 26.8], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.2, 19.2], 'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [89.9, 28.8], 'player': {'id': 15547, 'name': 'Melissa Lawley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [104.7, 34.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.3, 35.9], 'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [104.7, 49.5], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [105.5, 39.0], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.8, 29.9], 'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [91.3, 32.5], 'player': {'id': 15613, 'name': 'Rinsola Babajide'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.2, 39.3], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.1, 19.1], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [104.8, 32.7], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.1, 48.0], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.3, 46.6], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [104.8, 38.6], 'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [88.2, 34.5], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [81.9, 43.2], 'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",9a39274c-6bbd-4d44-9d27-e7f52968c3f5,Saved,0.017561575,Normal,Open Play,,,,Manchester United,1475,00:25:49.357,Shot,
,,,,,,,,,,,,,,,,0.490003,,,,,,,,,,,,,,,,808c1953-9d99-4c7f-93a8-1b014bac0892,1147,,"[112.4, 35.9]",2275138,29,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Niamh Fahey,19777.0,Left Center Back,79,Liverpool WFC,966,"['568160cc-b251-43a3-a3d5-16b88263b603', '9f1465ee-3a4d-4ed3-b19c-6fd124f7af2c']",59,True,Head,"[118.2, 42.2]",,"[{'location': [117.3, 57.0], 'player': {'id': 50460, 'name': 'Lotta Ökvist'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.7, 37.5], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.5, 38.7], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [118.3, 38.6], 'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [118.9, 42.6], 'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.7, 39.4], 'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [113.8, 38.8], 'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.6, 42.4], 'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.9, 37.7], 'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [95.2, 35.0], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [99.6, 35.4], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [113.9, 37.1], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",b1b2ad2e-5fde-4eb7-b4d6-83b391a8d521,Wayward,0.076164916,Normal,Open Play,,,,Liverpool WFC,966,00:29:59.907,Shot,True
,,,,,,,,,,,,,,,,0.12809,,,,,,,,,,,,,,,,d7ad6ec5-f773-42cb-8528-1424aebcfcf6,1421,,"[101.2, 31.5]",2275138,36,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Courtney Sweetman-Kirk,15611.0,Center Forward,94,Liverpool WFC,966,"['63683d92-701d-4180-b421-118c2cf4a1be', '9d254a42-f7f5-4259-8062-b8cf326362bf', '9fa54950-d27b-408d-aa3f-7cdac26a5902']",29,,Right Foot,"[103.0, 32.6]",,"[{'location': [103.2, 58.5], 'player': {'id': 50460, 'name': 'Lotta Ökvist'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.7, 39.9], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 32.4], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.1, 35.4], 'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.7, 17.8], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [93.0, 34.0], 'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [64.8, 13.6], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [73.4, 35.3], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [79.7, 32.7], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [90.7, 47.8], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [94.8, 54.0], 'player': {'id': 15547, 'name': 'Melissa Lawley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.8, 50.7], 'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.1, 42.5], 'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [98.6, 44.2], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.9, 44.4], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,Blocked,0.04223719,Half Volley,Open Play,,,,Liverpool WFC,966,00:36:29.281,Shot,True
,,,,,,,,,,,,,,,,0.712487,,,,,,,,,,,,,,,,a35395c2-9cb3-49fb-900a-c705737ab27c,1468,,"[109.4, 28.3]",2275138,37,,,True,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Lauren James,31531.0,Center Forward,96,Manchester United,1475,"['a4e3aac5-2d91-498d-ad26-efce371511b9', 'b13ce471-6c42-4153-a396-7feec704875e']",38,,Left Foot,"[120.0, 38.8, 2.8]",,"[{'location': [103.7, 32.1], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.3, 30.4], 'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [110.8, 40.9], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.5, 37.8], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [102.2, 40.4], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.5, 41.4], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.2, 37.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.9, 34.2], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.6, 29.5], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.7, 14.8], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.8, 21.1], 'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.2, 24.9], 'player': {'id': 15547, 'name': 'Melissa Lawley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.7, 27.2], 'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",80c27d7e-06c9-4dda-bb9a-daab22fa7b67,Post,0.09000082,Normal,Open Play,,,,Manchester United,1475,00:37:38.276,Shot,True
,,,,,,,,,,,,,,,,0.546771,,,,,,,,,,,,,,,,75097f15-6f04-4486-85c4-4a4f97db57c9,1509,,"[104.5, 45.2]",2275138,38,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lauren James,31531.0,Center Forward,98,Manchester United,1475,"['05521ec6-cdb1-4115-8d08-d212a6744529', '07130474-c8d4-4bb8-9d03-2f5cc7a32a40']",51,,Left Foot,"[110.4, 41.9]",,"[{'location': [105.5, 36.7], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [93.1, 62.0], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [107.5, 59.6], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.7, 28.0], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [86.5, 61.9], 'player': {'id': 15613, 'name': 'Rinsola Babajide'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.8, 47.8], 'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.1, 50.2], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.3, 50.5], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 39.9], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.9, 37.4], 'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.9, 40.7], 'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.6, 46.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",dc43038c-7e08-4c9b-9367-ce9b5af8f524,Blocked,0.117694534,Normal,Open Play,,,,Manchester United,1475,00:38:51.318,Shot,
