50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,3a3e0567-d5d4-439f-abdd-0592c943eb85,36,,"[95.0, 47.0]",7456,0,,,,,,,,,,,,,,,,1,From Goal Kick,Denise O'Sullivan,5084.0,Left Midfield,3,North Carolina Courage,766,['5d06b80d-27ee-4b11-9740-8f18bec2d6d4'],49,,Right Foot,,"[118.0, 42.4, 1.3]",,"[{'location': [120.0, 41.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [74.0, 59.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [78.0, 67.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [77.0, 38.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [77.0, 22.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [86.0, 49.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [81.0, 47.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [88.0, 27.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.0, 30.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 41.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 46.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 40.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [101.0, 57.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [93.0, 43.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [90.0, 51.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [91.0, 48.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [89.0, 42.0], 'player': {'id': 5097, 'name': 'Carli Anne Hollins'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",,,Saved,,0.03234681,Normal,Open Play,,,,North Carolina Courage,766,00:00:49.787,Shot,
,,,,,,,,,,,,,,1.373,,,,,,,,,,,,,10150777-18a3-4b10-b9e0-9c17b1033e5b,231,,"[104.0, 23.0]",7456,5,,,,,,,,,,,,,,,,1,From Counter,Shea Groom,4986.0,Left Wing,12,NJ/NY Gotham FC,763,['6efc0d4f-b5fc-449e-8a2d-ebdff365bcd8'],34,,Right Foot,,"[119.0, 37.0, 2.1]",,"[{'location': [106.0, 50.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.0, 26.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.0, 39.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 27.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [100.0, 45.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.0, 43.0], 'player': {'id': 4982, 'name': 'Katlyn Alicia Johnson Carreón'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 23.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 38.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.0, 39.0], 'player': {'id': 5097, 'name': 'Carli Anne Hollins'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",335ef4a2-ea51-4569-b95d-a09b0143369b,,Saved,,0.030916248,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:05:34.267,Shot,
,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,734ccb40-0353-4bb5-9558-170714bdb967,236,,"[111.0, 36.0]",7456,6,,,,,,,,,,,,,,,,1,From Corner,Carli Anne Hollins,5097.0,Right Center Midfield,13,NJ/NY Gotham FC,763,"['aa0ac28e-63b8-49c2-9495-567a320aa1f9', 'fa305949-f222-4d92-969c-a60f8ca3a574', 'fcf125bd-6ca8-4248-a48b-05f7a7591598']",17,True,Head,,"[116.0, 38.0]",,"[{'location': [112.0, 42.0], 'player': {'id': 4982, 'name': 'Katlyn Alicia Johnson Carreón'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.0, 41.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 40.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.0, 38.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 36.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 42.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [110.0, 36.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [101.0, 46.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [115.0, 44.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.0, 25.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [118.0, 39.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.0, 46.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [113.0, 38.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.0, 42.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [114.0, 44.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",9dbd292d-e662-401c-99b2-8156470e3476,,Blocked,,0.077290855,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:06:17.827,Shot,True
,,,,,,,,,,,,,,0.913,,,,,,,,,,,,,901a4427-3719-445d-8fc9-d48ad9e5135c,239,,"[115.0, 37.0]",7456,6,,,,,,,,,,,,,,,,1,From Corner,Katlyn Alicia Johnson Carreón,4982.0,Center Forward,13,NJ/NY Gotham FC,763,['f49ac91a-9a31-4308-8f2f-0ae7d09481ef'],19,,Right Foot,,"[120.0, 41.3, 3.6]",,"[{'location': [115.0, 40.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [117.0, 38.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.0, 45.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 41.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [107.0, 41.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.0, 45.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [98.0, 45.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [106.0, 38.0], 'player': {'id': 5097, 'name': 'Carli Anne Hollins'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [104.0, 38.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [101.0, 23.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [108.0, 39.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.0, 39.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.0, 34.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 33.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 36.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,True,Off T,True,0.44486058,Volley,Open Play,,,,NJ/NY Gotham FC,763,00:06:19.047,Shot,
,,,,,,,,,,,,,,1.573,,,,,,,,,,,,,cf29a8af-7175-429d-8f63-c97b702b14a9,267,,"[94.0, 30.0]",7456,7,,,,,,,,,,,,,,,,1,Regular Play,Katlyn Alicia Johnson Carreón,4982.0,Center Forward,17,NJ/NY Gotham FC,763,['1ab8ec82-2f8b-4b78-8a62-bc096fdaa6db'],9,,Right Foot,,"[120.0, 46.0, 3.9]",,"[{'location': [101.0, 39.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.0, 44.0], 'player': {'id': 5097, 'name': 'Carli Anne Hollins'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [92.0, 32.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [95.0, 40.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.0, 35.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 30.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 50.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.0, 48.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.0, 26.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",0d153a21-4189-4b1e-9f0a-445118c40464,,Off T,,0.027448565,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:07:09.067,Shot,
,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,20524903-38da-49ad-b637-0780a684d033,501,,"[116.0, 35.0]",7456,12,,,,,,,,,,,,,,,,1,Regular Play,Débora Cristiane de Oliveira,5044.0,Right Midfield,28,North Carolina Courage,766,['81313a92-c8d1-4b49-8148-9c41ca7105d6'],27,,Head,,"[120.0, 33.5, 1.4]",,"[{'location': [104.0, 64.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [120.0, 40.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 37.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 35.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 46.0], 'player': {'id': 5097, 'name': 'Carli Anne Hollins'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.0, 62.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 53.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.0, 44.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 50.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 31.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [115.0, 45.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [112.0, 63.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",f6f59c21-2e93-4cab-a680-1c164b7e9037,True,Off T,,0.21004213,Normal,Open Play,,,,North Carolina Courage,766,00:12:27.947,Shot,
,,,,,,,,,,,,,,1.44,,,,,,,,,,,,,73410087-524c-4d32-92e7-45a7846bff67,514,,"[110.0, 31.0]",7456,13,,,,,,,,,,,,,,,,1,Regular Play,Crystal Alyssia Dunn Soubrier,5088.0,Left Center Forward,30,North Carolina Courage,766,"['0ee63e17-170b-4f65-a6fc-8c0c3708636b', 'a2c33621-1cef-4fb3-8eae-5e20a801282d']",32,,Right Foot,,"[118.0, 41.9, 0.8]",,"[{'location': [99.0, 34.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [105.0, 44.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [114.0, 27.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [113.0, 27.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.0, 25.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 29.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 32.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.0, 33.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [120.0, 39.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.0, 38.0], 'player': {'id': 5097, 'name': 'Carli Anne Hollins'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.0, 44.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",871814cf-5ff7-4afe-a4fc-8daedde5144b,,Saved,,0.12532829,Normal,Open Play,,,,North Carolina Courage,766,00:13:32.907,Shot,True
,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,42ff33a7-83b4-43ab-af5c-3a16ef31884d,576,,"[112.0, 32.0]",7456,15,,,,,,,,,,,,,,,,1,Regular Play,Crystal Alyssia Dunn Soubrier,5088.0,Left Center Forward,40,North Carolina Courage,766,['50567c68-f57b-4712-9a0e-e840c63ecd76'],39,,Left Foot,,"[119.0, 43.6, 0.2]",True,"[{'location': [102.0, 33.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [109.0, 66.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [112.0, 56.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 34.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.0, 35.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",c9a8cf7d-65c8-4e8d-a11c-0ecab4ed8dd9,,Goal,,0.1786457,Normal,Open Play,,,,North Carolina Courage,766,00:15:39.427,Shot,
,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,56c6ff15-8605-493a-94d7-017f9bd36e99,639,,"[112.0, 42.0]",7456,18,,,,,,,,,,,,,,,,1,From Corner,Jessica McDonald,5034.0,Right Center Forward,45,North Carolina Courage,766,"['6c8cc753-0bd6-4196-a7d9-a969dda7ce94', '8a38496f-789d-4fbb-b0ba-2107f02ec63c']",33,True,Head,,"[120.0, 46.3, 0.6]",,"[{'location': [115.0, 43.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 46.0], 'player': {'id': 4982, 'name': 'Katlyn Alicia Johnson Carreón'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [105.0, 32.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [118.0, 44.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.0, 41.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [117.0, 41.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [115.0, 46.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [108.0, 49.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.0, 41.0], 'player': {'id': 5097, 'name': 'Carli Anne Hollins'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [120.0, 39.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 32.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 35.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.0, 32.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 31.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [109.0, 22.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",37d0eeee-e43b-4c97-a965-23016bfc020c,,Off T,,0.10029814,Normal,Open Play,,,,North Carolina Courage,766,00:18:33.267,Shot,True
,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,1a1dc58d-5277-4ae0-953a-87e017e9dae6,673,,"[111.0, 46.0]",7456,19,,,,,,,,,,,,,,,,1,From Throw In,Samantha June Mewis,5087.0,Right Center Midfield,48,North Carolina Courage,766,"['4039bae8-f144-4c4c-9858-c26e9fcc0946', 'a8154338-7674-44c1-8818-49ce65a381a9']",50,,Right Foot,,"[112.0, 47.0]",,"[{'location': [109.0, 49.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.0, 45.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 70.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [107.0, 56.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [110.0, 56.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.0, 51.0], 'player': {'id': 5097, 'name': 'Carli Anne Hollins'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.0, 35.0], 'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.0, 35.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [120.0, 44.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 41.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.0, 42.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [109.0, 46.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [104.0, 56.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.0, 45.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,,Blocked,,0.060468514,Normal,Open Play,,,,North Carolina Courage,766,00:19:50.987,Shot,
