ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,0.199,,,,,,,,,,,066a00a1-9eea-4f75-8bcd-de812fd3dcf8,79,,"[103.0, 45.0]",7494,1,,,,,,,,,,,,,,,,,,,,1,From Counter,Rachel Daly,5058.0,Left Center Forward,6,Houston Dash,762,"['d20c1e74-5d68-4cad-9fce-934d7049a3a6', 'fb42ee04-125f-4e46-bcf8-81aca58a80ce']",49,,Right Foot,"[106.0, 45.0]",,"[{'location': [100.0, 53.0], 'player': {'id': 5043, 'name': 'Nichelle Patrice Prince'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [102.0, 25.0], 'player': {'id': 5039, 'name': 'Veronica Latsko'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.0, 50.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.0, 36.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 32.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 41.0], 'player': {'id': 5030, 'name': 'Rebecca Elizabeth Sauerbrunn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 39.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.0, 45.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",19293fc7-d1b3-49a4-bfd0-30983c591cd5,,Blocked,0.091111764,Normal,Open Play,,,,Houston Dash,762,00:01:49.708,Shot,
,,,,,,,,,,1.317,,,,,,,,,,,a7399a22-a61c-4e72-a9db-4bb1795ea303,221,,"[91.0, 20.0]",7494,5,,,,,,,,,,,,,,,,,,,,1,Regular Play,Christen Annemarie Press,6817.0,Left Attacking Midfield,15,Utah Royals,767,['30e889f1-e61c-41a5-b8d7-823156a2a191'],11,,Right Foot,"[117.0, 37.0, 0.1]",,"[{'location': [84.0, 38.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [97.0, 49.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [96.0, 32.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [95.0, 20.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [83.0, 18.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [91.0, 25.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 33.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 45.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 40.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",67d88194-e4bc-4a1e-b71c-0ebf4c7e04b1,,Saved,0.007704234,Normal,Open Play,,,,Utah Royals,767,00:05:11.516,Shot,
,,,,,,,,,,1.231,,,,,,,,,,,07591f6b-493c-4b03-8bd1-4d65af6313e4,297,,"[94.0, 42.0]",7494,7,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nichelle Patrice Prince,5043.0,Right Center Forward,21,Houston Dash,762,['d85be8e6-2d93-49e7-b0e0-9ea93eeb91bd'],49,,Right Foot,"[120.0, 44.4, 4.2]",,"[{'location': [86.0, 49.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [96.0, 58.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.0, 25.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [85.0, 20.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [95.0, 39.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.0, 29.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.0, 41.0], 'player': {'id': 5030, 'name': 'Rebecca Elizabeth Sauerbrunn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.0, 50.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.0, 35.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",4b6503ae-3c89-4e54-9526-5fdcea0d7e02,,Off T,0.042534444,Normal,Open Play,,,,Houston Dash,762,00:07:49.708,Shot,
,,,,,,,,,,0.114,,,,,,,,,,,42bed57e-331a-4bb2-a187-50d84297e8dc,734,,"[95.0, 45.0]",7494,18,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gunnhildur Yrsa Jónsdóttir,4975.0,Right Defensive Midfield,36,Utah Royals,767,"['09f0f4b6-dc81-44a5-8b98-a7e073683593', 'b6c62fcd-c9de-4f34-ac6c-30e4b31f1492']",4,,Right Foot,"[98.0, 44.0]",,"[{'location': [102.0, 21.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [89.0, 53.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [101.0, 47.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [81.0, 36.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [102.0, 42.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [89.0, 40.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [102.0, 36.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 25.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.0, 56.0], 'player': {'id': 5039, 'name': 'Veronica Latsko'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.0, 44.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 41.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.0, 21.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.0, 49.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",69bd7326-079c-43f0-a969-b5b245ad60a4,,Blocked,0.03192218,Normal,Open Play,,,,Utah Royals,767,00:18:04.774,Shot,
,,,,,,,,,,0.923,,,,,,,,,,,ce098142-d99b-4217-acb8-8b9fff1a325b,778,,"[108.0, 40.0]",7494,19,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sofia Huerta,5105.0,Center Attacking Midfield,37,Houston Dash,762,"['a778b216-3fab-450c-ac11-3bd309fadec6', 'b4a6ad1a-27cd-46e6-83bf-b1fdc92862ff']",3,,Right Foot,"[120.0, 35.2, 0.0]",True,"[{'location': [119.0, 50.0], 'player': {'id': 5043, 'name': 'Nichelle Patrice Prince'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [113.0, 33.0], 'player': {'id': 5039, 'name': 'Veronica Latsko'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [112.0, 38.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [119.0, 41.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 41.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 38.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.0, 44.0], 'player': {'id': 5030, 'name': 'Rebecca Elizabeth Sauerbrunn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 38.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.0, 42.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",77513097-7a57-45e5-95e5-b00ce3c06ce0,,Off T,0.10001802,Normal,Open Play,,,,Houston Dash,762,00:19:03.837,Shot,True
,,,,,,,,,,1.273,,,,,,,,,,,ee657155-6ab3-4722-b597-4031c6379964,1263,,"[97.0, 53.0]",7494,29,,,,,,,,,,,,,,,,,,,,1,Regular Play,Katie Bowen,5028.0,Right Back,54,Utah Royals,767,['0529e3b5-070c-4750-a860-9da2f9a41cce'],26,,Right Foot,"[120.0, 45.0, 2.3]",True,"[{'location': [105.0, 26.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [104.0, 48.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [105.0, 34.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [102.0, 40.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.0, 47.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [106.0, 45.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 23.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 38.0], 'player': {'id': 5039, 'name': 'Veronica Latsko'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.0, 31.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 36.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 53.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 41.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",69318a05-9c78-4108-b1e1-c153d18fed91,,Off T,0.031225637,Normal,Open Play,,,,Utah Royals,767,00:29:26.809,Shot,
,,,,,,,,,,0.777,,,,,,,,,,,89708a74-a29f-4446-ba8c-403f3fdce1f5,1699,,"[113.0, 34.0]",7494,40,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Veronica Latsko,5039.0,Left Center Midfield,72,Houston Dash,762,['67215064-5e6f-4405-9068-de57cdd870fd'],15,,Head,"[120.0, 42.2, 0.5]",,"[{'location': [109.0, 48.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [106.0, 25.0], 'player': {'id': 5043, 'name': 'Nichelle Patrice Prince'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [110.0, 42.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [105.0, 27.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.0, 51.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [108.0, 50.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.0, 42.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [99.0, 52.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [120.0, 39.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.0, 49.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [106.0, 40.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 33.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [111.0, 28.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 41.0], 'player': {'id': 5030, 'name': 'Rebecca Elizabeth Sauerbrunn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 38.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 46.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",67faaeee-4cf8-4938-a487-145b5f5915fe,,Goal,0.15709873,Normal,Open Play,,,,Houston Dash,762,00:40:15.321,Shot,
,,,,,,,,,,1.219,,,,,,,,,,,14910b33-defa-4c4d-b1a3-a09c5d304b81,1752,,"[97.0, 51.0]",7494,42,,,,,,,,,,,,,,,,,,,,1,Regular Play,Amy Rodriguez,5024.0,Center Forward,75,Utah Royals,767,['63f3515f-7eac-4076-8643-02e14be61663'],11,,Left Foot,"[116.0, 37.8, 0.2]",,"[{'location': [104.0, 33.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [89.0, 58.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [105.0, 55.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [91.0, 47.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [105.0, 47.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 34.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 55.0], 'player': {'id': 5039, 'name': 'Veronica Latsko'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.0, 41.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 51.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 52.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 41.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",01c8c391-4168-4aaa-ad62-16530bc5da23,,Saved,0.035514683,Normal,Open Play,,,,Utah Royals,767,00:42:11.977,Shot,
,,,,,,,,,,1.106,,,,,,,,,,,d4e98bf3-fb94-4a1b-b0ff-bda7a4ff5725,2274,,"[117.0, 45.0]",7494,54,,,,,,,,,,,,,,,,,,,,2,From Corner,Gunnhildur Yrsa Jónsdóttir,4975.0,Right Defensive Midfield,105,Utah Royals,767,"['179b59c7-26ed-4fa6-9750-0a751bcc8b23', '674fd33f-677b-4d58-b621-237520024244']",25,True,Head,"[120.0, 43.6, 5.0]",,"[{'location': [113.0, 39.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [100.0, 33.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [114.0, 35.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.0, 50.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [116.0, 35.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [111.0, 40.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 50.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 34.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.0, 31.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [116.0, 46.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 17.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.0, 41.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",7560d28a-9887-4599-b101-315d1d5ca2c0,True,Off T,0.19754583,Normal,Open Play,,,,Utah Royals,767,00:09:25.285,Shot,True
,,,,,,,,,,0.287,,,,,,,,,,,80153d6c-df6b-4f16-a3d9-1801ac985bb0,2494,,"[90.0, 48.0]",7494,60,,,,,,,,,,,,,,,,,,,,2,Regular Play,Katrina Gorry,4979.0,Right Attacking Midfield,114,Utah Royals,767,"['b540529c-0511-427b-9ca8-dd72703403f7', 'c21f0ea1-2353-40bb-b301-e6263f9d09b5']",28,,Right Foot,"[103.0, 45.0]",,"[{'location': [100.0, 42.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [91.0, 31.0], 'player': {'id': 5027, 'name': 'Erika Tymrak'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [100.0, 33.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [88.0, 47.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [103.0, 38.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.0, 29.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [84.0, 36.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [92.0, 34.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 43.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 48.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",637ea78f-191e-4a8f-a74b-5c3471c67a62,,Blocked,0.024362665,Normal,Open Play,,,,Utah Royals,767,00:15:28.976,Shot,
